name,real,user,sys
dfafast_mut_O0,5.99,5.93,0.06
dfafast_mut_O0,6.00,5.94,0.05
dfafast_mut_O0,5.99,5.95,0.04
dfafast_mut_O0,6.00,5.95,0.04
dfafast_mut_O0,6.02,5.98,0.03
dfafast_mut_O0,6.00,5.97,0.02
dfafast_mut_O0,5.99,5.93,0.06
dfafast_mut_O0,6.00,5.95,0.05
dfafast_mut_O0,6.00,5.95,0.04
dfafast_mut_O0,6.00,5.95,0.05
dfafast_mut_O0,5.99,5.96,0.02
dfafast_mut_O0,6.00,5.96,0.03
dfafast_mut_O0,5.99,5.95,0.04
dfafast_mut_O0,6.00,5.94,0.05
dfafast_mut_O0,5.99,5.91,0.08
dfafast_mut_O0,6.00,5.96,0.04
dfafast_mut_O0,6.07,6.02,0.05
dfafast_mut_O0,6.00,5.98,0.01
dfafast_mut_O0,6.00,5.98,0.02
dfafast_mut_O0,5.99,5.93,0.06
dfafast_mut_O0,5.99,5.96,0.03
dfafast_mut_O0,5.99,5.93,0.06
dfafast_mut_O0,6.07,6.02,0.05
dfafast_mut_O0,5.99,5.97,0.02
dfafast_mut_O0,6.02,5.98,0.04
dfafast_mut_O0,6.02,5.97,0.04
dfafast_mut_O0,6.00,5.94,0.05
dfafast_mut_O0,5.99,5.95,0.03
dfafast_mut_O0,5.99,5.96,0.03
dfafast_mut_O0,6.00,5.95,0.05
dfafast_mut_O0,6.00,5.96,0.03
dfafast_mut_O0,6.00,5.95,0.05
dfafast_mut_O0,6.00,5.96,0.03
dfafast_mut_O0,6.17,6.15,0.02
dfafast_mut_O0,6.00,5.95,0.04
dfafast_mut_O0,6.00,5.95,0.04
dfafast_mut_O0,6.00,5.94,0.06
dfafast_mut_O0,6.00,5.96,0.03
dfafast_mut_O0,6.17,6.14,0.02
dfafast_mut_O0,6.10,6.04,0.05
dfafast_mut_O0,6.10,6.06,0.03
dfafast_mut_O0,6.00,5.97,0.02
dfafast_mut_O0,6.00,5.97,0.03
dfafast_mut_O0,5.99,5.96,0.02
dfafast_mut_O0,6.00,5.96,0.03
dfafast_mut_O0,6.01,5.96,0.05
dfafast_mut_O0,6.02,5.95,0.07
dfafast_mut_O0,5.99,5.91,0.07
dfafast_mut_O0,5.99,5.95,0.04
dfafast_mut_O0,5.99,5.94,0.05
dfafast_mut_O3,2.65,2.62,0.03
dfafast_mut_O3,2.65,2.60,0.04
dfafast_mut_O3,2.65,2.57,0.07
dfafast_mut_O3,2.67,2.63,0.04
dfafast_mut_O3,2.66,2.61,0.05
dfafast_mut_O3,2.65,2.60,0.04
dfafast_mut_O3,2.65,2.61,0.03
dfafast_mut_O3,2.65,2.60,0.04
dfafast_mut_O3,2.69,2.65,0.03
dfafast_mut_O3,2.65,2.61,0.03
dfafast_mut_O3,2.65,2.61,0.04
dfafast_mut_O3,2.69,2.65,0.04
dfafast_mut_O3,2.65,2.61,0.03
dfafast_mut_O3,2.65,2.62,0.03
dfafast_mut_O3,2.66,2.60,0.06
dfafast_mut_O3,2.65,2.60,0.05
dfafast_mut_O3,2.65,2.62,0.03
dfafast_mut_O3,2.65,2.62,0.03
dfafast_mut_O3,2.65,2.59,0.06
dfafast_mut_O3,2.87,2.83,0.04
dfafast_mut_O3,2.65,2.59,0.05
dfafast_mut_O3,2.65,2.61,0.03
dfafast_mut_O3,2.68,2.64,0.04
