cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test-lake,0,0:13.54,0,0,0,11784,0,99%,4012,0.00,13.53,0,0,4096,33,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11776,0,100%,4012,0.00,13.54,0,0,4096,41,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11788,0,100%,4011,0.00,13.54,0,0,4096,51,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11852,0,99%,4013,0.00,13.55,0,0,4096,55,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11784,0,100%,4013,0.00,13.54,0,0,4096,36,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11788,0,99%,4011,0.00,13.54,0,0,4096,51,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.53,0,0,0,11780,0,99%,4012,0.00,13.53,0,0,4096,34,13.53,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11844,0,99%,4014,0.00,13.55,0,0,4096,38,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11796,0,99%,4013,0.00,13.56,0,0,4096,51,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.67,0,0,0,11852,0,100%,4012,0.00,13.67,0,0,4096,54,13.67,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11784,0,100%,4012,0.00,13.55,0,0,4096,33,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.62,0,0,0,11788,0,99%,4011,0.00,13.61,0,0,4096,38,13.62,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11784,0,99%,4012,0.01,13.53,0,0,4096,42,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11788,0,99%,4011,0.01,13.55,0,0,4096,51,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11924,0,100%,4015,0.00,13.55,0,0,4096,30,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.60,0,0,0,11808,0,100%,4011,0.00,13.60,0,0,4096,34,13.60,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11792,0,100%,4012,0.00,13.54,0,0,4096,40,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11792,0,99%,4012,0.00,13.55,0,0,4096,50,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11736,0,100%,4013,0.00,13.55,0,0,4096,50,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11808,0,99%,4012,0.00,13.55,0,0,4096,38,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11740,0,100%,4013,0.00,13.56,0,0,4096,39,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11788,0,99%,4011,0.00,13.56,0,0,4096,48,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11852,0,99%,4013,0.00,13.53,0,0,4096,34,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.58,0,0,0,11788,0,99%,4012,0.00,13.57,0,0,4096,39,13.58,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11796,0,100%,4013,0.00,13.53,0,0,4096,35,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11908,0,100%,4014,0.00,13.57,0,0,4096,40,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11804,0,99%,4013,0.00,13.54,0,0,4096,40,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11732,0,100%,4012,0.01,13.54,0,0,4096,30,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11852,0,100%,4012,0.00,13.55,0,0,4096,34,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11852,0,99%,4013,0.00,13.56,0,0,4096,36,13.57,0,0,0,0,0,1,0
ref-biglake,0,3:59.92,0,0,0,335376,0,99%,96062,0.09,239.82,0,0,4096,634,239.92,0,0,0,0,0,1,0
ref-biglake,0,4:04.13,0,0,0,335432,0,99%,96064,0.08,244.04,0,0,4096,652,244.13,0,0,0,0,0,1,0
ref-biglake,0,3:59.47,0,0,0,335384,0,99%,96061,0.11,239.36,0,0,4096,590,239.47,0,0,0,0,0,1,0
ref-biglake,0,4:00.70,0,0,0,335336,0,99%,96062,0.11,240.57,0,0,4096,668,240.70,0,0,0,0,0,1,0
ref-biglake,0,3:59.51,0,0,0,335368,0,99%,96063,0.09,239.40,0,0,4096,726,239.51,0,0,0,0,0,1,0
ref-biglake,0,4:01.12,0,0,0,335492,0,99%,96063,0.13,240.98,0,0,4096,604,241.12,0,0,0,0,0,1,0
ref-biglake,0,3:59.90,0,0,0,335400,0,99%,96061,0.11,239.78,0,0,4096,662,239.90,0,0,0,0,0,1,0
ref-biglake,0,3:59.30,0,0,0,335540,0,99%,96065,0.10,239.20,0,0,4096,616,239.30,0,0,0,0,0,1,0
ref-biglake,0,3:59.39,0,0,0,335492,0,99%,96064,0.09,239.29,0,0,4096,732,239.39,0,0,0,0,0,1,0
ref-biglake,0,3:59.67,0,0,0,335408,0,99%,96063,0.08,239.58,0,0,4096,605,239.67,0,0,0,0,0,1,0
ref-biglake,0,4:01.27,0,0,0,335376,0,99%,96062,0.09,241.16,0,0,4096,793,241.27,0,0,0,0,0,1,0
ref-biglake,0,4:00.21,0,0,0,335448,0,99%,96062,0.13,240.08,0,0,4096,611,240.21,0,0,0,0,0,1,0
ref-biglake,0,4:00.71,0,0,0,335384,0,99%,96061,0.14,240.56,0,0,4096,592,240.71,0,0,0,0,0,1,0
ref-biglake,0,3:59.52,0,0,0,335408,0,99%,96063,0.10,239.42,0,0,4096,576,239.52,0,0,0,0,0,1,0
ref-biglake,0,3:59.35,0,0,0,335448,0,99%,96062,0.10,239.25,0,0,4096,585,239.35,0,0,0,0,0,1,0
ref-biglake,0,4:00.07,0,0,0,335452,0,99%,96063,0.11,239.95,0,0,4096,598,240.07,0,0,0,0,0,1,0
ref-biglake,0,4:00.01,0,0,0,335448,0,99%,96062,0.09,239.91,0,0,4096,710,240.01,0,0,0,0,0,1,0
ref-biglake,0,3:59.31,0,0,0,335492,0,99%,96064,0.10,239.20,0,0,4096,617,239.31,0,0,0,0,0,1,0
ref-biglake,0,4:01.07,0,0,0,335376,0,99%,96062,0.09,240.97,0,0,4096,800,241.07,0,0,0,0,0,1,0
ref-biglake,0,4:02.52,0,0,0,335448,0,99%,96062,0.11,242.40,0,0,4096,607,242.52,0,0,0,0,0,1,0
ref-biglake,0,3:59.61,0,0,0,335408,0,99%,96063,0.09,239.51,0,0,4096,652,239.61,0,0,0,0,0,1,0
ref-biglake,0,4:03.39,0,0,0,335392,0,99%,96063,0.09,243.29,0,0,4096,658,243.39,0,0,0,0,0,1,0
ref-biglake,0,3:59.85,0,0,0,335336,0,99%,96062,0.11,239.74,0,0,4096,588,239.85,0,0,0,0,0,1,0
ref-biglake,0,3:59.19,0,0,0,335524,0,99%,96065,0.05,239.13,0,0,4096,535,239.19,0,0,0,0,0,1,0
ref-biglake,0,3:59.47,0,0,0,335540,0,99%,96065,0.11,239.34,0,0,4096,641,239.47,0,0,0,0,0,1,0
ref-biglake,0,4:00.98,0,0,0,335432,0,99%,96064,0.11,240.86,0,0,4096,785,240.98,0,0,0,0,0,1,0
