cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test-lake,0,0:13.78,0,0,0,11808,0,100%,4011,0.00,13.78,0,0,4096,48,13.78,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11732,0,100%,4012,0.00,13.55,0,0,4096,33,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11764,0,100%,4013,0.00,13.55,0,0,4096,35,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11924,0,100%,4015,0.00,13.55,0,0,4096,32,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11728,0,100%,4012,0.00,13.54,0,0,4096,39,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.58,0,0,0,11732,0,99%,4012,0.00,13.57,0,0,4096,45,13.58,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11792,0,100%,4012,0.00,13.55,0,0,4096,52,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11760,0,100%,4012,0.00,13.54,0,0,4096,33,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11852,0,100%,4012,0.01,13.54,0,0,4096,46,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11796,0,100%,4013,0.00,13.54,0,0,4096,36,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11812,0,100%,4012,0.00,13.54,0,0,4096,36,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11808,0,99%,4013,0.00,13.55,0,0,4096,34,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11860,0,100%,4013,0.00,13.54,0,0,4096,33,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11860,0,99%,4013,0.01,13.56,0,0,4096,40,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.72,0,0,0,11796,0,100%,4013,0.00,13.72,0,0,4096,37,13.72,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11852,0,99%,4012,0.00,13.53,0,0,4096,35,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11844,0,99%,4013,0.01,13.53,0,0,4096,38,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11732,0,100%,4012,0.00,13.54,0,0,4096,34,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11904,0,99%,4014,0.00,13.55,0,0,4096,45,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11792,0,100%,4013,0.00,13.54,0,0,4096,32,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11760,0,99%,4012,0.00,13.55,0,0,4096,32,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.71,0,0,0,11792,0,100%,4012,0.00,13.71,0,0,4096,41,13.71,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11796,0,99%,4013,0.00,13.55,0,0,4096,50,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11776,0,99%,4012,0.00,13.53,0,0,4096,29,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11796,0,100%,4013,0.00,13.55,0,0,4096,40,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11808,0,100%,4013,0.00,13.53,0,0,4096,49,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11792,0,99%,4012,0.00,13.55,0,0,4096,32,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11860,0,100%,4013,0.00,13.55,0,0,4096,34,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.58,0,0,0,11924,0,99%,4015,0.00,13.57,0,0,4096,38,13.58,0,0,0,0,0,1,0
test-lake,0,0:13.61,0,0,0,11792,0,99%,4012,0.00,13.61,0,0,4096,46,13.61,0,0,0,0,0,1,0
ref-biglake,0,4:00.00,0,0,0,335400,0,99%,96061,0.12,239.87,0,0,4096,504,240.00,0,0,0,0,0,1,0
ref-biglake,0,4:02.60,0,0,0,335448,0,99%,96062,0.09,242.50,0,0,4096,821,242.60,0,0,0,0,0,1,0
ref-biglake,0,4:02.03,0,0,0,335372,0,99%,96063,0.15,241.88,0,0,4096,713,242.03,0,0,0,0,0,1,0
ref-biglake,0,3:59.59,0,0,0,335340,0,99%,96063,0.11,239.47,0,0,4096,597,239.59,0,0,0,0,0,1,0
ref-biglake,0,4:01.59,0,0,0,335432,0,99%,96066,0.11,241.47,0,0,4096,557,241.59,0,0,0,0,0,1,0
ref-biglake,0,4:01.38,0,0,0,335448,0,99%,96062,0.11,241.26,0,0,4096,798,241.38,0,0,0,0,0,1,0
ref-biglake,0,4:04.11,0,0,0,335408,0,99%,96063,0.13,243.97,0,0,4096,781,244.11,0,0,0,0,0,1,0
