cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test-lake,0,0:13.56,0,0,0,11796,0,99%,4013,0.00,13.55,0,0,4096,40,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11852,0,99%,4013,0.00,13.55,0,0,4096,42,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.58,0,0,0,11924,0,100%,4015,0.00,13.58,0,0,4096,30,13.58,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11784,0,100%,4012,0.00,13.55,0,0,4096,39,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11860,0,100%,4013,0.00,13.54,0,0,4096,42,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11924,0,100%,4015,0.00,13.54,0,0,4096,45,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11844,0,100%,4013,0.00,13.54,0,0,4096,34,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11912,0,100%,4015,0.00,13.54,0,0,4096,35,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11904,0,100%,4015,0.00,13.56,0,0,4096,39,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11792,0,99%,4014,0.00,13.53,0,0,4096,46,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11732,0,100%,4012,0.00,13.54,0,0,4096,50,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11824,0,100%,4013,0.00,13.55,0,0,4096,45,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11792,0,100%,4012,0.00,13.54,0,0,4096,40,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11920,0,99%,4015,0.00,13.54,0,0,4096,41,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11804,0,100%,4013,0.00,13.53,0,0,4096,49,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11844,0,100%,4013,0.00,13.57,0,0,4096,48,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11924,0,100%,4015,0.00,13.55,0,0,4096,38,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11908,0,100%,4014,0.00,13.54,0,0,4096,45,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11908,0,100%,4014,0.00,13.54,0,0,4096,48,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11808,0,100%,4013,0.00,13.57,0,0,4096,31,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11804,0,100%,4013,0.00,13.56,0,0,4096,50,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11848,0,99%,4012,0.00,13.54,0,0,4096,42,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11852,0,99%,4013,0.01,13.54,0,0,4096,49,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11860,0,100%,4013,0.00,13.54,0,0,4096,47,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.62,0,0,0,11732,0,100%,4012,0.01,13.61,0,0,4096,39,13.62,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11808,0,100%,4013,0.00,13.56,0,0,4096,45,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.53,0,0,0,11776,0,100%,4012,0.00,13.53,0,0,4096,51,13.53,0,0,0,0,0,1,0
test-lake,0,0:13.60,0,0,0,11924,0,100%,4015,0.00,13.60,0,0,4096,48,13.60,0,0,0,0,0,1,0
test-lake,0,0:13.71,0,0,0,11792,0,99%,4012,0.00,13.71,0,0,4096,49,13.71,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11860,0,100%,4013,0.01,13.54,0,0,4096,35,13.55,0,0,0,0,0,1,0
ref-biglake,0,3:59.14,0,0,0,335540,0,99%,96065,0.11,239.02,0,0,4096,760,239.14,0,0,0,0,0,1,0
ref-biglake,0,3:59.68,0,0,0,335540,0,99%,96065,0.10,239.56,0,0,4096,636,239.68,0,0,0,0,0,1,0
ref-biglake,0,4:04.32,0,0,0,335452,0,99%,96062,0.10,244.22,0,0,4096,667,244.32,0,0,0,0,0,1,0
ref-biglake,0,3:59.27,0,0,0,335356,0,99%,96062,0.08,239.18,0,0,4096,674,239.27,0,0,0,0,0,1,0
ref-biglake,0,3:59.86,0,0,0,335408,0,99%,96063,0.10,239.75,0,0,4096,633,239.86,0,0,0,0,0,1,0
ref-biglake,0,3:59.57,0,0,0,335392,0,99%,96063,0.10,239.46,0,0,4096,634,239.57,0,0,0,0,0,1,0
ref-biglake,0,3:59.58,0,0,0,335432,0,99%,96064,0.10,239.47,0,0,4096,601,239.58,0,0,0,0,0,1,0
ref-biglake,0,4:00.03,0,0,0,335316,0,99%,96062,0.13,239.90,0,0,4096,675,240.03,0,0,0,0,0,1,0
