cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test-lake,0,0:13.54,0,0,0,11852,0,99%,4013,0.00,13.53,0,0,4096,27,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11776,0,99%,4012,0.00,13.55,0,0,4096,37,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11860,0,100%,4013,0.00,13.54,0,0,4096,41,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11796,0,100%,4013,0.01,13.54,0,0,4096,31,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.53,0,0,0,11796,0,100%,4013,0.00,13.53,0,0,4096,39,13.53,0,0,0,0,0,1,0
test-lake,0,0:13.62,0,0,0,11792,0,100%,4012,0.00,13.61,0,0,4096,46,13.62,0,0,0,0,0,1,0
test-lake,0,0:13.64,0,0,0,11808,0,99%,4014,0.00,13.63,0,0,4096,31,13.64,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11740,0,100%,4011,0.00,13.54,0,0,4096,42,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11760,0,99%,4012,0.00,13.55,0,0,4096,47,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11796,0,100%,4014,0.00,13.54,0,0,4096,30,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11732,0,100%,4012,0.00,13.55,0,0,4096,31,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11856,0,99%,4013,0.00,13.54,0,0,4096,43,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11860,0,99%,4013,0.01,13.53,0,0,4096,35,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11852,0,99%,4013,0.00,13.54,0,0,4096,35,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11796,0,100%,4013,0.00,13.54,0,0,4096,39,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11808,0,100%,4013,0.00,13.54,0,0,4096,45,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11788,0,100%,4011,0.00,13.55,0,0,4096,47,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11904,0,100%,4014,0.00,13.54,0,0,4096,55,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11760,0,99%,4012,0.00,13.55,0,0,4096,54,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.68,0,0,0,11848,0,99%,4013,0.01,13.66,0,0,4096,47,13.68,0,0,0,0,0,1,0
test-lake,0,0:13.61,0,0,0,11776,0,99%,4012,0.00,13.61,0,0,4096,50,13.61,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11792,0,100%,4012,0.00,13.55,0,0,4096,53,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11760,0,99%,4013,0.00,13.55,0,0,4096,52,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11852,0,100%,4012,0.00,13.54,0,0,4096,38,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.65,0,0,0,11776,0,100%,4013,0.00,13.65,0,0,4096,25,13.65,0,0,0,0,0,1,0
test-lake,0,0:13.72,0,0,0,11860,0,99%,4013,0.00,13.71,0,0,4096,41,13.72,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11808,0,100%,4013,0.00,13.55,0,0,4096,46,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11796,0,100%,4013,0.00,13.54,0,0,4096,48,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11860,0,99%,4013,0.00,13.54,0,0,4096,43,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11844,0,100%,4013,0.00,13.56,0,0,4096,44,13.56,0,0,0,0,0,1,0
ref-biglake,0,3:59.67,0,0,0,335540,0,99%,96065,0.11,239.55,0,0,4096,635,239.67,0,0,0,0,0,1,0
ref-biglake,0,3:59.41,0,0,0,335424,0,99%,96064,0.12,239.28,0,0,4096,650,239.41,0,0,0,0,0,1,0
ref-biglake,0,4:01.64,0,0,0,335392,0,99%,96063,0.11,241.52,0,0,4096,680,241.64,0,0,0,0,0,1,0
ref-biglake,0,3:59.49,0,0,0,335460,0,99%,96063,0.12,239.37,0,0,4096,642,239.49,0,0,0,0,0,1,0
ref-biglake,0,4:01.11,0,0,0,335448,0,99%,96062,0.10,241.00,0,0,4096,712,241.11,0,0,0,0,0,1,0
ref-biglake,0,4:01.03,0,0,0,335376,0,99%,96062,0.11,240.91,0,0,4096,676,241.03,0,0,0,0,0,1,0
ref-biglake,0,3:59.51,0,0,0,335316,0,99%,96062,0.11,239.39,0,0,4096,651,239.51,0,0,0,0,0,1,0
ref-biglake,0,4:04.74,0,0,0,335460,0,99%,96064,0.09,244.65,0,0,4096,663,244.74,0,0,0,0,0,1,0
ref-biglake,0,3:59.25,0,0,0,335396,0,99%,96061,0.12,239.13,0,0,4096,644,239.25,0,0,0,0,0,1,0
ref-biglake,0,4:04.14,0,0,0,335448,0,99%,96062,0.12,244.01,0,0,4096,702,244.14,0,0,0,0,0,1,0
ref-biglake,0,3:59.93,0,0,0,335408,0,99%,96063,0.12,239.81,0,0,4096,546,239.93,0,0,0,0,0,1,0
ref-biglake,0,4:04.34,0,0,0,335316,0,99%,96062,0.10,244.24,0,0,4096,563,244.34,0,0,0,0,0,1,0
ref-biglake,0,3:59.55,0,0,0,335492,0,99%,96063,0.12,239.42,0,0,4096,739,239.55,0,0,0,0,0,1,0
ref-biglake,0,3:59.83,0,0,0,335392,0,99%,96063,0.12,239.70,0,0,4096,680,239.83,0,0,0,0,0,1,0
ref-biglake,0,3:59.49,0,0,0,335336,0,99%,96062,0.11,239.37,0,0,4096,593,239.49,0,0,0,0,0,1,0
ref-biglake,0,3:59.99,0,0,0,335336,0,99%,96062,0.11,239.87,0,0,4096,616,239.99,0,0,0,0,0,1,0
ref-biglake,0,4:00.03,0,0,0,335540,0,99%,96065,0.09,239.93,0,0,4096,660,240.03,0,0,0,0,0,1,0
ref-biglake,0,3:59.35,0,0,0,335492,0,99%,96063,0.10,239.24,0,0,4096,661,239.35,0,0,0,0,0,1,0
ref-biglake,0,4:00.25,0,0,0,335492,0,99%,96063,0.11,240.14,0,0,4096,629,240.25,0,0,0,0,0,1,0
ref-biglake,0,4:01.22,0,0,0,335408,0,99%,96063,0.11,241.10,0,0,4096,685,241.22,0,0,0,0,0,1,0
ref-biglake,0,3:59.81,0,0,0,335376,0,99%,96062,0.08,239.73,0,0,4096,645,239.81,0,0,0,0,0,1,0
ref-biglake,0,4:00.67,0,0,0,335432,0,99%,96064,0.09,240.57,0,0,4096,584,240.67,0,0,0,0,0,1,0
ref-biglake,0,3:59.21,0,0,0,335316,0,99%,96063,0.07,239.13,0,0,4096,586,239.21,0,0,0,0,0,1,0
ref-biglake,0,4:04.13,0,0,0,335432,0,99%,96064,0.13,243.99,0,0,4096,567,244.13,0,0,0,0,0,1,0
ref-biglake,0,3:59.57,0,0,0,335372,0,99%,96063,0.09,239.48,0,0,4096,510,239.57,0,0,0,0,0,1,0
