cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test-lake,0,0:13.56,0,0,0,11904,0,100%,4015,0.00,13.56,0,0,4096,58,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11796,0,100%,4013,0.00,13.54,0,0,4096,31,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.58,0,0,0,11760,0,99%,4012,0.00,13.57,0,0,4096,55,13.58,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11760,0,99%,4013,0.00,13.57,0,0,4096,33,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.71,0,0,0,11860,0,100%,4013,0.00,13.70,0,0,4096,62,13.71,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11924,0,100%,4015,0.00,13.55,0,0,4096,26,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11760,0,100%,4012,0.00,13.54,0,0,4096,39,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11716,0,99%,4012,0.00,13.56,0,0,4096,56,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11824,0,100%,4013,0.00,13.55,0,0,4096,34,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11796,0,100%,4013,0.00,13.56,0,0,4096,55,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11736,0,100%,4013,0.00,13.56,0,0,4096,31,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11808,0,100%,4011,0.00,13.54,0,0,4096,36,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11852,0,99%,4012,0.00,13.57,0,0,4096,45,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11732,0,100%,4012,0.00,13.54,0,0,4096,32,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11784,0,99%,4012,0.00,13.55,0,0,4096,58,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11796,0,99%,4013,0.00,13.53,0,0,4096,30,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11852,0,99%,4012,0.00,13.56,0,0,4096,43,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11808,0,100%,4011,0.00,13.55,0,0,4096,29,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.58,0,0,0,11852,0,100%,4012,0.00,13.57,0,0,4096,55,13.58,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11808,0,99%,4011,0.00,13.54,0,0,4096,31,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.70,0,0,0,11776,0,99%,4012,0.01,13.69,0,0,4096,58,13.70,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11852,0,99%,4012,0.00,13.56,0,0,4096,35,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11908,0,99%,4014,0.00,13.55,0,0,4096,32,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11852,0,100%,4013,0.00,13.56,0,0,4096,52,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11852,0,99%,4012,0.00,13.56,0,0,4096,61,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.61,0,0,0,11792,0,99%,4012,0.00,13.60,0,0,4096,32,13.61,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11808,0,99%,4011,0.00,13.57,0,0,4096,55,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11924,0,100%,4016,0.00,13.56,0,0,4096,46,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11784,0,100%,4012,0.00,13.55,0,0,4096,39,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11808,0,100%,4011,0.00,13.56,0,0,4096,56,13.56,0,0,0,0,0,1,0
ref-biglake,0,4:01.04,0,0,0,335360,0,99%,96062,0.09,240.93,0,0,4096,948,241.04,0,0,0,0,0,1,0
ref-biglake,0,4:01.13,0,0,0,335376,0,99%,96062,0.09,241.02,0,0,4096,911,241.13,0,0,0,0,0,1,0
ref-biglake,0,4:01.07,0,0,0,335324,0,99%,96062,0.10,240.96,0,0,4096,897,241.07,0,0,0,0,0,1,0
ref-biglake,0,3:59.36,0,0,0,335372,0,99%,96063,0.12,239.24,0,0,4096,508,239.36,0,0,0,0,0,1,0
ref-biglake,0,4:01.00,0,0,0,335392,0,99%,96063,0.09,240.90,0,0,4096,951,241.00,0,0,0,0,0,1,0
ref-biglake,0,4:03.25,0,0,0,335428,0,99%,96064,0.09,243.16,0,0,4096,574,243.25,0,0,0,0,0,1,0
ref-biglake,0,4:01.44,0,0,0,335392,0,99%,96063,0.08,241.34,0,0,4096,938,241.44,0,0,0,0,0,1,0
ref-biglake,0,4:00.77,0,0,0,335360,0,99%,96063,0.09,240.68,0,0,4096,563,240.77,0,0,0,0,0,1,0
ref-biglake,0,4:04.05,0,0,0,335324,0,99%,96062,0.07,243.97,0,0,4096,545,244.05,0,0,0,0,0,1,0
ref-biglake,0,4:00.89,0,0,0,335428,0,99%,96064,0.09,240.80,0,0,4096,797,240.89,0,0,0,0,0,1,0
ref-biglake,0,4:09.19,0,0,0,335492,0,99%,96063,0.12,249.06,0,0,4096,777,249.19,0,0,0,0,0,1,0
ref-biglake,0,4:00.67,0,0,0,335404,0,99%,96063,0.10,240.56,0,0,4096,820,240.67,0,0,0,0,0,1,0
ref-biglake,0,3:59.54,0,0,0,335384,0,99%,96061,0.10,239.44,0,0,4096,511,239.54,0,0,0,0,0,1,0
ref-biglake,0,4:06.33,0,0,0,335540,0,99%,96065,0.10,246.22,0,0,4096,814,246.33,0,0,0,0,0,1,0
ref-biglake,0,4:01.74,0,0,0,335492,0,99%,96063,0.09,241.64,0,0,4096,808,241.74,0,0,0,0,0,1,0
ref-biglake,0,4:06.23,0,0,0,335432,0,99%,96064,0.11,246.11,0,0,4096,893,246.23,0,0,0,0,0,1,0
ref-biglake,0,4:01.14,0,0,0,335372,0,99%,96062,0.09,241.04,0,0,4096,854,241.14,0,0,0,0,0,1,0
ref-biglake,0,3:59.42,0,0,0,335392,0,99%,96064,0.09,239.32,0,0,4096,499,239.42,0,0,0,0,0,1,0
ref-biglake,0,4:00.81,0,0,0,335376,0,99%,96061,0.09,240.71,0,0,4096,760,240.81,0,0,0,0,0,1,0
ref-biglake,0,3:59.24,0,0,0,335380,0,99%,96063,0.11,239.13,0,0,4096,549,239.24,0,0,0,0,0,1,0
ref-biglake,0,4:01.12,0,0,0,335384,0,99%,96061,0.11,241.00,0,0,4096,850,241.12,0,0,0,0,0,1,0
ref-biglake,0,4:00.83,0,0,0,335300,0,99%,96062,0.09,240.73,0,0,4096,661,240.83,0,0,0,0,0,1,0
ref-biglake,0,4:02.46,0,0,0,335356,0,99%,96062,0.13,242.32,0,0,4096,561,242.46,0,0,0,0,0,1,0
