cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test-lake,0,0:13.57,0,256,0,11924,0,99%,4015,0.00,13.56,0,0,4096,37,13.57,0,0,0,0,0,2,0
test-lake,0,0:13.56,0,0,0,11808,0,100%,4013,0.00,13.55,0,0,4096,43,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11796,0,100%,4013,0.00,13.56,0,0,4096,30,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.59,0,0,0,11784,0,100%,4013,0.00,13.59,0,0,4096,34,13.59,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11852,0,100%,4012,0.00,13.56,0,0,4096,34,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11796,0,99%,4013,0.00,13.57,0,0,4096,60,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11860,0,99%,4013,0.00,13.56,0,0,4096,41,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11848,0,100%,4014,0.00,13.56,0,0,4096,31,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.67,0,0,0,11852,0,99%,4013,0.00,13.67,0,0,4096,40,13.67,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11776,0,99%,4012,0.00,13.56,0,0,4096,34,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.77,0,0,0,11908,0,99%,4015,0.00,13.77,0,0,4096,43,13.77,0,0,0,0,0,1,0
test-lake,0,0:14.35,0,0,0,11924,0,99%,4015,0.00,14.34,0,0,4096,21,14.35,0,0,0,0,0,1,0
test-lake,0,0:14.38,0,0,0,11840,0,99%,4013,0.01,14.37,0,0,4096,30,14.38,0,0,0,0,0,1,0
test-lake,0,0:14.27,0,0,0,11808,0,99%,4013,0.01,14.26,0,0,4096,43,14.27,0,0,0,0,0,1,0
test-lake,0,0:13.86,2,128,0,11924,0,99%,4014,0.00,13.86,0,0,4096,46,13.86,0,0,0,0,0,2,0
test-lake,0,0:13.54,0,0,0,11760,0,100%,4012,0.00,13.54,0,0,4096,40,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11776,0,99%,4012,0.00,13.55,0,0,4096,59,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11796,0,99%,4013,0.00,13.54,0,0,4096,25,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11732,0,100%,4012,0.00,13.54,0,0,4096,32,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11760,0,99%,4012,0.00,13.56,0,0,4096,51,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.58,0,0,0,11788,0,100%,4011,0.00,13.58,0,0,4096,44,13.58,0,0,0,0,0,1,0
test-lake,0,0:13.53,0,0,0,11760,0,100%,4012,0.00,13.53,0,0,4096,32,13.53,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11852,0,100%,4012,0.00,13.54,0,0,4096,47,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11928,0,100%,4016,0.00,13.54,0,0,4096,31,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11792,0,99%,4012,0.00,13.55,0,0,4096,49,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11808,0,100%,4011,0.01,13.56,0,0,4096,49,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11808,0,100%,4011,0.00,13.54,0,0,4096,36,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11732,0,100%,4012,0.00,13.55,0,0,4096,32,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11788,0,100%,4011,0.00,13.56,0,0,4096,29,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.66,0,0,0,11784,0,100%,4012,0.00,13.66,0,0,4096,37,13.66,0,0,0,0,0,1,0
ref-biglake,0,3:59.40,0,0,0,335460,0,99%,96064,0.13,239.26,0,0,4096,567,239.40,0,0,0,0,0,1,0
ref-biglake,0,4:01.52,0,0,0,335384,0,99%,96061,0.12,241.40,0,0,4096,530,241.52,0,0,0,0,0,1,0
ref-biglake,0,3:59.48,0,0,0,335312,0,99%,96062,0.09,239.38,0,0,4096,641,239.48,0,0,0,0,0,1,0
ref-biglake,0,4:01.28,0,0,0,335432,0,99%,96064,0.07,241.19,0,0,4096,712,241.28,0,0,0,0,0,1,0
ref-biglake,0,4:01.14,0,0,0,335408,0,99%,96063,0.11,241.01,0,0,4096,765,241.14,0,0,0,0,0,1,0
ref-biglake,0,4:00.25,0,0,0,335428,0,99%,96062,0.10,240.14,0,0,4096,630,240.25,0,0,0,0,0,1,0
ref-biglake,0,4:01.00,0,0,0,335372,0,99%,96063,0.12,240.87,0,0,4096,756,241.00,0,0,0,0,0,1,0
ref-biglake,0,4:05.11,0,0,0,335360,0,99%,96062,0.13,244.98,0,0,4096,689,245.11,0,0,0,0,0,1,0
ref-biglake,0,3:59.91,0,0,0,335360,0,99%,96062,0.09,239.81,0,0,4096,568,239.91,0,0,0,0,0,1,0
ref-biglake,0,4:00.03,0,0,0,335392,0,99%,96063,0.09,239.93,0,0,4096,599,240.03,0,0,0,0,0,1,0
ref-biglake,0,3:59.75,0,0,0,335492,0,99%,96063,0.07,239.67,0,0,4096,539,239.75,0,0,0,0,0,1,0
ref-biglake,0,3:59.57,0,0,0,335372,0,99%,96063,0.10,239.47,0,0,4096,597,239.57,0,0,0,0,0,1,0
ref-biglake,0,4:00.40,0,0,0,335464,0,99%,96063,0.14,240.25,0,0,4096,582,240.40,0,0,0,0,0,1,0
ref-biglake,0,4:04.51,0,0,0,335392,0,99%,96064,0.11,244.39,0,0,4096,574,244.51,0,0,0,0,0,1,0
ref-biglake,0,4:00.09,0,0,0,335360,0,99%,96062,0.10,239.99,0,0,4096,618,240.09,0,0,0,0,0,1,0
ref-biglake,0,3:59.64,0,0,0,335376,0,99%,96064,0.09,239.55,0,0,4096,625,239.64,0,0,0,0,0,1,0
ref-biglake,0,4:00.06,0,0,0,335460,0,99%,96063,0.10,239.95,0,0,4096,708,240.06,0,0,0,0,0,1,0
ref-biglake,0,4:04.30,0,0,0,335448,0,99%,96062,0.09,244.21,0,0,4096,550,244.30,0,0,0,0,0,1,0
ref-biglake,0,3:59.71,0,0,0,335408,0,99%,96063,0.09,239.61,0,0,4096,651,239.71,0,0,0,0,0,1,0
ref-biglake,0,3:59.29,0,0,0,335492,0,99%,96063,0.12,239.16,0,0,4096,623,239.29,0,0,0,0,0,1,0
ref-biglake,0,3:59.76,0,0,0,335400,0,99%,96061,0.11,239.64,0,0,4096,552,239.76,0,0,0,0,0,1,0
ref-biglake,0,4:02.68,0,0,0,335432,0,99%,96064,0.12,242.55,0,0,4096,549,242.68,0,0,0,0,0,1,0
ref-biglake,0,3:59.53,0,0,0,335452,0,99%,96062,0.08,239.44,0,0,4096,612,239.53,0,0,0,0,0,1,0
ref-biglake,0,3:59.83,0,0,0,335360,0,99%,96063,0.10,239.72,0,0,4096,692,239.83,0,0,0,0,0,1,0
ref-biglake,0,3:59.49,0,0,0,335492,0,99%,96063,0.09,239.39,0,0,4096,574,239.49,0,0,0,0,0,1,0
ref-biglake,0,4:03.78,0,0,0,335452,0,99%,96063,0.09,243.68,0,0,4096,559,243.78,0,0,0,0,0,1,0
ref-biglake,0,4:00.25,0,0,0,335356,0,99%,96063,0.14,240.10,0,0,4096,580,240.25,0,0,0,0,0,1,0
ref-biglake,0,3:59.70,0,0,0,335356,0,99%,96062,0.11,239.58,0,0,4096,577,239.70,0,0,0,0,0,1,0
ref-biglake,0,4:01.25,0,0,0,335396,0,99%,96064,0.09,241.15,0,0,4096,694,241.25,0,0,0,0,0,1,0
ref-biglake,0,4:04.03,0,0,0,335356,0,99%,96062,0.09,243.93,0,0,4096,722,244.03,0,0,0,0,0,1,0
ref-rivers,0,6:54.95,0,0,0,137972,0,100%,41024,0.05,414.89,0,0,4096,1209,414.95,0,0,0,0,0,1,0
ref-rivers,0,6:55.12,0,0,0,137944,0,100%,41022,0.05,415.06,0,0,4096,1074,415.12,0,0,0,0,0,1,0
ref-rivers,0,6:55.17,0,0,0,138020,0,99%,41025,0.06,415.10,0,0,4096,1150,415.17,0,0,0,0,0,1,0
ref-rivers,0,6:55.27,0,0,0,138088,0,100%,41026,0.03,415.24,0,0,4096,982,415.27,0,0,0,0,0,1,0
ref-rivers,0,6:55.58,0,0,0,137992,0,100%,41023,0.03,415.54,0,0,4096,1155,415.58,0,0,0,0,0,1,0
ref-rivers,0,6:55.28,0,0,0,138004,0,100%,41025,0.04,415.24,0,0,4096,1009,415.28,0,0,0,0,0,1,0
ref-rivers,0,6:55.74,0,0,0,138004,0,100%,41024,0.03,415.71,0,0,4096,1033,415.74,0,0,0,0,0,1,0
ref-rivers,0,6:55.34,0,0,0,138040,0,99%,41024,0.05,415.29,0,0,4096,1191,415.34,0,0,0,0,0,1,0
ref-rivers,0,6:55.17,0,0,0,137940,0,99%,41024,0.02,415.14,0,0,4096,1005,415.17,0,0,0,0,0,1,0
ref-rivers,0,6:55.87,0,0,0,137900,0,99%,41023,0.04,415.82,0,0,4096,1181,415.87,0,0,0,0,0,1,0
ref-rivers,0,6:55.83,0,0,0,138000,0,99%,41023,0.04,415.78,0,0,4096,1127,415.83,0,0,0,0,0,1,0
ref-rivers,0,6:56.05,0,0,0,137936,0,100%,41023,0.04,416.01,0,0,4096,1139,416.05,0,0,0,0,0,1,0
ref-rivers,0,6:58.82,0,0,0,137944,0,100%,41022,0.02,418.79,0,0,4096,1241,418.82,0,0,0,0,0,1,0
ref-rivers,0,6:56.21,0,0,0,137992,0,99%,41023,0.03,416.17,0,0,4096,1291,416.21,0,0,0,0,0,1,0
ref-rivers,0,6:55.03,0,0,0,138088,0,99%,41026,0.05,414.97,0,0,4096,1127,415.03,0,0,0,0,0,1,0
ref-rivers,0,6:55.14,0,0,0,138004,0,100%,41024,0.05,415.09,0,0,4096,1105,415.14,0,0,0,0,0,1,0
ref-rivers,0,6:55.54,0,0,0,138000,0,99%,41024,0.03,415.51,0,0,4096,1118,415.54,0,0,0,0,0,1,0
ref-rivers,0,6:54.97,0,0,0,138084,0,100%,41026,0.04,414.93,0,0,4096,1094,414.97,0,0,0,0,0,1,0
ref-rivers,0,6:55.64,0,0,0,138004,0,100%,41025,0.04,415.60,0,0,4096,1341,415.64,0,0,0,0,0,1,0
ref-rivers,0,6:56.57,0,0,0,138040,0,100%,41024,0.03,416.54,0,0,4096,1228,416.57,0,0,0,0,0,1,0
ref-rivers,0,6:55.07,0,0,0,138004,0,100%,41024,0.04,415.03,0,0,4096,1456,415.07,0,0,0,0,0,1,0
ref-rivers,0,6:56.02,0,0,0,137972,0,100%,41023,0.04,415.98,0,0,4096,1213,416.02,0,0,0,0,0,1,0
ref-rivers,0,6:55.83,0,0,0,137924,0,99%,41023,0.05,415.78,0,0,4096,1049,415.83,0,0,0,0,0,1,0
ref-rivers,0,6:56.88,0,0,0,138004,0,100%,41024,0.04,416.84,0,0,4096,1088,416.88,0,0,0,0,0,1,0
ref-rivers,0,7:03.30,0,0,0,137968,0,99%,41023,0.03,423.26,0,0,4096,1126,423.30,0,0,0,0,0,1,0
ref-rivers,0,6:55.01,0,0,0,137924,0,100%,41024,0.04,414.96,0,0,4096,1214,415.01,0,0,0,0,0,1,0
ref-rivers,0,6:55.33,0,0,0,138004,0,99%,41025,0.05,415.27,0,0,4096,1189,415.33,0,0,0,0,0,1,0
ref-rivers,0,6:56.38,0,0,0,138004,0,100%,41024,0.05,416.32,0,0,4096,1148,416.38,0,0,0,0,0,1,0
ref-rivers,0,6:58.48,0,0,0,138040,0,100%,41025,0.03,418.44,0,0,4096,1154,418.48,0,0,0,0,0,1,0
ref-rivers,0,6:56.02,0,0,0,137972,0,100%,41023,0.05,415.97,0,0,4096,1105,416.02,0,0,0,0,0,1,0
train-biglake,0,1:03.40,0,0,0,241608,0,99%,70981,0.08,63.31,0,0,4096,244,63.40,0,0,0,0,0,1,0
train-biglake,0,1:03.53,0,0,0,241676,0,99%,70981,0.06,63.46,0,0,4096,234,63.53,0,0,0,0,0,1,0
