cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test-lake,0,0:13.57,0,0,0,11856,0,100%,4013,0.00,13.56,0,0,4096,59,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11860,0,100%,4014,0.00,13.54,0,0,4096,26,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.65,0,0,0,11924,0,100%,4015,0.00,13.64,0,0,4096,59,13.65,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11856,0,100%,4013,0.01,13.54,0,0,4096,31,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11784,0,100%,4011,0.00,13.55,0,0,4096,59,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.59,0,0,0,11852,0,99%,4012,0.00,13.58,0,0,4096,28,13.59,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11852,0,99%,4013,0.00,13.57,0,0,4096,49,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11808,0,100%,4011,0.00,13.55,0,0,4096,37,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.59,0,0,0,11776,0,99%,4012,0.00,13.58,0,0,4096,36,13.59,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11904,0,99%,4014,0.00,13.56,0,0,4096,46,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11924,0,100%,4015,0.00,13.54,0,0,4096,36,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11796,0,100%,4013,0.00,13.56,0,0,4096,60,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11848,0,99%,4012,0.00,13.53,0,0,4096,33,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11852,0,99%,4012,0.00,13.55,0,0,4096,49,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11776,0,100%,4012,0.00,13.56,0,0,4096,45,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11852,0,99%,4013,0.00,13.54,0,0,4096,56,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.75,0,0,0,11784,0,99%,4012,0.00,13.75,0,0,4096,33,13.75,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11852,0,100%,4013,0.00,13.56,0,0,4096,50,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.67,0,0,0,11852,0,100%,4014,0.00,13.67,0,0,4096,53,13.67,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11792,0,99%,4012,0.01,13.54,0,0,4096,29,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11808,0,100%,4011,0.00,13.56,0,0,4096,49,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11908,0,100%,4014,0.00,13.53,0,0,4096,27,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11760,0,99%,4012,0.00,13.55,0,0,4096,55,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11852,0,100%,4013,0.00,13.55,0,0,4096,28,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11924,0,100%,4015,0.00,13.55,0,0,4096,57,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11784,0,100%,4012,0.00,13.56,0,0,4096,47,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11760,0,100%,4012,0.00,13.53,0,0,4096,33,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.58,0,0,0,11808,0,100%,4011,0.00,13.58,0,0,4096,53,13.58,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11844,0,100%,4013,0.00,13.55,0,0,4096,46,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11776,0,100%,4012,0.00,13.56,0,0,4096,50,13.56,0,0,0,0,0,1,0
ref-biglake,0,4:01.85,0,0,0,335376,0,99%,96062,0.08,241.75,0,0,4096,957,241.85,0,0,0,0,0,1,0
ref-biglake,0,4:01.32,0,0,0,335400,0,99%,96061,0.11,241.20,0,0,4096,885,241.32,0,0,0,0,0,1,0
ref-biglake,0,4:02.40,0,0,0,335540,0,99%,96065,0.14,242.26,0,0,4096,569,242.40,0,0,0,0,0,1,0
ref-biglake,0,4:01.95,0,0,0,335348,0,99%,96062,0.13,241.82,0,0,4096,847,241.95,0,0,0,0,0,1,0
ref-biglake,0,4:00.68,0,0,0,335360,0,99%,96063,0.09,240.58,0,0,4096,744,240.68,0,0,0,0,0,1,0
ref-biglake,0,4:01.09,0,0,0,335316,0,99%,96063,0.09,241.00,0,0,4096,824,241.09,0,0,0,0,0,1,0
ref-biglake,0,4:04.61,0,0,0,335460,0,99%,96063,0.11,244.49,0,0,4096,936,244.61,0,0,0,0,0,1,0
ref-biglake,0,4:01.19,0,0,0,335452,0,99%,96062,0.12,241.07,0,0,4096,526,241.19,0,0,0,0,0,1,0
ref-biglake,0,4:06.05,0,0,0,335408,0,99%,96064,0.09,245.95,0,0,4096,1015,246.05,0,0,0,0,0,1,0
ref-biglake,0,4:04.80,0,0,0,335452,0,99%,96062,0.08,244.71,0,0,4096,535,244.80,0,0,0,0,0,1,0
