cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test-lake,0,0:07.06,0,0,0,15524,0,99%,4985,0.00,7.05,0,0,4096,23,7.06,0,0,0,0,0,1,0
test-lake,0,0:07.05,0,0,0,15532,0,100%,4986,0.00,7.05,0,0,4096,23,7.05,0,0,0,0,0,1,0
test-lake,0,0:07.06,0,0,0,15544,0,100%,4987,0.00,7.05,0,0,4096,20,7.06,0,0,0,0,0,1,0
test-lake,0,0:07.05,0,0,0,15524,0,100%,4985,0.00,7.05,0,0,4096,19,7.05,0,0,0,0,0,1,0
test-lake,0,0:07.06,0,0,0,15504,0,99%,4984,0.00,7.06,0,0,4096,23,7.06,0,0,0,0,0,1,0
test-lake,0,0:07.06,0,0,0,15496,0,100%,4984,0.00,7.06,0,0,4096,29,7.06,0,0,0,0,0,1,0
test-lake,0,0:07.06,0,0,0,15560,0,99%,4986,0.00,7.05,0,0,4096,28,7.06,0,0,0,0,0,1,0
test-lake,0,0:07.05,0,0,0,15496,0,100%,4985,0.00,7.05,0,0,4096,24,7.05,0,0,0,0,0,1,0
test-lake,0,0:07.06,0,0,0,15556,0,100%,4985,0.00,7.06,0,0,4096,20,7.06,0,0,0,0,0,1,0
test-lake,0,0:07.06,0,0,0,15504,0,99%,4985,0.00,7.06,0,0,4096,28,7.06,0,0,0,0,0,1,0
test-lake,0,0:07.05,0,0,0,15544,0,99%,4987,0.00,7.05,0,0,4096,22,7.05,0,0,0,0,0,1,0
test-lake,0,0:07.06,0,0,0,15448,0,100%,4985,0.00,7.05,0,0,4096,24,7.06,0,0,0,0,0,1,0
test-lake,0,0:07.05,0,0,0,15504,0,100%,4985,0.00,7.04,0,0,4096,30,7.05,0,0,0,0,0,1,0
test-lake,0,0:07.05,0,0,0,15508,0,99%,4985,0.00,7.05,0,0,4096,33,7.05,0,0,0,0,0,1,0
test-lake,0,0:07.05,0,0,0,15492,0,100%,4986,0.00,7.05,0,0,4096,31,7.05,0,0,0,0,0,1,0
test-lake,0,0:07.06,0,0,0,15504,0,99%,4986,0.00,7.05,0,0,4096,27,7.06,0,0,0,0,0,1,0
test-lake,0,0:07.05,0,0,0,15572,0,99%,4986,0.01,7.04,0,0,4096,31,7.05,0,0,0,0,0,1,0
test-lake,0,0:07.06,0,0,0,15536,0,100%,4987,0.00,7.06,0,0,4096,21,7.06,0,0,0,0,0,1,0
test-lake,0,0:07.05,0,0,0,15544,0,99%,4987,0.00,7.05,0,0,4096,16,7.05,0,0,0,0,0,1,0
test-lake,0,0:07.06,0,0,0,15556,0,100%,4986,0.00,7.05,0,0,4096,21,7.06,0,0,0,0,0,1,0
test-lake,0,0:07.05,0,0,0,15504,0,100%,4985,0.00,7.05,0,0,4096,23,7.05,0,0,0,0,0,1,0
test-lake,0,0:07.05,0,0,0,15504,0,99%,4985,0.00,7.04,0,0,4096,20,7.05,0,0,0,0,0,1,0
test-lake,0,0:07.05,0,0,0,15496,0,100%,4986,0.00,7.04,0,0,4096,23,7.05,0,0,0,0,0,1,0
test-lake,0,0:07.05,0,0,0,15488,0,100%,4986,0.00,7.05,0,0,4096,17,7.05,0,0,0,0,0,1,0
test-lake,0,0:07.06,0,0,0,15532,0,100%,4985,0.00,7.05,0,0,4096,17,7.06,0,0,0,0,0,1,0
test-lake,0,0:07.10,0,0,0,15532,0,100%,4986,0.01,7.09,0,0,4096,20,7.10,0,0,0,0,0,1,0
test-lake,0,0:07.05,0,0,0,15576,0,100%,4987,0.00,7.04,0,0,4096,21,7.05,0,0,0,0,0,1,0
test-lake,0,0:07.06,0,0,0,15524,0,100%,4986,0.00,7.06,0,0,4096,22,7.06,0,0,0,0,0,1,0
test-lake,0,0:07.06,0,0,0,15524,0,100%,4987,0.00,7.06,0,0,4096,17,7.06,0,0,0,0,0,1,0
test-lake,0,0:07.06,0,0,0,15532,0,100%,4986,0.00,7.05,0,0,4096,17,7.06,0,0,0,0,0,1,0
ref-biglake,0,1:54.62,0,0,0,339140,0,99%,97034,0.11,114.50,0,0,4096,350,114.62,0,0,0,0,0,1,0
ref-biglake,0,1:54.50,0,0,0,339140,0,99%,97034,0.13,114.36,0,0,4096,390,114.50,0,0,0,0,0,1,0
ref-biglake,0,1:56.15,0,0,0,339196,0,99%,97035,0.12,116.02,0,0,4096,393,116.15,0,0,0,0,0,1,0
ref-biglake,0,1:54.87,0,0,0,339284,0,99%,97037,0.08,114.78,0,0,4096,410,114.87,0,0,0,0,0,1,0
ref-biglake,0,1:55.62,0,0,0,339220,0,99%,97035,0.06,115.55,0,0,4096,368,115.62,0,0,0,0,0,1,0
ref-biglake,0,1:55.16,0,0,0,339244,0,99%,97037,0.10,115.05,0,0,4096,410,115.16,0,0,0,0,0,1,0
ref-biglake,0,1:53.97,0,0,0,339268,0,99%,97035,0.06,113.90,0,0,4096,299,113.97,0,0,0,0,0,1,0
ref-biglake,0,1:54.73,0,0,0,339208,0,99%,97036,0.12,114.60,0,0,4096,386,114.73,0,0,0,0,0,1,0
ref-biglake,0,1:55.68,0,0,0,339248,0,99%,97038,0.09,115.59,0,0,4096,408,115.68,0,0,0,0,0,1,0
ref-biglake,0,1:54.38,0,0,0,339200,0,99%,97036,0.10,114.26,0,0,4096,426,114.38,0,0,0,0,0,1,0
ref-biglake,0,1:57.29,0,0,0,339200,0,99%,97036,0.11,117.17,0,0,4096,441,117.29,0,0,0,0,0,1,0
ref-biglake,0,1:54.01,0,0,0,339256,0,99%,97036,0.10,113.90,0,0,4096,364,114.01,0,0,0,0,0,1,0
ref-biglake,0,1:56.36,0,0,0,339256,0,99%,97036,0.12,116.23,0,0,4096,335,116.36,0,0,0,0,0,1,0
ref-biglake,0,1:58.14,0,0,0,339228,0,99%,97037,0.11,118.02,0,0,4096,474,118.14,0,0,0,0,0,1,0
ref-biglake,0,1:54.41,0,0,0,339244,0,99%,97037,0.08,114.32,0,0,4096,486,114.41,0,0,0,0,0,1,0
ref-biglake,0,1:56.21,0,0,0,339244,0,99%,97037,0.10,116.10,0,0,4096,251,116.21,0,0,0,0,0,1,0
ref-biglake,0,1:55.18,0,0,0,339280,0,99%,97037,0.11,115.06,0,0,4096,422,115.18,0,0,0,0,0,1,0
ref-biglake,0,1:57.45,0,0,0,339228,0,99%,97036,0.09,117.35,0,0,4096,370,117.45,0,0,0,0,0,1,0
ref-biglake,0,1:54.51,0,0,0,339248,0,99%,97038,0.10,114.41,0,0,4096,337,114.51,0,0,0,0,0,1,0
ref-biglake,0,1:59.45,0,0,0,339240,0,99%,97036,0.09,119.34,0,0,4096,404,119.45,0,0,0,0,0,1,0
ref-biglake,0,1:54.23,0,0,0,339100,0,99%,97037,0.13,114.09,0,0,4096,420,114.23,0,0,0,0,0,1,0
ref-biglake,0,1:56.38,0,0,0,339200,0,99%,97036,0.08,116.29,0,0,4096,343,116.38,0,0,0,0,0,1,0
ref-biglake,0,1:55.59,0,0,0,339220,0,99%,97035,0.12,115.46,0,0,4096,470,115.59,0,0,0,0,0,1,0
ref-biglake,0,1:54.03,0,0,0,339248,0,99%,97037,0.11,113.91,0,0,4096,309,114.03,0,0,0,0,0,1,0
ref-biglake,0,1:54.37,0,0,0,339252,0,99%,97036,0.11,114.26,0,0,4096,393,114.37,0,0,0,0,0,1,0
ref-biglake,0,1:54.04,0,0,0,339248,0,99%,97038,0.08,113.95,0,0,4096,257,114.04,0,0,0,0,0,1,0
ref-biglake,0,1:54.27,0,0,0,339228,0,99%,97037,0.09,114.17,0,0,4096,445,114.27,0,0,0,0,0,1,0
ref-biglake,0,1:54.53,0,0,0,339092,0,99%,97035,0.09,114.43,0,0,4096,410,114.53,0,0,0,0,0,1,0
ref-biglake,0,1:54.98,0,0,0,339140,0,99%,97034,0.08,114.89,0,0,4096,421,114.98,0,0,0,0,0,1,0
ref-biglake,0,1:54.12,0,0,0,339176,0,99%,97035,0.12,113.99,0,0,4096,275,114.12,0,0,0,0,0,1,0
ref-rivers,0,3:18.12,0,0,0,141712,0,99%,41996,0.06,198.05,0,0,4096,755,198.12,0,0,0,0,0,1,0
ref-rivers,0,3:18.56,0,0,0,141736,0,99%,41998,0.04,198.51,0,0,4096,715,198.56,0,0,0,0,0,1,0
ref-rivers,0,3:18.27,0,0,0,141660,0,99%,41996,0.04,198.22,0,0,4096,786,198.27,0,0,0,0,0,1,0
ref-rivers,0,3:18.27,0,0,0,141712,0,99%,41998,0.03,198.23,0,0,4096,673,198.27,0,0,0,0,0,1,0
ref-rivers,0,3:18.07,0,0,0,141596,0,99%,41995,0.04,198.02,0,0,4096,778,198.07,0,0,0,0,0,1,0
ref-rivers,0,3:18.44,0,0,0,141752,0,99%,41998,0.04,198.39,0,0,4096,599,198.44,0,0,0,0,0,1,0
ref-rivers,0,3:20.29,0,0,0,141644,0,99%,41997,0.04,200.25,0,0,4096,741,200.29,0,0,0,0,0,1,0
ref-rivers,0,3:18.22,0,0,0,141684,0,100%,41996,0.02,198.20,0,0,4096,628,198.22,0,0,0,0,0,1,0
ref-rivers,0,3:18.76,0,0,0,141728,0,99%,41997,0.05,198.70,0,0,4096,573,198.76,0,0,0,0,0,1,0
ref-rivers,0,3:18.11,0,0,0,141612,0,99%,41996,0.06,198.04,0,0,4096,667,198.11,0,0,0,0,0,1,0
ref-rivers,0,3:18.39,0,0,0,141736,0,99%,41998,0.03,198.36,0,0,4096,752,198.39,0,0,0,0,0,1,0
ref-rivers,0,3:18.11,0,0,0,141696,0,99%,41998,0.03,198.07,0,0,4096,640,198.11,0,0,0,0,0,1,0
ref-rivers,0,3:20.33,0,0,0,141688,0,99%,41998,0.04,200.29,0,0,4096,777,200.33,0,0,0,0,0,1,0
ref-rivers,0,3:18.04,0,0,0,141736,0,99%,41998,0.04,198.00,0,0,4096,572,198.04,0,0,0,0,0,1,0
ref-rivers,0,3:18.07,0,0,0,141644,0,99%,41996,0.04,198.02,0,0,4096,524,198.07,0,0,0,0,0,1,0
ref-rivers,0,3:18.54,0,0,0,141700,0,99%,41997,0.04,198.49,0,0,4096,721,198.54,0,0,0,0,0,1,0
ref-rivers,0,3:18.26,0,0,0,141648,0,99%,41997,0.03,198.21,0,0,4096,761,198.26,0,0,0,0,0,1,0
ref-rivers,0,3:18.23,0,0,0,141612,0,99%,41996,0.03,198.19,0,0,4096,742,198.23,0,0,0,0,0,1,0
ref-rivers,0,3:18.10,0,0,0,141684,0,99%,41996,0.03,198.05,0,0,4096,590,198.10,0,0,0,0,0,1,0
ref-rivers,0,3:18.92,0,0,0,141712,0,99%,41997,0.05,198.87,0,0,4096,755,198.92,0,0,0,0,0,1,0
ref-rivers,0,3:18.49,0,0,0,141684,0,99%,41996,0.04,198.45,0,0,4096,649,198.49,0,0,0,0,0,1,0
ref-rivers,0,3:18.22,0,0,0,141688,0,99%,41996,0.04,198.18,0,0,4096,548,198.22,0,0,0,0,0,1,0
ref-rivers,0,3:18.21,0,0,0,141712,0,99%,41996,0.04,198.16,0,0,4096,558,198.21,0,0,0,0,0,1,0
ref-rivers,0,3:17.92,0,0,0,141716,0,99%,41997,0.04,197.87,0,0,4096,630,197.92,0,0,0,0,0,1,0
ref-rivers,0,3:18.04,0,0,0,141652,0,99%,41995,0.05,197.98,0,0,4096,467,198.04,0,0,0,0,0,1,0
ref-rivers,0,3:20.66,0,0,0,141716,0,99%,41998,0.04,200.61,0,0,4096,603,200.66,0,0,0,0,0,1,0
ref-rivers,0,3:18.29,0,0,0,141632,0,99%,41997,0.05,198.24,0,0,4096,639,198.29,0,0,0,0,0,1,0
