cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test-lake,0,0:06.02,0,0,0,11596,0,100%,4009,0.00,6.02,0,0,4096,16,6.02,0,0,0,0,0,1,0
test-lake,0,0:06.03,0,0,0,11592,0,99%,4008,0.00,6.03,0,0,4096,18,6.03,0,0,0,0,0,1,0
test-lake,0,0:06.03,0,0,0,11628,0,100%,4009,0.00,6.03,0,0,4096,22,6.03,0,0,0,0,0,1,0
test-lake,0,0:06.03,0,0,0,11544,0,100%,4009,0.00,6.02,0,0,4096,19,6.03,0,0,0,0,0,1,0
test-lake,0,0:06.03,0,0,0,11544,0,99%,4009,0.00,6.02,0,0,4096,23,6.03,0,0,0,0,0,1,0
test-lake,0,0:06.03,0,0,0,11612,0,100%,4010,0.00,6.02,0,0,4096,24,6.03,0,0,0,0,0,1,0
test-lake,0,0:06.06,0,0,0,11668,0,99%,4010,0.00,6.05,0,0,4096,20,6.06,0,0,0,0,0,1,0
test-lake,0,0:06.02,0,0,0,11652,0,99%,4009,0.00,6.01,0,0,4096,15,6.02,0,0,0,0,0,1,0
test-lake,0,0:06.02,0,0,0,11596,0,99%,4008,0.01,6.01,0,0,4096,18,6.02,0,0,0,0,0,1,0
test-lake,0,0:06.03,0,0,0,11600,0,100%,4009,0.00,6.03,0,0,4096,25,6.03,0,0,0,0,0,1,0
test-lake,0,0:06.04,0,0,0,11600,0,100%,4009,0.00,6.04,0,0,4096,17,6.04,0,0,0,0,0,1,0
test-lake,0,0:06.02,0,0,0,11616,0,99%,4009,0.00,6.01,0,0,4096,15,6.02,0,0,0,0,0,1,0
test-lake,0,0:06.03,0,0,0,11600,0,99%,4009,0.00,6.02,0,0,4096,21,6.03,0,0,0,0,0,1,0
test-lake,0,0:06.02,0,0,0,11624,0,99%,4009,0.00,6.02,0,0,4096,26,6.02,0,0,0,0,0,1,0
test-lake,0,0:06.07,0,0,0,11600,0,100%,4009,0.00,6.07,0,0,4096,18,6.07,0,0,0,0,0,1,0
test-lake,0,0:06.03,0,0,0,11616,0,99%,4009,0.01,6.01,0,0,4096,19,6.03,0,0,0,0,0,1,0
test-lake,0,0:06.02,0,0,0,11628,0,99%,4009,0.01,6.01,0,0,4096,19,6.02,0,0,0,0,0,1,0
test-lake,0,0:06.03,0,0,0,11628,0,99%,4010,0.01,6.02,0,0,4096,18,6.03,0,0,0,0,0,1,0
test-lake,0,0:06.02,0,0,0,11616,0,100%,4009,0.00,6.02,0,0,4096,14,6.02,0,0,0,0,0,1,0
test-lake,0,0:06.02,0,0,0,11596,0,100%,4009,0.00,6.02,0,0,4096,25,6.02,0,0,0,0,0,1,0
test-lake,0,0:06.02,0,0,0,11592,0,99%,4008,0.00,6.01,0,0,4096,26,6.02,0,0,0,0,0,1,0
test-lake,0,0:06.03,0,0,0,11628,0,99%,4009,0.00,6.02,0,0,4096,17,6.03,0,0,0,0,0,1,0
test-lake,0,0:06.02,0,0,0,11668,0,99%,4011,0.00,6.02,0,0,4096,17,6.02,0,0,0,0,0,1,0
test-lake,0,0:06.03,0,0,0,11668,0,99%,4010,0.01,6.02,0,0,4096,16,6.03,0,0,0,0,0,1,0
test-lake,0,0:06.02,0,0,0,11592,0,99%,4008,0.00,6.01,0,0,4096,15,6.02,0,0,0,0,0,1,0
test-lake,0,0:06.04,0,0,0,11668,0,99%,4010,0.00,6.04,0,0,4096,22,6.04,0,0,0,0,0,1,0
test-lake,0,0:06.03,0,0,0,11652,0,100%,4010,0.00,6.02,0,0,4096,15,6.03,0,0,0,0,0,1,0
test-lake,0,0:06.02,0,0,0,11592,0,100%,4008,0.00,6.02,0,0,4096,17,6.02,0,0,0,0,0,1,0
test-lake,0,0:06.03,0,0,0,11544,0,100%,4009,0.00,6.03,0,0,4096,23,6.03,0,0,0,0,0,1,0
test-lake,0,0:06.03,0,0,0,11700,0,100%,4011,0.00,6.02,0,0,4096,16,6.03,0,0,0,0,0,1,0
ref-biglake,0,1:55.06,0,0,0,335260,0,99%,96060,0.11,114.94,0,0,4096,279,115.06,0,0,0,0,0,1,0
ref-biglake,0,1:55.57,0,0,0,335232,0,99%,96059,0.08,115.48,0,0,4096,331,115.57,0,0,0,0,0,1,0
ref-biglake,0,1:56.09,0,0,0,335196,0,99%,96059,0.09,115.99,0,0,4096,357,116.09,0,0,0,0,0,1,0
ref-biglake,0,1:53.85,0,0,0,335200,0,99%,96058,0.08,113.76,0,0,4096,317,113.85,0,0,0,0,0,1,0
ref-biglake,0,1:55.33,0,0,0,335220,0,99%,96060,0.07,115.25,0,0,4096,345,115.33,0,0,0,0,0,1,0
ref-biglake,0,1:54.11,0,0,0,335116,0,99%,96059,0.09,114.01,0,0,4096,391,114.11,0,0,0,0,0,1,0
ref-biglake,0,1:54.10,0,0,0,335248,0,99%,96059,0.11,113.98,0,0,4096,332,114.10,0,0,0,0,0,1,0
ref-biglake,0,1:54.88,0,0,0,335220,0,99%,96060,0.11,114.76,0,0,4096,313,114.88,0,0,0,0,0,1,0
ref-biglake,0,1:53.85,0,0,0,335204,0,99%,96059,0.10,113.74,0,0,4096,366,113.85,0,0,0,0,0,1,0
ref-biglake,0,1:54.40,0,0,0,335232,0,99%,96060,0.11,114.28,0,0,4096,305,114.40,0,0,0,0,0,1,0
ref-biglake,0,1:53.87,0,0,0,335168,0,99%,96061,0.10,113.76,0,0,4096,283,113.87,0,0,0,0,0,1,0
