cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test-lake,0,7:04.65,0,0,0,15504,0,100%,4986,0.00,424.64,0,0,4096,1143,424.65,0,0,0,0,0,1,0
test-lake,0,7:05.42,0,0,0,15540,0,100%,4986,0.00,425.42,0,0,4096,1157,425.42,0,0,0,0,0,1,0
test-lake,0,7:05.91,0,0,0,15508,0,100%,4985,0.00,425.91,0,0,4096,1667,425.91,0,0,0,0,0,1,0
test-lake,0,7:04.60,0,0,0,15532,0,100%,4986,0.00,424.59,0,0,4096,1176,424.60,0,0,0,0,0,1,0
test-lake,0,7:06.15,0,0,0,15504,0,100%,4985,0.00,426.15,0,0,4096,1579,426.15,0,0,0,0,0,1,0
test-lake,0,7:04.95,0,0,0,15496,0,100%,4984,0.00,424.95,0,0,4096,974,424.95,0,0,0,0,0,1,0
test-lake,0,7:06.02,0,0,0,15432,0,100%,4985,0.00,426.01,0,0,4096,1646,426.02,0,0,0,0,0,1,0
test-lake,0,7:04.87,0,0,0,15532,0,100%,4985,0.00,424.87,0,0,4096,1088,424.87,0,0,0,0,0,1,0
test-lake,0,7:05.86,0,0,0,15532,0,99%,4985,0.01,425.85,0,0,4096,1264,425.86,0,0,0,0,0,1,0
test-lake,0,7:05.41,0,0,0,15520,0,100%,4985,0.00,425.41,0,0,4096,1176,425.41,0,0,0,0,0,1,0
test-lake,0,7:04.99,0,0,0,15608,0,100%,4987,0.00,424.98,0,0,4096,1052,424.99,0,0,0,0,0,1,0
test-lake,0,7:06.11,0,0,0,15520,0,99%,4985,0.00,426.10,0,0,4096,1531,426.11,0,0,0,0,0,1,0
test-lake,0,7:04.74,0,0,0,15572,0,100%,4986,0.00,424.74,0,0,4096,1144,424.74,0,0,0,0,0,1,0
test-lake,0,7:05.70,0,0,0,15504,0,100%,4984,0.00,425.70,0,0,4096,1577,425.70,0,0,0,0,0,1,0
test-lake,0,7:05.78,0,0,0,15556,0,100%,4985,0.00,425.78,0,0,4096,1715,425.78,0,0,0,0,0,1,0
test-lake,0,7:06.76,0,0,0,15604,0,100%,4988,0.00,426.76,0,0,4096,1665,426.76,0,0,0,0,0,1,0
test-lake,0,7:06.04,0,0,0,15608,0,100%,4988,0.00,426.04,0,0,4096,1696,426.04,0,0,0,0,0,1,0
test-lake,0,7:04.89,0,0,0,15504,0,100%,4986,0.00,424.89,0,0,4096,1004,424.89,0,0,0,0,0,1,0
test-lake,0,7:05.96,0,0,0,15572,0,99%,4986,0.00,425.95,0,0,4096,1661,425.96,0,0,0,0,0,1,0
test-lake,0,7:05.59,0,0,0,15556,0,100%,4986,0.00,425.59,0,0,4096,987,425.59,0,0,0,0,0,1,0
test-lake,0,7:06.08,0,0,0,15540,0,99%,4986,0.00,426.07,0,0,4096,1690,426.08,0,0,0,0,0,1,0
test-lake,0,7:05.83,0,0,0,15536,0,99%,4987,0.01,425.82,0,0,4096,1086,425.83,0,0,0,0,0,1,0
test-lake,0,7:04.96,0,0,0,15532,0,100%,4985,0.01,424.95,0,0,4096,1214,424.96,0,0,0,0,0,1,0
test-lake,0,7:05.84,0,0,0,15572,0,99%,4987,0.00,425.83,0,0,4096,1521,425.84,0,0,0,0,0,1,0
test-lake,0,7:04.83,0,0,0,15556,0,100%,4985,0.00,424.83,0,0,4096,1001,424.83,0,0,0,0,0,1,0
test-lake,0,7:06.15,0,0,0,15532,0,99%,4985,0.00,426.15,0,0,4096,1493,426.15,0,0,0,0,0,1,0
test-lake,0,7:05.74,0,0,0,15556,0,99%,4985,0.00,425.74,0,0,4096,1197,425.74,0,0,0,0,0,1,0
test-lake,0,7:05.66,0,0,0,15608,0,100%,4987,0.00,425.66,0,0,4096,1201,425.66,0,0,0,0,0,1,0
test-lake,0,7:05.79,0,0,0,15572,0,100%,4987,0.00,425.78,0,0,4096,1640,425.79,0,0,0,0,0,1,0
test-lake,0,7:05.04,0,0,0,15504,0,100%,4984,0.00,425.04,0,0,4096,1147,425.04,0,0,0,0,0,1,0
ref-rivers,0,3:12.94,0,0,0,141736,0,100%,41997,0.05,192.89,0,0,4096,616,192.94,0,0,0,0,0,1,0
ref-rivers,0,3:12.44,0,0,0,141692,0,100%,41996,0.04,192.39,0,0,4096,497,192.44,0,0,0,0,0,1,0
ref-rivers,0,3:12.60,0,0,0,141688,0,100%,41996,0.04,192.55,0,0,4096,531,192.60,0,0,0,0,0,1,0
ref-rivers,0,3:12.90,0,0,0,141684,0,99%,41996,0.03,192.86,0,0,4096,671,192.90,0,0,0,0,0,1,0
ref-rivers,0,3:12.90,0,0,0,141708,0,99%,41997,0.04,192.85,0,0,4096,735,192.90,0,0,0,0,0,1,0
ref-rivers,0,3:13.08,0,0,0,141720,0,100%,41997,0.04,193.03,0,0,4096,486,193.08,0,0,0,0,0,1,0
ref-rivers,0,3:12.91,0,0,0,141708,0,99%,41997,0.06,192.85,0,0,4096,661,192.91,0,0,0,0,0,1,0
ref-rivers,0,3:13.23,0,0,0,141684,0,99%,41996,0.04,193.18,0,0,4096,460,193.23,0,0,0,0,0,1,0
ref-rivers,0,3:13.00,0,0,0,141712,0,99%,41996,0.05,192.95,0,0,4096,702,193.00,0,0,0,0,0,1,0
ref-rivers,0,3:13.63,0,0,0,141596,0,99%,41996,0.04,193.58,0,0,4096,642,193.63,0,0,0,0,0,1,0
ref-rivers,0,3:12.33,0,0,0,141696,0,99%,41997,0.03,192.29,0,0,4096,574,192.33,0,0,0,0,0,1,0
ref-rivers,0,3:12.59,0,0,0,141684,0,99%,41996,0.04,192.54,0,0,4096,654,192.59,0,0,0,0,0,1,0
ref-rivers,0,3:13.14,0,0,0,141648,0,99%,41994,0.02,193.11,0,0,4096,623,193.14,0,0,0,0,0,1,0
ref-rivers,0,3:12.89,0,0,0,141648,0,100%,41995,0.02,192.87,0,0,4096,416,192.89,0,0,0,0,0,1,0
ref-rivers,0,3:13.85,0,0,0,141708,0,99%,41997,0.03,193.81,0,0,4096,811,193.85,0,0,0,0,0,1,0
