cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test-lake,0,5:13.91,0,0,0,12056,0,100%,4108,0.00,313.91,0,0,4096,644,313.91,0,0,0,0,0,1,0
test-lake,0,5:15.72,0,0,0,12092,0,100%,4108,0.00,315.73,0,0,4096,639,315.72,0,0,0,0,0,1,0
test-lake,0,5:16.30,0,0,0,12016,0,100%,4107,0.00,316.29,0,0,4096,607,316.30,0,0,0,0,0,1,0
test-lake,0,5:14.05,0,0,0,11988,0,100%,4106,0.00,314.05,0,0,4096,630,314.05,0,0,0,0,0,1,0
test-lake,0,5:15.18,0,0,0,11932,0,100%,4106,0.00,315.18,0,0,4096,653,315.18,0,0,0,0,0,1,0
test-lake,0,5:11.15,0,0,0,11932,0,99%,4107,0.00,311.14,0,0,4096,1109,311.15,0,0,0,0,0,1,0
test-lake,0,5:14.92,0,0,0,12016,0,100%,4106,0.00,314.92,0,0,4096,655,314.92,0,0,0,0,0,1,0
test-lake,0,5:12.43,0,0,0,12040,0,100%,4107,0.00,312.43,0,0,4096,654,312.43,0,0,0,0,0,1,0
test-lake,0,5:14.39,0,0,0,11984,0,100%,4106,0.00,314.39,0,0,4096,652,314.39,0,0,0,0,0,1,0
test-lake,0,5:14.98,0,0,0,11980,0,100%,4105,0.00,314.98,0,0,4096,794,314.98,0,0,0,0,0,1,0
test-lake,0,5:14.01,0,0,0,12004,0,99%,4106,0.00,314.00,0,0,4096,1359,314.01,0,0,0,0,0,1,0
test-lake,0,5:13.52,0,0,0,12036,0,100%,4107,0.00,313.51,0,0,4096,638,313.52,0,0,0,0,0,1,0
test-lake,0,5:13.83,0,0,0,12004,0,100%,4106,0.00,313.83,0,0,4096,675,313.83,0,0,0,0,0,1,0
test-lake,0,5:14.11,0,0,0,11984,0,99%,4106,0.00,314.11,0,0,4096,1248,314.11,0,0,0,0,0,1,0
test-lake,0,5:14.37,0,0,0,12056,0,100%,4107,0.00,314.37,0,0,4096,635,314.37,0,0,0,0,0,1,0
test-lake,0,5:14.15,0,0,0,11988,0,99%,4105,0.00,314.15,0,0,4096,1158,314.15,0,0,0,0,0,1,0
test-lake,0,5:13.55,0,0,0,12004,0,100%,4106,0.00,313.55,0,0,4096,644,313.55,0,0,0,0,0,1,0
test-lake,0,5:13.84,0,0,0,11988,0,100%,4105,0.00,313.83,0,0,4096,629,313.84,0,0,0,0,0,1,0
test-lake,0,5:13.74,0,0,0,12056,0,100%,4107,0.00,313.74,0,0,4096,654,313.74,0,0,0,0,0,1,0
test-lake,0,5:16.73,0,0,0,12004,0,99%,4106,0.00,316.73,0,0,4096,1169,316.73,0,0,0,0,0,1,0
test-lake,0,5:15.62,0,0,0,12012,0,100%,4106,0.00,315.62,0,0,4096,636,315.62,0,0,0,0,0,1,0
test-lake,0,5:15.48,0,0,0,12040,0,99%,4107,0.01,315.46,0,0,4096,1040,315.48,0,0,0,0,0,1,0
test-lake,0,5:14.97,0,0,0,11932,0,100%,4106,0.00,314.97,0,0,4096,755,314.97,0,0,0,0,0,1,0
test-lake,0,5:15.46,0,0,0,12016,0,99%,4106,0.00,315.45,0,0,4096,1255,315.46,0,0,0,0,0,1,0
test-lake,0,5:14.74,0,0,0,12092,0,100%,4108,0.00,314.73,0,0,4096,825,314.74,0,0,0,0,0,1,0
test-lake,0,5:16.34,0,0,0,12040,0,100%,4107,0.00,316.34,0,0,4096,1053,316.34,0,0,0,0,0,1,0
test-lake,0,5:15.75,0,0,0,11980,0,100%,4105,0.00,315.74,0,0,4096,821,315.75,0,0,0,0,0,1,0
test-lake,0,5:15.29,0,0,0,12040,0,100%,4106,0.00,315.29,0,0,4096,1006,315.29,0,0,0,0,0,1,0
test-lake,0,5:14.91,0,0,0,12016,0,100%,4107,0.00,314.91,0,0,4096,716,314.91,0,0,0,0,0,1,0
test-lake,0,5:14.33,0,0,0,12052,0,99%,4108,0.00,314.33,0,0,4096,1023,314.33,0,0,0,0,0,1,0
ref-biglake,0,12:30.94,0,0,0,335796,0,99%,96157,0.10,750.83,0,0,4096,2546,750.94,0,0,0,0,0,1,0
ref-biglake,0,12:30.18,0,0,0,335756,0,99%,96157,0.11,750.06,0,0,4096,1889,750.18,0,0,0,0,0,1,0
ref-biglake,0,12:30.27,0,0,0,335716,0,99%,96156,0.10,750.16,0,0,4096,2701,750.27,0,0,0,0,0,1,0
ref-biglake,0,12:25.42,0,0,0,335784,0,99%,96156,0.10,745.31,0,0,4096,2173,745.42,0,0,0,0,0,1,0
ref-biglake,0,12:24.97,0,0,0,335816,0,99%,96157,0.09,744.87,0,0,4096,1854,744.97,0,0,0,0,0,1,0
ref-biglake,0,12:31.17,0,0,0,335800,0,99%,96158,0.11,751.05,0,0,4096,1909,751.17,0,0,0,0,0,1,0
ref-biglake,0,12:26.30,0,0,0,335816,0,99%,96156,0.10,746.19,0,0,4096,1985,746.30,0,0,0,0,0,1,0
ref-biglake,0,12:27.46,0,0,0,335816,0,99%,96157,0.09,747.36,0,0,4096,1980,747.46,0,0,0,0,0,1,0
ref-biglake,0,12:25.93,0,0,0,335776,0,99%,96157,0.09,745.83,0,0,4096,1768,745.93,0,0,0,0,0,1,0
ref-biglake,0,12:30.84,0,0,0,335784,0,99%,96157,0.10,750.73,0,0,4096,2053,750.84,0,0,0,0,0,1,0
ref-biglake,0,12:31.62,0,0,0,335804,0,99%,96157,0.08,751.52,0,0,4096,2633,751.62,0,0,0,0,0,1,0
ref-biglake,0,12:28.26,0,0,0,335840,0,99%,96157,0.10,748.15,0,0,4096,2002,748.26,0,0,0,0,0,1,0
ref-biglake,0,12:27.69,0,0,0,335764,0,99%,96156,0.10,747.58,0,0,4096,2164,747.69,0,0,0,0,0,1,0
ref-biglake,0,12:31.29,0,0,0,335788,0,99%,96158,0.09,751.19,0,0,4096,2057,751.29,0,0,0,0,0,1,0
ref-biglake,0,12:31.61,0,0,0,335764,0,99%,96156,0.10,751.50,0,0,4096,2118,751.61,0,0,0,0,0,1,0
ref-biglake,0,12:30.04,0,0,0,335808,0,99%,96158,0.08,749.96,0,0,4096,2069,750.04,0,0,0,0,0,1,0
ref-biglake,0,12:31.87,0,0,0,335788,0,99%,96157,0.09,751.77,0,0,4096,2028,751.87,0,0,0,0,0,1,0
ref-biglake,0,12:27.07,0,0,0,335632,0,99%,96156,0.10,746.95,0,0,4096,2229,747.07,0,0,0,0,0,1,0
ref-biglake,0,12:31.02,0,0,0,335788,0,99%,96157,0.12,750.89,0,0,4096,2106,751.02,0,0,0,0,0,1,0
ref-biglake,0,12:28.67,0,0,0,335784,0,99%,96156,0.09,748.57,0,0,4096,2183,748.67,0,0,0,0,0,1,0
ref-biglake,0,12:29.47,0,0,0,335788,0,99%,96157,0.11,749.35,0,0,4096,2269,749.47,0,0,0,0,0,1,0
ref-biglake,0,12:26.39,0,0,0,335812,0,99%,96157,0.07,746.30,0,0,4096,2175,746.39,0,0,0,0,0,1,0
ref-biglake,0,12:26.47,0,0,0,335804,0,99%,96157,0.10,746.35,0,0,4096,2418,746.47,0,0,0,0,0,1,0
ref-biglake,0,12:26.96,0,0,0,335828,0,99%,96156,0.10,746.85,0,0,4096,2080,746.96,0,0,0,0,0,1,0
ref-biglake,0,12:24.98,0,0,0,335788,0,99%,96158,0.11,744.86,0,0,4096,1854,744.98,0,0,0,0,0,1,0
ref-biglake,0,12:31.22,0,0,0,335816,0,99%,96157,0.10,751.11,0,0,4096,2031,751.22,0,0,0,0,0,1,0
ref-biglake,0,12:25.63,0,0,0,335784,0,99%,96156,0.11,745.50,0,0,4096,2229,745.63,0,0,0,0,0,1,0
ref-biglake,0,12:31.60,0,0,0,335828,0,99%,96156,0.09,751.49,0,0,4096,2179,751.60,0,0,0,0,0,1,0
ref-biglake,0,12:21.91,0,0,0,335656,0,99%,96156,0.11,741.80,0,0,4096,1905,741.91,0,0,0,0,0,1,0
ref-biglake,0,12:27.58,0,0,0,335728,0,99%,96156,0.08,747.49,0,0,4096,2370,747.58,0,0,0,0,0,1,0
ref-rivers,0,15:53.93,0,0,0,138104,0,99%,41117,0.03,953.89,0,0,4096,3002,953.93,0,0,0,0,0,1,0
ref-rivers,0,16:07.60,0,0,0,138136,0,100%,41116,0.03,967.56,0,0,4096,2690,967.60,0,0,0,0,0,1,0
ref-rivers,0,16:08.53,0,0,0,138176,0,99%,41118,0.06,968.46,0,0,4096,2874,968.53,0,0,0,0,0,1,0
ref-rivers,0,16:03.39,0,0,0,138136,0,100%,41116,0.05,963.34,0,0,4096,2668,963.39,0,0,0,0,0,1,0
ref-rivers,0,16:01.53,0,0,0,138168,0,99%,41117,0.04,961.49,0,0,4096,2749,961.53,0,0,0,0,0,1,0
ref-rivers,0,16:10.26,0,0,0,138168,0,99%,41117,0.03,970.22,0,0,4096,3431,970.26,0,0,0,0,0,1,0
ref-rivers,0,16:07.68,0,0,0,138220,0,100%,41118,0.03,967.65,0,0,4096,2342,967.68,0,0,0,0,0,1,0
ref-rivers,0,16:07.77,0,0,0,138212,0,100%,41119,0.04,967.72,0,0,4096,2648,967.77,0,0,0,0,0,1,0
ref-rivers,0,16:06.91,0,0,0,138232,0,99%,41118,0.03,966.87,0,0,4096,3278,966.91,0,0,0,0,0,1,0
ref-rivers,0,16:08.80,0,0,0,138180,0,99%,41117,0.05,968.75,0,0,4096,2981,968.80,0,0,0,0,0,1,0
ref-rivers,0,16:04.40,0,0,0,138168,0,99%,41117,0.04,964.35,0,0,4096,3268,964.40,0,0,0,0,0,1,0
ref-rivers,0,16:09.27,0,0,0,138196,0,99%,41117,0.03,969.23,0,0,4096,3271,969.27,0,0,0,0,0,1,0
ref-rivers,0,16:07.41,0,0,0,138168,0,99%,41117,0.03,967.37,0,0,4096,3549,967.41,0,0,0,0,0,1,0
ref-rivers,0,16:01.82,0,0,0,138220,0,100%,41119,0.03,961.79,0,0,4096,3121,961.82,0,0,0,0,0,1,0
ref-rivers,0,16:02.73,0,0,0,138136,0,99%,41116,0.03,962.69,0,0,4096,3248,962.73,0,0,0,0,0,1,0
ref-rivers,0,16:05.94,0,0,0,138220,0,99%,41119,0.05,965.88,0,0,4096,3161,965.94,0,0,0,0,0,1,0
ref-rivers,0,16:08.02,0,0,0,138172,0,100%,41117,0.04,967.97,0,0,4096,2540,968.02,0,0,0,0,0,1,0
ref-rivers,0,15:56.26,0,0,0,138200,0,99%,41118,0.05,956.21,0,0,4096,2899,956.26,0,0,0,0,0,1,0
ref-rivers,0,16:09.09,0,0,0,138208,0,99%,41118,0.03,969.05,0,0,4096,3280,969.09,0,0,0,0,0,1,0
ref-rivers,0,16:00.47,0,0,0,138220,0,99%,41118,0.04,960.42,0,0,4096,2770,960.47,0,0,0,0,0,1,0
ref-rivers,0,16:06.79,0,0,0,138112,0,100%,41116,0.04,966.75,0,0,4096,2246,966.79,0,0,0,0,0,1,0
ref-rivers,0,15:59.81,0,0,0,138112,0,100%,41117,0.03,959.78,0,0,4096,2607,959.81,0,0,0,0,0,1,0
ref-rivers,0,16:11.91,0,0,0,138196,0,99%,41117,0.03,971.88,0,0,4096,3387,971.91,0,0,0,0,0,1,0
ref-rivers,0,16:00.59,0,0,0,138168,0,99%,41117,0.03,960.55,0,0,4096,2855,960.59,0,0,0,0,0,1,0
ref-rivers,0,16:03.20,0,0,0,138220,0,100%,41119,0.03,963.17,0,0,4096,1980,963.20,0,0,0,0,0,1,0
ref-rivers,0,16:09.97,0,0,0,138128,0,99%,41117,0.05,969.91,0,0,4096,2835,969.97,0,0,0,0,0,1,0
ref-rivers,0,16:09.04,0,0,0,138112,0,100%,41116,0.04,969.00,0,0,4096,2355,969.04,0,0,0,0,0,1,0
ref-rivers,0,15:59.77,0,0,0,138192,0,99%,41117,0.05,959.71,0,0,4096,3224,959.77,0,0,0,0,0,1,0
ref-rivers,0,16:07.79,0,0,0,138184,0,100%,41118,0.03,967.76,0,0,4096,1995,967.79,0,0,0,0,0,1,0
ref-rivers,0,16:06.65,0,0,0,138224,0,100%,41120,0.03,966.62,0,0,4096,2181,966.65,0,0,0,0,0,1,0
train-biglake,0,3:32.26,0,0,0,241856,0,99%,71075,0.07,212.18,0,0,4096,654,212.26,0,0,0,0,0,1,0
train-biglake,0,3:31.81,0,0,0,241856,0,99%,71076,0.05,211.76,0,0,4096,486,211.81,0,0,0,0,0,1,0
train-biglake,0,3:32.17,0,0,0,241900,0,99%,71077,0.07,212.09,0,0,4096,778,212.17,0,0,0,0,0,1,0
