cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test-lake,0,4:22.03,0,0,0,11564,0,2%,4008,0.00,6.00,0,0,4096,12,262.03,0,0,0,0,0,257,0
test-lake,0,4:22.04,0,0,0,11612,0,2%,4009,0.01,6.00,0,0,4096,23,262.04,0,0,0,0,0,257,0
test-lake,0,4:22.05,0,0,0,11596,0,2%,4010,0.01,6.01,0,0,4096,17,262.05,0,0,0,0,0,257,0
test-lake,0,4:22.03,0,0,0,11660,0,2%,4010,0.00,6.00,0,0,4096,15,262.03,0,0,0,0,0,257,0
test-lake,0,4:22.05,0,0,0,11712,0,2%,4010,0.00,6.01,0,0,4096,13,262.05,0,0,0,0,0,257,0
test-lake,0,4:22.04,0,0,0,11560,0,2%,4009,0.01,6.00,0,0,4096,16,262.04,0,0,0,0,0,257,0
test-lake,0,4:22.03,0,0,0,11584,0,2%,4007,0.00,6.00,0,0,4096,20,262.03,0,0,0,0,0,257,0
test-lake,0,4:22.03,0,0,0,11616,0,2%,4009,0.00,6.00,0,0,4096,19,262.03,0,0,0,0,0,257,0
test-lake,0,4:22.03,0,0,0,11664,0,2%,4010,0.01,5.99,0,0,4096,13,262.03,0,0,0,0,0,257,0
test-lake,0,4:22.03,0,0,0,11612,0,2%,4009,0.00,6.00,0,0,4096,19,262.03,0,0,0,0,0,257,0
test-lake,0,4:22.03,0,0,0,11588,0,2%,4008,0.00,6.00,0,0,4096,12,262.03,0,0,0,0,0,257,0
test-lake,0,4:22.04,0,0,0,11632,0,2%,4010,0.00,6.01,0,0,4096,15,262.04,0,0,0,0,0,257,0
test-lake,0,4:22.03,0,0,0,11624,0,2%,4010,0.00,6.00,0,0,4096,23,262.03,0,0,0,0,0,257,0
test-lake,0,4:22.05,0,0,0,11664,0,2%,4010,0.01,6.01,0,0,4096,11,262.05,0,0,0,0,0,257,0
test-lake,0,4:22.03,0,0,0,11708,0,2%,4010,0.00,6.00,0,0,4096,16,262.03,0,0,0,0,0,257,0
test-lake,0,4:22.04,0,0,0,11596,0,2%,4009,0.01,6.00,0,0,4096,9,262.04,0,0,0,0,0,257,0
test-lake,0,4:22.03,0,0,0,11596,0,2%,4008,0.00,6.01,0,0,4096,11,262.03,0,0,0,0,0,257,0
test-lake,0,4:22.04,0,0,0,11624,0,2%,4010,0.00,6.00,0,0,4096,18,262.04,0,0,0,0,0,257,0
test-lake,0,4:22.03,0,0,0,11664,0,2%,4010,0.01,5.99,0,0,4096,15,262.03,0,0,0,0,0,257,0
test-lake,0,4:22.04,0,0,0,11596,0,2%,4009,0.00,6.01,0,0,4096,11,262.04,0,0,0,0,0,257,0
test-lake,0,4:22.03,0,0,0,11712,0,2%,4010,0.00,6.00,0,0,4096,13,262.03,0,0,0,0,0,257,0
test-lake,0,4:22.03,0,0,0,11596,0,2%,4009,0.00,6.00,0,0,4096,11,262.03,0,0,0,0,0,257,0
test-lake,0,4:22.04,0,0,0,11632,0,2%,4010,0.00,6.01,0,0,4096,9,262.04,0,0,0,0,0,257,0
test-lake,0,4:22.03,0,0,0,11624,0,2%,4009,0.00,6.00,0,0,4096,15,262.03,0,0,0,0,0,257,0
test-lake,0,4:22.04,0,0,0,11700,0,2%,4011,0.00,6.01,0,0,4096,18,262.04,0,0,0,0,0,257,0
test-lake,0,4:22.06,0,0,0,11624,0,2%,4010,0.00,6.03,0,0,4096,10,262.06,0,0,0,0,0,257,0
test-lake,0,4:22.04,0,0,0,11592,0,2%,4008,0.00,6.02,0,0,4096,15,262.04,0,0,0,0,0,257,0
test-lake,0,4:22.04,0,0,0,11624,0,2%,4009,0.00,6.01,0,0,4096,10,262.04,0,0,0,0,0,257,0
test-lake,0,4:22.04,0,0,0,11616,0,2%,4009,0.00,6.00,0,0,4096,13,262.04,0,0,0,0,0,257,0
test-lake,0,4:22.06,0,0,0,11596,0,2%,4010,0.01,6.02,0,0,4096,17,262.06,0,0,0,0,0,257,0
ref-biglake,0,6:10.05,0,0,0,335172,0,30%,96059,0.10,113.92,0,0,4096,256,370.05,0,0,0,0,0,257,0
ref-biglake,0,6:09.96,0,0,0,335220,0,30%,96061,0.06,113.87,0,0,4096,372,369.96,0,0,0,0,0,257,0
ref-biglake,0,6:10.72,0,0,0,335228,0,30%,96060,0.12,114.57,0,0,4096,386,370.72,0,0,0,0,0,257,0
ref-biglake,0,6:10.13,0,0,0,335176,0,30%,96059,0.08,114.01,0,0,4096,370,370.13,0,0,0,0,0,257,0
ref-biglake,0,6:10.87,0,0,0,335196,0,30%,96059,0.09,114.75,0,0,4096,352,370.87,0,0,0,0,0,257,0
ref-biglake,0,6:10.42,0,0,0,335148,0,30%,96059,0.09,114.30,0,0,4096,307,370.42,0,0,0,0,0,257,0
