cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test-lake,0,0:12.12,0,0,0,15496,0,100%,4984,0.00,12.12,0,0,4096,31,12.12,0,0,0,0,0,1,0
test-lake,0,0:12.12,0,0,0,15528,0,100%,4987,0.00,12.12,0,0,4096,35,12.12,0,0,0,0,0,1,0
test-lake,0,0:12.12,0,0,0,15492,0,99%,4984,0.00,12.11,0,0,4096,41,12.12,0,0,0,0,0,1,0
test-lake,0,0:12.13,0,0,0,15456,0,100%,4985,0.00,12.13,0,0,4096,42,12.13,0,0,0,0,0,1,0
test-lake,0,0:12.13,0,0,0,15556,0,100%,4985,0.00,12.12,0,0,4096,40,12.13,0,0,0,0,0,1,0
test-lake,0,0:12.13,0,0,0,15496,0,100%,4984,0.00,12.12,0,0,4096,46,12.13,0,0,0,0,0,1,0
test-lake,0,0:12.13,0,0,0,15520,0,100%,4985,0.00,12.13,0,0,4096,44,12.13,0,0,0,0,0,1,0
test-lake,0,0:12.12,0,0,0,15572,0,99%,4987,0.01,12.11,0,0,4096,54,12.12,0,0,0,0,0,1,0
test-lake,0,0:12.12,0,0,0,15608,0,99%,4987,0.00,12.12,0,0,4096,31,12.12,0,0,0,0,0,1,0
test-lake,0,0:12.12,0,0,0,15520,0,100%,4985,0.01,12.11,0,0,4096,48,12.12,0,0,0,0,0,1,0
test-lake,0,0:12.12,0,0,0,15520,0,99%,4985,0.00,12.11,0,0,4096,53,12.12,0,0,0,0,0,1,0
test-lake,0,0:12.12,0,0,0,15532,0,100%,4985,0.00,12.12,0,0,4096,48,12.12,0,0,0,0,0,1,0
test-lake,0,0:12.13,0,0,0,15532,0,99%,4986,0.00,12.13,0,0,4096,38,12.13,0,0,0,0,0,1,0
test-lake,0,0:12.20,0,0,0,15448,0,100%,4985,0.00,12.20,0,0,4096,43,12.20,0,0,0,0,0,1,0
test-lake,0,0:12.11,0,0,0,15532,0,99%,4985,0.01,12.10,0,0,4096,28,12.11,0,0,0,0,0,1,0
test-lake,0,0:12.13,0,0,0,15532,0,100%,4986,0.00,12.13,0,0,4096,32,12.13,0,0,0,0,0,1,0
test-lake,0,0:12.11,0,0,0,15572,0,100%,4986,0.00,12.11,0,0,4096,41,12.11,0,0,0,0,0,1,0
test-lake,0,0:12.12,0,0,0,15556,0,100%,4985,0.00,12.12,0,0,4096,50,12.12,0,0,0,0,0,1,0
test-lake,0,0:12.11,0,0,0,15520,0,99%,4985,0.00,12.10,0,0,4096,48,12.11,0,0,0,0,0,1,0
test-lake,0,0:12.13,0,0,0,15520,0,99%,4985,0.00,12.12,0,0,4096,39,12.13,0,0,0,0,0,1,0
test-lake,0,0:12.14,0,0,0,15540,0,100%,4986,0.00,12.14,0,0,4096,29,12.14,0,0,0,0,0,1,0
test-lake,0,0:12.12,0,0,0,15568,0,100%,4986,0.00,12.11,0,0,4096,48,12.12,0,0,0,0,0,1,0
test-lake,0,0:12.12,0,0,0,15504,0,100%,4985,0.00,12.12,0,0,4096,51,12.12,0,0,0,0,0,1,0
test-lake,0,0:12.13,0,0,0,15504,0,100%,4985,0.00,12.13,0,0,4096,50,12.13,0,0,0,0,0,1,0
test-lake,0,0:12.13,0,0,0,15504,0,100%,4985,0.00,12.13,0,0,4096,38,12.13,0,0,0,0,0,1,0
test-lake,0,0:12.12,0,0,0,15504,0,99%,4985,0.00,12.11,0,0,4096,52,12.12,0,0,0,0,0,1,0
test-lake,0,0:12.13,0,0,0,15504,0,99%,4984,0.00,12.12,0,0,4096,42,12.13,0,0,0,0,0,1,0
test-lake,0,0:12.13,0,0,0,15528,0,100%,4986,0.00,12.12,0,0,4096,49,12.13,0,0,0,0,0,1,0
test-lake,0,0:12.13,0,0,0,15524,0,100%,4985,0.00,12.13,0,0,4096,45,12.13,0,0,0,0,0,1,0
test-lake,0,0:12.14,0,0,0,15524,0,100%,4985,0.00,12.13,0,0,4096,56,12.14,0,0,0,0,0,1,0
ref-biglake,0,1:55.59,0,0,0,339196,0,99%,97035,0.12,115.47,0,0,4096,268,115.59,0,0,0,0,0,1,0
ref-biglake,0,1:55.26,0,0,0,339240,0,99%,97037,0.09,115.16,0,0,4096,361,115.26,0,0,0,0,0,1,0
ref-biglake,0,1:55.54,0,0,0,339212,0,99%,97035,0.09,115.44,0,0,4096,272,115.54,0,0,0,0,0,1,0
ref-biglake,0,1:55.57,0,0,0,339236,0,99%,97036,0.15,115.41,0,0,4096,285,115.57,0,0,0,0,0,1,0
ref-biglake,0,1:55.00,0,0,0,339240,0,99%,97037,0.07,114.92,0,0,4096,289,115.00,0,0,0,0,0,1,0
ref-biglake,0,1:55.27,0,0,0,339240,0,99%,97038,0.10,115.17,0,0,4096,364,115.27,0,0,0,0,0,1,0
ref-biglake,0,1:55.57,0,0,0,339212,0,99%,97035,0.13,115.44,0,0,4096,310,115.57,0,0,0,0,0,1,0
ref-biglake,0,1:55.57,0,0,0,339240,0,99%,97037,0.08,115.48,0,0,4096,306,115.57,0,0,0,0,0,1,0
ref-biglake,0,1:55.65,0,0,0,339088,0,99%,97035,0.08,115.56,0,0,4096,367,115.65,0,0,0,0,0,1,0
ref-biglake,0,1:55.15,0,0,0,339236,0,99%,97036,0.14,115.01,0,0,4096,247,115.15,0,0,0,0,0,1,0
ref-biglake,0,1:55.63,0,0,0,339132,0,99%,97034,0.10,115.52,0,0,4096,275,115.63,0,0,0,0,0,1,0
ref-biglake,0,1:55.37,0,0,0,339180,0,99%,97036,0.09,115.27,0,0,4096,357,115.37,0,0,0,0,0,1,0
ref-biglake,0,1:55.28,0,0,0,339216,0,99%,97034,0.08,115.19,0,0,4096,380,115.28,0,0,0,0,0,1,0
ref-biglake,0,1:55.35,0,0,0,339132,0,99%,97036,0.13,115.22,0,0,4096,264,115.35,0,0,0,0,0,1,0
ref-biglake,0,1:55.06,0,0,0,339272,0,99%,97036,0.12,114.93,0,0,4096,251,115.06,0,0,0,0,0,1,0
ref-biglake,0,1:55.99,0,0,0,339220,0,99%,97036,0.08,115.90,0,0,4096,338,115.99,0,0,0,0,0,1,0
ref-biglake,0,1:55.47,0,0,0,339240,0,99%,97036,0.09,115.37,0,0,4096,321,115.47,0,0,0,0,0,1,0
ref-biglake,0,1:55.32,0,0,0,339132,0,99%,97035,0.09,115.22,0,0,4096,355,115.32,0,0,0,0,0,1,0
ref-biglake,0,1:55.41,0,0,0,339248,0,99%,97036,0.10,115.30,0,0,4096,355,115.41,0,0,0,0,0,1,0
ref-biglake,0,1:55.15,0,0,0,339132,0,99%,97034,0.09,115.05,0,0,4096,369,115.15,0,0,0,0,0,1,0
ref-biglake,0,1:56.01,0,0,0,339220,0,99%,97036,0.10,115.90,0,0,4096,292,116.01,0,0,0,0,0,1,0
ref-biglake,0,1:55.21,0,0,0,339216,0,99%,97034,0.09,115.11,0,0,4096,306,115.21,0,0,0,0,0,1,0
ref-biglake,0,1:55.62,0,0,0,339216,0,99%,97034,0.09,115.53,0,0,4096,302,115.62,0,0,0,0,0,1,0
ref-biglake,0,1:55.62,0,0,0,339216,0,99%,97034,0.09,115.53,0,0,4096,280,115.62,0,0,0,0,0,1,0
ref-biglake,0,1:55.59,0,0,0,339220,0,99%,97036,0.07,115.51,0,0,4096,365,115.59,0,0,0,0,0,1,0
ref-biglake,0,1:55.62,0,0,0,339240,0,99%,97037,0.10,115.51,0,0,4096,344,115.62,0,0,0,0,0,1,0
ref-biglake,0,1:55.96,0,0,0,339088,0,99%,97035,0.11,115.85,0,0,4096,340,115.96,0,0,0,0,0,1,0
ref-biglake,0,1:55.61,0,0,0,339216,0,99%,97035,0.08,115.52,0,0,4096,283,115.61,0,0,0,0,0,1,0
ref-biglake,0,1:59.92,0,0,0,339196,0,99%,97035,0.11,119.81,0,0,4096,311,119.92,0,0,0,0,0,1,0
