cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test-lake,0,0:13.57,0,0,0,11792,0,99%,4013,0.00,13.57,0,0,4096,40,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11780,0,99%,4012,0.01,13.53,0,0,4096,25,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11848,0,100%,4013,0.00,13.56,0,0,4096,52,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.71,0,0,0,11856,0,99%,4013,0.00,13.71,0,0,4096,47,13.71,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11836,0,99%,4013,0.01,13.55,0,0,4096,42,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11804,0,100%,4011,0.00,13.55,0,0,4096,22,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11788,0,100%,4012,0.00,13.56,0,0,4096,40,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.65,0,0,0,11804,0,99%,4012,0.00,13.64,0,0,4096,19,13.65,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11728,0,100%,4012,0.00,13.57,0,0,4096,45,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.64,0,0,0,11804,0,100%,4013,0.00,13.64,0,0,4096,40,13.64,0,0,0,0,0,1,0
test-lake,0,0:13.62,0,0,0,11728,0,99%,4012,0.00,13.62,0,0,4096,23,13.62,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11920,0,100%,4016,0.00,13.56,0,0,4096,45,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.72,0,0,0,11848,0,100%,4013,0.00,13.72,0,0,4096,44,13.72,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11756,0,100%,4012,0.00,13.56,0,0,4096,25,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11852,0,100%,4014,0.00,13.56,0,0,4096,44,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.58,0,0,0,11784,0,99%,4012,0.00,13.58,0,0,4096,35,13.58,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11788,0,100%,4012,0.00,13.56,0,0,4096,46,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11784,0,99%,4012,0.00,13.56,0,0,4096,37,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11788,0,100%,4013,0.00,13.55,0,0,4096,46,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11796,0,100%,4011,0.00,13.56,0,0,4096,37,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11804,0,99%,4011,0.00,13.54,0,0,4096,22,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11780,0,99%,4012,0.01,13.55,0,0,4096,41,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11848,0,99%,4012,0.00,13.56,0,0,4096,22,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11856,0,99%,4013,0.00,13.55,0,0,4096,25,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11848,0,100%,4012,0.00,13.54,0,0,4096,25,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11920,0,99%,4015,0.00,13.57,0,0,4096,42,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11772,0,100%,4013,0.00,13.56,0,0,4096,28,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11788,0,100%,4012,0.00,13.57,0,0,4096,40,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.59,0,0,0,11756,0,100%,4012,0.00,13.58,0,0,4096,48,13.59,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11784,0,100%,4012,0.00,13.56,0,0,4096,43,13.57,0,0,0,0,0,1,0
ref-biglake,0,4:00.99,0,0,0,335448,0,99%,96062,0.07,240.91,0,0,4096,772,240.99,0,0,0,0,0,1,0
ref-biglake,0,4:00.38,0,0,0,335332,0,99%,96063,0.11,240.26,0,0,4096,573,240.38,0,0,0,0,0,1,0
ref-biglake,0,4:04.01,0,0,0,335356,0,99%,96062,0.10,243.90,0,0,4096,771,244.01,0,0,0,0,0,1,0
ref-biglake,0,4:00.63,0,0,0,335312,0,99%,96062,0.10,240.53,0,0,4096,792,240.63,0,0,0,0,0,1,0
