cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test-lake,0,0:13.58,0,0,0,11724,0,99%,4012,0.01,13.57,0,0,4096,44,13.58,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11772,0,99%,4012,0.00,13.54,0,0,4096,19,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11856,0,100%,4013,0.00,13.56,0,0,4096,27,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.82,0,0,0,11788,0,99%,4012,0.01,13.81,0,0,4096,40,13.82,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11904,0,100%,4014,0.00,13.55,0,0,4096,27,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11840,0,100%,4013,0.00,13.55,0,0,4096,40,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11840,0,99%,4013,0.00,13.57,0,0,4096,44,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.59,0,0,0,11848,0,99%,4012,0.00,13.59,0,0,4096,27,13.59,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11784,0,100%,4011,0.00,13.56,0,0,4096,40,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.68,0,0,0,11856,0,99%,4013,0.01,13.67,0,0,4096,27,13.68,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11804,0,100%,4011,0.00,13.55,0,0,4096,39,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11784,0,100%,4011,0.00,13.57,0,0,4096,46,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11756,0,99%,4012,0.00,13.56,0,0,4096,42,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11804,0,100%,4013,0.00,13.55,0,0,4096,43,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11836,0,99%,4013,0.00,13.55,0,0,4096,41,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11840,0,100%,4013,0.00,13.55,0,0,4096,33,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11840,0,100%,4013,0.00,13.55,0,0,4096,35,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11848,0,100%,4013,0.00,13.56,0,0,4096,36,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11784,0,99%,4011,0.01,13.54,0,0,4096,24,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11772,0,99%,4012,0.00,13.56,0,0,4096,40,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11756,0,99%,4012,0.01,13.56,0,0,4096,29,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11804,0,99%,4013,0.00,13.57,0,0,4096,40,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11840,0,100%,4013,0.00,13.56,0,0,4096,30,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.58,0,0,0,11772,0,100%,4012,0.00,13.58,0,0,4096,35,13.58,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11804,0,100%,4013,0.00,13.56,0,0,4096,44,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11784,0,99%,4011,0.01,13.56,0,0,4096,40,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.59,0,0,0,11780,0,100%,4012,0.00,13.59,0,0,4096,37,13.59,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11840,0,100%,4013,0.00,13.57,0,0,4096,32,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11784,0,99%,4013,0.00,13.54,0,0,4096,31,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11896,0,100%,4014,0.00,13.56,0,0,4096,40,13.56,0,0,0,0,0,1,0
ref-biglake,0,4:01.23,0,0,0,335456,0,99%,96063,0.09,241.13,0,0,4096,785,241.23,0,0,0,0,0,1,0
ref-biglake,0,4:00.92,0,0,0,335352,0,99%,96062,0.09,240.82,0,0,4096,683,240.92,0,0,0,0,0,1,0
ref-biglake,0,4:01.46,0,0,0,335312,0,99%,96062,0.11,241.33,0,0,4096,693,241.46,0,0,0,0,0,1,0
ref-biglake,0,4:00.76,0,0,0,335352,0,100%,96062,0.08,240.67,0,0,4096,317,240.76,0,0,0,0,0,1,0
ref-biglake,0,4:01.07,0,0,0,335456,0,99%,96064,0.11,240.95,0,0,4096,759,241.07,0,0,0,0,0,1,0
ref-biglake,0,4:00.38,0,0,0,335372,0,99%,96062,0.09,240.27,0,0,4096,438,240.38,0,0,0,0,0,1,0
ref-biglake,0,4:02.97,0,0,0,335552,0,99%,96066,0.07,242.89,0,0,4096,426,242.97,0,0,0,0,0,1,0
ref-biglake,0,4:01.23,0,0,0,335396,0,99%,96061,0.08,241.14,0,0,4096,730,241.23,0,0,0,0,0,1,0
ref-biglake,0,4:00.97,0,0,0,335448,0,99%,96062,0.11,240.85,0,0,4096,728,240.97,0,0,0,0,0,1,0
ref-biglake,0,3:59.20,0,0,0,335444,0,100%,96062,0.13,239.07,0,0,4096,351,239.20,0,0,0,0,0,1,0
ref-biglake,0,4:01.32,0,0,0,335456,0,99%,96063,0.09,241.22,0,0,4096,396,241.32,0,0,0,0,0,1,0
ref-biglake,0,4:00.21,0,0,0,335488,0,99%,96063,0.10,240.11,0,0,4096,379,240.21,0,0,0,0,0,1,0
ref-biglake,0,4:01.23,0,0,0,335456,0,99%,96063,0.12,241.10,0,0,4096,746,241.23,0,0,0,0,0,1,0
ref-biglake,0,4:02.14,0,0,0,335456,0,99%,96063,0.11,242.02,0,0,4096,364,242.14,0,0,0,0,0,1,0
ref-biglake,0,4:00.68,0,0,0,335340,0,99%,96063,0.10,240.57,0,0,4096,694,240.68,0,0,0,0,0,1,0
ref-biglake,0,4:01.69,0,0,0,335444,0,99%,96062,0.11,241.57,0,0,4096,730,241.69,0,0,0,0,0,1,0
ref-biglake,0,4:01.21,0,0,0,335488,0,99%,96063,0.09,241.11,0,0,4096,732,241.21,0,0,0,0,0,1,0
ref-biglake,0,4:01.43,0,0,0,335372,0,99%,96062,0.07,241.36,0,0,4096,395,241.43,0,0,0,0,0,1,0
ref-biglake,0,3:59.09,0,0,0,335368,0,99%,96063,0.07,239.01,0,0,4096,317,239.09,0,0,0,0,0,1,0
ref-biglake,0,4:00.93,0,0,0,335536,0,99%,96066,0.12,240.80,0,0,4096,730,240.93,0,0,0,0,0,1,0
ref-biglake,0,4:01.25,0,0,0,335368,0,99%,96063,0.10,241.15,0,0,4096,699,241.25,0,0,0,0,0,1,0
ref-biglake,0,3:59.34,0,0,0,335380,0,100%,96062,0.08,239.25,0,0,4096,326,239.34,0,0,0,0,0,1,0
ref-biglake,0,3:59.99,0,0,0,335488,0,99%,96063,0.09,239.90,0,0,4096,511,239.99,0,0,0,0,0,1,0
ref-biglake,0,4:00.91,0,0,0,335388,0,99%,96063,0.08,240.82,0,0,4096,815,240.91,0,0,0,0,0,1,0
ref-biglake,0,4:02.89,0,0,0,335396,0,99%,96062,0.12,242.76,0,0,4096,697,242.89,0,0,0,0,0,1,0
ref-biglake,0,3:59.49,0,0,0,335332,0,99%,96062,0.11,239.37,0,0,4096,337,239.49,0,0,0,0,0,1,0
ref-biglake,0,4:06.51,0,0,0,335508,0,99%,96064,0.08,246.43,0,0,4096,704,246.51,0,0,0,0,0,1,0
ref-biglake,0,3:59.27,0,0,0,335444,0,99%,96062,0.12,239.14,0,0,4096,257,239.27,0,0,0,0,0,1,0
ref-biglake,0,4:01.83,0,0,0,335388,0,99%,96064,0.10,241.72,0,0,4096,705,241.83,0,0,0,0,0,1,0
ref-biglake,0,4:01.42,0,0,0,335356,0,99%,96062,0.09,241.32,0,0,4096,750,241.42,0,0,0,0,0,1,0
ref-rivers,0,6:55.18,0,0,0,137980,0,100%,41024,0.04,415.14,0,0,4096,594,415.18,0,0,0,0,0,1,0
ref-rivers,0,6:55.76,0,0,0,138036,0,99%,41026,0.05,415.71,0,0,4096,1268,415.76,0,0,0,0,0,1,0
ref-rivers,0,6:55.08,0,0,0,138024,0,100%,41025,0.03,415.04,0,0,4096,602,415.08,0,0,0,0,0,1,0
ref-rivers,0,6:56.00,0,0,0,137940,0,100%,41022,0.03,415.97,0,0,4096,1261,416.00,0,0,0,0,0,1,0
ref-rivers,0,6:55.76,0,0,0,137980,0,100%,41024,0.05,415.70,0,0,4096,1229,415.76,0,0,0,0,0,1,0
ref-rivers,0,6:55.61,0,0,0,137964,0,99%,41023,0.03,415.57,0,0,4096,1246,415.61,0,0,0,0,0,1,0
ref-rivers,0,6:55.69,0,0,0,138084,0,100%,41026,0.05,415.64,0,0,4096,708,415.69,0,0,0,0,0,1,0
ref-rivers,0,6:55.76,0,0,0,137988,0,99%,41023,0.03,415.72,0,0,4096,1474,415.76,0,0,0,0,0,1,0
ref-rivers,0,6:55.42,0,0,0,137988,0,100%,41023,0.04,415.37,0,0,4096,533,415.42,0,0,0,0,0,1,0
ref-rivers,0,6:55.62,0,0,0,138000,0,99%,41024,0.04,415.58,0,0,4096,1517,415.62,0,0,0,0,0,1,0
ref-rivers,0,6:55.64,0,0,0,138084,0,100%,41026,0.04,415.60,0,0,4096,544,415.64,0,0,0,0,0,1,0
ref-rivers,0,6:55.76,0,0,0,137996,0,100%,41023,0.03,415.72,0,0,4096,1534,415.76,0,0,0,0,0,1,0
ref-rivers,0,6:55.68,0,0,0,137924,0,100%,41023,0.02,415.65,0,0,4096,1342,415.68,0,0,0,0,0,1,0
ref-rivers,0,6:56.22,0,0,0,137928,0,99%,41022,0.03,416.18,0,0,4096,1251,416.22,0,0,0,0,0,1,0
ref-rivers,0,6:55.88,0,0,0,137944,0,99%,41023,0.03,415.84,0,0,4096,1255,415.88,0,0,0,0,0,1,0
ref-rivers,0,6:55.19,0,0,0,138036,0,100%,41024,0.03,415.15,0,0,4096,535,415.19,0,0,0,0,0,1,0
