cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test-lake,0,0:13.57,0,0,0,11776,0,99%,4013,0.00,13.56,0,0,4096,50,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.63,0,0,0,11728,0,100%,4012,0.00,13.63,0,0,4096,22,13.63,0,0,0,0,0,1,0
test-lake,0,0:13.58,0,0,0,11840,0,100%,4013,0.00,13.58,0,0,4096,49,13.58,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11856,0,99%,4013,0.00,13.54,0,0,4096,25,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.63,0,0,0,11848,0,99%,4013,0.00,13.63,0,0,4096,60,13.63,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11772,0,100%,4012,0.00,13.56,0,0,4096,41,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11920,0,99%,4015,0.00,13.55,0,0,4096,24,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11840,0,100%,4013,0.00,13.56,0,0,4096,38,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11788,0,99%,4012,0.00,13.54,0,0,4096,23,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11920,0,100%,4015,0.00,13.56,0,0,4096,46,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.65,0,0,0,11788,0,99%,4012,0.00,13.65,0,0,4096,20,13.65,0,0,0,0,0,1,0
test-lake,0,0:13.58,0,0,0,11856,0,99%,4013,0.00,13.57,0,0,4096,44,13.58,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11804,0,99%,4011,0.00,13.54,0,0,4096,24,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11848,0,100%,4013,0.00,13.57,0,0,4096,46,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.63,0,0,0,11856,0,99%,4013,0.00,13.62,0,0,4096,22,13.63,0,0,0,0,0,1,0
test-lake,0,0:13.58,0,0,0,11728,0,99%,4013,0.00,13.58,0,0,4096,48,13.58,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11808,0,100%,4015,0.00,13.54,0,0,4096,22,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11792,0,99%,4013,0.00,13.56,0,0,4096,47,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11728,0,99%,4012,0.00,13.55,0,0,4096,24,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11780,0,100%,4012,0.00,13.57,0,0,4096,46,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11756,0,100%,4012,0.00,13.57,0,0,4096,43,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11756,0,99%,4013,0.01,13.56,0,0,4096,47,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11804,0,99%,4011,0.00,13.54,0,0,4096,29,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11848,0,99%,4013,0.01,13.55,0,0,4096,45,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11792,0,100%,4013,0.00,13.54,0,0,4096,24,13.54,0,0,0,0,0,1,0
test-lake,0,0:13.55,0,0,0,11792,0,99%,4013,0.01,13.54,0,0,4096,44,13.55,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11788,0,100%,4012,0.00,13.56,0,0,4096,21,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.56,0,0,0,11852,0,100%,4013,0.00,13.56,0,0,4096,38,13.56,0,0,0,0,0,1,0
test-lake,0,0:13.57,0,0,0,11784,0,100%,4011,0.00,13.57,0,0,4096,50,13.57,0,0,0,0,0,1,0
test-lake,0,0:13.54,0,0,0,11788,0,100%,4012,0.00,13.53,0,0,4096,24,13.54,0,0,0,0,0,1,0
ref-biglake,0,3:59.09,0,0,0,335396,0,99%,96063,0.11,238.97,0,0,4096,301,239.09,0,0,0,0,0,1,0
ref-biglake,0,4:00.16,0,0,0,335356,0,100%,96062,0.08,240.08,0,0,4096,329,240.16,0,0,0,0,0,1,0
ref-biglake,0,4:01.06,0,0,0,335448,0,99%,96063,0.09,240.95,0,0,4096,820,241.06,0,0,0,0,0,1,0
ref-biglake,0,4:04.29,0,0,0,335368,0,100%,96063,0.08,244.20,0,0,4096,314,244.29,0,0,0,0,0,1,0
ref-biglake,0,4:00.73,0,0,0,335356,0,99%,96062,0.08,240.64,0,0,4096,889,240.73,0,0,0,0,0,1,0
ref-biglake,0,3:59.73,0,0,0,335444,0,99%,96062,0.09,239.64,0,0,4096,317,239.73,0,0,0,0,0,1,0
ref-biglake,0,4:00.69,0,0,0,335396,0,99%,96061,0.08,240.60,0,0,4096,834,240.69,0,0,0,0,0,1,0
ref-biglake,0,3:58.99,0,0,0,335396,0,99%,96061,0.11,238.87,0,0,4096,307,238.99,0,0,0,0,0,1,0
ref-biglake,0,4:00.65,0,0,0,335444,0,99%,96062,0.11,240.53,0,0,4096,750,240.65,0,0,0,0,0,1,0
ref-biglake,0,4:00.86,0,0,0,335448,0,99%,96063,0.12,240.73,0,0,4096,862,240.86,0,0,0,0,0,1,0
ref-biglake,0,4:00.83,0,0,0,335448,0,99%,96062,0.13,240.69,0,0,4096,850,240.83,0,0,0,0,0,1,0
ref-biglake,0,4:00.84,0,0,0,335388,0,99%,96063,0.09,240.74,0,0,4096,800,240.84,0,0,0,0,0,1,0
ref-biglake,0,3:59.16,0,0,0,335444,0,100%,96063,0.11,239.04,0,0,4096,373,239.16,0,0,0,0,0,1,0
ref-biglake,0,4:00.69,0,0,0,335332,0,99%,96062,0.08,240.60,0,0,4096,745,240.69,0,0,0,0,0,1,0
ref-biglake,0,4:00.52,0,0,0,335352,0,99%,96062,0.08,240.43,0,0,4096,622,240.52,0,0,0,0,0,1,0
ref-biglake,0,4:00.66,0,0,0,335448,0,99%,96062,0.09,240.56,0,0,4096,865,240.66,0,0,0,0,0,1,0
ref-biglake,0,4:03.46,0,0,0,335380,0,100%,96061,0.07,243.38,0,0,4096,310,243.46,0,0,0,0,0,1,0
ref-biglake,0,4:00.59,0,0,0,335356,0,99%,96063,0.12,240.46,0,0,4096,816,240.59,0,0,0,0,0,1,0
ref-biglake,0,4:04.49,0,0,0,335428,0,99%,96064,0.09,244.39,0,0,4096,333,244.49,0,0,0,0,0,1,0
ref-biglake,0,4:00.83,0,0,0,335536,0,99%,96065,0.10,240.73,0,0,4096,451,240.83,0,0,0,0,0,1,0
ref-biglake,0,3:59.14,0,0,0,335380,0,99%,96061,0.11,239.02,0,0,4096,312,239.14,0,0,0,0,0,1,0
ref-biglake,0,4:01.08,0,0,0,335392,0,99%,96061,0.10,240.97,0,0,4096,794,241.08,0,0,0,0,0,1,0
ref-biglake,0,4:00.83,0,0,0,335396,0,99%,96061,0.09,240.73,0,0,4096,811,240.83,0,0,0,0,0,1,0
ref-biglake,0,3:59.15,0,0,0,335448,0,99%,96062,0.10,239.05,0,0,4096,316,239.15,0,0,0,0,0,1,0
ref-biglake,0,3:59.36,0,0,0,335332,0,99%,96063,0.11,239.24,0,0,4096,317,239.36,0,0,0,0,0,1,0
ref-biglake,0,4:00.79,0,0,0,335396,0,99%,96062,0.11,240.67,0,0,4096,717,240.79,0,0,0,0,0,1,0
ref-biglake,0,4:00.78,0,0,0,335444,0,99%,96063,0.08,240.69,0,0,4096,650,240.78,0,0,0,0,0,1,0
ref-biglake,0,4:00.84,0,0,0,335488,0,99%,96063,0.07,240.76,0,0,4096,708,240.84,0,0,0,0,0,1,0
ref-biglake,0,3:59.00,0,0,0,335388,0,99%,96063,0.09,238.90,0,0,4096,433,239.00,0,0,0,0,0,1,0
ref-biglake,0,4:00.75,0,0,0,335380,0,99%,96061,0.11,240.64,0,0,4096,756,240.75,0,0,0,0,0,1,0
ref-rivers,0,6:55.25,0,0,0,137996,0,100%,41023,0.05,415.20,0,0,4096,582,415.25,0,0,0,0,0,1,0
ref-rivers,0,6:56.07,0,0,0,137944,0,99%,41023,0.03,416.04,0,0,4096,1239,416.07,0,0,0,0,0,1,0
ref-rivers,0,6:57.38,0,0,0,137944,0,99%,41024,0.05,417.33,0,0,4096,1304,417.38,0,0,0,0,0,1,0
ref-rivers,0,6:55.61,0,0,0,138020,0,99%,41025,0.03,415.57,0,0,4096,1248,415.61,0,0,0,0,0,1,0
ref-rivers,0,7:02.86,0,0,0,137924,0,100%,41023,0.04,422.82,0,0,4096,536,422.86,0,0,0,0,0,1,0
ref-rivers,0,6:55.11,0,0,0,137924,0,100%,41024,0.04,415.07,0,0,4096,551,415.11,0,0,0,0,0,1,0
ref-rivers,0,6:55.37,0,0,0,138084,0,100%,41027,0.04,415.33,0,0,4096,543,415.37,0,0,0,0,0,1,0
ref-rivers,0,6:57.38,0,0,0,137988,0,99%,41023,0.03,417.35,0,0,4096,1267,417.38,0,0,0,0,0,1,0
ref-rivers,0,7:06.55,0,0,0,137940,0,100%,41022,0.03,426.52,0,0,4096,575,426.55,0,0,0,0,0,1,0
ref-rivers,0,6:55.89,0,0,0,138000,0,100%,41024,0.04,415.84,0,0,4096,1131,415.89,0,0,0,0,0,1,0
ref-rivers,0,6:55.74,0,0,0,137924,0,100%,41022,0.05,415.68,0,0,4096,1208,415.74,0,0,0,0,0,1,0
ref-rivers,0,6:56.13,0,0,0,138000,0,99%,41024,0.06,416.06,0,0,4096,1215,416.13,0,0,0,0,0,1,0
ref-rivers,0,6:55.02,0,0,0,137944,0,100%,41023,0.03,414.98,0,0,4096,554,415.02,0,0,0,0,0,1,0
ref-rivers,0,6:56.36,0,0,0,138016,0,99%,41024,0.03,416.33,0,0,4096,1287,416.36,0,0,0,0,0,1,0
ref-rivers,0,6:55.11,0,0,0,138084,0,100%,41026,0.05,415.05,0,0,4096,538,415.11,0,0,0,0,0,1,0
ref-rivers,0,6:55.67,0,0,0,137928,0,99%,41024,0.07,415.60,0,0,4096,1366,415.67,0,0,0,0,0,1,0
ref-rivers,0,6:55.83,0,0,0,137928,0,99%,41023,0.03,415.79,0,0,4096,1313,415.83,0,0,0,0,0,1,0
ref-rivers,0,6:55.67,0,0,0,137996,0,100%,41023,0.04,415.63,0,0,4096,544,415.67,0,0,0,0,0,1,0
ref-rivers,0,6:55.73,0,0,0,137996,0,99%,41024,0.06,415.66,0,0,4096,1323,415.73,0,0,0,0,0,1,0
ref-rivers,0,6:55.02,0,0,0,137980,0,100%,41024,0.03,414.98,0,0,4096,525,415.02,0,0,0,0,0,1,0
ref-rivers,0,6:55.80,0,0,0,138036,0,99%,41025,0.04,415.75,0,0,4096,1202,415.80,0,0,0,0,0,1,0
ref-rivers,0,6:55.74,0,0,0,137928,0,99%,41024,0.03,415.70,0,0,4096,1314,415.74,0,0,0,0,0,1,0
ref-rivers,0,6:55.61,0,0,0,138036,0,99%,41026,0.05,415.55,0,0,4096,1329,415.61,0,0,0,0,0,1,0
ref-rivers,0,6:54.98,0,0,0,137920,0,100%,41024,0.05,414.93,0,0,4096,633,414.98,0,0,0,0,0,1,0
ref-rivers,0,7:05.70,0,0,0,137920,0,99%,41023,0.05,425.64,0,0,4096,1065,425.70,0,0,0,0,0,1,0
ref-rivers,0,6:55.19,0,0,0,137924,0,100%,41024,0.03,415.16,0,0,4096,696,415.19,0,0,0,0,0,1,0
ref-rivers,0,6:55.82,0,0,0,137988,0,99%,41023,0.05,415.76,0,0,4096,1326,415.82,0,0,0,0,0,1,0
ref-rivers,0,6:55.23,0,0,0,137940,0,100%,41022,0.03,415.20,0,0,4096,530,415.23,0,0,0,0,0,1,0
ref-rivers,0,6:54.90,0,0,0,137940,0,100%,41022,0.03,414.87,0,0,4096,523,414.90,0,0,0,0,0,1,0
ref-rivers,0,6:55.76,0,0,0,138036,0,99%,41026,0.03,415.73,0,0,4096,1333,415.76,0,0,0,0,0,1,0
train-biglake,0,1:03.65,0,0,0,241644,0,99%,70981,0.06,63.59,0,0,4096,161,63.65,0,0,0,0,0,1,0
