cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test-lake,0,0:06.74,0,0,0,11592,0,100%,176212,0.11,6.63,0,0,4096,34,6.74,0,0,0,0,0,1,0
test-lake,0,0:06.75,0,0,0,11608,0,99%,176212,0.19,6.55,0,0,4096,22,6.75,0,0,0,0,0,1,0
test-lake,0,0:06.74,0,0,0,11616,0,100%,176212,0.15,6.58,0,0,4096,30,6.74,0,0,0,0,0,1,0
test-lake,0,0:06.74,0,0,0,11600,0,99%,176212,0.18,6.56,0,0,4096,29,6.74,0,0,0,0,0,1,0
test-lake,0,0:06.75,0,0,0,11588,0,100%,176212,0.16,6.59,0,0,4096,16,6.75,0,0,0,0,0,1,0
test-lake,0,0:06.74,0,0,0,11596,0,100%,176212,0.17,6.57,0,0,4096,30,6.74,0,0,0,0,0,1,0
test-lake,0,0:06.75,0,0,0,11596,0,100%,176210,0.14,6.60,0,0,4096,16,6.75,0,0,0,0,0,1,0
test-lake,0,0:06.74,0,0,0,11540,0,100%,176212,0.14,6.59,0,0,4096,25,6.74,0,0,0,0,0,1,0
test-lake,0,0:06.74,0,0,0,11584,0,100%,176211,0.18,6.56,0,0,4096,33,6.74,0,0,0,0,0,1,0
test-lake,0,0:06.74,0,0,0,11616,0,100%,176212,0.14,6.60,0,0,4096,19,6.74,0,0,0,0,0,1,0
test-lake,0,0:06.75,0,0,0,11644,0,100%,176212,0.16,6.58,0,0,4096,17,6.75,0,0,0,0,0,1,0
test-lake,0,0:06.74,0,0,0,11592,0,99%,176212,0.16,6.58,0,0,4096,28,6.74,0,0,0,0,0,1,0
test-lake,0,0:06.76,0,0,0,11588,0,99%,176212,0.15,6.60,0,0,4096,18,6.76,0,0,0,0,0,1,0
test-lake,0,0:06.74,0,0,0,11592,0,99%,176212,0.13,6.60,0,0,4096,27,6.74,0,0,0,0,0,1,0
test-lake,0,0:06.75,0,0,0,11700,0,99%,176214,0.14,6.60,0,0,4096,17,6.75,0,0,0,0,0,1,0
test-lake,0,0:06.75,0,0,0,11620,0,99%,176212,0.15,6.59,0,0,4096,22,6.75,0,0,0,0,0,1,0
test-lake,0,0:06.74,0,0,0,11660,0,99%,176213,0.13,6.60,0,0,4096,30,6.74,0,0,0,0,0,1,0
test-lake,0,0:06.75,0,0,0,11660,0,99%,176213,0.19,6.56,0,0,4096,16,6.75,0,0,0,0,0,1,0
test-lake,0,0:06.74,0,0,0,11656,0,99%,176214,0.16,6.58,0,0,4096,31,6.74,0,0,0,0,0,1,0
test-lake,0,0:06.75,0,0,0,11620,0,100%,176212,0.15,6.59,0,0,4096,18,6.75,0,0,0,0,0,1,0
test-lake,0,0:06.74,0,0,0,11540,0,100%,176212,0.16,6.58,0,0,4096,25,6.74,0,0,0,0,0,1,0
test-lake,0,0:06.75,0,0,0,11540,0,100%,176212,0.12,6.62,0,0,4096,26,6.75,0,0,0,0,0,1,0
test-lake,0,0:06.74,0,0,0,11596,0,99%,176211,0.17,6.57,0,0,4096,33,6.74,0,0,0,0,0,1,0
test-lake,0,0:06.75,0,0,0,11612,0,99%,176212,0.13,6.61,0,0,4096,16,6.75,0,0,0,0,0,1,0
test-lake,0,0:06.74,0,0,0,11608,0,100%,176212,0.15,6.59,0,0,4096,31,6.74,0,0,0,0,0,1,0
