cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,2:24.81,0,0,0,207872,0,100%,54298,0.04,144.77,0,0,4096,295,144.81,0,0,0,0,0,1,0
test,0,2:24.69,0,0,0,207820,0,99%,54296,0.06,144.63,0,0,4096,632,144.69,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207860,0,99%,54296,0.05,144.62,0,0,4096,487,144.68,0,0,0,0,0,1,0
test,0,2:24.81,0,0,0,207812,0,99%,54295,0.05,144.75,0,0,4096,304,144.81,0,0,0,0,0,1,0
test,0,2:24.72,0,0,0,207908,0,99%,54297,0.04,144.67,0,0,4096,550,144.72,0,0,0,0,0,1,0
test,0,2:24.69,0,0,0,207764,0,99%,54295,0.04,144.65,0,0,4096,346,144.69,0,0,0,0,0,1,0
test,0,2:24.67,0,0,0,207812,0,99%,54296,0.04,144.63,0,0,4096,471,144.67,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207872,0,99%,54297,0.06,144.73,0,0,4096,330,144.80,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207768,0,99%,54295,0.05,144.63,0,0,4096,490,144.68,0,0,0,0,0,1,0
test,0,2:24.67,0,0,0,207768,0,99%,54295,0.04,144.62,0,0,4096,449,144.67,0,0,0,0,0,1,0
test,0,2:24.70,0,0,0,207844,0,99%,54297,0.06,144.64,0,0,4096,587,144.70,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207764,0,99%,54295,0.04,144.75,0,0,4096,300,144.80,0,0,0,0,0,1,0
test,0,2:24.69,0,0,0,207820,0,99%,54296,0.05,144.63,0,0,4096,598,144.69,0,0,0,0,0,1,0
test,0,2:24.70,0,0,0,207872,0,99%,54297,0.05,144.64,0,0,4096,378,144.70,0,0,0,0,0,1,0
test,0,2:24.66,0,0,0,207812,0,99%,54295,0.06,144.59,0,0,4096,383,144.66,0,0,0,0,0,1,0
test,0,2:24.65,0,0,0,207828,0,99%,54297,0.06,144.59,0,0,4096,563,144.65,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207908,0,99%,54297,0.04,144.73,0,0,4096,298,144.78,0,0,0,0,0,1,0
test,0,2:25.39,0,0,0,207816,0,99%,54296,0.05,145.33,0,0,4096,528,145.39,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207816,0,99%,54296,0.07,144.73,0,0,4096,313,144.80,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207908,0,99%,54297,0.06,144.61,0,0,4096,567,144.68,0,0,0,0,0,1,0
test,0,2:24.84,0,0,0,207844,0,100%,54297,0.06,144.78,0,0,4096,324,144.84,0,0,0,0,0,1,0
test,0,2:24.69,0,0,0,207768,0,99%,54295,0.05,144.63,0,0,4096,437,144.69,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207916,0,99%,54297,0.07,144.72,0,0,4096,634,144.79,0,0,0,0,0,1,0
test,0,2:24.69,0,0,0,207828,0,99%,54297,0.05,144.64,0,0,4096,614,144.69,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207872,0,100%,54297,0.05,144.75,0,0,4096,303,144.80,0,0,0,0,0,1,0
test,0,2:24.89,0,0,0,207764,0,99%,54295,0.05,144.83,0,0,4096,342,144.89,0,0,0,0,0,1,0
test,0,2:24.75,0,0,0,207768,0,99%,54295,0.05,144.70,0,0,4096,411,144.75,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207916,0,99%,54297,0.05,144.63,0,0,4096,509,144.68,0,0,0,0,0,1,0
test,0,2:24.82,0,0,0,207916,0,99%,54297,0.05,144.76,0,0,4096,299,144.82,0,0,0,0,0,1,0
test,0,2:24.73,0,0,0,207824,0,99%,54296,0.04,144.67,0,0,4096,545,144.73,0,0,0,0,0,1,0
ref,0,2:39.37,0,0,0,207776,0,99%,54296,0.05,159.31,0,0,4096,623,159.37,0,0,0,0,0,1,0
ref,0,2:40.53,0,0,0,207908,0,99%,54298,0.06,160.46,0,0,4096,410,160.53,0,0,0,0,0,1,0
ref,0,2:39.44,0,0,0,207844,0,99%,54297,0.05,159.39,0,0,4096,551,159.44,0,0,0,0,0,1,0
ref,0,2:40.53,0,0,0,207844,0,99%,54297,0.05,160.48,0,0,4096,306,160.53,0,0,0,0,0,1,0
ref,0,2:39.31,0,0,0,207844,0,99%,54297,0.05,159.26,0,0,4096,422,159.31,0,0,0,0,0,1,0
ref,0,2:40.57,0,0,0,207904,0,100%,54297,0.04,160.53,0,0,4096,330,160.57,0,0,0,0,0,1,0
ref,0,2:39.35,0,0,0,207816,0,99%,54296,0.05,159.30,0,0,4096,549,159.35,0,0,0,0,0,1,0
ref,0,2:39.43,0,0,0,207824,0,99%,54296,0.05,159.37,0,0,4096,675,159.43,0,0,0,0,0,1,0
ref,0,2:39.38,0,0,0,207916,0,99%,54297,0.04,159.32,0,0,4096,583,159.38,0,0,0,0,0,1,0
ref,0,2:39.38,0,0,0,207844,0,99%,54297,0.04,159.33,0,0,4096,439,159.38,0,0,0,0,0,1,0
ref,0,2:39.41,0,0,0,207916,0,99%,54297,0.05,159.35,0,0,4096,399,159.41,0,0,0,0,0,1,0
ref,0,2:40.52,0,0,0,207812,0,100%,54295,0.04,160.48,0,0,4096,323,160.52,0,0,0,0,0,1,0
ref,0,2:39.33,0,0,0,207812,0,99%,54295,0.05,159.26,0,0,4096,514,159.33,0,0,0,0,0,1,0
ref,0,2:39.36,0,0,0,207844,0,99%,54297,0.04,159.32,0,0,4096,584,159.36,0,0,0,0,0,1,0
ref,0,2:39.33,0,0,0,207768,0,99%,54295,0.05,159.28,0,0,4096,726,159.33,0,0,0,0,0,1,0
ref,0,2:39.33,0,0,0,207768,0,99%,54295,0.06,159.26,0,0,4096,580,159.33,0,0,0,0,0,1,0
ref,0,2:39.34,0,0,0,207828,0,99%,54297,0.03,159.29,0,0,4096,588,159.34,0,0,0,0,0,1,0
ref,0,2:39.32,0,0,0,207916,0,99%,54297,0.05,159.27,0,0,4096,500,159.32,0,0,0,0,0,1,0
ref,0,2:40.51,0,0,0,207764,0,99%,54295,0.05,160.45,0,0,4096,343,160.51,0,0,0,0,0,1,0
ref,0,2:39.35,0,0,0,207816,0,99%,54296,0.05,159.29,0,0,4096,666,159.35,0,0,0,0,0,1,0
ref,0,2:40.54,0,0,0,207824,0,100%,54297,0.03,160.51,0,0,4096,335,160.54,0,0,0,0,0,1,0
ref,0,2:39.37,0,0,0,207768,0,99%,54296,0.05,159.31,0,0,4096,518,159.37,0,0,0,0,0,1,0
ref,0,2:39.39,0,0,0,207816,0,99%,54297,0.06,159.32,0,0,4096,591,159.39,0,0,0,0,0,1,0
ref,0,2:40.56,0,0,0,207764,0,99%,54295,0.05,160.50,0,0,4096,319,160.56,0,0,0,0,0,1,0
ref,0,2:39.33,0,0,0,207812,0,99%,54296,0.04,159.29,0,0,4096,697,159.33,0,0,0,0,0,1,0
ref,0,2:39.37,0,0,0,207772,0,99%,54296,0.04,159.32,0,0,4096,606,159.37,0,0,0,0,0,1,0
ref,0,2:39.33,0,0,0,207776,0,99%,54296,0.05,159.27,0,0,4096,644,159.33,0,0,0,0,0,1,0
ref,0,2:40.51,0,0,0,207824,0,99%,54296,0.05,160.45,0,0,4096,348,160.51,0,0,0,0,0,1,0
ref,0,2:39.33,0,0,0,207808,0,99%,54295,0.05,159.27,0,0,4096,665,159.33,0,0,0,0,0,1,0
ref,0,2:39.30,0,0,0,207812,0,99%,54296,0.01,159.28,0,0,4096,492,159.30,0,0,0,0,0,1,0
train,0,2:37.96,0,0,0,207768,0,99%,54295,0.04,157.91,0,0,4096,627,157.96,0,0,0,0,0,1,0
train,0,2:39.17,0,0,0,207828,0,100%,54298,0.04,159.12,0,0,4096,341,159.17,0,0,0,0,0,1,0
train,0,2:37.96,0,0,0,207768,0,99%,54295,0.05,157.91,0,0,4096,615,157.96,0,0,0,0,0,1,0
train,0,2:37.99,0,0,0,207808,0,99%,54295,0.04,157.94,0,0,4096,413,157.99,0,0,0,0,0,1,0
train,0,2:39.16,0,0,0,207860,0,99%,54296,0.05,159.10,0,0,4096,353,159.16,0,0,0,0,0,1,0
train,0,2:39.16,0,0,0,207820,0,100%,54296,0.03,159.13,0,0,4096,379,159.16,0,0,0,0,0,1,0
train,0,2:39.17,0,0,0,207860,0,99%,54296,0.05,159.11,0,0,4096,373,159.17,0,0,0,0,0,1,0
train,0,2:37.96,0,0,0,207908,0,99%,54297,0.03,157.91,0,0,4096,500,157.96,0,0,0,0,0,1,0
train,0,2:39.19,0,0,0,207872,0,99%,54297,0.07,159.11,0,0,4096,381,159.19,0,0,0,0,0,1,0
train,0,2:37.98,0,0,0,207908,0,99%,54297,0.05,157.92,0,0,4096,533,157.98,0,0,0,0,0,1,0
train,0,2:37.99,0,0,0,207860,0,99%,54296,0.04,157.94,0,0,4096,625,157.99,0,0,0,0,0,1,0
train,0,2:39.18,0,0,0,207828,0,100%,54297,0.04,159.13,0,0,4096,317,159.18,0,0,0,0,0,1,0
