cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,2:24.65,0,0,0,207812,0,99%,54295,0.04,144.60,0,0,4096,521,144.65,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207840,0,99%,54297,0.03,144.64,0,0,4096,432,144.68,0,0,0,0,0,1,0
test,0,2:24.99,0,0,0,207820,0,99%,54296,0.04,144.94,0,0,4096,294,144.99,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207908,0,100%,54297,0.06,144.73,0,0,4096,307,144.79,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207872,0,99%,54297,0.05,144.62,0,0,4096,441,144.68,0,0,0,0,0,1,0
test,0,2:24.67,0,0,0,207860,0,99%,54296,0.05,144.61,0,0,4096,484,144.67,0,0,0,0,0,1,0
test,0,2:24.67,0,0,0,207824,0,99%,54296,0.05,144.61,0,0,4096,493,144.67,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207872,0,99%,54297,0.06,144.61,0,0,4096,429,144.68,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207764,0,99%,54295,0.04,144.64,0,0,4096,465,144.68,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207820,0,99%,54296,0.06,144.73,0,0,4096,299,144.80,0,0,0,0,0,1,0
test,0,2:24.70,0,0,0,207908,0,99%,54297,0.05,144.64,0,0,4096,364,144.70,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207824,0,99%,54296,0.06,144.72,0,0,4096,299,144.78,0,0,0,0,0,1,0
test,0,2:24.96,0,0,0,207824,0,99%,54296,0.04,144.91,0,0,4096,453,144.96,0,0,0,0,0,1,0
test,0,2:24.82,0,0,0,207764,0,99%,54295,0.05,144.76,0,0,4096,305,144.82,0,0,0,0,0,1,0
test,0,2:24.71,0,0,0,207912,0,99%,54297,0.04,144.66,0,0,4096,526,144.71,0,0,0,0,0,1,0
test,0,2:24.81,0,0,0,207764,0,99%,54295,0.05,144.75,0,0,4096,338,144.81,0,0,0,0,0,1,0
test,0,2:24.69,0,0,0,207820,0,99%,54296,0.04,144.64,0,0,4096,446,144.69,0,0,0,0,0,1,0
test,0,2:24.69,0,0,0,207828,0,99%,54297,0.04,144.65,0,0,4096,440,144.69,0,0,0,0,0,1,0
test,0,2:24.66,0,0,0,207824,0,99%,54296,0.04,144.61,0,0,4096,519,144.66,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207764,0,100%,54295,0.07,144.70,0,0,4096,296,144.78,0,0,0,0,0,1,0
test,0,2:25.05,0,0,0,207824,0,99%,54296,0.05,144.99,0,0,4096,450,145.05,0,0,0,0,0,1,0
test,0,2:24.66,0,0,0,207872,0,99%,54297,0.05,144.60,0,0,4096,594,144.66,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207812,0,99%,54295,0.05,144.73,0,0,4096,303,144.79,0,0,0,0,0,1,0
test,0,2:24.69,0,0,0,207768,0,99%,54295,0.05,144.63,0,0,4096,510,144.69,0,0,0,0,0,1,0
test,0,2:24.64,0,0,0,207916,0,99%,54297,0.05,144.59,0,0,4096,369,144.64,0,0,0,0,0,1,0
test,0,2:24.67,0,0,0,207812,0,99%,54295,0.06,144.61,0,0,4096,485,144.67,0,0,0,0,0,1,0
