cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,2:24.67,0,0,0,207904,0,99%,54297,0.05,144.62,0,0,4096,558,144.67,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207824,0,99%,54296,0.05,144.73,0,0,4096,490,144.78,0,0,0,0,0,1,0
test,0,2:24.73,0,0,0,207912,0,99%,54297,0.06,144.67,0,0,4096,616,144.73,0,0,0,0,0,1,0
test,0,2:24.69,0,0,0,207768,0,99%,54295,0.05,144.63,0,0,4096,609,144.69,0,0,0,0,0,1,0
test,0,2:24.83,0,0,0,207916,0,99%,54297,0.04,144.78,0,0,4096,320,144.83,0,0,0,0,0,1,0
test,0,2:24.69,0,0,0,207872,0,99%,54297,0.05,144.63,0,0,4096,462,144.69,0,0,0,0,0,1,0
test,0,2:24.69,0,0,0,207764,0,99%,54295,0.05,144.63,0,0,4096,451,144.69,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207828,0,99%,54297,0.04,144.63,0,0,4096,358,144.68,0,0,0,0,0,1,0
test,0,2:24.82,0,0,0,207844,0,99%,54297,0.04,144.78,0,0,4096,316,144.82,0,0,0,0,0,1,0
test,0,2:24.73,0,0,0,207772,0,99%,54296,0.05,144.67,0,0,4096,545,144.73,0,0,0,0,0,1,0
test,0,2:24.72,0,0,0,207844,0,99%,54297,0.07,144.64,0,0,4096,502,144.72,0,0,0,0,0,1,0
test,0,2:24.70,0,0,0,207860,0,99%,54296,0.06,144.64,0,0,4096,615,144.70,0,0,0,0,0,1,0
test,0,2:24.81,0,0,0,207820,0,99%,54296,0.05,144.76,0,0,4096,288,144.81,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207776,0,99%,54296,0.03,144.63,0,0,4096,430,144.68,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207824,0,99%,54296,0.05,144.73,0,0,4096,312,144.79,0,0,0,0,0,1,0
test,0,2:24.69,0,0,0,207820,0,99%,54296,0.05,144.63,0,0,4096,550,144.69,0,0,0,0,0,1,0
test,0,2:24.71,0,0,0,207812,0,99%,54295,0.06,144.65,0,0,4096,446,144.71,0,0,0,0,0,1,0
test,0,2:24.71,0,0,0,207768,0,99%,54295,0.03,144.67,0,0,4096,393,144.71,0,0,0,0,0,1,0
test,0,2:25.10,0,0,0,207868,0,99%,54297,0.05,145.04,0,0,4096,275,145.10,0,0,0,0,0,1,0
test,0,2:24.69,0,0,0,207768,0,99%,54295,0.03,144.65,0,0,4096,363,144.69,0,0,0,0,0,1,0
test,0,2:24.65,0,0,0,207768,0,99%,54295,0.04,144.60,0,0,4096,530,144.65,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207820,0,99%,54296,0.04,144.76,0,0,4096,281,144.80,0,0,0,0,0,1,0
test,0,2:24.66,0,0,0,207844,0,99%,54297,0.05,144.61,0,0,4096,408,144.66,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207908,0,99%,54297,0.06,144.74,0,0,4096,311,144.80,0,0,0,0,0,1,0
test,0,2:24.81,0,0,0,207828,0,99%,54297,0.04,144.76,0,0,4096,317,144.81,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207768,0,99%,54295,0.05,144.63,0,0,4096,529,144.68,0,0,0,0,0,1,0
test,0,2:24.70,0,0,0,207908,0,99%,54297,0.04,144.65,0,0,4096,551,144.70,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207912,0,99%,54297,0.05,144.73,0,0,4096,515,144.79,0,0,0,0,0,1,0
test,0,2:24.85,0,0,0,207872,0,99%,54297,0.03,144.80,0,0,4096,313,144.85,0,0,0,0,0,1,0
test,0,2:24.71,0,0,0,207764,0,99%,54295,0.04,144.67,0,0,4096,365,144.71,0,0,0,0,0,1,0
ref,0,2:40.58,0,0,0,207768,0,99%,54295,0.06,160.51,0,0,4096,383,160.58,0,0,0,0,0,1,0
ref,0,2:40.52,0,0,0,207844,0,99%,54297,0.05,160.47,0,0,4096,365,160.52,0,0,0,0,0,1,0
ref,0,2:40.51,0,0,0,207916,0,99%,54297,0.05,160.46,0,0,4096,337,160.51,0,0,0,0,0,1,0
ref,0,2:40.03,0,0,0,207872,0,99%,54297,0.05,159.98,0,0,4096,428,160.03,0,0,0,0,0,1,0
ref,0,2:39.41,0,0,0,207776,0,99%,54296,0.04,159.36,0,0,4096,534,159.41,0,0,0,0,0,1,0
ref,0,2:39.35,0,0,0,207820,0,99%,54296,0.04,159.30,0,0,4096,449,159.35,0,0,0,0,0,1,0
ref,0,2:40.31,0,0,0,207760,0,99%,54295,0.07,160.23,0,0,4096,345,160.31,0,0,0,0,0,1,0
ref,0,2:40.53,0,0,0,207768,0,100%,54295,0.06,160.47,0,0,4096,333,160.53,0,0,0,0,0,1,0
ref,0,2:40.52,0,0,0,207768,0,100%,54295,0.04,160.48,0,0,4096,340,160.52,0,0,0,0,0,1,0
ref,0,2:39.35,0,0,0,207816,0,99%,54296,0.05,159.30,0,0,4096,450,159.35,0,0,0,0,0,1,0
ref,0,2:39.66,0,0,0,207768,0,99%,54295,0.04,159.61,0,0,4096,588,159.66,0,0,0,0,0,1,0
ref,0,2:39.34,0,0,0,207824,0,99%,54296,0.05,159.29,0,0,4096,541,159.34,0,0,0,0,0,1,0
ref,0,2:39.36,0,0,0,207760,0,99%,54295,0.03,159.31,0,0,4096,483,159.36,0,0,0,0,0,1,0
ref,0,2:39.39,0,0,0,207860,0,99%,54296,0.04,159.34,0,0,4096,477,159.39,0,0,0,0,0,1,0
ref,0,2:40.58,0,0,0,207764,0,100%,54295,0.08,160.50,0,0,4096,351,160.58,0,0,0,0,0,1,0
