cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,2:24.78,0,0,0,207868,0,99%,54297,0.04,144.73,0,0,4096,538,144.78,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207776,0,99%,54296,0.03,144.76,0,0,4096,562,144.80,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207812,0,99%,54295,0.05,144.73,0,0,4096,534,144.79,0,0,0,0,0,1,0
test,0,2:24.83,0,0,0,207828,0,100%,54297,0.06,144.77,0,0,4096,292,144.83,0,0,0,0,0,1,0
test,0,2:24.81,0,0,0,207828,0,99%,54297,0.06,144.74,0,0,4096,312,144.81,0,0,0,0,0,1,0
test,0,2:25.77,0,0,0,207764,0,99%,54295,0.06,145.71,0,0,4096,316,145.77,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207824,0,100%,54296,0.06,144.73,0,0,4096,320,144.79,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207812,0,99%,54295,0.05,144.73,0,0,4096,301,144.79,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207844,0,99%,54297,0.05,144.72,0,0,4096,501,144.78,0,0,0,0,0,1,0
test,0,2:24.88,0,0,0,207916,0,99%,54298,0.08,144.80,0,0,4096,349,144.88,0,0,0,0,0,1,0
test,0,2:24.84,0,0,0,207768,0,99%,54295,0.05,144.79,0,0,4096,368,144.84,0,0,0,0,0,1,0
test,0,2:25.15,0,0,0,207768,0,100%,54295,0.03,145.12,0,0,4096,373,145.15,0,0,0,0,0,1,0
test,0,2:24.69,0,0,0,207868,0,99%,54297,0.06,144.62,0,0,4096,431,144.69,0,0,0,0,0,1,0
test,0,2:24.81,0,0,0,207820,0,99%,54296,0.05,144.75,0,0,4096,532,144.81,0,0,0,0,0,1,0
test,0,2:24.83,0,0,0,207828,0,99%,54297,0.04,144.78,0,0,4096,291,144.83,0,0,0,0,0,1,0
test,0,2:24.88,0,0,0,207812,0,100%,54296,0.06,144.82,0,0,4096,302,144.88,0,0,0,0,0,1,0
test,0,2:24.71,0,0,0,207768,0,99%,54295,0.05,144.66,0,0,4096,395,144.71,0,0,0,0,0,1,0
test,0,2:24.77,0,0,0,207812,0,99%,54295,0.05,144.72,0,0,4096,309,144.77,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207844,0,99%,54298,0.04,144.75,0,0,4096,581,144.79,0,0,0,0,0,1,0
test,0,2:24.82,0,0,0,207844,0,100%,54297,0.04,144.78,0,0,4096,295,144.82,0,0,0,0,0,1,0
test,0,2:24.84,0,0,0,207872,0,100%,54297,0.05,144.79,0,0,4096,313,144.84,0,0,0,0,0,1,0
test,0,2:24.83,0,0,0,207908,0,99%,54297,0.05,144.77,0,0,4096,316,144.83,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207768,0,99%,54295,0.05,144.73,0,0,4096,455,144.78,0,0,0,0,0,1,0
test,0,2:24.77,0,0,0,207872,0,99%,54297,0.04,144.73,0,0,4096,474,144.77,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207820,0,99%,54296,0.05,144.75,0,0,4096,319,144.80,0,0,0,0,0,1,0
test,0,2:24.87,0,0,0,207808,0,99%,54295,0.06,144.81,0,0,4096,461,144.87,0,0,0,0,0,1,0
test,0,2:24.86,0,0,0,207764,0,100%,54295,0.05,144.81,0,0,4096,301,144.86,0,0,0,0,0,1,0
test,0,2:24.93,0,0,0,207908,0,99%,54297,0.05,144.87,0,0,4096,480,144.93,0,0,0,0,0,1,0
test,0,2:24.88,0,0,0,207824,0,100%,54296,0.05,144.83,0,0,4096,311,144.88,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207820,0,99%,54297,0.04,144.74,0,0,4096,315,144.78,0,0,0,0,0,1,0
ref,0,2:40.54,0,0,0,207776,0,99%,54296,0.05,160.49,0,0,4096,538,160.54,0,0,0,0,0,1,0
ref,0,2:40.50,0,0,0,207816,0,99%,54296,0.04,160.45,0,0,4096,527,160.50,0,0,0,0,0,1,0
ref,0,2:40.56,0,0,0,207908,0,100%,54297,0.05,160.50,0,0,4096,347,160.56,0,0,0,0,0,1,0
ref,0,2:40.56,0,0,0,207824,0,99%,54296,0.07,160.49,0,0,4096,350,160.56,0,0,0,0,0,1,0
ref,0,2:39.32,0,0,0,207824,0,99%,54296,0.04,159.28,0,0,4096,479,159.32,0,0,0,0,0,1,0
ref,0,2:40.51,0,0,0,207768,0,99%,54295,0.05,160.44,0,0,4096,461,160.51,0,0,0,0,0,1,0
ref,0,2:40.51,0,0,0,207824,0,99%,54296,0.04,160.46,0,0,4096,337,160.51,0,0,0,0,0,1,0
ref,0,2:40.83,0,0,0,207816,0,99%,54297,0.05,160.78,0,0,4096,501,160.83,0,0,0,0,0,1,0
ref,0,2:40.50,0,0,0,207776,0,99%,54296,0.05,160.45,0,0,4096,379,160.50,0,0,0,0,0,1,0
ref,0,2:41.20,0,0,0,207808,0,99%,54295,0.05,161.14,0,0,4096,397,161.20,0,0,0,0,0,1,0
ref,0,2:40.53,0,0,0,207776,0,100%,54296,0.05,160.47,0,0,4096,388,160.53,0,0,0,0,0,1,0
ref,0,2:40.50,0,0,0,207764,0,99%,54295,0.05,160.45,0,0,4096,372,160.50,0,0,0,0,0,1,0
ref,0,2:40.54,0,0,0,207776,0,99%,54296,0.07,160.47,0,0,4096,383,160.54,0,0,0,0,0,1,0
ref,0,2:40.50,0,0,0,207856,0,99%,54296,0.04,160.45,0,0,4096,581,160.50,0,0,0,0,0,1,0
ref,0,2:40.50,0,0,0,207812,0,100%,54295,0.05,160.44,0,0,4096,399,160.50,0,0,0,0,0,1,0
ref,0,2:40.50,0,0,0,207820,0,99%,54296,0.05,160.44,0,0,4096,404,160.50,0,0,0,0,0,1,0
ref,0,2:40.53,0,0,0,207764,0,100%,54295,0.06,160.47,0,0,4096,398,160.53,0,0,0,0,0,1,0
ref,0,2:40.53,0,0,0,207768,0,99%,54295,0.07,160.46,0,0,4096,404,160.53,0,0,0,0,0,1,0
ref,0,2:40.98,0,0,0,207840,0,99%,54296,0.05,160.93,0,0,4096,386,160.98,0,0,0,0,0,1,0
ref,0,2:40.49,0,0,0,207768,0,99%,54295,0.06,160.42,0,0,4096,386,160.49,0,0,0,0,0,1,0
ref,0,2:40.56,0,0,0,207768,0,99%,54295,0.05,160.50,0,0,4096,460,160.56,0,0,0,0,0,1,0
ref,0,2:40.49,0,0,0,207824,0,99%,54297,0.05,160.43,0,0,4096,355,160.49,0,0,0,0,0,1,0
ref,0,2:40.49,0,0,0,207828,0,100%,54297,0.04,160.44,0,0,4096,376,160.49,0,0,0,0,0,1,0
ref,0,2:40.54,0,0,0,207764,0,99%,54295,0.04,160.49,0,0,4096,424,160.54,0,0,0,0,0,1,0
ref,0,2:40.49,0,0,0,207768,0,100%,54295,0.05,160.44,0,0,4096,510,160.49,0,0,0,0,0,1,0
ref,0,2:40.54,0,0,0,207764,0,99%,54295,0.05,160.49,0,0,4096,388,160.54,0,0,0,0,0,1,0
ref,0,2:40.51,0,0,0,207824,0,99%,54296,0.03,160.47,0,0,4096,611,160.51,0,0,0,0,0,1,0
ref,0,2:40.55,0,0,0,207812,0,100%,54295,0.04,160.50,0,0,4096,445,160.55,0,0,0,0,0,1,0
