cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,2:24.78,0,0,0,207860,0,99%,54296,0.05,144.73,0,0,4096,308,144.78,0,0,0,0,0,1,0
test,0,2:24.65,0,0,0,207808,0,99%,54295,0.05,144.60,0,0,4096,414,144.65,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207764,0,99%,54295,0.05,144.73,0,0,4096,446,144.78,0,0,0,0,0,1,0
test,0,2:24.66,0,0,0,207844,0,99%,54297,0.06,144.60,0,0,4096,410,144.66,0,0,0,0,0,1,0
test,0,2:24.77,0,0,0,207828,0,99%,54297,0.05,144.71,0,0,4096,467,144.77,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207764,0,99%,54295,0.05,144.72,0,0,4096,290,144.78,0,0,0,0,0,1,0
test,0,2:24.66,0,0,0,207768,0,99%,54295,0.04,144.61,0,0,4096,394,144.66,0,0,0,0,0,1,0
test,0,2:24.99,0,0,0,207764,0,99%,54295,0.04,144.94,0,0,4096,442,144.99,0,0,0,0,0,1,0
test,0,2:24.82,0,0,0,207776,0,99%,54296,0.04,144.77,0,0,4096,389,144.82,0,0,0,0,0,1,0
test,0,2:25.48,0,0,0,207812,0,99%,54295,0.05,145.42,0,0,4096,456,145.48,0,0,0,0,0,1,0
test,0,2:24.81,0,0,0,207828,0,100%,54297,0.04,144.77,0,0,4096,352,144.81,0,0,0,0,0,1,0
test,0,2:24.83,0,0,0,207812,0,99%,54295,0.05,144.78,0,0,4096,449,144.83,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207764,0,99%,54295,0.04,144.76,0,0,4096,437,144.80,0,0,0,0,0,1,0
test,0,2:24.84,0,0,0,207824,0,100%,54296,0.06,144.77,0,0,4096,291,144.84,0,0,0,0,0,1,0
test,0,2:24.76,0,0,0,207764,0,99%,54295,0.03,144.72,0,0,4096,413,144.76,0,0,0,0,0,1,0
test,0,2:25.17,0,0,0,207860,0,99%,54296,0.04,145.12,0,0,4096,441,145.17,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207816,0,99%,54296,0.05,144.74,0,0,4096,451,144.79,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207764,0,99%,54295,0.04,144.73,0,0,4096,461,144.78,0,0,0,0,0,1,0
test,0,2:24.64,0,0,0,207776,0,99%,54296,0.05,144.58,0,0,4096,400,144.64,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207764,0,99%,54295,0.04,144.74,0,0,4096,474,144.79,0,0,0,0,0,1,0
test,0,2:24.77,0,0,0,207824,0,99%,54296,0.05,144.72,0,0,4096,433,144.77,0,0,0,0,0,1,0
test,0,2:24.77,0,0,0,207812,0,99%,54295,0.06,144.71,0,0,4096,481,144.77,0,0,0,0,0,1,0
test,0,2:24.66,0,0,0,207872,0,99%,54297,0.05,144.60,0,0,4096,382,144.66,0,0,0,0,0,1,0
