cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,2:24.71,0,0,0,207812,0,99%,54295,0.04,144.67,0,0,4096,553,144.71,0,0,0,0,0,1,0
test,0,2:24.67,0,0,0,207768,0,99%,54295,0.05,144.62,0,0,4096,416,144.67,0,0,0,0,0,1,0
test,0,2:24.69,0,0,0,207824,0,99%,54296,0.06,144.62,0,0,4096,537,144.69,0,0,0,0,0,1,0
test,0,2:24.64,0,0,0,207824,0,99%,54296,0.05,144.58,0,0,4096,465,144.64,0,0,0,0,0,1,0
test,0,2:24.66,0,0,0,207916,0,99%,54298,0.05,144.60,0,0,4096,394,144.66,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207828,0,99%,54297,0.05,144.62,0,0,4096,715,144.68,0,0,0,0,0,1,0
test,0,2:24.69,0,0,0,207844,0,99%,54297,0.04,144.64,0,0,4096,526,144.69,0,0,0,0,0,1,0
test,0,2:24.69,0,0,0,207776,0,99%,54296,0.05,144.63,0,0,4096,329,144.69,0,0,0,0,0,1,0
test,0,2:24.77,0,0,0,207860,0,99%,54296,0.04,144.72,0,0,4096,296,144.77,0,0,0,0,0,1,0
test,0,2:24.81,0,0,0,207824,0,99%,54296,0.05,144.75,0,0,4096,357,144.81,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207820,0,99%,54296,0.05,144.62,0,0,4096,438,144.68,0,0,0,0,0,1,0
test,0,2:24.71,0,0,0,207816,0,99%,54296,0.05,144.65,0,0,4096,585,144.71,0,0,0,0,0,1,0
test,0,2:24.66,0,0,0,207764,0,99%,54295,0.04,144.61,0,0,4096,644,144.66,0,0,0,0,0,1,0
test,0,2:24.67,0,0,0,207768,0,99%,54295,0.05,144.61,0,0,4096,467,144.67,0,0,0,0,0,1,0
test,0,2:24.82,0,0,0,207816,0,99%,54296,0.05,144.77,0,0,4096,299,144.82,0,0,0,0,0,1,0
test,0,2:24.71,0,0,0,207824,0,99%,54296,0.05,144.65,0,0,4096,425,144.71,0,0,0,0,0,1,0
