cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,2:24.67,0,0,0,207776,0,100%,54296,0.06,144.61,0,0,4096,338,144.67,0,0,0,0,0,1,0
test,0,2:24.77,0,0,0,207812,0,99%,54295,0.04,144.72,0,0,4096,521,144.77,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207916,0,99%,54297,0.04,144.73,0,0,4096,606,144.78,0,0,0,0,0,1,0
test,0,2:24.77,0,0,0,207820,0,99%,54296,0.05,144.71,0,0,4096,532,144.77,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207820,0,99%,54296,0.05,144.72,0,0,4096,629,144.78,0,0,0,0,0,1,0
test,0,2:24.67,0,0,0,207768,0,99%,54295,0.05,144.61,0,0,4096,421,144.67,0,0,0,0,0,1,0
test,0,2:24.73,0,0,0,207908,0,99%,54297,0.05,144.68,0,0,4096,500,144.73,0,0,0,0,0,1,0
test,0,2:24.66,0,0,0,207844,0,99%,54298,0.06,144.60,0,0,4096,429,144.66,0,0,0,0,0,1,0
test,0,2:24.70,0,0,0,207828,0,99%,54297,0.06,144.63,0,0,4096,384,144.70,0,0,0,0,0,1,0
test,0,2:24.85,0,0,0,207776,0,99%,54296,0.06,144.78,0,0,4096,413,144.85,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207764,0,99%,54295,0.04,144.63,0,0,4096,306,144.68,0,0,0,0,0,1,0
test,0,2:24.71,0,0,0,207824,0,99%,54296,0.06,144.65,0,0,4096,338,144.71,0,0,0,0,0,1,0
test,0,2:24.69,0,0,0,207844,0,99%,54297,0.04,144.65,0,0,4096,431,144.69,0,0,0,0,0,1,0
test,0,2:24.67,0,0,0,207844,0,99%,54297,0.05,144.61,0,0,4096,354,144.67,0,0,0,0,0,1,0
test,0,2:24.69,0,0,0,207820,0,99%,54297,0.05,144.63,0,0,4096,487,144.69,0,0,0,0,0,1,0
test,0,2:24.77,0,0,0,207844,0,99%,54297,0.06,144.70,0,0,4096,537,144.77,0,0,0,0,0,1,0
test,0,2:24.70,0,0,0,207816,0,99%,54296,0.05,144.64,0,0,4096,464,144.70,0,0,0,0,0,1,0
test,0,2:24.71,0,0,0,207764,0,99%,54295,0.06,144.65,0,0,4096,524,144.71,0,0,0,0,0,1,0
test,0,2:24.66,0,0,0,207912,0,99%,54297,0.05,144.60,0,0,4096,380,144.66,0,0,0,0,0,1,0
test,0,2:24.67,0,0,0,207820,0,99%,54296,0.04,144.63,0,0,4096,456,144.67,0,0,0,0,0,1,0
test,0,2:24.69,0,0,0,207908,0,99%,54297,0.04,144.65,0,0,4096,374,144.69,0,0,0,0,0,1,0
test,0,2:24.65,0,0,0,207860,0,99%,54296,0.04,144.60,0,0,4096,356,144.65,0,0,0,0,0,1,0
test,0,2:24.66,0,0,0,207816,0,99%,54296,0.03,144.62,0,0,4096,422,144.66,0,0,0,0,0,1,0
test,0,2:24.71,0,0,0,207872,0,99%,54297,0.05,144.65,0,0,4096,518,144.71,0,0,0,0,0,1,0
test,0,2:24.69,0,0,0,207844,0,99%,54297,0.05,144.63,0,0,4096,365,144.69,0,0,0,0,0,1,0
test,0,2:24.66,0,0,0,207764,0,99%,54295,0.06,144.60,0,0,4096,460,144.66,0,0,0,0,0,1,0
test,0,2:24.66,0,0,0,207764,0,99%,54295,0.04,144.62,0,0,4096,430,144.66,0,0,0,0,0,1,0
test,0,2:24.65,0,0,0,207776,0,99%,54296,0.05,144.60,0,0,4096,484,144.65,0,0,0,0,0,1,0
test,0,2:24.77,0,0,0,207844,0,99%,54298,0.04,144.72,0,0,4096,425,144.77,0,0,0,0,0,1,0
test,0,2:24.67,0,0,0,207812,0,99%,54295,0.05,144.61,0,0,4096,462,144.67,0,0,0,0,0,1,0
ref,0,2:39.30,0,0,0,207824,0,99%,54296,0.05,159.25,0,0,4096,475,159.30,0,0,0,0,0,1,0
ref,0,2:40.51,0,0,0,207912,0,99%,54297,0.03,160.47,0,0,4096,560,160.51,0,0,0,0,0,1,0
ref,0,2:39.28,0,0,0,207768,0,99%,54295,0.04,159.24,0,0,4096,443,159.28,0,0,0,0,0,1,0
ref,0,2:39.33,0,0,0,207816,0,99%,54296,0.05,159.27,0,0,4096,509,159.33,0,0,0,0,0,1,0
ref,0,2:40.48,0,0,0,207768,0,99%,54295,0.04,160.44,0,0,4096,691,160.48,0,0,0,0,0,1,0
ref,0,2:39.31,0,0,0,207808,0,99%,54295,0.03,159.27,0,0,4096,347,159.31,0,0,0,0,0,1,0
ref,0,2:39.29,0,0,0,207812,0,99%,54295,0.06,159.23,0,0,4096,426,159.29,0,0,0,0,0,1,0
ref,0,2:39.30,0,0,0,207824,0,99%,54297,0.06,159.23,0,0,4096,425,159.30,0,0,0,0,0,1,0
ref,0,2:39.37,0,0,0,207908,0,99%,54297,0.03,159.33,0,0,4096,480,159.37,0,0,0,0,0,1,0
ref,0,2:39.30,0,0,0,207908,0,99%,54297,0.03,159.27,0,0,4096,429,159.30,0,0,0,0,0,1,0
ref,0,2:39.32,0,0,0,207828,0,99%,54297,0.06,159.25,0,0,4096,434,159.32,0,0,0,0,0,1,0
ref,0,2:40.51,0,0,0,207872,0,99%,54297,0.04,160.46,0,0,4096,571,160.51,0,0,0,0,0,1,0
ref,0,2:39.30,0,0,0,207872,0,99%,54297,0.04,159.26,0,0,4096,486,159.30,0,0,0,0,0,1,0
ref,0,2:39.33,0,0,0,207812,0,99%,54296,0.05,159.27,0,0,4096,577,159.33,0,0,0,0,0,1,0
ref,0,2:39.30,0,0,0,207844,0,99%,54297,0.06,159.24,0,0,4096,536,159.30,0,0,0,0,0,1,0
ref,0,2:40.51,0,0,0,207872,0,99%,54297,0.04,160.46,0,0,4096,587,160.51,0,0,0,0,0,1,0
ref,0,2:39.87,0,0,0,207824,0,99%,54296,0.05,159.82,0,0,4096,406,159.87,0,0,0,0,0,1,0
ref,0,2:39.31,0,0,0,207776,0,99%,54296,0.05,159.25,0,0,4096,410,159.31,0,0,0,0,0,1,0
ref,0,2:39.36,0,0,0,207824,0,99%,54298,0.05,159.31,0,0,4096,370,159.36,0,0,0,0,0,1,0
ref,0,2:39.33,0,0,0,207828,0,99%,54297,0.05,159.27,0,0,4096,473,159.33,0,0,0,0,0,1,0
ref,0,2:39.31,0,0,0,207908,0,99%,54297,0.06,159.24,0,0,4096,489,159.31,0,0,0,0,0,1,0
ref,0,2:39.33,0,0,0,207844,0,99%,54297,0.04,159.28,0,0,4096,467,159.33,0,0,0,0,0,1,0
ref,0,2:40.53,0,0,0,207860,0,99%,54296,0.05,160.48,0,0,4096,578,160.53,0,0,0,0,0,1,0
ref,0,2:39.34,0,0,0,207872,0,99%,54297,0.04,159.29,0,0,4096,469,159.34,0,0,0,0,0,1,0
ref,0,2:39.34,0,0,0,207816,0,99%,54296,0.05,159.29,0,0,4096,469,159.34,0,0,0,0,0,1,0
ref,0,2:39.32,0,0,0,207824,0,99%,54296,0.06,159.25,0,0,4096,507,159.32,0,0,0,0,0,1,0
ref,0,2:39.32,0,0,0,207916,0,99%,54297,0.04,159.27,0,0,4096,523,159.32,0,0,0,0,0,1,0
ref,0,2:39.33,0,0,0,207816,0,99%,54296,0.04,159.28,0,0,4096,493,159.33,0,0,0,0,0,1,0
ref,0,2:39.32,0,0,0,207824,0,99%,54297,0.05,159.26,0,0,4096,484,159.32,0,0,0,0,0,1,0
ref,0,2:39.34,0,0,0,207824,0,99%,54296,0.04,159.29,0,0,4096,466,159.34,0,0,0,0,0,1,0
train,0,2:38.01,0,0,0,207820,0,99%,54296,0.05,157.96,0,0,4096,500,158.01,0,0,0,0,0,1,0
train,0,2:37.99,0,0,0,207844,0,99%,54297,0.05,157.94,0,0,4096,372,157.99,0,0,0,0,0,1,0
train,0,2:37.97,0,0,0,207844,0,99%,54297,0.05,157.92,0,0,4096,445,157.97,0,0,0,0,0,1,0
train,0,2:37.95,0,0,0,207824,0,99%,54296,0.05,157.89,0,0,4096,446,157.95,0,0,0,0,0,1,0
train,0,2:39.60,0,0,0,207768,0,99%,54295,0.05,159.54,0,0,4096,371,159.60,0,0,0,0,0,1,0
train,0,2:37.97,0,0,0,207872,0,99%,54297,0.05,157.92,0,0,4096,442,157.97,0,0,0,0,0,1,0
train,0,2:38.00,0,0,0,207816,0,99%,54296,0.03,157.96,0,0,4096,516,158.00,0,0,0,0,0,1,0
train,0,2:37.94,0,0,0,207764,0,99%,54295,0.05,157.88,0,0,4096,450,157.94,0,0,0,0,0,1,0
