cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,2:24.67,0,0,0,207768,0,99%,54295,0.05,144.61,0,0,4096,598,144.67,0,0,0,0,0,1,0
test,0,2:24.82,0,0,0,207764,0,99%,54295,0.04,144.77,0,0,4096,495,144.82,0,0,0,0,0,1,0
test,0,2:24.83,0,0,0,207844,0,99%,54297,0.05,144.77,0,0,4096,501,144.83,0,0,0,0,0,1,0
test,0,2:24.69,0,0,0,207768,0,99%,54295,0.05,144.64,0,0,4096,507,144.69,0,0,0,0,0,1,0
test,0,2:24.72,0,0,0,207916,0,99%,54297,0.06,144.66,0,0,4096,696,144.72,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207764,0,99%,54295,0.06,144.73,0,0,4096,443,144.80,0,0,0,0,0,1,0
test,0,2:24.81,0,0,0,207820,0,99%,54296,0.05,144.75,0,0,4096,463,144.81,0,0,0,0,0,1,0
test,0,2:24.72,0,0,0,207808,0,99%,54295,0.05,144.67,0,0,4096,645,144.72,0,0,0,0,0,1,0
test,0,2:24.81,0,0,0,207760,0,99%,54295,0.04,144.77,0,0,4096,417,144.81,0,0,0,0,0,1,0
test,0,2:24.81,0,0,0,207824,0,100%,54296,0.06,144.74,0,0,4096,299,144.81,0,0,0,0,0,1,0
test,0,2:25.77,0,0,0,207820,0,99%,54296,0.05,145.72,0,0,4096,486,145.77,0,0,0,0,0,1,0
test,0,2:25.08,0,0,0,207828,0,99%,54297,0.05,145.02,0,0,4096,402,145.08,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207824,0,99%,54296,0.05,144.73,0,0,4096,470,144.79,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207764,0,99%,54295,0.05,144.75,0,0,4096,474,144.80,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207768,0,99%,54296,0.05,144.74,0,0,4096,493,144.79,0,0,0,0,0,1,0
test,0,2:24.77,0,0,0,207764,0,99%,54295,0.05,144.71,0,0,4096,467,144.77,0,0,0,0,0,1,0
test,0,2:24.77,0,0,0,207872,0,99%,54297,0.06,144.71,0,0,4096,509,144.77,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207908,0,99%,54297,0.06,144.73,0,0,4096,493,144.80,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207872,0,99%,54297,0.05,144.75,0,0,4096,377,144.80,0,0,0,0,0,1,0
test,0,2:24.67,0,0,0,207824,0,99%,54296,0.07,144.60,0,0,4096,432,144.67,0,0,0,0,0,1,0
test,0,2:24.81,0,0,0,207764,0,99%,54295,0.04,144.77,0,0,4096,460,144.81,0,0,0,0,0,1,0
test,0,2:24.86,0,0,0,207764,0,100%,54295,0.04,144.81,0,0,4096,447,144.86,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207860,0,99%,54296,0.05,144.63,0,0,4096,433,144.68,0,0,0,0,0,1,0
test,0,2:24.83,0,0,0,207824,0,99%,54297,0.06,144.77,0,0,4096,412,144.83,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207844,0,100%,54297,0.06,144.72,0,0,4096,414,144.79,0,0,0,0,0,1,0
test,0,2:24.81,0,0,0,207860,0,99%,54296,0.06,144.75,0,0,4096,287,144.81,0,0,0,0,0,1,0
test,0,2:24.70,0,0,0,207812,0,99%,54295,0.05,144.64,0,0,4096,520,144.70,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207828,0,99%,54298,0.07,144.71,0,0,4096,450,144.79,0,0,0,0,0,1,0
test,0,2:24.69,0,0,0,207768,0,99%,54295,0.04,144.64,0,0,4096,593,144.69,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207820,0,99%,54296,0.05,144.73,0,0,4096,539,144.78,0,0,0,0,0,1,0
ref,0,2:40.92,0,0,0,207768,0,99%,54295,0.05,160.86,0,0,4096,551,160.92,0,0,0,0,0,1,0
ref,0,2:39.31,0,0,0,207820,0,99%,54296,0.06,159.24,0,0,4096,537,159.31,0,0,0,0,0,1,0
ref,0,2:39.46,0,0,0,207824,0,99%,54296,0.05,159.41,0,0,4096,386,159.46,0,0,0,0,0,1,0
ref,0,2:39.31,0,0,0,207872,0,99%,54297,0.05,159.25,0,0,4096,437,159.31,0,0,0,0,0,1,0
ref,0,2:40.60,0,0,0,207824,0,99%,54296,0.04,160.55,0,0,4096,542,160.60,0,0,0,0,0,1,0
ref,0,2:39.37,0,0,0,207844,0,99%,54297,0.05,159.32,0,0,4096,412,159.37,0,0,0,0,0,1,0
ref,0,2:39.37,0,0,0,207772,0,99%,54296,0.05,159.31,0,0,4096,532,159.37,0,0,0,0,0,1,0
ref,0,2:40.52,0,0,0,207776,0,99%,54296,0.04,160.47,0,0,4096,581,160.52,0,0,0,0,0,1,0
ref,0,2:41.79,0,0,0,207844,0,99%,54297,0.05,161.73,0,0,4096,517,161.79,0,0,0,0,0,1,0
ref,0,2:39.51,0,0,0,207916,0,99%,54297,0.04,159.46,0,0,4096,461,159.51,0,0,0,0,0,1,0
ref,0,2:39.46,0,0,0,207812,0,99%,54295,0.04,159.41,0,0,4096,496,159.46,0,0,0,0,0,1,0
ref,0,2:39.55,0,0,0,207816,0,99%,54296,0.04,159.50,0,0,4096,440,159.55,0,0,0,0,0,1,0
ref,0,2:39.35,0,0,0,207812,0,99%,54296,0.05,159.29,0,0,4096,485,159.35,0,0,0,0,0,1,0
ref,0,2:39.37,0,0,0,207768,0,99%,54295,0.04,159.32,0,0,4096,395,159.37,0,0,0,0,0,1,0
ref,0,2:39.33,0,0,0,207860,0,99%,54296,0.06,159.26,0,0,4096,416,159.33,0,0,0,0,0,1,0
ref,0,2:39.48,0,0,0,207824,0,99%,54296,0.05,159.42,0,0,4096,503,159.48,0,0,0,0,0,1,0
ref,0,2:39.37,0,0,0,207812,0,99%,54295,0.06,159.31,0,0,4096,499,159.37,0,0,0,0,0,1,0
ref,0,2:39.81,0,0,0,207776,0,99%,54296,0.05,159.75,0,0,4096,480,159.81,0,0,0,0,0,1,0
ref,0,2:39.74,0,0,0,207916,0,99%,54297,0.05,159.68,0,0,4096,456,159.74,0,0,0,0,0,1,0
ref,0,2:39.41,0,0,0,207908,0,99%,54297,0.05,159.35,0,0,4096,432,159.41,0,0,0,0,0,1,0
ref,0,2:39.34,0,0,0,207816,0,99%,54296,0.05,159.28,0,0,4096,486,159.34,0,0,0,0,0,1,0
ref,0,2:39.31,0,0,0,207820,0,99%,54296,0.06,159.24,0,0,4096,430,159.31,0,0,0,0,0,1,0
ref,0,2:39.34,0,0,0,207776,0,99%,54296,0.05,159.28,0,0,4096,467,159.34,0,0,0,0,0,1,0
ref,0,2:39.32,0,0,0,207824,0,99%,54296,0.07,159.25,0,0,4096,566,159.32,0,0,0,0,0,1,0
ref,0,2:39.37,0,0,0,207776,0,99%,54296,0.03,159.33,0,0,4096,424,159.37,0,0,0,0,0,1,0
ref,0,2:39.29,0,0,0,207868,0,99%,54297,0.05,159.22,0,0,4096,517,159.29,0,0,0,0,0,1,0
ref,0,2:39.35,0,0,0,207816,0,99%,54296,0.05,159.29,0,0,4096,471,159.35,0,0,0,0,0,1,0
ref,0,2:39.35,0,0,0,207764,0,99%,54295,0.05,159.30,0,0,4096,575,159.35,0,0,0,0,0,1,0
ref,0,2:39.40,0,0,0,207868,0,99%,54297,0.07,159.33,0,0,4096,475,159.40,0,0,0,0,0,1,0
ref,0,2:39.37,0,0,0,207824,0,99%,54296,0.04,159.33,0,0,4096,515,159.37,0,0,0,0,0,1,0
train,0,2:38.00,0,0,0,207768,0,99%,54295,0.07,157.93,0,0,4096,444,158.00,0,0,0,0,0,1,0
train,0,2:38.01,0,0,0,207860,0,99%,54296,0.05,157.95,0,0,4096,456,158.01,0,0,0,0,0,1,0
train,0,2:39.14,0,0,0,207776,0,99%,54296,0.05,159.08,0,0,4096,564,159.14,0,0,0,0,0,1,0
train,0,2:38.00,0,0,0,207768,0,99%,54295,0.06,157.93,0,0,4096,423,158.00,0,0,0,0,0,1,0
train,0,2:38.01,0,0,0,207824,0,99%,54296,0.04,157.96,0,0,4096,471,158.01,0,0,0,0,0,1,0
train,0,2:37.98,0,0,0,207820,0,99%,54296,0.05,157.93,0,0,4096,456,157.98,0,0,0,0,0,1,0
train,0,2:37.97,0,0,0,207776,0,99%,54296,0.05,157.91,0,0,4096,416,157.97,0,0,0,0,0,1,0
train,0,2:38.03,0,0,0,207828,0,99%,54297,0.06,157.96,0,0,4096,444,158.03,0,0,0,0,0,1,0
train,0,2:38.00,0,0,0,207860,0,99%,54296,0.05,157.94,0,0,4096,479,158.00,0,0,0,0,0,1,0
train,0,2:37.97,0,0,0,207824,0,99%,54296,0.06,157.90,0,0,4096,347,157.97,0,0,0,0,0,1,0
train,0,2:37.97,0,0,0,207912,0,99%,54298,0.07,157.90,0,0,4096,607,157.97,0,0,0,0,0,1,0
train,0,2:37.99,0,0,0,207912,0,99%,54297,0.06,157.93,0,0,4096,473,157.99,0,0,0,0,0,1,0
train,0,2:38.01,0,0,0,207764,0,99%,54295,0.05,157.95,0,0,4096,683,158.01,0,0,0,0,0,1,0
train,0,2:38.01,0,0,0,207776,0,99%,54296,0.04,157.96,0,0,4096,519,158.01,0,0,0,0,0,1,0
train,0,2:37.99,0,0,0,207872,0,99%,54297,0.06,157.93,0,0,4096,517,157.99,0,0,0,0,0,1,0
train,0,2:37.97,0,0,0,207844,0,99%,54297,0.07,157.89,0,0,4096,444,157.97,0,0,0,0,0,1,0
train,0,2:37.98,0,0,0,207908,0,99%,54297,0.04,157.93,0,0,4096,531,157.98,0,0,0,0,0,1,0
train,0,2:38.01,0,0,0,207808,0,99%,54295,0.05,157.95,0,0,4096,738,158.01,0,0,0,0,0,1,0
train,0,2:38.00,0,0,0,207776,0,99%,54296,0.06,157.94,0,0,4096,499,158.00,0,0,0,0,0,1,0
train,0,2:37.97,0,0,0,207764,0,99%,54295,0.04,157.92,0,0,4096,494,157.97,0,0,0,0,0,1,0
train,0,2:38.00,0,0,0,207768,0,99%,54295,0.03,157.96,0,0,4096,461,158.00,0,0,0,0,0,1,0
train,0,2:37.98,0,0,0,207868,0,99%,54297,0.05,157.92,0,0,4096,509,157.98,0,0,0,0,0,1,0
train,0,2:37.97,0,0,0,207908,0,99%,54297,0.05,157.91,0,0,4096,439,157.97,0,0,0,0,0,1,0
train,0,2:38.00,0,0,0,207768,0,99%,54295,0.06,157.93,0,0,4096,580,158.00,0,0,0,0,0,1,0
train,0,2:38.11,0,0,0,207812,0,99%,54296,0.05,158.06,0,0,4096,483,158.11,0,0,0,0,0,1,0
train,0,2:38.02,0,0,0,207816,0,99%,54296,0.05,157.96,0,0,4096,448,158.02,0,0,0,0,0,1,0
train,0,2:38.02,0,0,0,207872,0,99%,54297,0.06,157.96,0,0,4096,534,158.02,0,0,0,0,0,1,0
train,0,2:37.98,0,0,0,207768,0,99%,54295,0.05,157.92,0,0,4096,570,157.98,0,0,0,0,0,1,0
train,0,2:38.02,0,0,0,207844,0,99%,54298,0.05,157.97,0,0,4096,583,158.02,0,0,0,0,0,1,0
train,0,2:38.00,0,0,0,207764,0,99%,54295,0.06,157.93,0,0,4096,455,158.00,0,0,0,0,0,1,0
