cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,2:24.69,0,0,0,207764,0,99%,54295,0.05,144.64,0,0,4096,466,144.69,0,0,0,0,0,1,0
test,0,2:24.81,0,0,0,207808,0,99%,54295,0.05,144.76,0,0,4096,313,144.81,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207772,0,99%,54296,0.05,144.62,0,0,4096,568,144.68,0,0,0,0,0,1,0
test,0,2:24.82,0,0,0,207812,0,100%,54295,0.06,144.76,0,0,4096,335,144.82,0,0,0,0,0,1,0
test,0,2:24.72,0,0,0,207872,0,99%,54298,0.04,144.67,0,0,4096,388,144.72,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207768,0,100%,54295,0.04,144.76,0,0,4096,304,144.80,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207768,0,99%,54295,0.04,144.63,0,0,4096,436,144.68,0,0,0,0,0,1,0
test,0,2:24.85,0,0,0,207816,0,99%,54296,0.05,144.79,0,0,4096,494,144.85,0,0,0,0,0,1,0
test,0,2:24.69,0,0,0,207868,0,99%,54297,0.04,144.64,0,0,4096,574,144.69,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207824,0,99%,54296,0.04,144.75,0,0,4096,309,144.80,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207824,0,99%,54296,0.04,144.63,0,0,4096,401,144.68,0,0,0,0,0,1,0
test,0,2:24.81,0,0,0,207768,0,99%,54295,0.04,144.77,0,0,4096,323,144.81,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207824,0,99%,54296,0.05,144.62,0,0,4096,546,144.68,0,0,0,0,0,1,0
test,0,2:24.81,0,0,0,207776,0,99%,54296,0.04,144.77,0,0,4096,287,144.81,0,0,0,0,0,1,0
test,0,2:24.77,0,0,0,207768,0,99%,54295,0.04,144.72,0,0,4096,507,144.77,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207824,0,100%,54296,0.05,144.75,0,0,4096,322,144.80,0,0,0,0,0,1,0
test,0,2:24.67,0,0,0,207812,0,99%,54295,0.05,144.61,0,0,4096,565,144.67,0,0,0,0,0,1,0
test,0,2:24.73,0,0,0,207824,0,99%,54296,0.06,144.67,0,0,4096,593,144.73,0,0,0,0,0,1,0
test,0,2:25.36,0,0,0,207776,0,99%,54296,0.05,145.31,0,0,4096,416,145.36,0,0,0,0,0,1,0
test,0,2:24.67,0,0,0,207776,0,99%,54296,0.04,144.62,0,0,4096,537,144.67,0,0,0,0,0,1,0
test,0,2:24.83,0,0,0,207764,0,99%,54295,0.04,144.79,0,0,4096,510,144.83,0,0,0,0,0,1,0
test,0,2:24.70,0,0,0,207908,0,99%,54297,0.03,144.67,0,0,4096,490,144.70,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207824,0,99%,54296,0.04,144.73,0,0,4096,352,144.78,0,0,0,0,0,1,0
test,0,2:24.67,0,0,0,207764,0,99%,54295,0.03,144.63,0,0,4096,595,144.67,0,0,0,0,0,1,0
test,0,2:24.69,0,0,0,207768,0,99%,54295,0.05,144.63,0,0,4096,681,144.69,0,0,0,0,0,1,0
test,0,2:24.70,0,0,0,207908,0,99%,54297,0.06,144.64,0,0,4096,408,144.70,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207824,0,100%,54296,0.04,144.74,0,0,4096,303,144.79,0,0,0,0,0,1,0
test,0,2:24.70,0,0,0,207812,0,99%,54295,0.05,144.64,0,0,4096,579,144.70,0,0,0,0,0,1,0
test,0,2:24.69,0,0,0,207808,0,99%,54295,0.04,144.64,0,0,4096,367,144.69,0,0,0,0,0,1,0
test,0,2:24.81,0,0,0,207812,0,99%,54296,0.05,144.75,0,0,4096,312,144.81,0,0,0,0,0,1,0
ref,0,2:39.34,0,0,0,207768,0,99%,54295,0.05,159.29,0,0,4096,661,159.34,0,0,0,0,0,1,0
ref,0,2:39.33,0,0,0,207820,0,99%,54296,0.05,159.27,0,0,4096,395,159.33,0,0,0,0,0,1,0
ref,0,2:40.50,0,0,0,207908,0,99%,54297,0.05,160.45,0,0,4096,332,160.50,0,0,0,0,0,1,0
ref,0,2:40.05,0,0,0,207908,0,99%,54297,0.06,159.98,0,0,4096,570,160.05,0,0,0,0,0,1,0
ref,0,2:40.55,0,0,0,207764,0,100%,54295,0.05,160.50,0,0,4096,331,160.55,0,0,0,0,0,1,0
ref,0,2:39.36,0,0,0,207824,0,99%,54296,0.04,159.31,0,0,4096,549,159.36,0,0,0,0,0,1,0
ref,0,2:39.32,0,0,0,207872,0,99%,54297,0.05,159.26,0,0,4096,565,159.32,0,0,0,0,0,1,0
ref,0,2:40.15,0,0,0,207856,0,99%,54296,0.05,160.10,0,0,4096,418,160.15,0,0,0,0,0,1,0
ref,0,2:39.35,0,0,0,207816,0,99%,54296,0.05,159.29,0,0,4096,539,159.35,0,0,0,0,0,1,0
ref,0,2:39.33,0,0,0,207812,0,99%,54295,0.04,159.29,0,0,4096,632,159.33,0,0,0,0,0,1,0
ref,0,2:39.34,0,0,0,207812,0,99%,54295,0.04,159.29,0,0,4096,604,159.34,0,0,0,0,0,1,0
ref,0,2:39.35,0,0,0,207764,0,99%,54295,0.05,159.29,0,0,4096,438,159.35,0,0,0,0,0,1,0
ref,0,2:39.35,0,0,0,207768,0,99%,54295,0.06,159.29,0,0,4096,470,159.35,0,0,0,0,0,1,0
ref,0,2:39.37,0,0,0,207812,0,99%,54295,0.06,159.31,0,0,4096,429,159.37,0,0,0,0,0,1,0
ref,0,2:39.38,0,0,0,207824,0,99%,54296,0.04,159.33,0,0,4096,496,159.38,0,0,0,0,0,1,0
ref,0,2:40.51,0,0,0,207908,0,99%,54297,0.04,160.47,0,0,4096,319,160.51,0,0,0,0,0,1,0
ref,0,2:39.39,0,0,0,207912,0,99%,54297,0.05,159.34,0,0,4096,484,159.39,0,0,0,0,0,1,0
ref,0,2:39.31,0,0,0,207824,0,99%,54296,0.06,159.25,0,0,4096,439,159.31,0,0,0,0,0,1,0
ref,0,2:39.33,0,0,0,207824,0,99%,54296,0.07,159.26,0,0,4096,428,159.33,0,0,0,0,0,1,0
ref,0,2:40.49,0,0,0,207820,0,99%,54296,0.06,160.43,0,0,4096,409,160.49,0,0,0,0,0,1,0
ref,0,2:39.34,0,0,0,207916,0,99%,54297,0.04,159.30,0,0,4096,546,159.34,0,0,0,0,0,1,0
ref,0,2:40.52,0,0,0,207812,0,99%,54295,0.04,160.47,0,0,4096,412,160.52,0,0,0,0,0,1,0
ref,0,2:39.48,0,0,0,207844,0,99%,54297,0.05,159.42,0,0,4096,491,159.48,0,0,0,0,0,1,0
ref,0,2:39.35,0,0,0,207824,0,99%,54296,0.06,159.29,0,0,4096,420,159.35,0,0,0,0,0,1,0
ref,0,2:40.54,0,0,0,207860,0,99%,54296,0.05,160.48,0,0,4096,363,160.54,0,0,0,0,0,1,0
ref,0,2:39.34,0,0,0,207872,0,99%,54297,0.05,159.28,0,0,4096,473,159.34,0,0,0,0,0,1,0
ref,0,2:39.37,0,0,0,207908,0,99%,54297,0.05,159.32,0,0,4096,485,159.37,0,0,0,0,0,1,0
