cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,0:46.01,0,0,0,207848,0,99%,54297,0.06,45.94,0,0,4096,88,46.01,0,0,0,0,0,1,0
test,0,0:45.85,0,0,0,207900,0,99%,54298,0.06,45.79,0,0,4096,135,45.85,0,0,0,0,0,1,0
test,0,0:45.86,0,0,0,207808,0,99%,54297,0.05,45.80,0,0,4096,145,45.86,0,0,0,0,0,1,0
test,0,0:46.02,0,0,0,207904,0,100%,54297,0.06,45.95,0,0,4096,86,46.02,0,0,0,0,0,1,0
test,0,0:45.83,0,0,0,207808,0,99%,54297,0.06,45.76,0,0,4096,182,45.83,0,0,0,0,0,1,0
test,0,0:45.91,0,0,0,207852,0,99%,54297,0.06,45.84,0,0,4096,122,45.91,0,0,0,0,0,1,0
test,0,0:46.04,0,0,0,207860,0,99%,54297,0.03,46.00,0,0,4096,92,46.04,0,0,0,0,0,1,0
test,0,0:45.83,0,0,0,207812,0,99%,54296,0.05,45.78,0,0,4096,199,45.83,0,0,0,0,0,1,0
test,0,0:45.99,0,0,0,207896,0,99%,54297,0.07,45.92,0,0,4096,80,45.99,0,0,0,0,0,1,0
test,0,0:45.82,0,0,0,207852,0,99%,54297,0.06,45.75,0,0,4096,203,45.82,0,0,0,0,0,1,0
test,0,0:45.81,0,0,0,207756,0,99%,54296,0.04,45.77,0,0,4096,173,45.81,0,0,0,0,0,1,0
test,0,0:45.90,0,0,0,207804,0,99%,54296,0.05,45.85,0,0,4096,141,45.90,0,0,0,0,0,1,0
test,0,0:45.81,0,0,0,207904,0,99%,54298,0.06,45.75,0,0,4096,148,45.81,0,0,0,0,0,1,0
test,0,0:46.01,0,0,0,207764,0,100%,54297,0.06,45.94,0,0,4096,91,46.01,0,0,0,0,0,1,0
test,0,0:45.83,0,0,0,207836,0,99%,54298,0.04,45.79,0,0,4096,186,45.83,0,0,0,0,0,1,0
test,0,0:45.85,0,0,0,207908,0,99%,54298,0.06,45.78,0,0,4096,205,45.85,0,0,0,0,0,1,0
test,0,0:46.02,0,0,0,207864,0,100%,54298,0.05,45.96,0,0,4096,99,46.02,0,0,0,0,0,1,0
test,0,0:45.86,0,0,0,207908,0,99%,54298,0.05,45.80,0,0,4096,139,45.86,0,0,0,0,0,1,0
test,0,0:45.87,0,0,0,207860,0,99%,54297,0.06,45.80,0,0,4096,195,45.87,0,0,0,0,0,1,0
test,0,0:46.00,0,0,0,207836,0,100%,54298,0.04,45.95,0,0,4096,108,46.00,0,0,0,0,0,1,0
test,0,0:45.82,0,0,0,207836,0,99%,54298,0.05,45.77,0,0,4096,165,45.82,0,0,0,0,0,1,0
test,0,0:46.01,0,0,0,207836,0,99%,54298,0.05,45.96,0,0,4096,103,46.01,0,0,0,0,0,1,0
test,0,0:45.80,0,0,0,207804,0,99%,54296,0.05,45.74,0,0,4096,188,45.80,0,0,0,0,0,1,0
test,0,0:45.82,0,0,0,207848,0,99%,54296,0.05,45.77,0,0,4096,149,45.82,0,0,0,0,0,1,0
test,0,0:46.01,0,0,0,207836,0,99%,54298,0.05,45.95,0,0,4096,97,46.01,0,0,0,0,0,1,0
test,0,0:45.87,0,0,0,207812,0,99%,54297,0.05,45.82,0,0,4096,133,45.87,0,0,0,0,0,1,0
test,0,0:45.83,0,0,0,207808,0,100%,54296,0.04,45.78,0,0,4096,136,45.83,0,0,0,0,0,1,0
test,0,0:45.83,0,0,0,207812,0,99%,54297,0.05,45.77,0,0,4096,126,45.83,0,0,0,0,0,1,0
test,0,0:45.88,0,0,0,207908,0,99%,54298,0.05,45.83,0,0,4096,133,45.88,0,0,0,0,0,1,0
test,0,0:46.01,0,0,0,207848,0,99%,54296,0.05,45.95,0,0,4096,102,46.01,0,0,0,0,0,1,0
ref,0,0:47.52,0,0,0,207804,0,99%,54296,0.06,47.46,0,0,4096,136,47.52,0,0,0,0,0,1,0
ref,0,0:47.58,0,0,0,207860,0,99%,54298,0.04,47.53,0,0,4096,201,47.58,0,0,0,0,0,1,0
ref,0,0:47.57,0,0,0,207804,0,99%,54296,0.05,47.52,0,0,4096,144,47.57,0,0,0,0,0,1,0
ref,0,0:47.51,0,0,0,207760,0,99%,54296,0.05,47.46,0,0,4096,162,47.51,0,0,0,0,0,1,0
ref,0,0:47.68,0,0,0,207760,0,100%,54296,0.05,47.62,0,0,4096,98,47.68,0,0,0,0,0,1,0
ref,0,0:47.63,0,0,0,207908,0,100%,54298,0.06,47.57,0,0,4096,115,47.63,0,0,0,0,0,1,0
ref,0,0:47.78,0,0,0,207804,0,99%,54296,0.05,47.73,0,0,4096,137,47.78,0,0,0,0,0,1,0
ref,0,0:47.57,0,0,0,207820,0,99%,54298,0.03,47.53,0,0,4096,159,47.57,0,0,0,0,0,1,0
ref,0,0:47.70,0,0,0,207752,0,100%,54295,0.06,47.64,0,0,4096,99,47.70,0,0,0,0,0,1,0
ref,0,0:47.62,0,0,0,207864,0,99%,54298,0.06,47.56,0,0,4096,153,47.62,0,0,0,0,0,1,0
ref,0,0:47.80,0,0,0,207816,0,99%,54297,0.06,47.74,0,0,4096,110,47.80,0,0,0,0,0,1,0
ref,0,0:47.68,0,0,0,207816,0,99%,54297,0.07,47.61,0,0,4096,152,47.68,0,0,0,0,0,1,0
ref,0,0:47.70,0,0,0,207816,0,100%,54297,0.04,47.66,0,0,4096,101,47.70,0,0,0,0,0,1,0
ref,0,0:47.78,0,0,0,207852,0,100%,54297,0.04,47.74,0,0,4096,115,47.78,0,0,0,0,0,1,0
ref,0,0:47.73,0,0,0,207848,0,99%,54296,0.04,47.68,0,0,4096,113,47.73,0,0,0,0,0,1,0
ref,0,0:47.76,0,0,0,207764,0,99%,54296,0.05,47.71,0,0,4096,114,47.76,0,0,0,0,0,1,0
ref,0,0:47.75,0,0,0,207760,0,99%,54296,0.05,47.69,0,0,4096,119,47.75,0,0,0,0,0,1,0
ref,0,0:47.74,0,0,0,207908,0,100%,54298,0.05,47.68,0,0,4096,97,47.74,0,0,0,0,0,1,0
ref,0,0:47.67,0,0,0,207752,0,99%,54296,0.04,47.63,0,0,4096,146,47.67,0,0,0,0,0,1,0
ref,0,0:47.75,0,0,0,207852,0,99%,54297,0.04,47.71,0,0,4096,116,47.75,0,0,0,0,0,1,0
ref,0,0:47.86,0,0,0,207800,0,100%,54295,0.06,47.79,0,0,4096,107,47.86,0,0,0,0,0,1,0
ref,0,0:47.74,0,0,0,207816,0,99%,54297,0.06,47.68,0,0,4096,157,47.74,0,0,0,0,0,1,0
ref,0,0:47.74,0,0,0,207796,0,99%,54297,0.05,47.69,0,0,4096,156,47.74,0,0,0,0,0,1,0
ref,0,0:47.87,0,0,0,207808,0,100%,54296,0.04,47.82,0,0,4096,78,47.87,0,0,0,0,0,1,0
ref,0,0:47.82,0,0,0,207896,0,99%,54297,0.05,47.77,0,0,4096,143,47.82,0,0,0,0,0,1,0
ref,0,0:47.69,0,0,0,207816,0,99%,54297,0.03,47.65,0,0,4096,107,47.69,0,0,0,0,0,1,0
ref,0,0:47.99,0,0,0,207808,0,99%,54298,0.05,47.94,0,0,4096,109,47.99,0,0,0,0,0,1,0
ref,0,0:47.77,0,0,0,207852,0,99%,54297,0.05,47.71,0,0,4096,167,47.77,0,0,0,0,0,1,0
ref,0,0:47.83,0,0,0,207832,0,100%,54297,0.05,47.77,0,0,4096,101,47.83,0,0,0,0,0,1,0
ref,0,0:47.91,0,0,0,207896,0,99%,54297,0.06,47.85,0,0,4096,117,47.91,0,0,0,0,0,1,0
train,0,0:47.73,0,0,0,207756,0,100%,54295,0.06,47.67,0,0,4096,170,47.73,0,0,0,0,0,1,0
train,0,0:47.49,0,0,0,207812,0,100%,54296,0.06,47.42,0,0,4096,98,47.49,0,0,0,0,0,1,0
train,0,0:47.54,0,0,0,207804,0,99%,54296,0.06,47.48,0,0,4096,117,47.54,0,0,0,0,0,1,0
train,0,0:47.49,0,0,0,207764,0,99%,54296,0.05,47.44,0,0,4096,179,47.49,0,0,0,0,0,1,0
train,0,0:47.68,0,0,0,207816,0,99%,54298,0.07,47.60,0,0,4096,100,47.68,0,0,0,0,0,1,0
train,0,0:47.55,0,0,0,207756,0,99%,54296,0.05,47.49,0,0,4096,174,47.55,0,0,0,0,0,1,0
train,0,0:47.55,0,0,0,207816,0,100%,54297,0.06,47.49,0,0,4096,106,47.55,0,0,0,0,0,1,0
train,0,0:47.53,0,0,0,207800,0,100%,54295,0.06,47.47,0,0,4096,109,47.53,0,0,0,0,0,1,0
train,0,0:47.53,0,0,0,207816,0,99%,54297,0.04,47.49,0,0,4096,111,47.53,0,0,0,0,0,1,0
train,0,0:47.49,0,0,0,207848,0,99%,54296,0.03,47.46,0,0,4096,150,47.49,0,0,0,0,0,1,0
train,0,0:47.49,0,0,0,207816,0,100%,54297,0.05,47.43,0,0,4096,107,47.49,0,0,0,0,0,1,0
train,0,0:47.52,0,0,0,207900,0,99%,54298,0.04,47.48,0,0,4096,151,47.52,0,0,0,0,0,1,0
train,0,0:47.48,0,0,0,207800,0,100%,54295,0.06,47.42,0,0,4096,98,47.48,0,0,0,0,0,1,0
train,0,0:47.52,0,0,0,207812,0,100%,54296,0.06,47.46,0,0,4096,154,47.52,0,0,0,0,0,1,0
train,0,0:47.55,0,0,0,207804,0,99%,54296,0.05,47.50,0,0,4096,93,47.55,0,0,0,0,0,1,0
train,0,0:47.54,0,0,0,207800,0,99%,54295,0.05,47.49,0,0,4096,96,47.54,0,0,0,0,0,1,0
train,0,0:47.25,0,0,0,207904,0,99%,54298,0.05,47.20,0,0,4096,124,47.25,0,0,0,0,0,1,0
train,0,0:47.50,0,0,0,207760,0,100%,54296,0.06,47.44,0,0,4096,143,47.50,0,0,0,0,0,1,0
train,0,0:47.49,0,0,0,207804,0,100%,54296,0.03,47.46,0,0,4096,99,47.49,0,0,0,0,0,1,0
train,0,0:47.49,0,0,0,207808,0,99%,54297,0.05,47.44,0,0,4096,136,47.49,0,0,0,0,0,1,0
train,0,0:47.51,0,0,0,207764,0,99%,54296,0.05,47.45,0,0,4096,156,47.51,0,0,0,0,0,1,0
train,0,0:47.52,0,0,0,207812,0,99%,54296,0.05,47.47,0,0,4096,107,47.52,0,0,0,0,0,1,0
train,0,0:47.52,0,0,0,207752,0,99%,54296,0.07,47.45,0,0,4096,117,47.52,0,0,0,0,0,1,0
train,0,0:47.22,0,0,0,207848,0,99%,54296,0.05,47.16,0,0,4096,136,47.22,0,0,0,0,0,1,0
train,0,0:47.53,0,0,0,207860,0,99%,54297,0.05,47.47,0,0,4096,101,47.53,0,0,0,0,0,1,0
train,0,0:47.26,0,0,0,207816,0,100%,54297,0.05,47.20,0,0,4096,108,47.26,0,0,0,0,0,1,0
train,0,0:47.56,0,0,0,207904,0,99%,54297,0.06,47.49,0,0,4096,126,47.56,0,0,0,0,0,1,0
