cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,2:24.85,0,0,0,207812,0,99%,54295,0.06,144.79,0,0,4096,332,144.85,0,0,0,0,0,1,0
test,0,2:24.64,0,0,0,207812,0,99%,54296,0.05,144.58,0,0,4096,338,144.64,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207916,0,99%,54297,0.04,144.75,0,0,4096,364,144.80,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207824,0,99%,54296,0.05,144.73,0,0,4096,381,144.78,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207768,0,99%,54295,0.04,144.73,0,0,4096,397,144.78,0,0,0,0,0,1,0
test,0,2:24.67,0,0,0,207768,0,100%,54295,0.04,144.63,0,0,4096,252,144.67,0,0,0,0,0,1,0
test,0,2:24.81,0,0,0,207812,0,99%,54295,0.06,144.74,0,0,4096,371,144.81,0,0,0,0,0,1,0
test,0,2:25.04,0,0,0,207812,0,99%,54295,0.03,145.00,0,0,4096,469,145.04,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207824,0,99%,54296,0.05,144.73,0,0,4096,433,144.79,0,0,0,0,0,1,0
test,0,2:24.66,0,0,0,207908,0,99%,54297,0.05,144.60,0,0,4096,322,144.66,0,0,0,0,0,1,0
test,0,2:26.30,0,0,0,207812,0,99%,54295,0.05,146.25,0,0,4096,191,146.30,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207764,0,99%,54295,0.03,144.74,0,0,4096,389,144.78,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207808,0,99%,54295,0.02,144.76,0,0,4096,443,144.78,0,0,0,0,0,1,0
test,0,2:24.63,0,0,0,207768,0,99%,54295,0.04,144.58,0,0,4096,356,144.63,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207820,0,99%,54296,0.05,144.72,0,0,4096,493,144.79,0,0,0,0,0,1,0
test,0,2:24.64,0,0,0,207776,0,99%,54296,0.04,144.59,0,0,4096,285,144.64,0,0,0,0,0,1,0
test,0,2:24.81,0,0,0,207860,0,99%,54296,0.05,144.75,0,0,4096,246,144.81,0,0,0,0,0,1,0
test,0,2:24.71,0,0,0,207820,0,100%,54297,0.04,144.67,0,0,4096,348,144.71,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207776,0,99%,54296,0.04,144.75,0,0,4096,422,144.79,0,0,0,0,0,1,0
test,0,2:24.66,0,0,0,207768,0,99%,54295,0.06,144.59,0,0,4096,419,144.66,0,0,0,0,0,1,0
test,0,2:24.84,0,0,0,207816,0,99%,54296,0.04,144.79,0,0,4096,430,144.84,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207916,0,99%,54297,0.05,144.74,0,0,4096,437,144.79,0,0,0,0,0,1,0
test,0,2:24.66,0,0,0,207844,0,99%,54297,0.04,144.61,0,0,4096,275,144.66,0,0,0,0,0,1,0
test,0,2:24.67,0,0,0,207812,0,99%,54295,0.05,144.61,0,0,4096,214,144.67,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207872,0,99%,54298,0.05,144.74,0,0,4096,438,144.79,0,0,0,0,0,1,0
test,0,2:24.77,0,0,0,207844,0,99%,54298,0.06,144.70,0,0,4096,514,144.77,0,0,0,0,0,1,0
test,0,2:24.65,0,0,0,207844,0,100%,54297,0.05,144.59,0,0,4096,274,144.65,0,0,0,0,0,1,0
test,0,2:24.75,0,0,0,207916,0,100%,54297,0.04,144.71,0,0,4096,435,144.75,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207768,0,100%,54295,0.05,144.75,0,0,4096,433,144.80,0,0,0,0,0,1,0
test,0,2:24.74,0,0,0,207812,0,99%,54296,0.04,144.70,0,0,4096,382,144.74,0,0,0,0,0,1,0
ref,0,2:40.52,0,0,0,207812,0,99%,54295,0.05,160.47,0,0,4096,469,160.52,0,0,0,0,0,1,0
ref,0,2:40.49,0,0,0,207828,0,100%,54297,0.04,160.44,0,0,4096,475,160.49,0,0,0,0,0,1,0
ref,0,2:39.36,0,0,0,207872,0,99%,54297,0.03,159.32,0,0,4096,338,159.36,0,0,0,0,0,1,0
