cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,2:24.89,0,0,0,207812,0,99%,54295,0.05,144.84,0,0,4096,483,144.89,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207768,0,99%,54295,0.06,144.73,0,0,4096,442,144.79,0,0,0,0,0,1,0
test,0,2:24.77,0,0,0,207776,0,99%,54296,0.06,144.70,0,0,4096,423,144.77,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207760,0,99%,54295,0.06,144.71,0,0,4096,422,144.78,0,0,0,0,0,1,0
test,0,2:24.65,0,0,0,207872,0,100%,54297,0.04,144.61,0,0,4096,336,144.65,0,0,0,0,0,1,0
test,0,2:25.07,0,0,0,207816,0,99%,54296,0.05,145.01,0,0,4096,396,145.07,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207828,0,99%,54297,0.05,144.72,0,0,4096,442,144.78,0,0,0,0,0,1,0
test,0,2:24.82,0,0,0,207824,0,100%,54296,0.06,144.76,0,0,4096,193,144.82,0,0,0,0,0,1,0
test,0,2:24.77,0,0,0,207828,0,99%,54297,0.06,144.70,0,0,4096,454,144.77,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207872,0,99%,54297,0.05,144.74,0,0,4096,457,144.79,0,0,0,0,0,1,0
test,0,2:24.64,0,0,0,207872,0,99%,54297,0.05,144.58,0,0,4096,310,144.64,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207768,0,99%,54295,0.05,144.73,0,0,4096,461,144.79,0,0,0,0,0,1,0
test,0,2:24.65,0,0,0,207860,0,99%,54296,0.05,144.59,0,0,4096,343,144.65,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207776,0,99%,54296,0.05,144.72,0,0,4096,503,144.78,0,0,0,0,0,1,0
test,0,2:24.82,0,0,0,207872,0,99%,54297,0.05,144.77,0,0,4096,440,144.82,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207768,0,99%,54295,0.04,144.75,0,0,4096,402,144.79,0,0,0,0,0,1,0
test,0,2:24.76,0,0,0,207816,0,100%,54297,0.06,144.71,0,0,4096,185,144.76,0,0,0,0,0,1,0
test,0,2:24.66,0,0,0,207768,0,99%,54295,0.06,144.59,0,0,4096,344,144.66,0,0,0,0,0,1,0
test,0,2:24.84,0,0,0,207768,0,99%,54295,0.05,144.79,0,0,4096,214,144.84,0,0,0,0,0,1,0
test,0,2:24.67,0,0,0,207812,0,99%,54295,0.04,144.63,0,0,4096,298,144.67,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207860,0,99%,54296,0.06,144.62,0,0,4096,268,144.68,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207844,0,99%,54297,0.06,144.72,0,0,4096,241,144.78,0,0,0,0,0,1,0
test,0,2:24.67,0,0,0,207820,0,99%,54296,0.05,144.61,0,0,4096,336,144.67,0,0,0,0,0,1,0
test,0,2:24.84,0,0,0,207820,0,100%,54296,0.04,144.80,0,0,4096,183,144.84,0,0,0,0,0,1,0
test,0,2:24.66,0,0,0,207908,0,99%,54297,0.07,144.59,0,0,4096,307,144.66,0,0,0,0,0,1,0
test,0,2:24.65,0,0,0,207820,0,99%,54296,0.06,144.58,0,0,4096,241,144.65,0,0,0,0,0,1,0
test,0,2:24.81,0,0,0,207768,0,99%,54295,0.05,144.75,0,0,4096,194,144.81,0,0,0,0,0,1,0
test,0,2:24.72,0,0,0,207820,0,100%,54296,0.04,144.67,0,0,4096,270,144.72,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207812,0,100%,54295,0.05,144.75,0,0,4096,182,144.80,0,0,0,0,0,1,0
test,0,2:24.67,0,0,0,207812,0,100%,54295,0.06,144.60,0,0,4096,209,144.67,0,0,0,0,0,1,0
ref,0,2:40.50,0,0,0,207812,0,100%,54295,0.04,160.45,0,0,4096,190,160.50,0,0,0,0,0,1,0
ref,0,2:39.32,0,0,0,207768,0,99%,54295,0.05,159.26,0,0,4096,401,159.32,0,0,0,0,0,1,0
ref,0,2:40.61,0,0,0,207844,0,100%,54297,0.04,160.56,0,0,4096,202,160.61,0,0,0,0,0,1,0
ref,0,2:39.32,0,0,0,207772,0,100%,54296,0.05,159.27,0,0,4096,199,159.32,0,0,0,0,0,1,0
ref,0,2:40.50,0,0,0,207872,0,99%,54297,0.05,160.45,0,0,4096,220,160.50,0,0,0,0,0,1,0
ref,0,2:39.36,0,0,0,207776,0,99%,54296,0.04,159.32,0,0,4096,285,159.36,0,0,0,0,0,1,0
ref,0,2:39.43,0,0,0,207868,0,99%,54297,0.06,159.36,0,0,4096,260,159.43,0,0,0,0,0,1,0
ref,0,2:39.30,0,0,0,207816,0,99%,54296,0.06,159.24,0,0,4096,378,159.30,0,0,0,0,0,1,0
ref,0,2:39.31,0,0,0,207812,0,99%,54295,0.04,159.27,0,0,4096,290,159.31,0,0,0,0,0,1,0
ref,0,2:39.35,0,0,0,207824,0,99%,54296,0.05,159.28,0,0,4096,366,159.35,0,0,0,0,0,1,0
ref,0,2:39.42,0,0,0,207820,0,99%,54296,0.04,159.38,0,0,4096,310,159.42,0,0,0,0,0,1,0
ref,0,2:39.47,0,0,0,207908,0,99%,54297,0.05,159.42,0,0,4096,375,159.47,0,0,0,0,0,1,0
ref,0,2:39.33,0,0,0,207824,0,99%,54296,0.04,159.28,0,0,4096,358,159.33,0,0,0,0,0,1,0
ref,0,2:40.58,0,0,0,207812,0,99%,54295,0.05,160.53,0,0,4096,206,160.58,0,0,0,0,0,1,0
ref,0,2:40.56,0,0,0,207908,0,100%,54297,0.05,160.50,0,0,4096,206,160.56,0,0,0,0,0,1,0
ref,0,2:39.33,0,0,0,207812,0,99%,54295,0.04,159.28,0,0,4096,357,159.33,0,0,0,0,0,1,0
ref,0,2:39.33,0,0,0,207868,0,99%,54297,0.05,159.27,0,0,4096,390,159.33,0,0,0,0,0,1,0
ref,0,2:39.34,0,0,0,207916,0,99%,54297,0.06,159.28,0,0,4096,335,159.34,0,0,0,0,0,1,0
ref,0,2:39.34,0,0,0,207812,0,99%,54295,0.03,159.29,0,0,4096,394,159.34,0,0,0,0,0,1,0
ref,0,2:39.42,0,0,0,207856,0,99%,54296,0.05,159.37,0,0,4096,362,159.42,0,0,0,0,0,1,0
ref,0,2:39.34,0,0,0,207828,0,99%,54297,0.05,159.28,0,0,4096,363,159.34,0,0,0,0,0,1,0
ref,0,2:40.56,0,0,0,207768,0,100%,54295,0.05,160.50,0,0,4096,270,160.56,0,0,0,0,0,1,0
ref,0,2:39.34,0,0,0,207812,0,99%,54295,0.05,159.28,0,0,4096,370,159.34,0,0,0,0,0,1,0
ref,0,2:40.51,0,0,0,207872,0,100%,54297,0.06,160.45,0,0,4096,279,160.51,0,0,0,0,0,1,0
ref,0,2:39.38,0,0,0,207840,0,99%,54297,0.05,159.33,0,0,4096,401,159.38,0,0,0,0,0,1,0
ref,0,2:40.52,0,0,0,207844,0,100%,54297,0.06,160.46,0,0,4096,210,160.52,0,0,0,0,0,1,0
ref,0,2:39.33,0,0,0,207764,0,99%,54295,0.06,159.27,0,0,4096,351,159.33,0,0,0,0,0,1,0
ref,0,2:39.39,0,0,0,207812,0,99%,54295,0.04,159.35,0,0,4096,351,159.39,0,0,0,0,0,1,0
ref,0,2:40.92,0,0,0,207768,0,100%,54296,0.05,160.86,0,0,4096,205,160.92,0,0,0,0,0,1,0
ref,0,2:39.36,0,0,0,207824,0,99%,54297,0.05,159.30,0,0,4096,451,159.36,0,0,0,0,0,1,0
train,0,2:39.19,0,0,0,207828,0,100%,54297,0.05,159.14,0,0,4096,207,159.19,0,0,0,0,0,1,0
train,0,2:37.96,0,0,0,207816,0,99%,54297,0.04,157.91,0,0,4096,360,157.96,0,0,0,0,0,1,0
train,0,2:37.98,0,0,0,207776,0,99%,54296,0.04,157.93,0,0,4096,337,157.98,0,0,0,0,0,1,0
train,0,2:39.25,0,0,0,207844,0,99%,54297,0.05,159.19,0,0,4096,207,159.25,0,0,0,0,0,1,0
train,0,2:39.17,0,0,0,207824,0,99%,54296,0.05,159.12,0,0,4096,222,159.17,0,0,0,0,0,1,0
train,0,2:37.96,0,0,0,207764,0,99%,54295,0.05,157.90,0,0,4096,370,157.96,0,0,0,0,0,1,0
train,0,2:39.16,0,0,0,207840,0,100%,54297,0.05,159.11,0,0,4096,204,159.16,0,0,0,0,0,1,0
train,0,2:39.16,0,0,0,207768,0,100%,54295,0.04,159.12,0,0,4096,213,159.16,0,0,0,0,0,1,0
train,0,2:37.96,0,0,0,207860,0,99%,54296,0.05,157.90,0,0,4096,330,157.96,0,0,0,0,0,1,0
train,0,2:37.95,0,0,0,207764,0,99%,54295,0.04,157.90,0,0,4096,363,157.95,0,0,0,0,0,1,0
train,0,2:37.97,0,0,0,207816,0,99%,54296,0.05,157.92,0,0,4096,322,157.97,0,0,0,0,0,1,0
train,0,2:38.01,0,0,0,207916,0,99%,54297,0.05,157.95,0,0,4096,378,158.01,0,0,0,0,0,1,0
train,0,2:37.98,0,0,0,207908,0,99%,54297,0.04,157.93,0,0,4096,378,157.98,0,0,0,0,0,1,0
train,0,2:37.96,0,0,0,207764,0,99%,54295,0.06,157.89,0,0,4096,376,157.96,0,0,0,0,0,1,0
train,0,2:38.00,0,0,0,207808,0,99%,54295,0.05,157.95,0,0,4096,249,158.00,0,0,0,0,0,1,0
train,0,2:37.98,0,0,0,207916,0,99%,54297,0.05,157.92,0,0,4096,353,157.98,0,0,0,0,0,1,0
train,0,2:38.09,0,0,0,207768,0,99%,54295,0.06,158.02,0,0,4096,335,158.09,0,0,0,0,0,1,0
train,0,2:37.97,0,0,0,207868,0,99%,54297,0.05,157.91,0,0,4096,386,157.97,0,0,0,0,0,1,0
