cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,2:24.78,0,0,0,207808,0,99%,54295,0.05,144.72,0,0,4096,455,144.78,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207824,0,99%,54297,0.05,144.74,0,0,4096,370,144.79,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207844,0,99%,54297,0.05,144.72,0,0,4096,410,144.78,0,0,0,0,0,1,0
test,0,2:24.64,0,0,0,207768,0,99%,54295,0.04,144.60,0,0,4096,339,144.64,0,0,0,0,0,1,0
test,0,2:24.75,0,0,0,207764,0,99%,54295,0.03,144.71,0,0,4096,378,144.75,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207824,0,100%,54297,0.06,144.73,0,0,4096,184,144.79,0,0,0,0,0,1,0
test,0,2:24.66,0,0,0,207812,0,99%,54295,0.05,144.61,0,0,4096,367,144.66,0,0,0,0,0,1,0
test,0,2:24.77,0,0,0,207916,0,99%,54297,0.04,144.72,0,0,4096,383,144.77,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207816,0,99%,54296,0.04,144.74,0,0,4096,401,144.78,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207764,0,100%,54295,0.06,144.74,0,0,4096,450,144.80,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207916,0,99%,54297,0.05,144.75,0,0,4096,459,144.80,0,0,0,0,0,1,0
test,0,2:24.66,0,0,0,207812,0,100%,54295,0.04,144.61,0,0,4096,248,144.66,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207768,0,99%,54295,0.05,144.72,0,0,4096,477,144.78,0,0,0,0,0,1,0
test,0,2:24.65,0,0,0,207776,0,100%,54297,0.05,144.60,0,0,4096,356,144.65,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207812,0,99%,54295,0.05,144.73,0,0,4096,504,144.79,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207828,0,99%,54297,0.05,144.63,0,0,4096,362,144.68,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207824,0,99%,54296,0.05,144.72,0,0,4096,479,144.78,0,0,0,0,0,1,0
test,0,2:24.84,0,0,0,207824,0,100%,54296,0.05,144.78,0,0,4096,194,144.84,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207816,0,99%,54296,0.04,144.74,0,0,4096,461,144.79,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207824,0,99%,54296,0.05,144.62,0,0,4096,369,144.68,0,0,0,0,0,1,0
test,0,2:24.77,0,0,0,207916,0,99%,54297,0.05,144.71,0,0,4096,509,144.77,0,0,0,0,0,1,0
test,0,2:24.69,0,0,0,207764,0,99%,54295,0.04,144.64,0,0,4096,230,144.69,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207844,0,99%,54297,0.06,144.72,0,0,4096,188,144.79,0,0,0,0,0,1,0
test,0,2:24.65,0,0,0,207908,0,99%,54297,0.05,144.59,0,0,4096,231,144.65,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207816,0,99%,54296,0.03,144.73,0,0,4096,512,144.78,0,0,0,0,0,1,0
test,0,2:24.65,0,0,0,207860,0,99%,54296,0.06,144.58,0,0,4096,235,144.65,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207772,0,99%,54296,0.05,144.71,0,0,4096,521,144.78,0,0,0,0,0,1,0
test,0,2:24.81,0,0,0,207828,0,99%,54297,0.05,144.75,0,0,4096,545,144.81,0,0,0,0,0,1,0
test,0,2:24.69,0,0,0,207820,0,99%,54296,0.04,144.64,0,0,4096,283,144.69,0,0,0,0,0,1,0
test,0,2:24.76,0,0,0,207812,0,99%,54295,0.06,144.69,0,0,4096,513,144.76,0,0,0,0,0,1,0
ref,0,2:40.48,0,0,0,207820,0,99%,54296,0.04,160.44,0,0,4096,550,160.48,0,0,0,0,0,1,0
ref,0,2:40.55,0,0,0,207812,0,99%,54295,0.06,160.49,0,0,4096,567,160.55,0,0,0,0,0,1,0
ref,0,2:39.32,0,0,0,207812,0,99%,54295,0.05,159.26,0,0,4096,402,159.32,0,0,0,0,0,1,0
ref,0,2:40.51,0,0,0,207824,0,100%,54296,0.04,160.47,0,0,4096,208,160.51,0,0,0,0,0,1,0
ref,0,2:39.39,0,0,0,207872,0,99%,54298,0.04,159.34,0,0,4096,416,159.39,0,0,0,0,0,1,0
ref,0,2:40.49,0,0,0,207916,0,99%,54297,0.05,160.43,0,0,4096,209,160.49,0,0,0,0,0,1,0
ref,0,2:39.29,0,0,0,207844,0,99%,54297,0.05,159.23,0,0,4096,383,159.29,0,0,0,0,0,1,0
ref,0,2:39.28,0,0,0,207828,0,100%,54297,0.04,159.24,0,0,4096,262,159.28,0,0,0,0,0,1,0
ref,0,2:39.33,0,0,0,207764,0,99%,54295,0.04,159.29,0,0,4096,244,159.33,0,0,0,0,0,1,0
ref,0,2:40.47,0,0,0,207824,0,99%,54296,0.04,160.42,0,0,4096,543,160.47,0,0,0,0,0,1,0
ref,0,2:40.71,0,0,0,207812,0,99%,54295,0.05,160.66,0,0,4096,488,160.71,0,0,0,0,0,1,0
ref,0,2:39.28,0,0,0,207824,0,99%,54296,0.05,159.23,0,0,4096,434,159.28,0,0,0,0,0,1,0
ref,0,2:40.52,0,0,0,207908,0,99%,54297,0.05,160.47,0,0,4096,508,160.52,0,0,0,0,0,1,0
ref,0,2:40.51,0,0,0,207908,0,99%,54297,0.06,160.44,0,0,4096,509,160.51,0,0,0,0,0,1,0
ref,0,2:41.20,0,0,0,207908,0,99%,54297,0.05,161.14,0,0,4096,213,161.20,0,0,0,0,0,1,0
ref,0,2:39.30,0,0,0,207816,0,99%,54296,0.05,159.25,0,0,4096,401,159.30,0,0,0,0,0,1,0
ref,0,2:40.49,0,0,0,207872,0,99%,54297,0.06,160.43,0,0,4096,504,160.49,0,0,0,0,0,1,0
ref,0,2:40.52,0,0,0,207824,0,99%,54297,0.06,160.45,0,0,4096,512,160.52,0,0,0,0,0,1,0
ref,0,2:40.49,0,0,0,207812,0,99%,54295,0.05,160.43,0,0,4096,208,160.49,0,0,0,0,0,1,0
ref,0,2:39.30,0,0,0,207768,0,99%,54295,0.05,159.25,0,0,4096,292,159.30,0,0,0,0,0,1,0
ref,0,2:40.55,0,0,0,207860,0,99%,54296,0.06,160.48,0,0,4096,562,160.55,0,0,0,0,0,1,0
ref,0,2:40.50,0,0,0,207824,0,99%,54297,0.05,160.44,0,0,4096,494,160.50,0,0,0,0,0,1,0
ref,0,2:39.27,0,0,0,207824,0,99%,54296,0.05,159.22,0,0,4096,338,159.27,0,0,0,0,0,1,0
ref,0,2:40.49,0,0,0,207844,0,99%,54298,0.04,160.44,0,0,4096,508,160.49,0,0,0,0,0,1,0
ref,0,2:40.05,0,0,0,207872,0,99%,54297,0.05,160.00,0,0,4096,469,160.05,0,0,0,0,0,1,0
ref,0,2:40.48,0,0,0,207808,0,99%,54295,0.05,160.42,0,0,4096,584,160.48,0,0,0,0,0,1,0
ref,0,2:40.51,0,0,0,207828,0,99%,54297,0.06,160.44,0,0,4096,207,160.51,0,0,0,0,0,1,0
ref,0,2:39.99,0,0,0,207844,0,99%,54297,0.04,159.95,0,0,4096,375,159.99,0,0,0,0,0,1,0
ref,0,2:39.31,0,0,0,207764,0,99%,54295,0.05,159.26,0,0,4096,361,159.31,0,0,0,0,0,1,0
ref,0,2:40.49,0,0,0,207824,0,99%,54297,0.04,160.44,0,0,4096,619,160.49,0,0,0,0,0,1,0
