cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,2:24.65,0,0,0,207768,0,99%,54295,0.07,144.57,0,0,4096,267,144.65,0,0,0,0,0,1,0
test,0,2:24.67,0,0,0,207764,0,99%,54295,0.04,144.62,0,0,4096,257,144.67,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207860,0,99%,54296,0.04,144.63,0,0,4096,302,144.68,0,0,0,0,0,1,0
test,0,2:24.81,0,0,0,207808,0,99%,54295,0.05,144.75,0,0,4096,182,144.81,0,0,0,0,0,1,0
test,0,2:24.66,0,0,0,207860,0,99%,54296,0.04,144.61,0,0,4096,303,144.66,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207816,0,100%,54296,0.05,144.74,0,0,4096,194,144.80,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207768,0,99%,54295,0.04,144.64,0,0,4096,369,144.68,0,0,0,0,0,1,0
test,0,2:24.66,0,0,0,207860,0,99%,54296,0.05,144.61,0,0,4096,430,144.66,0,0,0,0,0,1,0
test,0,2:24.73,0,0,0,207812,0,99%,54295,0.05,144.68,0,0,4096,417,144.73,0,0,0,0,0,1,0
test,0,2:24.82,0,0,0,207824,0,99%,54297,0.04,144.78,0,0,4096,186,144.82,0,0,0,0,0,1,0
test,0,2:24.67,0,0,0,207868,0,99%,54297,0.05,144.60,0,0,4096,295,144.67,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207812,0,100%,54296,0.06,144.74,0,0,4096,188,144.80,0,0,0,0,0,1,0
test,0,2:25.11,0,0,0,207872,0,100%,54297,0.05,145.05,0,0,4096,244,145.11,0,0,0,0,0,1,0
test,0,2:24.82,0,0,0,207812,0,100%,54295,0.05,144.77,0,0,4096,190,144.82,0,0,0,0,0,1,0
test,0,2:24.81,0,0,0,207768,0,100%,54295,0.04,144.76,0,0,4096,183,144.81,0,0,0,0,0,1,0
test,0,2:24.67,0,0,0,207812,0,99%,54295,0.04,144.63,0,0,4096,338,144.67,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207860,0,99%,54296,0.05,144.63,0,0,4096,301,144.68,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207844,0,99%,54297,0.02,144.65,0,0,4096,332,144.68,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207812,0,99%,54296,0.04,144.63,0,0,4096,244,144.68,0,0,0,0,0,1,0
test,0,2:24.64,0,0,0,207764,0,99%,54295,0.04,144.59,0,0,4096,253,144.64,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207828,0,99%,54297,0.04,144.63,0,0,4096,348,144.68,0,0,0,0,0,1,0
test,0,2:24.67,0,0,0,207860,0,99%,54296,0.04,144.62,0,0,4096,269,144.67,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207816,0,99%,54296,0.05,144.74,0,0,4096,198,144.80,0,0,0,0,0,1,0
test,0,2:24.67,0,0,0,207860,0,99%,54296,0.04,144.62,0,0,4096,381,144.67,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207816,0,100%,54296,0.06,144.71,0,0,4096,186,144.78,0,0,0,0,0,1,0
test,0,2:24.66,0,0,0,207844,0,99%,54297,0.05,144.61,0,0,4096,252,144.66,0,0,0,0,0,1,0
test,0,2:24.67,0,0,0,207812,0,99%,54295,0.04,144.62,0,0,4096,259,144.67,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207764,0,100%,54295,0.04,144.75,0,0,4096,187,144.80,0,0,0,0,0,1,0
test,0,2:24.65,0,0,0,207812,0,99%,54295,0.04,144.60,0,0,4096,336,144.65,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207808,0,99%,54295,0.07,144.71,0,0,4096,191,144.79,0,0,0,0,0,1,0
ref,0,2:39.33,0,0,0,207776,0,99%,54296,0.04,159.29,0,0,4096,378,159.33,0,0,0,0,0,1,0
ref,0,2:39.30,0,0,0,207768,0,99%,54295,0.04,159.26,0,0,4096,225,159.30,0,0,0,0,0,1,0
ref,0,2:39.31,0,0,0,207860,0,99%,54296,0.05,159.26,0,0,4096,360,159.31,0,0,0,0,0,1,0
ref,0,2:39.35,0,0,0,207812,0,100%,54295,0.04,159.30,0,0,4096,283,159.35,0,0,0,0,0,1,0
ref,0,2:39.34,0,0,0,207768,0,99%,54295,0.05,159.29,0,0,4096,381,159.34,0,0,0,0,0,1,0
ref,0,2:39.35,0,0,0,207908,0,99%,54297,0.07,159.27,0,0,4096,392,159.35,0,0,0,0,0,1,0
ref,0,2:39.57,0,0,0,207812,0,99%,54295,0.05,159.51,0,0,4096,386,159.57,0,0,0,0,0,1,0
ref,0,2:39.32,0,0,0,207812,0,99%,54295,0.04,159.27,0,0,4096,380,159.32,0,0,0,0,0,1,0
ref,0,2:39.35,0,0,0,207816,0,99%,54296,0.03,159.30,0,0,4096,339,159.35,0,0,0,0,0,1,0
ref,0,2:39.31,0,0,0,207768,0,99%,54295,0.05,159.25,0,0,4096,351,159.31,0,0,0,0,0,1,0
ref,0,2:40.51,0,0,0,207868,0,100%,54297,0.06,160.44,0,0,4096,214,160.51,0,0,0,0,0,1,0
ref,0,2:39.36,0,0,0,207872,0,99%,54297,0.06,159.29,0,0,4096,424,159.36,0,0,0,0,0,1,0
ref,0,2:39.35,0,0,0,207916,0,99%,54297,0.05,159.29,0,0,4096,462,159.35,0,0,0,0,0,1,0
ref,0,2:40.06,0,0,0,207768,0,99%,54295,0.05,160.00,0,0,4096,349,160.06,0,0,0,0,0,1,0
ref,0,2:39.98,0,0,0,207820,0,99%,54296,0.04,159.93,0,0,4096,422,159.98,0,0,0,0,0,1,0
ref,0,2:40.50,0,0,0,207764,0,100%,54295,0.06,160.44,0,0,4096,204,160.50,0,0,0,0,0,1,0
ref,0,2:39.36,0,0,0,207812,0,100%,54295,0.04,159.31,0,0,4096,281,159.36,0,0,0,0,0,1,0
ref,0,2:40.51,0,0,0,207860,0,100%,54296,0.04,160.46,0,0,4096,204,160.51,0,0,0,0,0,1,0
ref,0,2:39.35,0,0,0,207824,0,100%,54296,0.05,159.29,0,0,4096,219,159.35,0,0,0,0,0,1,0
ref,0,2:40.91,0,0,0,207872,0,100%,54297,0.06,160.85,0,0,4096,208,160.91,0,0,0,0,0,1,0
ref,0,2:39.41,0,0,0,207872,0,99%,54297,0.05,159.36,0,0,4096,431,159.41,0,0,0,0,0,1,0
ref,0,2:39.34,0,0,0,207872,0,100%,54297,0.04,159.30,0,0,4096,255,159.34,0,0,0,0,0,1,0
ref,0,2:39.31,0,0,0,207844,0,99%,54297,0.04,159.26,0,0,4096,312,159.31,0,0,0,0,0,1,0
ref,0,2:39.33,0,0,0,207824,0,99%,54296,0.04,159.28,0,0,4096,369,159.33,0,0,0,0,0,1,0
ref,0,2:40.55,0,0,0,207816,0,99%,54295,0.05,160.49,0,0,4096,223,160.55,0,0,0,0,0,1,0
ref,0,2:39.49,0,0,0,207820,0,99%,54296,0.04,159.44,0,0,4096,430,159.49,0,0,0,0,0,1,0
ref,0,2:39.34,0,0,0,207764,0,99%,54295,0.05,159.29,0,0,4096,198,159.34,0,0,0,0,0,1,0
ref,0,2:40.54,0,0,0,207828,0,99%,54297,0.05,160.48,0,0,4096,211,160.54,0,0,0,0,0,1,0
ref,0,2:39.34,0,0,0,207812,0,99%,54295,0.04,159.29,0,0,4096,354,159.34,0,0,0,0,0,1,0
ref,0,2:39.34,0,0,0,207824,0,99%,54296,0.03,159.30,0,0,4096,438,159.34,0,0,0,0,0,1,0
train,0,2:37.96,0,0,0,207768,0,99%,54295,0.05,157.91,0,0,4096,336,157.96,0,0,0,0,0,1,0
train,0,2:39.16,0,0,0,207816,0,99%,54296,0.05,159.10,0,0,4096,203,159.16,0,0,0,0,0,1,0
train,0,2:37.97,0,0,0,207816,0,99%,54296,0.06,157.90,0,0,4096,246,157.97,0,0,0,0,0,1,0
train,0,2:38.01,0,0,0,207828,0,99%,54298,0.04,157.96,0,0,4096,360,158.01,0,0,0,0,0,1,0
train,0,2:37.97,0,0,0,207812,0,99%,54296,0.05,157.92,0,0,4096,377,157.97,0,0,0,0,0,1,0
train,0,2:38.00,0,0,0,207824,0,100%,54296,0.04,157.96,0,0,4096,323,158.00,0,0,0,0,0,1,0
train,0,2:39.17,0,0,0,207768,0,100%,54295,0.05,159.11,0,0,4096,215,159.17,0,0,0,0,0,1,0
train,0,2:37.98,0,0,0,207824,0,99%,54296,0.04,157.93,0,0,4096,394,157.98,0,0,0,0,0,1,0
train,0,2:39.16,0,0,0,207808,0,100%,54295,0.05,159.11,0,0,4096,267,159.16,0,0,0,0,0,1,0
train,0,2:37.94,0,0,0,207816,0,99%,54296,0.05,157.89,0,0,4096,258,157.94,0,0,0,0,0,1,0
train,0,2:39.29,0,0,0,207872,0,99%,54297,0.06,159.22,0,0,4096,202,159.29,0,0,0,0,0,1,0
train,0,2:37.99,0,0,0,207916,0,99%,54297,0.06,157.93,0,0,4096,363,157.99,0,0,0,0,0,1,0
train,0,2:37.97,0,0,0,207760,0,99%,54295,0.05,157.91,0,0,4096,420,157.97,0,0,0,0,0,1,0
train,0,2:37.98,0,0,0,207824,0,99%,54296,0.05,157.92,0,0,4096,503,157.98,0,0,0,0,0,1,0
train,0,2:39.37,0,0,0,207872,0,99%,54297,0.05,159.31,0,0,4096,218,159.37,0,0,0,0,0,1,0
train,0,2:38.06,0,0,0,207824,0,99%,54296,0.06,157.99,0,0,4096,512,158.06,0,0,0,0,0,1,0
train,0,2:38.01,0,0,0,207768,0,99%,54295,0.06,157.95,0,0,4096,407,158.01,0,0,0,0,0,1,0
train,0,2:39.22,0,0,0,207816,0,99%,54297,0.06,159.15,0,0,4096,213,159.22,0,0,0,0,0,1,0
train,0,2:37.97,0,0,0,207860,0,99%,54296,0.03,157.93,0,0,4096,492,157.97,0,0,0,0,0,1,0
train,0,2:39.16,0,0,0,207844,0,100%,54297,0.06,159.09,0,0,4096,212,159.16,0,0,0,0,0,1,0
train,0,2:38.63,0,0,0,207812,0,99%,54296,0.04,158.58,0,0,4096,430,158.63,0,0,0,0,0,1,0
train,0,2:37.98,0,0,0,207768,0,100%,54295,0.05,157.92,0,0,4096,313,157.98,0,0,0,0,0,1,0
train,0,2:39.15,0,0,0,207860,0,99%,54296,0.06,159.09,0,0,4096,260,159.15,0,0,0,0,0,1,0
train,0,2:37.99,0,0,0,207768,0,99%,54295,0.05,157.93,0,0,4096,376,157.99,0,0,0,0,0,1,0
train,0,2:37.96,0,0,0,207816,0,99%,54296,0.05,157.91,0,0,4096,380,157.96,0,0,0,0,0,1,0
train,0,2:37.98,0,0,0,207820,0,99%,54296,0.07,157.90,0,0,4096,498,157.98,0,0,0,0,0,1,0
train,0,2:39.16,0,0,0,207812,0,99%,54295,0.05,159.11,0,0,4096,235,159.16,0,0,0,0,0,1,0
train,0,2:37.98,0,0,0,207764,0,100%,54295,0.05,157.92,0,0,4096,308,157.98,0,0,0,0,0,1,0
train,0,2:37.96,0,0,0,207824,0,99%,54297,0.06,157.90,0,0,4096,438,157.96,0,0,0,0,0,1,0
train,0,2:40.04,0,0,0,207828,0,100%,54297,0.05,159.98,0,0,4096,231,160.04,0,0,0,0,0,1,0
