cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,2:24.76,0,0,0,207824,0,99%,54296,0.05,144.71,0,0,4096,499,144.76,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207812,0,99%,54295,0.05,144.72,0,0,4096,524,144.78,0,0,0,0,0,1,0
test,0,2:24.90,0,0,0,207820,0,100%,54296,0.06,144.84,0,0,4096,191,144.90,0,0,0,0,0,1,0
test,0,2:24.64,0,0,0,207824,0,99%,54296,0.05,144.59,0,0,4096,342,144.64,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207824,0,99%,54296,0.03,144.75,0,0,4096,480,144.79,0,0,0,0,0,1,0
test,0,2:24.65,0,0,0,207820,0,99%,54297,0.05,144.59,0,0,4096,337,144.65,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207816,0,99%,54296,0.05,144.72,0,0,4096,496,144.78,0,0,0,0,0,1,0
test,0,2:24.64,0,0,0,207776,0,99%,54296,0.04,144.60,0,0,4096,330,144.64,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207828,0,99%,54297,0.05,144.72,0,0,4096,429,144.78,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207844,0,99%,54297,0.04,144.74,0,0,4096,436,144.78,0,0,0,0,0,1,0
test,0,2:24.83,0,0,0,207824,0,99%,54297,0.05,144.77,0,0,4096,442,144.83,0,0,0,0,0,1,0
test,0,2:24.66,0,0,0,207764,0,100%,54295,0.04,144.62,0,0,4096,268,144.66,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207816,0,100%,54296,0.06,144.74,0,0,4096,424,144.80,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207824,0,100%,54296,0.06,144.73,0,0,4096,255,144.79,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207812,0,99%,54295,0.04,144.75,0,0,4096,470,144.80,0,0,0,0,0,1,0
test,0,2:24.81,0,0,0,207824,0,100%,54297,0.06,144.75,0,0,4096,187,144.81,0,0,0,0,0,1,0
test,0,2:24.83,0,0,0,207868,0,99%,54297,0.05,144.77,0,0,4096,485,144.83,0,0,0,0,0,1,0
test,0,2:24.66,0,0,0,207816,0,99%,54296,0.05,144.60,0,0,4096,339,144.66,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207916,0,99%,54297,0.05,144.75,0,0,4096,469,144.80,0,0,0,0,0,1,0
test,0,2:24.92,0,0,0,207916,0,99%,54297,0.06,144.85,0,0,4096,350,144.92,0,0,0,0,0,1,0
test,0,2:24.66,0,0,0,207824,0,99%,54296,0.05,144.60,0,0,4096,337,144.66,0,0,0,0,0,1,0
test,0,2:24.67,0,0,0,207768,0,99%,54295,0.03,144.63,0,0,4096,343,144.67,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207828,0,99%,54297,0.05,144.73,0,0,4096,537,144.78,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207812,0,99%,54295,0.05,144.72,0,0,4096,501,144.78,0,0,0,0,0,1,0
test,0,2:24.65,0,0,0,207764,0,99%,54295,0.05,144.59,0,0,4096,239,144.65,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207816,0,99%,54297,0.04,144.74,0,0,4096,481,144.79,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207908,0,99%,54297,0.04,144.75,0,0,4096,419,144.79,0,0,0,0,0,1,0
test,0,2:24.65,0,0,0,207768,0,99%,54295,0.04,144.60,0,0,4096,304,144.65,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207844,0,99%,54297,0.04,144.74,0,0,4096,526,144.79,0,0,0,0,0,1,0
test,0,2:24.65,0,0,0,207776,0,99%,54297,0.05,144.59,0,0,4096,225,144.65,0,0,0,0,0,1,0
ref,0,2:40.51,0,0,0,207916,0,99%,54297,0.05,160.45,0,0,4096,571,160.51,0,0,0,0,0,1,0
ref,0,2:39.29,0,0,0,207844,0,99%,54297,0.04,159.24,0,0,4096,408,159.29,0,0,0,0,0,1,0
ref,0,2:40.54,0,0,0,207908,0,99%,54297,0.05,160.48,0,0,4096,548,160.54,0,0,0,0,0,1,0
ref,0,2:39.31,0,0,0,207840,0,99%,54297,0.05,159.25,0,0,4096,380,159.31,0,0,0,0,0,1,0
ref,0,2:40.51,0,0,0,207820,0,99%,54296,0.04,160.46,0,0,4096,549,160.51,0,0,0,0,0,1,0
ref,0,2:41.53,0,0,0,207820,0,99%,54296,0.05,161.48,0,0,4096,564,161.53,0,0,0,0,0,1,0
ref,0,2:40.57,0,0,0,207860,0,100%,54296,0.05,160.52,0,0,4096,445,160.57,0,0,0,0,0,1,0
ref,0,2:39.31,0,0,0,207916,0,99%,54297,0.05,159.25,0,0,4096,367,159.31,0,0,0,0,0,1,0
ref,0,2:39.31,0,0,0,207808,0,99%,54295,0.04,159.27,0,0,4096,342,159.31,0,0,0,0,0,1,0
ref,0,2:40.55,0,0,0,207824,0,99%,54296,0.04,160.50,0,0,4096,587,160.55,0,0,0,0,0,1,0
ref,0,2:39.36,0,0,0,207768,0,99%,54295,0.05,159.31,0,0,4096,286,159.36,0,0,0,0,0,1,0
ref,0,2:40.51,0,0,0,207912,0,99%,54297,0.04,160.46,0,0,4096,608,160.51,0,0,0,0,0,1,0
ref,0,2:39.35,0,0,0,207768,0,99%,54295,0.05,159.29,0,0,4096,295,159.35,0,0,0,0,0,1,0
ref,0,2:40.50,0,0,0,207768,0,99%,54295,0.03,160.45,0,0,4096,718,160.50,0,0,0,0,0,1,0
ref,0,2:39.31,0,0,0,207824,0,99%,54297,0.05,159.26,0,0,4096,363,159.31,0,0,0,0,0,1,0
ref,0,2:40.48,0,0,0,207768,0,99%,54295,0.05,160.43,0,0,4096,652,160.48,0,0,0,0,0,1,0
ref,0,2:40.48,0,0,0,207812,0,99%,54295,0.05,160.42,0,0,4096,209,160.48,0,0,0,0,0,1,0
ref,0,2:40.48,0,0,0,207764,0,99%,54295,0.04,160.44,0,0,4096,662,160.48,0,0,0,0,0,1,0
ref,0,2:39.33,0,0,0,207764,0,99%,54295,0.04,159.28,0,0,4096,380,159.33,0,0,0,0,0,1,0
ref,0,2:40.51,0,0,0,207844,0,99%,54297,0.05,160.46,0,0,4096,535,160.51,0,0,0,0,0,1,0
ref,0,2:39.91,0,0,0,207872,0,100%,54297,0.04,159.87,0,0,4096,387,159.91,0,0,0,0,0,1,0
ref,0,2:40.55,0,0,0,207844,0,99%,54297,0.05,160.50,0,0,4096,465,160.55,0,0,0,0,0,1,0
ref,0,2:40.48,0,0,0,207872,0,100%,54297,0.04,160.43,0,0,4096,466,160.48,0,0,0,0,0,1,0
ref,0,2:40.62,0,0,0,207812,0,99%,54295,0.06,160.55,0,0,4096,462,160.62,0,0,0,0,0,1,0
ref,0,2:40.53,0,0,0,207812,0,99%,54295,0.05,160.47,0,0,4096,469,160.53,0,0,0,0,0,1,0
ref,0,2:39.87,0,0,0,207860,0,99%,54296,0.05,159.82,0,0,4096,458,159.87,0,0,0,0,0,1,0
ref,0,2:41.00,0,0,0,207904,0,99%,54296,0.06,160.94,0,0,4096,465,161.00,0,0,0,0,0,1,0
ref,0,2:39.31,0,0,0,207768,0,99%,54295,0.05,159.25,0,0,4096,398,159.31,0,0,0,0,0,1,0
ref,0,2:39.32,0,0,0,207844,0,99%,54297,0.04,159.28,0,0,4096,377,159.32,0,0,0,0,0,1,0
ref,0,2:39.27,0,0,0,207812,0,100%,54295,0.04,159.23,0,0,4096,353,159.27,0,0,0,0,0,1,0
train,0,2:37.99,0,0,0,207872,0,100%,54297,0.05,157.93,0,0,4096,332,157.99,0,0,0,0,0,1,0
train,0,2:37.99,0,0,0,207776,0,100%,54296,0.04,157.95,0,0,4096,374,157.99,0,0,0,0,0,1,0
train,0,2:39.49,0,0,0,207808,0,99%,54294,0.04,159.45,0,0,4096,398,159.49,0,0,0,0,0,1,0
train,0,2:38.04,0,0,0,207812,0,99%,54295,0.04,157.99,0,0,4096,437,158.04,0,0,0,0,0,1,0
train,0,2:37.96,0,0,0,207820,0,99%,54296,0.05,157.91,0,0,4096,331,157.96,0,0,0,0,0,1,0
train,0,2:38.03,0,0,0,207872,0,99%,54298,0.05,157.97,0,0,4096,340,158.03,0,0,0,0,0,1,0
train,0,2:39.17,0,0,0,207768,0,99%,54295,0.05,159.11,0,0,4096,470,159.17,0,0,0,0,0,1,0
train,0,2:37.97,0,0,0,207860,0,99%,54296,0.03,157.94,0,0,4096,436,157.97,0,0,0,0,0,1,0
train,0,2:37.99,0,0,0,207812,0,100%,54295,0.05,157.93,0,0,4096,326,157.99,0,0,0,0,0,1,0
train,0,2:37.95,0,0,0,207844,0,99%,54297,0.04,157.90,0,0,4096,533,157.95,0,0,0,0,0,1,0
train,0,2:37.96,0,0,0,207764,0,99%,54295,0.05,157.91,0,0,4096,393,157.96,0,0,0,0,0,1,0
train,0,2:37.97,0,0,0,207872,0,99%,54297,0.05,157.91,0,0,4096,454,157.97,0,0,0,0,0,1,0
train,0,2:37.98,0,0,0,207824,0,99%,54296,0.04,157.94,0,0,4096,352,157.98,0,0,0,0,0,1,0
train,0,2:38.03,0,0,0,207872,0,99%,54297,0.05,157.97,0,0,4096,386,158.03,0,0,0,0,0,1,0
train,0,2:37.99,0,0,0,207768,0,99%,54295,0.03,157.95,0,0,4096,280,157.99,0,0,0,0,0,1,0
train,0,2:37.99,0,0,0,207824,0,99%,54296,0.03,157.96,0,0,4096,293,157.99,0,0,0,0,0,1,0
train,0,2:37.98,0,0,0,207816,0,99%,54296,0.06,157.91,0,0,4096,361,157.98,0,0,0,0,0,1,0
train,0,2:38.41,0,0,0,207844,0,99%,54297,0.05,158.36,0,0,4096,298,158.41,0,0,0,0,0,1,0
train,0,2:38.01,0,0,0,207824,0,99%,54296,0.04,157.96,0,0,4096,358,158.01,0,0,0,0,0,1,0
train,0,2:38.01,0,0,0,207844,0,99%,54297,0.03,157.98,0,0,4096,355,158.01,0,0,0,0,0,1,0
train,0,2:37.97,0,0,0,207916,0,99%,54297,0.05,157.90,0,0,4096,306,157.97,0,0,0,0,0,1,0
train,0,2:37.96,0,0,0,207812,0,99%,54295,0.05,157.90,0,0,4096,427,157.96,0,0,0,0,0,1,0
train,0,2:37.97,0,0,0,207828,0,99%,54297,0.04,157.92,0,0,4096,364,157.97,0,0,0,0,0,1,0
train,0,2:38.27,0,0,0,207916,0,99%,54297,0.06,158.20,0,0,4096,402,158.27,0,0,0,0,0,1,0
train,0,2:37.97,0,0,0,207844,0,99%,54297,0.05,157.92,0,0,4096,273,157.97,0,0,0,0,0,1,0
train,0,2:38.01,0,0,0,207904,0,99%,54297,0.03,157.97,0,0,4096,239,158.01,0,0,0,0,0,1,0
train,0,2:38.01,0,0,0,207812,0,99%,54295,0.04,157.97,0,0,4096,423,158.01,0,0,0,0,0,1,0
train,0,2:37.99,0,0,0,207820,0,99%,54296,0.04,157.94,0,0,4096,325,157.99,0,0,0,0,0,1,0
train,0,2:37.98,0,0,0,207824,0,100%,54296,0.03,157.94,0,0,4096,339,157.98,0,0,0,0,0,1,0
train,0,2:38.01,0,0,0,207816,0,99%,54296,0.03,157.98,0,0,4096,370,158.01,0,0,0,0,0,1,0
