cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,2:24.84,0,0,0,207844,0,100%,54297,0.07,144.76,0,0,4096,198,144.84,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207812,0,99%,54295,0.05,144.73,0,0,4096,478,144.79,0,0,0,0,0,1,0
test,0,2:25.20,0,0,0,207820,0,99%,54296,0.05,145.15,0,0,4096,181,145.20,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207824,0,99%,54296,0.04,144.74,0,0,4096,444,144.79,0,0,0,0,0,1,0
test,0,2:24.84,0,0,0,207816,0,100%,54296,0.05,144.78,0,0,4096,206,144.84,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207844,0,100%,54297,0.05,144.74,0,0,4096,188,144.79,0,0,0,0,0,1,0
test,0,2:24.77,0,0,0,207776,0,99%,54296,0.05,144.72,0,0,4096,485,144.77,0,0,0,0,0,1,0
test,0,2:24.81,0,0,0,207812,0,100%,54295,0.06,144.75,0,0,4096,213,144.81,0,0,0,0,0,1,0
test,0,2:24.82,0,0,0,207812,0,99%,54295,0.04,144.77,0,0,4096,471,144.82,0,0,0,0,0,1,0
test,0,2:24.81,0,0,0,207824,0,99%,54296,0.05,144.75,0,0,4096,192,144.81,0,0,0,0,0,1,0
test,0,2:24.70,0,0,0,207840,0,99%,54297,0.06,144.63,0,0,4096,267,144.70,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207844,0,99%,54297,0.05,144.71,0,0,4096,479,144.78,0,0,0,0,0,1,0
test,0,2:24.82,0,0,0,207872,0,99%,54297,0.06,144.75,0,0,4096,205,144.82,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207776,0,99%,54296,0.05,144.73,0,0,4096,462,144.79,0,0,0,0,0,1,0
test,0,2:24.69,0,0,0,207860,0,99%,54297,0.05,144.63,0,0,4096,273,144.69,0,0,0,0,0,1,0
test,0,2:25.76,0,0,0,207764,0,99%,54296,0.05,145.71,0,0,4096,318,145.76,0,0,0,0,0,1,0
test,0,2:24.75,0,0,0,207844,0,99%,54297,0.04,144.71,0,0,4096,522,144.75,0,0,0,0,0,1,0
test,0,2:24.77,0,0,0,207908,0,100%,54297,0.04,144.72,0,0,4096,196,144.77,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207764,0,99%,54295,0.05,144.63,0,0,4096,315,144.68,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207776,0,99%,54296,0.05,144.73,0,0,4096,495,144.79,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207844,0,100%,54297,0.04,144.75,0,0,4096,207,144.80,0,0,0,0,0,1,0
test,0,2:24.82,0,0,0,207912,0,100%,54297,0.05,144.77,0,0,4096,234,144.82,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207828,0,99%,54297,0.05,144.75,0,0,4096,227,144.80,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207768,0,99%,54295,0.04,144.74,0,0,4096,511,144.79,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207812,0,100%,54295,0.06,144.73,0,0,4096,231,144.80,0,0,0,0,0,1,0
test,0,2:24.86,0,0,0,207812,0,99%,54295,0.05,144.80,0,0,4096,224,144.86,0,0,0,0,0,1,0
test,0,2:24.77,0,0,0,207916,0,99%,54297,0.04,144.72,0,0,4096,494,144.77,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207824,0,99%,54296,0.06,144.71,0,0,4096,236,144.78,0,0,0,0,0,1,0
test,0,2:25.53,0,0,0,207904,0,99%,54296,0.04,145.48,0,0,4096,486,145.53,0,0,0,0,0,1,0
test,0,2:24.64,0,0,0,207812,0,99%,54296,0.05,144.58,0,0,4096,290,144.64,0,0,0,0,0,1,0
ref,0,2:41.01,0,0,0,207768,0,100%,54295,0.04,160.97,0,0,4096,230,161.01,0,0,0,0,0,1,0
ref,0,2:40.06,0,0,0,207764,0,99%,54295,0.05,160.00,0,0,4096,484,160.06,0,0,0,0,0,1,0
ref,0,2:40.49,0,0,0,207824,0,99%,54296,0.06,160.42,0,0,4096,531,160.49,0,0,0,0,0,1,0
ref,0,2:39.35,0,0,0,207844,0,99%,54297,0.04,159.30,0,0,4096,352,159.35,0,0,0,0,0,1,0
ref,0,2:40.77,0,0,0,207868,0,99%,54297,0.05,160.71,0,0,4096,444,160.77,0,0,0,0,0,1,0
ref,0,2:39.75,0,0,0,207916,0,99%,54298,0.06,159.68,0,0,4096,363,159.75,0,0,0,0,0,1,0
ref,0,2:40.60,0,0,0,207776,0,99%,54296,0.05,160.54,0,0,4096,480,160.60,0,0,0,0,0,1,0
ref,0,2:40.52,0,0,0,207916,0,99%,54297,0.03,160.49,0,0,4096,506,160.52,0,0,0,0,0,1,0
ref,0,2:40.53,0,0,0,207812,0,99%,54296,0.04,160.48,0,0,4096,532,160.53,0,0,0,0,0,1,0
ref,0,2:40.60,0,0,0,207764,0,99%,54295,0.05,160.55,0,0,4096,567,160.60,0,0,0,0,0,1,0
ref,0,2:40.51,0,0,0,207860,0,99%,54297,0.04,160.46,0,0,4096,602,160.51,0,0,0,0,0,1,0
ref,0,2:40.52,0,0,0,207872,0,99%,54297,0.05,160.47,0,0,4096,570,160.52,0,0,0,0,0,1,0
ref,0,2:39.33,0,0,0,207860,0,99%,54296,0.05,159.28,0,0,4096,360,159.33,0,0,0,0,0,1,0
ref,0,2:40.55,0,0,0,207828,0,99%,54297,0.04,160.51,0,0,4096,592,160.55,0,0,0,0,0,1,0
ref,0,2:40.52,0,0,0,207764,0,99%,54295,0.05,160.46,0,0,4096,613,160.52,0,0,0,0,0,1,0
ref,0,2:40.58,0,0,0,207828,0,99%,54297,0.05,160.53,0,0,4096,569,160.58,0,0,0,0,0,1,0
ref,0,2:41.06,0,0,0,207872,0,100%,54297,0.04,161.02,0,0,4096,210,161.06,0,0,0,0,0,1,0
ref,0,2:39.34,0,0,0,207768,0,99%,54295,0.04,159.29,0,0,4096,243,159.34,0,0,0,0,0,1,0
ref,0,2:40.55,0,0,0,207828,0,99%,54297,0.05,160.49,0,0,4096,485,160.55,0,0,0,0,0,1,0
ref,0,2:39.34,0,0,0,207768,0,99%,54295,0.04,159.30,0,0,4096,293,159.34,0,0,0,0,0,1,0
ref,0,2:40.98,0,0,0,207808,0,99%,54294,0.07,160.91,0,0,4096,207,160.98,0,0,0,0,0,1,0
ref,0,2:39.32,0,0,0,207820,0,100%,54296,0.05,159.27,0,0,4096,296,159.32,0,0,0,0,0,1,0
ref,0,2:40.91,0,0,0,207760,0,99%,54295,0.05,160.86,0,0,4096,518,160.91,0,0,0,0,0,1,0
ref,0,2:39.38,0,0,0,207776,0,99%,54296,0.05,159.33,0,0,4096,374,159.38,0,0,0,0,0,1,0
ref,0,2:40.76,0,0,0,207916,0,99%,54297,0.06,160.69,0,0,4096,211,160.76,0,0,0,0,0,1,0
ref,0,2:39.30,0,0,0,207860,0,99%,54296,0.04,159.25,0,0,4096,361,159.30,0,0,0,0,0,1,0
ref,0,2:40.55,0,0,0,207820,0,99%,54296,0.05,160.49,0,0,4096,530,160.55,0,0,0,0,0,1,0
ref,0,2:40.51,0,0,0,207808,0,99%,54295,0.05,160.46,0,0,4096,597,160.51,0,0,0,0,0,1,0
ref,0,2:40.51,0,0,0,207844,0,99%,54297,0.04,160.47,0,0,4096,538,160.51,0,0,0,0,0,1,0
ref,0,2:40.50,0,0,0,207768,0,99%,54295,0.06,160.44,0,0,4096,519,160.50,0,0,0,0,0,1,0
train,0,2:38.00,0,0,0,207764,0,99%,54295,0.05,157.94,0,0,4096,354,158.00,0,0,0,0,0,1,0
train,0,2:39.15,0,0,0,207872,0,99%,54297,0.05,159.10,0,0,4096,482,159.15,0,0,0,0,0,1,0
train,0,2:37.99,0,0,0,207768,0,99%,54295,0.05,157.93,0,0,4096,371,157.99,0,0,0,0,0,1,0
train,0,2:39.15,0,0,0,207812,0,99%,54295,0.03,159.11,0,0,4096,463,159.15,0,0,0,0,0,1,0
train,0,2:38.00,0,0,0,207908,0,99%,54297,0.05,157.95,0,0,4096,325,158.00,0,0,0,0,0,1,0
train,0,2:39.17,0,0,0,207824,0,99%,54296,0.04,159.12,0,0,4096,555,159.17,0,0,0,0,0,1,0
train,0,2:39.14,0,0,0,207776,0,99%,54296,0.03,159.11,0,0,4096,612,159.14,0,0,0,0,0,1,0
train,0,2:37.98,0,0,0,207768,0,99%,54295,0.05,157.92,0,0,4096,375,157.98,0,0,0,0,0,1,0
train,0,2:39.16,0,0,0,207764,0,99%,54295,0.05,159.10,0,0,4096,582,159.16,0,0,0,0,0,1,0
train,0,2:38.00,0,0,0,207768,0,99%,54295,0.06,157.94,0,0,4096,370,158.00,0,0,0,0,0,1,0
train,0,2:39.18,0,0,0,207764,0,100%,54295,0.04,159.14,0,0,4096,218,159.18,0,0,0,0,0,1,0
train,0,2:38.02,0,0,0,207872,0,99%,54297,0.05,157.96,0,0,4096,241,158.02,0,0,0,0,0,1,0
train,0,2:39.15,0,0,0,207860,0,99%,54297,0.05,159.09,0,0,4096,437,159.15,0,0,0,0,0,1,0
train,0,2:37.98,0,0,0,207824,0,99%,54296,0.06,157.91,0,0,4096,365,157.98,0,0,0,0,0,1,0
train,0,2:39.19,0,0,0,207824,0,99%,54296,0.05,159.14,0,0,4096,282,159.19,0,0,0,0,0,1,0
train,0,2:37.97,0,0,0,207812,0,100%,54295,0.06,157.90,0,0,4096,242,157.97,0,0,0,0,0,1,0
train,0,2:39.88,0,0,0,207764,0,99%,54295,0.06,159.82,0,0,4096,526,159.88,0,0,0,0,0,1,0
train,0,2:39.14,0,0,0,207856,0,99%,54296,0.04,159.10,0,0,4096,585,159.14,0,0,0,0,0,1,0
train,0,2:39.21,0,0,0,207916,0,99%,54297,0.05,159.16,0,0,4096,599,159.21,0,0,0,0,0,1,0
train,0,2:39.16,0,0,0,207908,0,99%,54297,0.05,159.11,0,0,4096,577,159.16,0,0,0,0,0,1,0
train,0,2:37.99,0,0,0,207816,0,99%,54296,0.05,157.93,0,0,4096,357,157.99,0,0,0,0,0,1,0
train,0,2:39.17,0,0,0,207856,0,99%,54296,0.04,159.12,0,0,4096,571,159.17,0,0,0,0,0,1,0
train,0,2:39.15,0,0,0,207812,0,99%,54295,0.05,159.10,0,0,4096,475,159.15,0,0,0,0,0,1,0
train,0,2:39.14,0,0,0,207812,0,99%,54295,0.04,159.09,0,0,4096,235,159.14,0,0,0,0,0,1,0
