cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,2:24.96,0,0,0,207812,0,99%,54296,0.05,144.90,0,0,4096,394,144.96,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207828,0,100%,54297,0.04,144.74,0,0,4096,188,144.79,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207768,0,99%,54296,0.06,144.72,0,0,4096,190,144.79,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207908,0,99%,54297,0.07,144.60,0,0,4096,325,144.68,0,0,0,0,0,1,0
test,0,2:24.67,0,0,0,207824,0,99%,54296,0.03,144.63,0,0,4096,368,144.67,0,0,0,0,0,1,0
test,0,2:24.82,0,0,0,207824,0,99%,54297,0.05,144.76,0,0,4096,193,144.82,0,0,0,0,0,1,0
test,0,2:24.69,0,0,0,207824,0,99%,54296,0.05,144.63,0,0,4096,335,144.69,0,0,0,0,0,1,0
test,0,2:24.86,0,0,0,207776,0,100%,54296,0.05,144.80,0,0,4096,181,144.86,0,0,0,0,0,1,0
test,0,2:24.66,0,0,0,207872,0,99%,54297,0.04,144.62,0,0,4096,364,144.66,0,0,0,0,0,1,0
test,0,2:25.24,0,0,0,207916,0,99%,54297,0.05,145.19,0,0,4096,349,145.24,0,0,0,0,0,1,0
test,0,2:24.91,0,0,0,207812,0,99%,54295,0.04,144.87,0,0,4096,201,144.91,0,0,0,0,0,1,0
test,0,2:24.86,0,0,0,207844,0,99%,54297,0.06,144.79,0,0,4096,333,144.86,0,0,0,0,0,1,0
test,0,2:24.80,0,0,0,207820,0,100%,54296,0.06,144.74,0,0,4096,190,144.80,0,0,0,0,0,1,0
test,0,2:24.66,0,0,0,207812,0,99%,54295,0.05,144.60,0,0,4096,447,144.66,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207824,0,99%,54296,0.03,144.74,0,0,4096,191,144.78,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207768,0,99%,54295,0.05,144.63,0,0,4096,340,144.68,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207776,0,99%,54296,0.05,144.72,0,0,4096,203,144.78,0,0,0,0,0,1,0
test,0,2:24.68,0,0,0,207816,0,99%,54296,0.05,144.62,0,0,4096,388,144.68,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207820,0,99%,54296,0.05,144.72,0,0,4096,225,144.78,0,0,0,0,0,1,0
test,0,2:24.67,0,0,0,207808,0,99%,54295,0.05,144.61,0,0,4096,308,144.67,0,0,0,0,0,1,0
test,0,2:24.65,0,0,0,207872,0,99%,54297,0.05,144.59,0,0,4096,227,144.65,0,0,0,0,0,1,0
test,0,2:24.83,0,0,0,207812,0,100%,54295,0.04,144.79,0,0,4096,250,144.83,0,0,0,0,0,1,0
test,0,2:24.71,0,0,0,207872,0,99%,54297,0.05,144.66,0,0,4096,321,144.71,0,0,0,0,0,1,0
test,0,2:24.66,0,0,0,207908,0,99%,54297,0.04,144.61,0,0,4096,357,144.66,0,0,0,0,0,1,0
test,0,2:24.78,0,0,0,207872,0,100%,54297,0.06,144.72,0,0,4096,188,144.78,0,0,0,0,0,1,0
test,0,2:24.67,0,0,0,207776,0,99%,54296,0.06,144.61,0,0,4096,335,144.67,0,0,0,0,0,1,0
test,0,2:24.65,0,0,0,207860,0,99%,54296,0.05,144.60,0,0,4096,310,144.65,0,0,0,0,0,1,0
test,0,2:24.66,0,0,0,207764,0,99%,54295,0.03,144.62,0,0,4096,441,144.66,0,0,0,0,0,1,0
test,0,2:24.69,0,0,0,207824,0,99%,54296,0.05,144.64,0,0,4096,280,144.69,0,0,0,0,0,1,0
test,0,2:24.79,0,0,0,207768,0,99%,54295,0.05,144.74,0,0,4096,191,144.79,0,0,0,0,0,1,0
ref,0,2:39.34,0,0,0,207768,0,99%,54295,0.05,159.28,0,0,4096,378,159.34,0,0,0,0,0,1,0
ref,0,2:39.33,0,0,0,207828,0,99%,54297,0.04,159.28,0,0,4096,518,159.33,0,0,0,0,0,1,0
ref,0,2:39.33,0,0,0,207768,0,99%,54295,0.05,159.27,0,0,4096,349,159.33,0,0,0,0,0,1,0
ref,0,2:40.48,0,0,0,207816,0,99%,54296,0.05,160.42,0,0,4096,214,160.48,0,0,0,0,0,1,0
ref,0,2:39.31,0,0,0,207872,0,99%,54297,0.04,159.26,0,0,4096,439,159.31,0,0,0,0,0,1,0
ref,0,2:39.30,0,0,0,207764,0,99%,54295,0.04,159.26,0,0,4096,315,159.30,0,0,0,0,0,1,0
ref,0,2:40.52,0,0,0,207808,0,100%,54295,0.05,160.47,0,0,4096,265,160.52,0,0,0,0,0,1,0
ref,0,2:39.33,0,0,0,207824,0,99%,54296,0.04,159.28,0,0,4096,421,159.33,0,0,0,0,0,1,0
ref,0,2:40.47,0,0,0,207820,0,99%,54297,0.06,160.40,0,0,4096,266,160.47,0,0,0,0,0,1,0
ref,0,2:39.32,0,0,0,207768,0,99%,54295,0.05,159.27,0,0,4096,486,159.32,0,0,0,0,0,1,0
ref,0,2:39.28,0,0,0,207812,0,99%,54295,0.05,159.23,0,0,4096,396,159.28,0,0,0,0,0,1,0
ref,0,2:39.31,0,0,0,207816,0,99%,54296,0.04,159.26,0,0,4096,365,159.31,0,0,0,0,0,1,0
ref,0,2:40.49,0,0,0,207768,0,99%,54295,0.05,160.44,0,0,4096,203,160.49,0,0,0,0,0,1,0
ref,0,2:39.31,0,0,0,207812,0,100%,54295,0.04,159.26,0,0,4096,342,159.31,0,0,0,0,0,1,0
ref,0,2:40.46,0,0,0,207768,0,100%,54295,0.07,160.38,0,0,4096,213,160.46,0,0,0,0,0,1,0
ref,0,2:39.76,0,0,0,207776,0,99%,54296,0.05,159.71,0,0,4096,346,159.76,0,0,0,0,0,1,0
ref,0,2:40.47,0,0,0,207872,0,100%,54297,0.04,160.43,0,0,4096,209,160.47,0,0,0,0,0,1,0
ref,0,2:39.34,0,0,0,207824,0,99%,54296,0.05,159.28,0,0,4096,338,159.34,0,0,0,0,0,1,0
ref,0,2:39.34,0,0,0,207812,0,99%,54296,0.04,159.29,0,0,4096,339,159.34,0,0,0,0,0,1,0
ref,0,2:40.58,0,0,0,207908,0,100%,54297,0.05,160.52,0,0,4096,213,160.58,0,0,0,0,0,1,0
ref,0,2:39.32,0,0,0,207908,0,99%,54297,0.06,159.25,0,0,4096,370,159.32,0,0,0,0,0,1,0
ref,0,2:39.33,0,0,0,207808,0,99%,54295,0.04,159.29,0,0,4096,354,159.33,0,0,0,0,0,1,0
ref,0,2:39.39,0,0,0,207808,0,99%,54295,0.04,159.34,0,0,4096,454,159.39,0,0,0,0,0,1,0
ref,0,2:40.50,0,0,0,207908,0,99%,54297,0.05,160.45,0,0,4096,212,160.50,0,0,0,0,0,1,0
ref,0,2:39.36,0,0,0,207768,0,99%,54295,0.05,159.30,0,0,4096,384,159.36,0,0,0,0,0,1,0
ref,0,2:40.52,0,0,0,207828,0,100%,54297,0.05,160.47,0,0,4096,208,160.52,0,0,0,0,0,1,0
ref,0,2:39.37,0,0,0,207828,0,99%,54297,0.05,159.31,0,0,4096,431,159.37,0,0,0,0,0,1,0
ref,0,2:40.58,0,0,0,207824,0,99%,54296,0.06,160.51,0,0,4096,196,160.58,0,0,0,0,0,1,0
ref,0,2:40.50,0,0,0,207916,0,100%,54297,0.06,160.44,0,0,4096,220,160.50,0,0,0,0,0,1,0
ref,0,2:40.77,0,0,0,207820,0,99%,54295,0.06,160.70,0,0,4096,506,160.77,0,0,0,0,0,1,0
train,0,2:37.94,0,0,0,207908,0,99%,54297,0.03,157.89,0,0,4096,422,157.94,0,0,0,0,0,1,0
