cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,0:45.97,0,0,0,207800,0,99%,54295,0.05,45.92,0,0,4096,146,45.97,0,0,0,0,0,1,0
test,0,0:45.98,0,0,0,207820,0,99%,54298,0.05,45.92,0,0,4096,151,45.98,0,0,0,0,0,1,0
test,0,0:45.77,0,0,0,207808,0,99%,54298,0.04,45.73,0,0,4096,92,45.77,0,0,0,0,0,1,0
test,0,0:45.93,0,0,0,207864,0,99%,54298,0.05,45.88,0,0,4096,140,45.93,0,0,0,0,0,1,0
test,0,0:45.98,0,0,0,207832,0,99%,54297,0.05,45.93,0,0,4096,136,45.98,0,0,0,0,0,1,0
test,0,0:46.03,0,0,0,207832,0,100%,54298,0.05,45.97,0,0,4096,76,46.03,0,0,0,0,0,1,0
test,0,0:45.95,0,0,0,207820,0,99%,54298,0.05,45.90,0,0,4096,119,45.95,0,0,0,0,0,1,0
test,0,0:46.17,0,0,0,207764,0,99%,54296,0.05,46.12,0,0,4096,100,46.17,0,0,0,0,0,1,0
test,0,0:45.94,0,0,0,207812,0,99%,54298,0.05,45.89,0,0,4096,115,45.94,0,0,0,0,0,1,0
test,0,0:46.08,0,0,0,207848,0,99%,54296,0.05,46.03,0,0,4096,121,46.08,0,0,0,0,0,1,0
test,0,0:45.96,0,0,0,207836,0,99%,54298,0.04,45.91,0,0,4096,120,45.96,0,0,0,0,0,1,0
test,0,0:45.78,0,0,0,207836,0,99%,54298,0.05,45.73,0,0,4096,112,45.78,0,0,0,0,0,1,0
test,0,0:45.96,0,0,0,207816,0,99%,54297,0.04,45.91,0,0,4096,123,45.96,0,0,0,0,0,1,0
test,0,0:45.94,0,0,0,207816,0,99%,54297,0.05,45.89,0,0,4096,140,45.94,0,0,0,0,0,1,0
test,0,0:45.79,0,0,0,207800,0,99%,54295,0.06,45.72,0,0,4096,92,45.79,0,0,0,0,0,1,0
test,0,0:45.97,0,0,0,207836,0,99%,54298,0.05,45.91,0,0,4096,68,45.97,0,0,0,0,0,1,0
test,0,0:46.05,0,0,0,207852,0,99%,54297,0.05,46.00,0,0,4096,169,46.05,0,0,0,0,0,1,0
test,0,0:45.80,0,0,0,207764,0,99%,54296,0.04,45.75,0,0,4096,85,45.80,0,0,0,0,0,1,0
test,0,0:45.99,0,0,0,207812,0,99%,54297,0.05,45.94,0,0,4096,153,45.99,0,0,0,0,0,1,0
test,0,0:45.78,0,0,0,207808,0,99%,54297,0.06,45.72,0,0,4096,81,45.78,0,0,0,0,0,1,0
test,0,0:45.94,0,0,0,207756,0,100%,54296,0.05,45.89,0,0,4096,142,45.94,0,0,0,0,0,1,0
test,0,0:45.78,0,0,0,207764,0,100%,54297,0.06,45.72,0,0,4096,82,45.78,0,0,0,0,0,1,0
test,0,0:45.96,0,0,0,207848,0,99%,54296,0.04,45.92,0,0,4096,124,45.96,0,0,0,0,0,1,0
test,0,0:45.95,0,0,0,207832,0,99%,54298,0.07,45.88,0,0,4096,127,45.95,0,0,0,0,0,1,0
test,0,0:45.82,0,0,0,207860,0,99%,54298,0.05,45.77,0,0,4096,111,45.82,0,0,0,0,0,1,0
test,0,0:45.97,0,0,0,207904,0,99%,54297,0.05,45.91,0,0,4096,115,45.97,0,0,0,0,0,1,0
test,0,0:46.00,0,0,0,207832,0,100%,54297,0.06,45.93,0,0,4096,101,46.00,0,0,0,0,0,1,0
test,0,0:45.77,0,0,0,207804,0,100%,54296,0.05,45.72,0,0,4096,95,45.77,0,0,0,0,0,1,0
test,0,0:45.93,0,0,0,207904,0,100%,54297,0.05,45.87,0,0,4096,158,45.93,0,0,0,0,0,1,0
test,0,0:45.93,0,0,0,207816,0,99%,54298,0.04,45.88,0,0,4096,107,45.93,0,0,0,0,0,1,0
ref,0,0:47.73,0,0,0,207860,0,99%,54297,0.04,47.68,0,0,4096,68,47.73,0,0,0,0,0,1,0
ref,0,0:47.55,0,0,0,207816,0,99%,54297,0.05,47.49,0,0,4096,115,47.55,0,0,0,0,0,1,0
ref,0,0:47.77,0,0,0,207804,0,99%,54297,0.04,47.73,0,0,4096,129,47.77,0,0,0,0,0,1,0
ref,0,0:47.59,0,0,0,207864,0,99%,54298,0.05,47.53,0,0,4096,131,47.59,0,0,0,0,0,1,0
ref,0,0:47.83,0,0,0,207760,0,99%,54296,0.06,47.77,0,0,4096,58,47.83,0,0,0,0,0,1,0
ref,0,0:47.69,0,0,0,207756,0,99%,54296,0.03,47.65,0,0,4096,105,47.69,0,0,0,0,0,1,0
ref,0,0:47.65,0,0,0,207804,0,99%,54296,0.05,47.60,0,0,4096,117,47.65,0,0,0,0,0,1,0
ref,0,0:47.66,0,0,0,207908,0,100%,54298,0.03,47.63,0,0,4096,112,47.66,0,0,0,0,0,1,0
ref,0,0:47.64,0,0,0,207800,0,99%,54295,0.05,47.58,0,0,4096,109,47.64,0,0,0,0,0,1,0
ref,0,0:48.03,0,0,0,207816,0,99%,54297,0.04,47.98,0,0,4096,114,48.03,0,0,0,0,0,1,0
ref,0,0:47.62,0,0,0,207864,0,100%,54299,0.04,47.58,0,0,4096,108,47.62,0,0,0,0,0,1,0
ref,0,0:47.67,0,0,0,207760,0,99%,54296,0.06,47.61,0,0,4096,101,47.67,0,0,0,0,0,1,0
ref,0,0:47.60,0,0,0,207864,0,100%,54298,0.05,47.54,0,0,4096,114,47.60,0,0,0,0,0,1,0
ref,0,0:47.85,0,0,0,207860,0,100%,54297,0.05,47.80,0,0,4096,59,47.85,0,0,0,0,0,1,0
ref,0,0:47.78,0,0,0,207816,0,100%,54297,0.03,47.74,0,0,4096,69,47.78,0,0,0,0,0,1,0
ref,0,0:47.75,0,0,0,207816,0,99%,54297,0.05,47.69,0,0,4096,111,47.75,0,0,0,0,0,1,0
ref,0,0:47.51,0,0,0,207820,0,99%,54298,0.03,47.48,0,0,4096,101,47.51,0,0,0,0,0,1,0
ref,0,0:47.65,0,0,0,207804,0,99%,54296,0.05,47.59,0,0,4096,107,47.65,0,0,0,0,0,1,0
ref,0,0:47.89,0,0,0,207804,0,100%,54296,0.04,47.85,0,0,4096,101,47.89,0,0,0,0,0,1,0
ref,0,0:47.77,0,0,0,207804,0,99%,54296,0.05,47.71,0,0,4096,108,47.77,0,0,0,0,0,1,0
ref,0,0:47.52,0,0,0,207836,0,99%,54298,0.06,47.46,0,0,4096,118,47.52,0,0,0,0,0,1,0
ref,0,0:47.79,0,0,0,207832,0,100%,54298,0.04,47.75,0,0,4096,103,47.79,0,0,0,0,0,1,0
ref,0,0:47.63,0,0,0,207820,0,99%,54298,0.04,47.59,0,0,4096,114,47.63,0,0,0,0,0,1,0
ref,0,0:47.82,0,0,0,207816,0,100%,54297,0.04,47.77,0,0,4096,74,47.82,0,0,0,0,0,1,0
ref,0,0:47.67,0,0,0,207852,0,99%,54298,0.05,47.62,0,0,4096,98,47.67,0,0,0,0,0,1,0
ref,0,0:47.74,0,0,0,207820,0,99%,54298,0.06,47.68,0,0,4096,92,47.74,0,0,0,0,0,1,0
ref,0,0:47.67,0,0,0,207864,0,99%,54298,0.05,47.61,0,0,4096,114,47.67,0,0,0,0,0,1,0
ref,0,0:47.63,0,0,0,207832,0,99%,54297,0.04,47.59,0,0,4096,110,47.63,0,0,0,0,0,1,0
ref,0,0:47.51,0,0,0,207832,0,99%,54297,0.04,47.46,0,0,4096,136,47.51,0,0,0,0,0,1,0
ref,0,0:47.68,0,0,0,207808,0,100%,54296,0.04,47.63,0,0,4096,101,47.68,0,0,0,0,0,1,0
train,0,0:47.44,0,0,0,207836,0,99%,54298,0.05,47.37,0,0,4096,113,47.44,0,0,0,0,0,1,0
train,0,0:47.19,0,0,0,207804,0,100%,54296,0.05,47.14,0,0,4096,127,47.19,0,0,0,0,0,1,0
train,0,0:47.45,0,0,0,207756,0,99%,54296,0.05,47.39,0,0,4096,123,47.45,0,0,0,0,0,1,0
train,0,0:47.44,0,0,0,207760,0,99%,54296,0.06,47.38,0,0,4096,80,47.44,0,0,0,0,0,1,0
train,0,0:47.48,0,0,0,207800,0,99%,54295,0.04,47.43,0,0,4096,117,47.48,0,0,0,0,0,1,0
train,0,0:47.44,0,0,0,207812,0,99%,54297,0.06,47.37,0,0,4096,132,47.44,0,0,0,0,0,1,0
