cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,0:03.04,0,0,0,159828,64,99%,39570,0.04,2.99,0,0,4096,4,3.04,0,0,0,0,0,1,0
test,0,0:03.05,0,0,0,159904,64,100%,39570,0.04,3.00,0,0,4096,10,3.05,0,0,0,0,0,1,0
test,0,0:03.18,0,0,0,159876,64,99%,39571,0.03,3.14,0,0,4096,15,3.18,0,0,0,0,0,1,0
test,0,0:03.07,0,0,0,159872,64,99%,39570,0.04,3.03,0,0,4096,11,3.07,0,0,0,0,0,1,0
test,0,0:03.06,0,0,0,159752,64,100%,39568,0.02,3.04,0,0,4096,8,3.06,0,0,0,0,0,1,0
test,0,0:03.16,0,0,0,159780,64,99%,39569,0.03,3.13,0,0,4096,12,3.16,0,0,0,0,0,1,0
test,0,0:03.10,0,0,0,159788,64,99%,39568,0.05,3.05,0,0,4096,15,3.10,0,0,0,0,0,1,0
test,0,0:03.10,0,0,0,159764,64,100%,39569,0.04,3.06,0,0,4096,10,3.10,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159828,64,100%,39570,0.02,3.00,0,0,4096,8,3.03,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159832,64,100%,39568,0.03,3.00,0,0,4096,9,3.04,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159784,64,99%,39568,0.02,3.01,0,0,4096,9,3.03,0,0,0,0,0,1,0
test,0,0:03.10,0,0,0,159856,64,99%,39570,0.04,3.05,0,0,4096,8,3.10,0,0,0,0,0,1,0
test,0,0:03.01,0,0,0,159908,64,100%,39570,0.04,2.97,0,0,4096,6,3.01,0,0,0,0,0,1,0
test,0,0:03.09,0,0,0,159764,64,99%,39569,0.07,3.02,0,0,4096,9,3.09,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159908,64,99%,39571,0.03,3.00,0,0,4096,4,3.04,0,0,0,0,0,1,0
test,0,0:03.23,0,0,0,159864,64,100%,39570,0.04,3.19,0,0,4096,9,3.23,0,0,0,0,0,1,0
test,0,0:03.09,0,0,0,159788,64,100%,39568,0.05,3.03,0,0,4096,16,3.09,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159856,64,100%,39569,0.03,3.00,0,0,4096,5,3.04,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159748,64,100%,39567,0.02,3.01,0,0,4096,11,3.04,0,0,0,0,0,1,0
test,0,0:03.11,0,0,0,159776,64,99%,39568,0.06,3.05,0,0,4096,11,3.11,0,0,0,0,0,1,0
test,0,0:03.06,0,0,0,159760,64,100%,39569,0.04,3.02,0,0,4096,6,3.06,0,0,0,0,0,1,0
test,0,0:03.08,0,0,0,159824,64,99%,39569,0.02,3.05,0,0,4096,15,3.08,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159872,64,100%,39570,0.04,2.99,0,0,4096,9,3.03,0,0,0,0,0,1,0
test,0,0:03.08,0,0,0,159916,64,100%,39570,0.03,3.04,0,0,4096,10,3.08,0,0,0,0,0,1,0
test,0,0:03.07,0,0,0,159848,64,100%,39569,0.04,3.03,0,0,4096,10,3.07,0,0,0,0,0,1,0
test,0,0:03.10,0,0,0,159784,64,100%,39568,0.02,3.07,0,0,4096,18,3.10,0,0,0,0,0,1,0
test,0,0:03.07,0,0,0,159856,64,99%,39569,0.05,3.02,0,0,4096,14,3.07,0,0,0,0,0,1,0
test,0,0:03.02,0,0,0,159760,64,100%,39568,0.03,2.99,0,0,4096,4,3.02,0,0,0,0,0,1,0
test,0,0:03.05,0,0,0,159864,64,99%,39570,0.02,3.02,0,0,4096,8,3.05,0,0,0,0,0,1,0
test,0,0:03.08,0,0,0,159848,64,99%,39569,0.04,3.03,0,0,4096,6,3.08,0,0,0,0,0,1,0
ref,0,6:29.01,0,0,0,1718020,464,99%,429154,0.43,388.57,0,0,4096,884,389.01,0,0,0,0,0,1,0
ref,0,6:23.13,0,0,0,1718044,464,99%,429153,0.41,382.71,0,0,4096,870,383.13,0,0,0,0,0,1,0
ref,0,6:41.56,0,0,0,1718020,464,99%,429154,0.43,401.11,0,0,4096,1541,401.56,0,0,0,0,0,1,0
