cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,0:03.02,0,0,0,159760,64,99%,39568,0.03,2.98,0,0,4096,4,3.02,0,0,0,0,0,1,0
test,0,0:03.09,0,0,0,159836,64,100%,39571,0.03,3.06,0,0,4096,4,3.09,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159860,64,100%,39570,0.03,3.00,0,0,4096,9,3.03,0,0,0,0,0,1,0
test,0,0:03.08,0,0,0,159864,64,100%,39570,0.04,3.03,0,0,4096,13,3.08,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159776,64,100%,39567,0.03,3.00,0,0,4096,2,3.03,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159856,64,99%,39571,0.05,2.99,0,0,4096,4,3.04,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159848,64,99%,39569,0.06,2.98,0,0,4096,7,3.04,0,0,0,0,0,1,0
test,0,0:03.13,0,0,0,159868,64,100%,39569,0.03,3.10,0,0,4096,3,3.13,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159908,64,100%,39570,0.04,3.00,0,0,4096,9,3.04,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159872,64,100%,39570,0.04,3.00,0,0,4096,10,3.04,0,0,0,0,0,1,0
test,0,0:03.12,0,0,0,159748,64,99%,39568,0.04,3.07,0,0,4096,4,3.12,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159784,64,99%,39567,0.06,2.97,0,0,4096,10,3.03,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159864,64,99%,39570,0.03,2.99,0,0,4096,12,3.03,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159760,64,99%,39568,0.05,2.98,0,0,4096,6,3.03,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159916,64,100%,39570,0.04,3.00,0,0,4096,5,3.04,0,0,0,0,0,1,0
test,0,0:03.05,0,0,0,159876,64,100%,39571,0.04,3.01,0,0,4096,6,3.05,0,0,0,0,0,1,0
test,0,0:03.14,0,0,0,159912,64,99%,39571,0.04,3.10,0,0,4096,4,3.14,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159856,64,99%,39570,0.03,3.01,0,0,4096,4,3.04,0,0,0,0,0,1,0
test,0,0:03.06,0,0,0,159832,64,99%,39570,0.04,3.01,0,0,4096,8,3.06,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159852,64,99%,39570,0.03,3.00,0,0,4096,6,3.04,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159860,64,100%,39570,0.02,3.01,0,0,4096,4,3.04,0,0,0,0,0,1,0
test,0,0:03.01,0,0,0,159872,64,99%,39570,0.03,2.98,0,0,4096,7,3.01,0,0,0,0,0,1,0
test,0,0:03.05,0,0,0,159856,64,99%,39569,0.04,3.00,0,0,4096,5,3.05,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159872,64,99%,39570,0.03,3.00,0,0,4096,7,3.03,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159872,64,99%,39570,0.03,2.99,0,0,4096,6,3.03,0,0,0,0,0,1,0
test,0,0:03.09,0,0,0,159832,64,100%,39569,0.04,3.04,0,0,4096,3,3.09,0,0,0,0,0,1,0
test,0,0:03.12,0,0,0,159788,64,100%,39568,0.04,3.08,0,0,4096,9,3.12,0,0,0,0,0,1,0
test,0,0:03.05,0,0,0,159832,64,100%,39568,0.04,3.01,0,0,4096,11,3.05,0,0,0,0,0,1,0
test,0,0:03.09,0,0,0,159760,64,100%,39568,0.03,3.06,0,0,4096,7,3.09,0,0,0,0,0,1,0
test,0,0:03.06,0,0,0,159908,64,99%,39570,0.02,3.03,0,0,4096,4,3.06,0,0,0,0,0,1,0
ref,0,6:31.69,0,0,0,1718096,464,99%,429154,0.35,391.32,0,0,4096,1439,391.69,0,0,0,0,0,1,0
ref,0,6:31.09,0,0,0,1718048,464,99%,429154,0.43,390.64,0,0,4096,1307,391.09,0,0,0,0,0,1,0
ref,0,6:25.75,0,0,0,1717980,464,99%,429153,0.46,385.28,0,0,4096,956,385.75,0,0,0,0,0,1,0
ref,0,6:25.89,0,0,0,1718104,464,99%,429154,0.43,385.45,0,0,4096,805,385.89,0,0,0,0,0,1,0
ref,0,6:32.38,0,0,0,1717944,464,99%,429152,0.37,392.00,0,0,4096,989,392.38,0,0,0,0,0,1,0
ref,0,6:24.38,0,0,0,1718020,464,99%,429154,0.49,383.88,0,0,4096,960,384.38,0,0,0,0,0,1,0
ref,0,6:26.39,0,0,0,1718024,464,99%,429155,0.30,386.08,0,0,4096,779,386.39,0,0,0,0,0,1,0
ref,0,6:24.67,0,0,0,1718096,464,99%,429155,0.51,384.15,0,0,4096,910,384.67,0,0,0,0,0,1,0
ref,0,6:25.76,0,0,0,1718096,464,99%,429155,0.44,385.30,0,0,4096,1022,385.76,0,0,0,0,0,1,0
ref,0,6:24.79,0,0,0,1718060,464,99%,429154,0.46,384.32,0,0,4096,787,384.79,0,0,0,0,0,1,0
ref,0,6:24.53,0,0,0,1718020,464,99%,429155,0.38,384.14,0,0,4096,936,384.53,0,0,0,0,0,1,0
ref,0,6:25.12,0,0,0,1718060,464,99%,429154,0.42,384.69,0,0,4096,878,385.12,0,0,0,0,0,1,0
ref,0,6:25.20,0,0,0,1718100,464,99%,429155,0.40,384.79,0,0,4096,1122,385.20,0,0,0,0,0,1,0
ref,0,6:25.15,0,0,0,1718016,464,99%,429154,0.49,384.65,0,0,4096,1013,385.15,0,0,0,0,0,1,0
ref,0,6:26.06,0,0,0,1718092,464,99%,429154,0.43,385.62,0,0,4096,998,386.06,0,0,0,0,0,1,0
ref,0,6:25.56,0,0,0,1718104,464,99%,429154,0.42,385.12,0,0,4096,1038,385.56,0,0,0,0,0,1,0
ref,0,6:25.99,0,0,0,1718096,464,99%,429154,0.51,385.48,0,0,4096,793,385.99,0,0,0,0,0,1,0
ref,0,6:23.92,0,0,0,1717972,464,99%,429151,0.44,383.46,0,0,4096,945,383.92,0,0,0,0,0,1,0
ref,0,6:25.56,0,0,0,1718048,464,99%,429154,0.41,385.14,0,0,4096,996,385.56,0,0,0,0,0,1,0
ref,0,6:26.28,0,0,0,1718096,464,99%,429155,0.46,385.81,0,0,4096,859,386.28,0,0,0,0,0,1,0
ref,0,6:25.16,0,0,0,1718020,464,99%,429154,0.37,384.78,0,0,4096,1005,385.16,0,0,0,0,0,1,0
ref,0,6:24.48,0,0,0,1718020,464,99%,429154,0.42,384.04,0,0,4096,1117,384.48,0,0,0,0,0,1,0
ref,0,6:23.98,0,0,0,1717956,464,99%,429152,0.46,383.51,0,0,4096,1012,383.98,0,0,0,0,0,1,0
ref,0,6:25.72,0,0,0,1718096,464,99%,429154,0.40,385.31,0,0,4096,862,385.72,0,0,0,0,0,1,0
ref,0,6:24.69,0,0,0,1717944,464,99%,429151,0.39,384.28,0,0,4096,1033,384.69,0,0,0,0,0,1,0
ref,0,6:27.29,0,0,0,1717972,464,99%,429151,0.51,386.76,0,0,4096,1051,387.29,0,0,0,0,0,1,0
ref,0,6:27.57,0,0,0,1718036,464,99%,429153,0.46,387.10,0,0,4096,870,387.57,0,0,0,0,0,1,0
ref,0,6:29.89,0,0,0,1718056,464,99%,429153,0.43,389.44,0,0,4096,1163,389.89,0,0,0,0,0,1,0
ref,0,6:23.74,0,0,0,1718044,464,99%,429153,0.44,383.28,0,0,4096,1037,383.74,0,0,0,0,0,1,0
ref,0,6:25.97,0,0,0,1717976,464,99%,429152,0.37,385.59,0,0,4096,789,385.97,0,0,0,0,0,1,0
train,0,0:17.30,0,0,0,352568,144,99%,87761,0.07,17.23,0,0,4096,57,17.30,0,0,0,0,0,1,0
train,0,0:17.29,0,0,0,352484,144,99%,87760,0.08,17.21,0,0,4096,34,17.29,0,0,0,0,0,1,0
