cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,0:03.07,0,0,0,159864,64,99%,39570,0.02,3.04,0,0,4096,13,3.07,0,0,0,0,0,1,0
test,0,0:03.21,0,0,0,159908,64,99%,39571,0.03,3.17,0,0,4096,6,3.21,0,0,0,0,0,1,0
test,0,0:03.05,0,0,0,159836,64,100%,39571,0.04,3.01,0,0,4096,12,3.05,0,0,0,0,0,1,0
test,0,0:03.02,0,0,0,159832,64,99%,39571,0.04,2.97,0,0,4096,4,3.02,0,0,0,0,0,1,0
test,0,0:03.06,0,0,0,159856,64,99%,39569,0.03,3.02,0,0,4096,11,3.06,0,0,0,0,0,1,0
test,0,0:03.06,0,0,0,159760,64,100%,39568,0.02,3.03,0,0,4096,6,3.06,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159832,64,100%,39570,0.04,2.99,0,0,4096,3,3.03,0,0,0,0,0,1,0
test,0,0:03.07,0,0,0,159848,64,100%,39569,0.02,3.05,0,0,4096,5,3.07,0,0,0,0,0,1,0
test,0,0:03.02,0,0,0,159832,64,99%,39569,0.05,2.97,0,0,4096,9,3.02,0,0,0,0,0,1,0
test,0,0:03.08,0,0,0,159836,64,100%,39570,0.04,3.04,0,0,4096,7,3.08,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159872,64,100%,39570,0.03,3.01,0,0,4096,8,3.04,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159908,64,99%,39571,0.04,2.98,0,0,4096,7,3.03,0,0,0,0,0,1,0
test,0,0:03.02,0,0,0,159904,64,99%,39571,0.05,2.97,0,0,4096,9,3.02,0,0,0,0,0,1,0
test,0,0:03.13,0,0,0,159872,64,99%,39570,0.03,3.09,0,0,4096,13,3.13,0,0,0,0,0,1,0
test,0,0:03.29,0,0,0,159836,64,100%,39569,0.05,3.24,0,0,4096,13,3.29,0,0,0,0,0,1,0
test,0,0:03.05,0,0,0,159788,64,99%,39568,0.03,3.02,0,0,4096,6,3.05,0,0,0,0,0,1,0
test,0,0:03.06,0,0,0,159832,64,99%,39568,0.04,3.01,0,0,4096,9,3.06,0,0,0,0,0,1,0
test,0,0:03.06,0,0,0,159780,64,99%,39568,0.04,3.01,0,0,4096,7,3.06,0,0,0,0,0,1,0
test,0,0:03.20,0,0,0,159828,64,99%,39570,0.03,3.16,0,0,4096,11,3.20,0,0,0,0,0,1,0
test,0,0:03.02,0,0,0,159868,64,100%,39569,0.05,2.97,0,0,4096,11,3.02,0,0,0,0,0,1,0
test,0,0:03.02,0,0,0,159908,64,100%,39571,0.02,3.00,0,0,4096,5,3.02,0,0,0,0,0,1,0
test,0,0:03.11,0,0,0,159752,64,100%,39568,0.03,3.07,0,0,4096,8,3.11,0,0,0,0,0,1,0
test,0,0:03.09,0,0,0,159916,64,99%,39570,0.04,3.05,0,0,4096,13,3.09,0,0,0,0,0,1,0
test,0,0:03.07,0,0,0,159872,64,100%,39571,0.04,3.03,0,0,4096,9,3.07,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159908,64,100%,39571,0.04,3.00,0,0,4096,5,3.04,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159876,64,99%,39571,0.04,2.99,0,0,4096,11,3.04,0,0,0,0,0,1,0
test,0,0:03.07,0,0,0,159872,64,100%,39570,0.05,3.02,0,0,4096,8,3.07,0,0,0,0,0,1,0
test,0,0:03.18,0,0,0,159904,64,99%,39570,0.03,3.15,0,0,4096,6,3.18,0,0,0,0,0,1,0
test,0,0:03.00,0,0,0,159788,64,99%,39568,0.04,2.95,0,0,4096,11,3.00,0,0,0,0,0,1,0
test,0,0:03.05,0,0,0,159860,64,99%,39570,0.02,3.02,0,0,4096,4,3.05,0,0,0,0,0,1,0
ref,0,6:23.78,0,0,0,1718048,464,99%,429154,0.42,383.34,0,0,4096,986,383.78,0,0,0,0,0,1,0
ref,0,6:23.82,0,0,0,1717976,464,99%,429152,0.40,383.40,0,0,4096,1109,383.82,0,0,0,0,0,1,0
ref,0,6:22.86,0,0,0,1717980,464,99%,429151,0.42,382.43,0,0,4096,878,382.86,0,0,0,0,0,1,0
ref,0,6:23.56,0,0,0,1718020,464,99%,429154,0.46,383.09,0,0,4096,964,383.56,0,0,0,0,0,1,0
ref,0,6:38.31,0,0,0,1718044,464,99%,429153,0.35,397.96,0,0,4096,1117,398.31,0,0,0,0,0,1,0
ref,0,6:23.08,0,0,0,1718108,464,99%,429155,0.42,382.64,0,0,4096,1035,383.08,0,0,0,0,0,1,0
ref,0,6:32.13,0,0,0,1718044,464,99%,429153,0.37,391.74,0,0,4096,957,392.13,0,0,0,0,0,1,0
ref,0,6:23.46,0,0,0,1718020,464,99%,429155,0.41,383.04,0,0,4096,850,383.46,0,0,0,0,0,1,0
ref,0,6:29.67,0,0,0,1718020,464,99%,429155,0.49,389.17,0,0,4096,1305,389.67,0,0,0,0,0,1,0
ref,0,6:29.59,0,0,0,1718024,464,99%,429155,0.45,389.13,0,0,4096,988,389.59,0,0,0,0,0,1,0
ref,0,6:34.49,0,0,0,1718104,464,99%,429154,0.43,394.05,0,0,4096,912,394.49,0,0,0,0,0,1,0
ref,0,6:29.19,0,0,0,1718052,464,99%,429154,0.39,388.79,0,0,4096,1014,389.19,0,0,0,0,0,1,0
ref,0,6:22.81,0,0,0,1717960,464,99%,429153,0.41,382.39,0,0,4096,801,382.81,0,0,0,0,0,1,0
ref,0,6:29.66,0,0,0,1718020,464,99%,429155,0.45,389.20,0,0,4096,1207,389.66,0,0,0,0,0,1,0
ref,0,6:22.68,0,0,0,1718016,464,99%,429153,0.35,382.32,0,0,4096,890,382.68,0,0,0,0,0,1,0
ref,0,6:25.68,0,0,0,1718060,464,99%,429154,0.42,385.25,0,0,4096,1085,385.68,0,0,0,0,0,1,0
ref,0,6:23.22,0,0,0,1718092,464,99%,429154,0.45,382.75,0,0,4096,1063,383.22,0,0,0,0,0,1,0
ref,0,6:23.97,0,0,0,1718044,464,99%,429153,0.43,383.53,0,0,4096,1051,383.97,0,0,0,0,0,1,0
ref,0,6:23.92,0,0,0,1717944,464,99%,429151,0.36,383.54,0,0,4096,1149,383.92,0,0,0,0,0,1,0
ref,0,6:26.41,0,0,0,1718028,464,99%,429152,0.40,386.00,0,0,4096,1076,386.41,0,0,0,0,0,1,0
ref,0,6:25.75,0,0,0,1718096,464,99%,429155,0.40,385.34,0,0,4096,1084,385.75,0,0,0,0,0,1,0
ref,0,6:34.99,0,0,0,1718096,464,99%,429154,0.40,394.57,0,0,4096,1438,394.99,0,0,0,0,0,1,0
