cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,0:03.05,0,0,0,159856,64,100%,39570,0.06,2.99,0,0,4096,9,3.05,0,0,0,0,0,1,0
test,0,0:03.06,0,0,0,159912,64,99%,39571,0.04,3.01,0,0,4096,14,3.06,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159784,64,99%,39569,0.01,3.02,0,0,4096,5,3.03,0,0,0,0,0,1,0
test,0,0:03.07,0,0,0,159872,64,99%,39570,0.03,3.04,0,0,4096,5,3.07,0,0,0,0,0,1,0
test,0,0:03.06,0,0,0,159908,64,99%,39571,0.04,3.01,0,0,4096,10,3.06,0,0,0,0,0,1,0
test,0,0:03.12,0,0,0,159856,64,100%,39569,0.03,3.09,0,0,4096,17,3.12,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159748,64,99%,39567,0.01,3.01,0,0,4096,13,3.03,0,0,0,0,0,1,0
test,0,0:03.07,0,0,0,159872,64,99%,39570,0.04,3.03,0,0,4096,5,3.07,0,0,0,0,0,1,0
test,0,0:03.08,0,0,0,159748,64,100%,39568,0.02,3.05,0,0,4096,10,3.08,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159784,64,100%,39567,0.06,2.96,0,0,4096,9,3.03,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159872,64,100%,39570,0.04,2.98,0,0,4096,9,3.03,0,0,0,0,0,1,0
test,0,0:03.05,0,0,0,159828,64,99%,39570,0.02,3.02,0,0,4096,15,3.05,0,0,0,0,0,1,0
test,0,0:03.02,0,0,0,159764,64,100%,39569,0.02,2.99,0,0,4096,4,3.02,0,0,0,0,0,1,0
test,0,0:03.10,0,0,0,159860,64,100%,39569,0.04,3.05,0,0,4096,10,3.10,0,0,0,0,0,1,0
test,0,0:03.11,0,0,0,159748,64,100%,39567,0.08,3.03,0,0,4096,14,3.11,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159908,64,100%,39571,0.04,2.99,0,0,4096,8,3.03,0,0,0,0,0,1,0
test,0,0:03.08,0,0,0,159904,64,100%,39570,0.02,3.06,0,0,4096,8,3.08,0,0,0,0,0,1,0
test,0,0:03.19,0,0,0,159832,64,99%,39568,0.03,3.15,0,0,4096,9,3.19,0,0,0,0,0,1,0
test,0,0:03.11,0,0,0,159872,64,99%,39571,0.04,3.06,0,0,4096,10,3.11,0,0,0,0,0,1,0
test,0,0:03.02,0,0,0,159912,64,100%,39571,0.04,2.98,0,0,4096,5,3.02,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159912,64,100%,39571,0.02,3.01,0,0,4096,9,3.04,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159860,64,99%,39570,0.05,2.97,0,0,4096,10,3.03,0,0,0,0,0,1,0
test,0,0:03.10,0,0,0,159832,64,99%,39570,0.02,3.07,0,0,4096,7,3.10,0,0,0,0,0,1,0
test,0,0:03.14,0,0,0,159860,64,100%,39570,0.04,3.09,0,0,4096,8,3.14,0,0,0,0,0,1,0
test,0,0:03.19,0,0,0,159916,64,99%,39571,0.06,3.13,0,0,4096,15,3.19,0,0,0,0,0,1,0
test,0,0:03.07,0,0,0,159860,64,100%,39570,0.04,3.03,0,0,4096,15,3.07,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159832,64,99%,39570,0.04,2.99,0,0,4096,5,3.03,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159872,64,99%,39570,0.03,3.01,0,0,4096,11,3.04,0,0,0,0,0,1,0
test,0,0:03.09,0,0,0,159776,64,99%,39567,0.04,3.04,0,0,4096,12,3.09,0,0,0,0,0,1,0
test,0,0:03.07,0,0,0,159760,64,100%,39568,0.02,3.04,0,0,4096,7,3.07,0,0,0,0,0,1,0
ref,0,6:25.46,0,0,0,1718044,464,99%,429153,0.45,385.00,0,0,4096,1069,385.46,0,0,0,0,0,1,0
ref,0,6:24.90,0,0,0,1717972,464,99%,429151,0.43,384.46,0,0,4096,1052,384.90,0,0,0,0,0,1,0
ref,0,6:24.79,0,0,0,1717960,464,99%,429153,0.36,384.41,0,0,4096,1074,384.79,0,0,0,0,0,1,0
ref,0,6:26.95,0,0,0,1717980,464,99%,429153,0.40,386.54,0,0,4096,1127,386.95,0,0,0,0,0,1,0
ref,0,6:25.04,0,0,0,1717972,464,99%,429152,0.51,384.52,0,0,4096,974,385.04,0,0,0,0,0,1,0
ref,0,6:26.44,0,0,0,1718092,464,99%,429154,0.49,385.93,0,0,4096,1104,386.44,0,0,0,0,0,1,0
ref,0,6:25.61,0,0,0,1718036,464,99%,429153,0.40,385.20,0,0,4096,914,385.61,0,0,0,0,0,1,0
ref,0,6:30.23,0,0,0,1718036,464,99%,429154,0.40,389.82,0,0,4096,854,390.23,0,0,0,0,0,1,0
ref,0,6:23.70,0,0,0,1717980,464,99%,429153,0.45,383.24,0,0,4096,1121,383.70,0,0,0,0,0,1,0
ref,0,6:24.39,0,0,0,1718108,464,99%,429155,0.40,383.99,0,0,4096,819,384.39,0,0,0,0,0,1,0
ref,0,6:23.67,0,0,0,1718028,464,99%,429152,0.45,383.20,0,0,4096,991,383.67,0,0,0,0,0,1,0
ref,0,6:24.67,0,0,0,1718104,464,99%,429154,0.44,384.22,0,0,4096,1016,384.67,0,0,0,0,0,1,0
ref,0,6:28.09,0,0,0,1718060,464,99%,429154,0.45,387.62,0,0,4096,1072,388.09,0,0,0,0,0,1,0
ref,0,6:24.97,0,0,0,1718104,464,99%,429154,0.41,384.54,0,0,4096,971,384.97,0,0,0,0,0,1,0
ref,0,6:25.08,0,0,0,1717908,464,99%,429152,0.42,384.65,0,0,4096,1037,385.08,0,0,0,0,0,1,0
ref,0,6:24.36,0,0,0,1718048,464,99%,429154,0.39,383.96,0,0,4096,1044,384.36,0,0,0,0,0,1,0
ref,0,6:23.33,0,0,0,1718036,464,99%,429153,0.43,382.89,0,0,4096,1225,383.33,0,0,0,0,0,1,0
ref,0,6:29.89,0,0,0,1718096,464,99%,429155,0.39,389.48,0,0,4096,1043,389.89,0,0,0,0,0,1,0
ref,0,6:27.13,0,0,0,1718104,464,99%,429154,0.52,386.60,0,0,4096,1027,387.13,0,0,0,0,0,1,0
ref,0,6:23.86,0,0,0,1718020,464,99%,429154,0.41,383.44,0,0,4096,1040,383.86,0,0,0,0,0,1,0
ref,0,6:24.29,0,0,0,1718100,464,99%,429156,0.43,383.85,0,0,4096,1102,384.29,0,0,0,0,0,1,0
ref,0,6:27.50,0,0,0,1718036,464,99%,429154,0.46,387.03,0,0,4096,957,387.50,0,0,0,0,0,1,0
ref,0,6:25.82,0,0,0,1718104,464,99%,429154,0.41,385.39,0,0,4096,945,385.82,0,0,0,0,0,1,0
