cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,0:03.04,0,0,0,159860,64,99%,39570,0.03,3.00,0,0,4096,5,3.04,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159832,64,99%,39568,0.02,3.02,0,0,4096,10,3.04,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159832,64,99%,39569,0.04,2.98,0,0,4096,9,3.03,0,0,0,0,0,1,0
test,0,0:03.28,0,0,0,159856,64,100%,39569,0.03,3.25,0,0,4096,4,3.28,0,0,0,0,0,1,0
test,0,0:03.05,0,0,0,159908,64,99%,39571,0.03,3.01,0,0,4096,12,3.05,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159860,64,99%,39570,0.03,3.01,0,0,4096,14,3.04,0,0,0,0,0,2,0
test,0,0:03.12,0,0,0,159872,64,99%,39571,0.04,3.08,0,0,4096,11,3.12,0,0,0,0,0,1,0
test,0,0:03.02,0,0,0,159860,64,99%,39569,0.04,2.97,0,0,4096,7,3.02,0,0,0,0,0,1,0
test,0,0:03.16,0,0,0,159864,64,99%,39570,0.04,3.11,0,0,4096,8,3.16,0,0,0,0,0,1,0
test,0,0:03.08,0,0,0,159836,64,99%,39571,0.01,3.06,0,0,4096,10,3.08,0,0,0,0,0,1,0
test,0,0:03.06,0,0,0,159788,64,100%,39569,0.05,3.00,0,0,4096,7,3.06,0,0,0,0,0,1,0
test,0,0:03.09,0,0,0,159832,64,100%,39570,0.04,3.05,0,0,4096,6,3.09,0,0,0,0,0,1,0
test,0,0:03.05,0,0,0,159908,64,99%,39571,0.03,3.02,0,0,4096,3,3.05,0,0,0,0,0,1,0
test,0,0:03.10,0,0,0,159908,64,99%,39571,0.02,3.08,0,0,4096,9,3.10,0,0,0,0,0,1,0
test,0,0:03.13,0,0,0,159832,64,99%,39568,0.03,3.09,0,0,4096,6,3.13,0,0,0,0,0,1,0
test,0,0:03.02,0,0,0,159904,64,99%,39570,0.04,2.97,0,0,4096,15,3.02,0,0,0,0,0,1,0
test,0,0:03.15,0,0,0,159784,64,99%,39568,0.05,3.09,0,0,4096,12,3.15,0,0,0,0,0,1,0
test,0,0:03.06,0,0,0,159788,64,100%,39568,0.04,3.02,0,0,4096,4,3.06,0,0,0,0,0,1,0
test,0,0:03.09,0,0,0,159864,64,99%,39570,0.02,3.07,0,0,4096,10,3.09,0,0,0,0,0,1,0
test,0,0:03.25,0,0,0,159832,64,100%,39569,0.06,3.19,0,0,4096,10,3.25,0,0,0,0,0,1,0
test,0,0:03.02,0,0,0,159908,64,99%,39570,0.02,2.99,0,0,4096,9,3.02,0,0,0,0,0,1,0
test,0,0:03.02,0,0,0,159860,64,100%,39570,0.04,2.98,0,0,4096,9,3.02,0,0,0,0,0,1,0
test,0,0:03.01,0,0,0,159760,64,99%,39568,0.02,2.98,0,0,4096,6,3.01,0,0,0,0,0,1,0
test,0,0:03.06,0,0,0,159828,64,99%,39570,0.03,3.02,0,0,4096,10,3.06,0,0,0,0,0,1,0
test,0,0:03.02,0,0,0,159828,64,100%,39570,0.02,2.99,0,0,4096,4,3.02,0,0,0,0,0,1,0
test,0,0:03.10,0,0,0,159916,64,99%,39570,0.03,3.06,0,0,4096,8,3.10,0,0,0,0,0,1,0
test,0,0:03.05,0,0,0,159836,64,99%,39569,0.03,3.02,0,0,4096,10,3.05,0,0,0,0,0,1,0
test,0,0:03.12,0,0,0,159836,64,99%,39569,0.05,3.06,0,0,4096,5,3.12,0,0,0,0,0,1,0
test,0,0:03.01,0,0,0,159908,64,99%,39571,0.04,2.97,0,0,4096,11,3.01,0,0,0,0,0,1,0
test,0,0:03.18,0,0,0,159764,64,99%,39569,0.04,3.14,0,0,4096,8,3.18,0,0,0,0,0,1,0
ref,0,6:32.46,0,0,0,1718020,464,99%,429154,0.40,392.05,0,0,4096,963,392.46,0,0,0,0,0,1,0
ref,0,6:23.50,0,0,0,1718096,464,99%,429155,0.41,383.08,0,0,4096,884,383.50,0,0,0,0,0,1,0
ref,0,6:22.49,0,0,0,1718044,464,99%,429153,0.38,382.10,0,0,4096,928,382.49,0,0,0,0,0,1,0
ref,0,6:23.03,0,0,0,1718036,464,99%,429153,0.44,382.58,0,0,4096,912,383.03,0,0,0,0,0,1,0
ref,0,6:43.70,0,0,0,1717944,464,99%,429152,0.43,403.25,0,0,4096,1486,403.70,0,0,0,0,0,1,0
ref,0,6:24.61,0,0,0,1717940,464,99%,429153,0.42,384.18,0,0,4096,962,384.61,0,0,0,0,0,1,0
ref,0,6:23.08,0,0,0,1717960,464,99%,429153,0.39,382.67,0,0,4096,953,383.08,0,0,0,0,0,1,0
ref,0,6:23.29,0,0,0,1718016,464,99%,429153,0.43,382.84,0,0,4096,1097,383.29,0,0,0,0,0,1,0
ref,0,6:26.25,0,0,0,1718100,464,99%,429155,0.42,385.81,0,0,4096,908,386.25,0,0,0,0,0,1,0
ref,0,6:25.21,0,0,0,1718040,464,99%,429154,0.41,384.78,0,0,4096,937,385.21,0,0,0,0,0,1,0
ref,0,6:37.57,0,0,0,1717980,464,99%,429151,0.39,397.16,0,0,4096,995,397.57,0,0,0,0,0,1,0
ref,0,6:27.65,0,0,0,1718100,464,99%,429155,0.41,387.23,0,0,4096,998,387.65,0,0,0,0,0,1,0
ref,0,6:33.28,0,0,0,1717976,464,99%,429152,0.41,392.85,0,0,4096,1450,393.28,0,0,0,0,0,1,0
ref,0,6:27.15,0,0,0,1717972,464,99%,429153,0.40,386.73,0,0,4096,1043,387.15,0,0,0,0,0,1,0
ref,0,6:27.29,0,0,0,1718104,464,99%,429154,0.40,386.88,0,0,4096,943,387.29,0,0,0,0,0,1,0
ref,0,6:23.80,0,0,0,1718096,464,99%,429154,0.43,383.35,0,0,4096,1161,383.80,0,0,0,0,0,1,0
ref,0,6:27.70,0,0,0,1718092,464,99%,429154,0.40,387.29,0,0,4096,902,387.70,0,0,0,0,0,1,0
ref,0,6:26.67,0,0,0,1718032,464,99%,429153,0.44,386.21,0,0,4096,1106,386.67,0,0,0,0,0,1,0
ref,0,6:24.74,0,0,0,1718024,464,99%,429155,0.37,384.36,0,0,4096,965,384.74,0,0,0,0,0,1,0
ref,0,6:23.67,0,0,0,1718064,464,99%,429155,0.45,383.21,0,0,4096,1064,383.67,0,0,0,0,0,1,0
ref,0,6:23.64,0,0,0,1717948,464,99%,429152,0.45,383.18,0,0,4096,963,383.64,0,0,0,0,0,1,0
ref,0,6:24.29,0,0,0,1718060,464,99%,429154,0.40,383.87,0,0,4096,1097,384.29,0,0,0,0,0,1,0
ref,0,6:32.66,0,0,0,1718096,464,99%,429155,0.46,392.19,0,0,4096,1003,392.66,0,0,0,0,0,1,0
ref,0,6:27.68,0,0,0,1717948,464,99%,429152,0.41,387.25,0,0,4096,1033,387.68,0,0,0,0,0,1,0
ref,0,6:26.33,0,0,0,1718060,464,99%,429154,0.45,385.88,0,0,4096,969,386.33,0,0,0,0,0,1,0
ref,0,6:39.83,0,0,0,1718096,464,99%,429156,0.41,399.41,0,0,4096,1060,399.83,0,0,0,0,0,1,0
