cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,1:35.71,0,0,0,160252,64,100%,39666,0.03,95.67,0,0,4096,229,95.71,0,0,0,0,0,1,0
test,0,1:35.82,0,0,0,160144,64,99%,39665,0.02,95.80,0,0,4096,412,95.82,0,0,0,0,0,1,0
test,0,1:35.64,0,0,0,160208,64,99%,39666,0.03,95.60,0,0,4096,240,95.64,0,0,0,0,0,1,0
test,0,1:35.63,0,0,0,160216,64,100%,39665,0.04,95.59,0,0,4096,209,95.63,0,0,0,0,0,1,0
test,0,1:35.93,0,0,0,160256,64,99%,39668,0.03,95.89,0,0,4096,406,95.93,0,0,0,0,0,1,0
test,0,1:35.67,0,0,0,160256,64,99%,39667,0.02,95.64,0,0,4096,210,95.67,0,0,0,0,0,1,0
test,0,1:35.36,0,0,0,160256,64,99%,39667,0.04,95.32,0,0,4096,374,95.36,0,0,0,0,0,1,0
test,0,1:35.78,0,0,0,160168,64,100%,39666,0.04,95.73,0,0,4096,216,95.78,0,0,0,0,0,1,0
test,0,1:34.19,0,0,0,160252,64,100%,39666,0.05,94.14,0,0,4096,243,94.19,0,0,0,0,0,1,0
test,0,1:34.19,0,0,0,160244,64,99%,39666,0.03,94.15,0,0,4096,233,94.19,0,0,0,0,0,1,0
test,0,1:35.76,0,0,0,160216,64,100%,39667,0.04,95.71,0,0,4096,246,95.76,0,0,0,0,0,1,0
test,0,1:35.37,0,0,0,160168,64,99%,39665,0.03,95.33,0,0,4096,379,95.37,0,0,0,0,0,1,0
test,0,1:34.75,0,0,0,160252,64,99%,39666,0.04,94.70,0,0,4096,231,94.75,0,0,0,0,0,1,0
test,0,1:35.00,0,0,0,160136,64,99%,39665,0.02,94.98,0,0,4096,238,95.00,0,0,0,0,0,1,0
test,0,1:35.89,0,0,0,160256,64,99%,39668,0.03,95.85,0,0,4096,392,95.89,0,0,0,0,0,1,0
test,0,1:35.79,0,0,0,160168,64,100%,39665,0.02,95.76,0,0,4096,224,95.79,0,0,0,0,0,1,0
test,0,1:35.74,0,0,0,160256,64,100%,39667,0.06,95.67,0,0,4096,227,95.74,0,0,0,0,0,1,0
test,0,1:35.07,0,0,0,160132,64,99%,39664,0.03,95.03,0,0,4096,229,95.07,0,0,0,0,0,1,0
test,0,1:35.96,0,0,0,160160,64,100%,39664,0.03,95.92,0,0,4096,213,95.96,0,0,0,0,0,1,0
test,0,1:35.47,0,0,0,160288,64,99%,39667,0.02,95.44,0,0,4096,404,95.47,0,0,0,0,0,1,0
test,0,1:35.78,0,0,0,160172,64,99%,39666,0.04,95.74,0,0,4096,395,95.78,0,0,0,0,0,1,0
test,0,1:35.09,0,0,0,160256,64,99%,39667,0.01,95.07,0,0,4096,424,95.09,0,0,0,0,0,1,0
test,0,1:35.83,0,0,0,160144,64,99%,39665,0.04,95.78,0,0,4096,217,95.83,0,0,0,0,0,1,0
test,0,1:35.85,0,0,0,160232,64,100%,39666,0.04,95.81,0,0,4096,224,95.85,0,0,0,0,0,1,0
test,0,1:35.76,0,0,0,160252,64,100%,39666,0.03,95.72,0,0,4096,224,95.76,0,0,0,0,0,1,0
test,0,1:34.34,0,0,0,160292,64,99%,39667,0.04,94.30,0,0,4096,309,94.34,0,0,0,0,0,1,0
test,0,1:35.83,0,0,0,160220,64,99%,39666,0.03,95.79,0,0,4096,425,95.83,0,0,0,0,0,1,0
test,0,1:34.08,0,0,0,160168,64,99%,39666,0.03,94.04,0,0,4096,199,94.08,0,0,0,0,0,1,0
test,0,1:35.60,0,0,0,160252,64,99%,39666,0.05,95.54,0,0,4096,273,95.60,0,0,0,0,0,1,0
test,0,1:35.45,0,0,0,160240,64,99%,39666,0.04,95.41,0,0,4096,209,95.45,0,0,0,0,0,1,0
ref,0,3:35.85,0,0,0,1718096,464,99%,429156,0.41,215.43,0,0,4096,555,215.85,0,0,0,0,0,1,0
ref,0,3:32.54,0,0,0,1718056,464,99%,429155,0.40,212.13,0,0,4096,512,212.54,0,0,0,0,0,1,0
ref,0,3:39.50,0,0,0,1718088,464,99%,429155,0.46,219.03,0,0,4096,850,219.50,0,0,0,0,0,1,0
ref,0,3:34.66,0,0,0,1717972,464,99%,429153,0.37,214.28,0,0,4096,449,214.66,0,0,0,0,0,1,0
ref,0,3:38.41,0,0,0,1718060,464,99%,429156,0.38,218.02,0,0,4096,834,218.41,0,0,0,0,0,1,0
ref,0,3:40.68,0,0,0,1718044,464,99%,429155,0.42,220.24,0,0,4096,877,220.68,0,0,0,0,0,1,0
ref,0,3:34.71,0,0,0,1717956,464,99%,429154,0.43,214.27,0,0,4096,458,214.71,0,0,0,0,0,1,0
ref,0,3:41.44,0,0,0,1718040,464,99%,429154,0.45,220.98,0,0,4096,897,221.44,0,0,0,0,0,1,0
ref,0,3:35.86,0,0,0,1718056,464,99%,429156,0.45,215.40,0,0,4096,457,215.86,0,0,0,0,0,1,0
ref,0,3:35.55,0,0,0,1718056,464,99%,429155,0.45,215.09,0,0,4096,497,215.55,0,0,0,0,0,1,0
ref,0,3:35.23,0,0,0,1718088,464,99%,429156,0.43,214.79,0,0,4096,698,215.23,0,0,0,0,0,1,0
ref,0,3:35.31,0,0,0,1718012,464,99%,429154,0.49,214.82,0,0,4096,421,215.31,0,0,0,0,0,1,0
ref,0,3:33.78,0,0,0,1717976,464,99%,429152,0.44,213.33,0,0,4096,488,213.78,0,0,0,0,0,1,0
ref,0,3:39.78,0,0,0,1718052,464,99%,429154,0.40,219.37,0,0,4096,703,219.78,0,0,0,0,0,1,0
ref,0,3:34.16,0,0,0,1718056,464,99%,429155,0.43,213.72,0,0,4096,470,214.16,0,0,0,0,0,1,0
ref,0,3:39.04,0,0,0,1717940,464,99%,429152,0.40,218.62,0,0,4096,886,219.04,0,0,0,0,0,1,0
ref,0,3:37.07,0,0,0,1718100,464,99%,429155,0.41,216.66,0,0,4096,452,217.07,0,0,0,0,0,1,0
ref,0,3:39.30,0,0,0,1718020,464,99%,429156,0.41,218.88,0,0,4096,785,219.30,0,0,0,0,0,1,0
ref,0,3:33.87,0,0,0,1718012,464,99%,429155,0.45,213.40,0,0,4096,609,213.87,0,0,0,0,0,1,0
ref,0,3:31.80,0,0,0,1717956,464,99%,429154,0.41,211.37,0,0,4096,652,211.80,0,0,0,0,0,1,0
ref,0,3:35.49,0,0,0,1718104,464,99%,429156,0.47,215.01,0,0,4096,460,215.49,0,0,0,0,0,1,0
ref,0,3:31.75,0,0,0,1718056,464,99%,429155,0.43,211.31,0,0,4096,530,211.75,0,0,0,0,0,1,0
ref,0,3:38.66,0,0,0,1718060,464,99%,429156,0.40,218.25,0,0,4096,791,218.66,0,0,0,0,0,1,0
ref,0,3:41.64,0,0,0,1718024,464,99%,429153,0.44,221.18,0,0,4096,503,221.64,0,0,0,0,0,1,0
ref,0,3:39.24,0,0,0,1718044,464,99%,429155,0.43,218.80,0,0,4096,878,219.24,0,0,0,0,0,1,0
ref,0,3:37.48,0,0,0,1717952,464,99%,429154,0.43,217.04,0,0,4096,472,217.48,0,0,0,0,0,1,0
ref,0,3:39.05,0,0,0,1718044,464,99%,429155,0.39,218.65,0,0,4096,847,219.05,0,0,0,0,0,1,0
ref,0,3:32.52,0,0,0,1717976,464,99%,429154,0.47,212.04,0,0,4096,510,212.52,0,0,0,0,0,1,0
ref,0,3:40.30,0,0,0,1718040,464,99%,429154,0.42,219.86,0,0,4096,865,220.30,0,0,0,0,0,1,0
ref,0,3:33.52,0,0,0,1718048,464,99%,429155,0.39,213.12,0,0,4096,509,213.52,0,0,0,0,0,1,0
train,0,5:37.13,0,0,0,352792,144,99%,87856,0.07,337.05,0,0,4096,1258,337.13,0,0,0,0,0,1,0
train,0,5:37.83,0,0,0,352904,144,99%,87857,0.09,337.74,0,0,4096,1317,337.83,0,0,0,0,0,1,0
train,0,5:36.76,0,0,0,352952,144,100%,87858,0.11,336.65,0,0,4096,805,336.76,0,0,0,0,0,1,0
train,0,5:37.48,0,0,0,352912,144,99%,87857,0.08,337.39,0,0,4096,1329,337.48,0,0,0,0,0,1,0
train,0,5:37.47,0,0,0,352828,144,99%,87856,0.07,337.39,0,0,4096,1413,337.47,0,0,0,0,0,1,0
train,0,5:36.29,0,0,0,352876,144,99%,87858,0.06,336.23,0,0,4096,1072,336.29,0,0,0,0,0,1,0
train,0,5:30.66,0,0,0,352828,144,99%,87856,0.09,330.56,0,0,4096,995,330.66,0,0,0,0,0,1,0
train,0,5:36.46,0,0,0,352828,144,99%,87855,0.10,336.36,0,0,4096,1284,336.46,0,0,0,0,0,1,0
train,0,5:37.38,0,0,0,352876,144,99%,87858,0.09,337.28,0,0,4096,1420,337.38,0,0,0,0,0,1,0
train,0,5:36.31,0,0,0,352828,144,99%,87856,0.07,336.23,0,0,4096,922,336.31,0,0,0,0,0,1,0
train,0,5:34.92,0,0,0,352788,144,100%,87856,0.09,334.82,0,0,4096,736,334.92,0,0,0,0,0,1,0
train,0,5:33.66,0,0,0,352900,144,100%,87857,0.08,333.58,0,0,4096,794,333.66,0,0,0,0,0,1,0
train,0,5:36.63,0,0,0,352892,144,100%,87857,0.09,336.54,0,0,4096,830,336.63,0,0,0,0,0,1,0
train,0,5:33.56,0,0,0,352876,144,99%,87858,0.11,333.45,0,0,4096,1547,333.56,0,0,0,0,0,1,0
train,0,5:35.47,0,0,0,352804,144,100%,87856,0.09,335.38,0,0,4096,732,335.47,0,0,0,0,0,1,0
train,0,5:34.50,0,0,0,352920,144,99%,87859,0.09,334.40,0,0,4096,1494,334.50,0,0,0,0,0,1,0
train,0,5:36.88,0,0,0,352912,144,99%,87857,0.07,336.81,0,0,4096,737,336.88,0,0,0,0,0,1,0
train,0,5:34.13,0,0,0,352876,144,100%,87858,0.06,334.06,0,0,4096,811,334.13,0,0,0,0,0,1,0
train,0,5:36.82,0,0,0,352960,144,100%,87858,0.08,336.74,0,0,4096,794,336.82,0,0,0,0,0,1,0
train,0,5:37.41,0,0,0,352952,144,99%,87859,0.09,337.31,0,0,4096,1461,337.41,0,0,0,0,0,1,0
train,0,5:36.89,0,0,0,352912,144,99%,87857,0.09,336.79,0,0,4096,723,336.89,0,0,0,0,0,1,0
train,0,5:30.75,0,0,0,352868,144,99%,87858,0.09,330.66,0,0,4096,1442,330.75,0,0,0,0,0,1,0
train,0,5:36.52,0,0,0,352952,144,99%,87858,0.05,336.46,0,0,4096,847,336.52,0,0,0,0,0,1,0
train,0,5:33.37,0,0,0,352828,144,99%,87855,0.10,333.26,0,0,4096,839,333.37,0,0,0,0,0,1,0
train,0,5:35.16,0,0,0,352828,144,99%,87855,0.09,335.06,0,0,4096,1592,335.16,0,0,0,0,0,1,0
train,0,5:35.27,0,0,0,352912,144,99%,87857,0.09,335.17,0,0,4096,1476,335.27,0,0,0,0,0,1,0
train,0,5:35.34,0,0,0,352892,144,99%,87858,0.11,335.22,0,0,4096,716,335.34,0,0,0,0,0,1,0
train,0,5:36.45,0,0,0,352824,144,99%,87855,0.10,336.34,0,0,4096,765,336.45,0,0,0,0,0,1,0
train,0,5:37.34,0,0,0,352876,144,99%,87859,0.07,337.26,0,0,4096,1159,337.34,0,0,0,0,0,1,0
train,0,5:34.68,0,0,0,352952,144,99%,87858,0.07,334.61,0,0,4096,897,334.68,0,0,0,0,0,1,0
