cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,0:03.91,0,0,0,160040,64,48%,39571,0.04,1.87,0,0,4096,6,3.91,0,0,0,0,0,3,0
test,0,0:03.76,0,0,0,159912,64,46%,39570,0.04,1.71,0,0,4096,3,3.76,0,0,0,0,0,3,0
test,0,0:03.77,0,0,0,159908,64,47%,39570,0.03,1.74,0,0,4096,1,3.77,0,0,0,0,0,3,0
test,0,0:03.80,0,0,0,159908,64,47%,39569,0.07,1.72,0,0,4096,1,3.80,0,0,0,0,0,3,0
test,0,0:03.81,0,0,0,159900,64,47%,39569,0.03,1.77,0,0,4096,5,3.81,0,0,0,0,0,3,0
test,0,0:03.79,0,0,0,159888,64,47%,39570,0.03,1.75,0,0,4096,7,3.79,0,0,0,0,0,3,0
test,0,0:03.80,0,0,0,159908,64,47%,39569,0.04,1.76,0,0,4096,4,3.80,0,0,0,0,0,3,0
test,0,0:03.79,0,0,0,159848,64,47%,39568,0.03,1.74,0,0,4096,4,3.79,0,0,0,0,0,3,0
test,0,0:03.79,0,0,0,159928,64,47%,39569,0.04,1.75,0,0,4096,7,3.79,0,0,0,0,0,3,0
test,0,0:03.76,0,0,0,159968,64,46%,39571,0.04,1.72,0,0,4096,5,3.76,0,0,0,0,0,3,0
test,0,0:03.75,0,0,0,159900,64,46%,39568,0.04,1.71,0,0,4096,5,3.75,0,0,0,0,0,3,0
test,0,0:03.80,0,0,0,159920,64,47%,39570,0.03,1.76,0,0,4096,2,3.80,0,0,0,0,0,3,0
test,0,0:03.86,0,0,0,159888,64,48%,39570,0.05,1.81,0,0,4096,5,3.86,0,0,0,0,0,3,0
test,0,0:03.79,0,0,0,159892,64,47%,39568,0.04,1.75,0,0,4096,4,3.79,0,0,0,0,0,3,0
test,0,0:03.78,0,0,0,159904,64,47%,39569,0.04,1.74,0,0,4096,5,3.78,0,0,0,0,0,3,0
test,0,0:03.76,0,0,0,159904,64,46%,39570,0.04,1.72,0,0,4096,3,3.76,0,0,0,0,0,3,0
test,0,0:03.75,0,0,0,159896,64,46%,39572,0.05,1.70,0,0,4096,6,3.75,0,0,0,0,0,3,0
test,0,0:03.74,0,0,0,160040,64,46%,39571,0.05,1.69,0,0,4096,3,3.74,0,0,0,0,0,3,0
test,0,0:03.76,0,0,0,160040,64,46%,39571,0.05,1.71,0,0,4096,3,3.76,0,0,0,0,0,3,0
test,0,0:03.81,0,0,0,159872,64,47%,39569,0.06,1.75,0,0,4096,2,3.81,0,0,0,0,0,3,0
test,0,0:03.74,0,0,0,159884,64,46%,39569,0.04,1.70,0,0,4096,8,3.74,0,0,0,0,0,3,0
test,0,0:03.74,0,0,0,159912,64,46%,39570,0.03,1.70,0,0,4096,4,3.74,0,0,0,0,0,3,0
test,0,0:03.76,0,0,0,159972,64,46%,39571,0.03,1.72,0,0,4096,3,3.76,0,0,0,0,0,3,0
test,0,0:03.77,0,0,0,159876,64,47%,39569,0.04,1.73,0,0,4096,7,3.77,0,0,0,0,0,3,0
test,0,0:03.74,0,0,0,159876,64,46%,39569,0.03,1.71,0,0,4096,7,3.74,0,0,0,0,0,3,0
test,0,0:03.79,0,0,0,159968,64,47%,39571,0.05,1.74,0,0,4096,4,3.79,0,0,0,0,0,3,0
test,0,0:03.75,0,0,0,159936,64,46%,39571,0.03,1.72,0,0,4096,2,3.75,0,0,0,0,0,3,0
test,0,0:03.78,0,0,0,159912,64,47%,39570,0.05,1.73,0,0,4096,4,3.78,0,0,0,0,0,3,0
test,0,0:03.81,0,0,0,159928,64,47%,39570,0.04,1.77,0,0,4096,5,3.81,0,0,0,0,0,3,0
test,0,0:03.79,0,0,0,159844,64,47%,39567,0.05,1.74,0,0,4096,5,3.79,0,0,0,0,0,3,0
ref,0,3:37.66,0,0,0,1718084,464,97%,429152,0.46,211.18,0,0,4096,496,217.66,0,0,0,0,0,7,0
ref,0,3:39.81,0,0,0,1718072,464,97%,429153,0.46,213.34,0,0,4096,498,219.81,0,0,0,0,0,7,0
ref,0,3:39.19,0,0,0,1718072,464,97%,429153,0.49,212.69,0,0,4096,586,219.19,0,0,0,0,0,7,0
ref,0,3:37.99,0,0,0,1718220,464,97%,429155,0.41,211.57,0,0,4096,502,217.99,0,0,0,0,0,7,0
ref,0,3:39.83,0,0,0,1718092,464,97%,429153,0.45,213.37,0,0,4096,457,219.83,0,0,0,0,0,7,0
ref,0,3:37.32,0,0,0,1718036,464,97%,429151,0.47,210.84,0,0,4096,510,217.32,0,0,0,0,0,7,0
ref,0,3:39.83,0,0,0,1718096,464,97%,429154,0.45,213.37,0,0,4096,480,219.83,0,0,0,0,0,7,0
ref,0,3:40.15,0,0,0,1718116,464,97%,429155,0.47,213.68,0,0,4096,615,220.15,0,0,0,0,0,7,0
ref,0,3:37.60,0,0,0,1718076,464,97%,429154,0.43,211.16,0,0,4096,578,217.60,0,0,0,0,0,7,0
ref,0,3:40.16,0,0,0,1718092,464,97%,429153,0.47,213.68,0,0,4096,531,220.16,0,0,0,0,0,7,0
ref,0,3:40.11,0,0,0,1718220,464,97%,429156,0.48,213.63,0,0,4096,603,220.11,0,0,0,0,0,7,0
ref,0,3:40.21,0,0,0,1718100,464,97%,429153,0.46,213.74,0,0,4096,576,220.21,0,0,0,0,0,7,0
ref,0,3:39.21,0,0,0,1718072,464,97%,429153,0.53,212.68,0,0,4096,587,219.21,0,0,0,0,0,7,0
ref,0,3:39.16,0,0,0,1718220,464,97%,429156,0.46,212.69,0,0,4096,513,219.16,0,0,0,0,0,7,0
ref,0,3:39.47,0,0,0,1718100,464,97%,429154,0.48,212.98,0,0,4096,477,219.47,0,0,0,0,0,7,0
ref,0,3:39.22,0,0,0,1718040,464,97%,429152,0.49,212.72,0,0,4096,532,219.22,0,0,0,0,0,7,0
ref,0,3:39.72,0,0,0,1718148,464,97%,429154,0.41,213.29,0,0,4096,492,219.72,0,0,0,0,0,7,0
ref,0,3:38.53,0,0,0,1718084,464,97%,429152,0.43,212.09,0,0,4096,483,218.53,0,0,0,0,0,7,0
ref,0,3:37.75,0,0,0,1718152,464,97%,429155,0.47,211.27,0,0,4096,515,217.75,0,0,0,0,0,7,0
ref,0,3:38.12,0,0,0,1718060,464,97%,429152,0.46,211.65,0,0,4096,515,218.12,0,0,0,0,0,7,0
ref,0,3:38.49,0,0,0,1718120,464,97%,429155,0.38,212.10,0,0,4096,479,218.49,0,0,0,0,0,7,0
ref,0,3:36.73,0,0,0,1718092,464,97%,429153,0.47,210.25,0,0,4096,609,216.73,0,0,0,0,0,7,0
ref,0,3:38.18,0,0,0,1718220,464,97%,429155,0.46,211.71,0,0,4096,573,218.18,0,0,0,0,0,7,0
ref,0,3:38.22,0,0,0,1718104,464,97%,429154,0.39,211.81,0,0,4096,604,218.22,0,0,0,0,0,7,0
ref,0,3:38.19,0,0,0,1718080,464,97%,429155,0.43,211.75,0,0,4096,544,218.19,0,0,0,0,0,7,0
ref,0,3:39.00,0,0,0,1718036,464,97%,429151,0.48,212.51,0,0,4096,608,219.00,0,0,0,0,0,7,0
ref,0,3:37.67,0,0,0,1718080,464,97%,429155,0.38,211.28,0,0,4096,556,217.67,0,0,0,0,0,7,0
ref,0,3:39.24,0,0,0,1718100,464,97%,429153,0.47,212.76,0,0,4096,494,219.24,0,0,0,0,0,7,0
ref,0,3:38.90,0,0,0,1718112,464,97%,429153,0.45,212.44,0,0,4096,517,218.90,0,0,0,0,0,7,0
ref,0,3:38.14,0,0,0,1718220,464,97%,429155,0.49,211.64,0,0,4096,535,218.14,0,0,0,0,0,7,0
train,0,0:15.95,0,0,0,352576,144,62%,87761,0.07,9.87,0,0,4096,19,15.95,0,0,0,0,0,7,0
train,0,0:16.00,0,0,0,352544,144,62%,87761,0.07,9.93,0,0,4096,17,16.00,0,0,0,0,0,7,0
