cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,0:03.43,0,0,0,160104,64,99%,39666,0.04,3.38,0,0,4096,13,3.43,0,0,0,0,0,1,0
test,0,0:03.43,0,0,0,160128,64,99%,39666,0.03,3.40,0,0,4096,9,3.43,0,0,0,0,0,1,0
test,0,0:03.42,0,0,0,160116,64,100%,39667,0.03,3.39,0,0,4096,6,3.42,0,0,0,0,0,1,0
test,0,0:03.40,0,0,0,160164,64,100%,39667,0.03,3.37,0,0,4096,10,3.40,0,0,0,0,0,1,0
test,0,0:03.41,0,0,0,160128,64,99%,39667,0.04,3.37,0,0,4096,13,3.41,0,0,0,0,0,3,0
test,0,0:03.44,0,0,0,160116,64,99%,39666,0.06,3.37,0,0,4096,11,3.44,0,0,0,0,0,1,0
test,0,0:03.46,0,0,0,160116,64,99%,39667,0.03,3.42,0,0,4096,12,3.46,0,0,0,0,0,1,0
test,0,0:03.43,0,0,0,160020,64,99%,39665,0.06,3.37,0,0,4096,4,3.43,0,0,0,0,0,3,0
test,0,0:03.44,0,0,0,160092,64,100%,39665,0.02,3.42,0,0,4096,7,3.44,0,0,0,0,0,1,0
test,0,0:03.61,0,0,0,160016,64,99%,39666,0.04,3.57,0,0,4096,8,3.61,0,0,0,0,0,1,0
test,0,0:03.44,0,0,0,160116,64,99%,39666,0.03,3.41,0,0,4096,8,3.44,0,0,0,0,0,3,0
test,0,0:03.46,0,0,0,160172,64,100%,39668,0.04,3.42,0,0,4096,13,3.46,0,0,0,0,0,1,0
test,0,0:03.51,0,0,0,160176,64,100%,39667,0.04,3.46,0,0,4096,8,3.51,0,0,0,0,0,1,0
test,0,0:03.45,0,0,0,160116,64,99%,39666,0.05,3.39,0,0,4096,14,3.45,0,0,0,0,0,2,0
test,0,0:03.40,0,0,0,160160,64,99%,39667,0.04,3.36,0,0,4096,8,3.40,0,0,0,0,0,1,0
test,0,0:03.43,0,0,0,160168,64,99%,39668,0.05,3.37,0,0,4096,5,3.43,0,0,0,0,0,1,0
test,0,0:03.42,0,0,0,160124,64,99%,39666,0.03,3.38,0,0,4096,10,3.42,0,0,0,0,0,1,0
test,0,0:03.45,0,0,0,160092,64,99%,39665,0.05,3.40,0,0,4096,18,3.45,0,0,0,0,0,1,0
test,0,0:03.41,0,0,0,160044,64,99%,39665,0.03,3.37,0,0,4096,4,3.41,0,0,0,0,0,1,0
