cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,0:00.10,0,0,0,14092,0,26%,3150,0.00,0.02,0,0,4096,0,0.10,0,0,0,0,0,3,0
test,0,0:00.09,0,0,0,14156,0,26%,3148,0.00,0.01,0,0,4096,0,0.09,0,0,0,0,0,3,0
test,0,0:00.09,0,0,0,14232,0,25%,3150,0.00,0.02,0,0,4096,0,0.09,0,0,0,0,0,3,0
test,0,0:00.09,0,0,0,14156,0,26%,3148,0.00,0.02,0,0,4096,0,0.09,0,0,0,0,0,3,0
test,0,0:00.09,0,0,0,14068,0,26%,3148,0.00,0.02,0,0,4096,0,0.09,0,0,0,0,0,3,0
test,0,0:00.09,0,0,0,14108,0,26%,3147,0.00,0.02,0,0,4096,0,0.09,0,0,0,0,0,3,0
test,0,0:00.09,0,0,0,14156,0,25%,3148,0.00,0.02,0,0,4096,0,0.09,0,0,0,0,0,3,0
test,0,0:00.09,0,0,0,14224,0,25%,3150,0.00,0.01,0,0,4096,0,0.09,0,0,0,0,0,3,0
test,0,0:00.09,0,0,0,14232,0,26%,3150,0.00,0.02,0,0,4096,0,0.09,0,0,0,0,0,3,0
test,0,0:00.09,0,0,0,14100,0,26%,3147,0.00,0.02,0,0,4096,0,0.09,0,0,0,0,0,3,0
test,0,0:00.09,0,0,0,14172,0,26%,3149,0.00,0.02,0,0,4096,0,0.09,0,0,0,0,0,3,0
test,0,0:00.09,0,0,0,14116,0,25%,3148,0.00,0.02,0,0,4096,1,0.09,0,0,0,0,0,3,0
test,0,0:00.09,0,0,0,14116,0,25%,3148,0.00,0.02,0,0,4096,1,0.09,0,0,0,0,0,3,0
test,0,0:00.09,0,0,0,14080,0,25%,3148,0.00,0.01,0,0,4096,1,0.09,0,0,0,0,0,3,0
test,0,0:00.09,0,0,0,14068,0,24%,3148,0.00,0.02,0,0,4096,0,0.09,0,0,0,0,0,3,0
test,0,0:00.09,0,0,0,14156,0,24%,3148,0.00,0.02,0,0,4096,1,0.09,0,0,0,0,0,3,0
test,0,0:00.09,0,0,0,14088,0,25%,3149,0.00,0.01,0,0,4096,0,0.09,0,0,0,0,0,3,0
test,0,0:00.09,0,0,0,14064,0,26%,3147,0.00,0.02,0,0,4096,1,0.09,0,0,0,0,0,3,0
test,0,0:00.09,0,0,0,14232,0,25%,3150,0.00,0.02,0,0,4096,0,0.09,0,0,0,0,0,3,0
test,0,0:00.09,0,0,0,14108,0,26%,3148,0.00,0.01,0,0,4096,1,0.09,0,0,0,0,0,3,0
test,0,0:00.09,0,0,0,14172,0,25%,3149,0.00,0.02,0,0,4096,0,0.09,0,0,0,0,0,3,0
test,0,0:00.09,0,0,0,14068,0,26%,3149,0.00,0.02,0,0,4096,1,0.09,0,0,0,0,0,3,0
test,0,0:00.09,0,0,0,14092,0,26%,3149,0.00,0.02,0,0,4096,1,0.09,0,0,0,0,0,3,0
test,0,0:00.09,0,0,0,14184,0,25%,3149,0.00,0.02,0,0,4096,0,0.09,0,0,0,0,0,3,0
test,0,0:00.09,0,0,0,14080,0,25%,3148,0.00,0.02,0,0,4096,0,0.09,0,0,0,0,0,3,0
test,0,0:00.09,0,0,0,14104,0,26%,3148,0.00,0.02,0,0,4096,0,0.09,0,0,0,0,0,3,0
test,0,0:00.09,0,0,0,14172,0,25%,3149,0.00,0.02,0,0,4096,0,0.09,0,0,0,0,0,3,0
test,0,0:00.09,0,0,0,14092,0,25%,3149,0.00,0.02,0,0,4096,0,0.09,0,0,0,0,0,3,0
test,0,0:00.09,0,0,0,14168,0,26%,3149,0.00,0.02,0,0,4096,1,0.09,0,0,0,0,0,3,0
test,0,0:00.09,0,0,0,14180,0,25%,3148,0.00,0.02,0,0,4096,0,0.09,0,0,0,0,0,3,0
ref,0,0:00.12,0,0,0,26456,0,43%,6220,0.00,0.05,0,0,4096,0,0.12,0,0,0,0,0,3,0
ref,0,0:00.12,0,0,0,26352,0,42%,6219,0.02,0.03,0,0,4096,0,0.12,0,0,0,0,0,3,0
ref,0,0:00.12,0,0,0,26464,0,44%,6219,0.00,0.05,0,0,4096,0,0.12,0,0,0,0,0,3,0
ref,0,0:00.12,0,0,0,26340,0,43%,6218,0.00,0.05,0,0,4096,1,0.12,0,0,0,0,0,3,0
ref,0,0:00.12,0,0,0,26512,0,42%,6220,0.00,0.05,0,0,4096,1,0.12,0,0,0,0,0,3,0
ref,0,0:00.12,0,0,0,26352,0,44%,6219,0.00,0.04,0,0,4096,1,0.12,0,0,0,0,0,3,0
ref,0,0:00.12,0,0,0,26344,0,42%,6217,0.00,0.04,0,0,4096,1,0.12,0,0,0,0,0,3,0
ref,0,0:00.12,0,0,0,26396,0,43%,6218,0.00,0.05,0,0,4096,1,0.12,0,0,0,0,0,3,0
ref,0,0:00.12,0,0,0,26428,0,42%,6219,0.00,0.05,0,0,4096,2,0.12,0,0,0,0,0,3,0
