cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,0:25.95,0,0,0,159892,64,99%,39578,0.03,25.91,0,0,4096,60,25.95,0,0,0,0,0,1,0
test,0,0:25.97,0,0,0,159876,64,100%,39578,0.03,25.94,0,0,4096,56,25.97,0,0,0,0,0,1,0
test,0,0:25.95,0,0,0,159892,64,99%,39579,0.02,25.93,0,0,4096,63,25.95,0,0,0,0,0,1,0
test,0,0:25.99,0,0,0,159888,64,99%,39578,0.04,25.95,0,0,4096,82,25.99,0,0,0,0,0,1,0
test,0,0:25.96,0,0,0,159904,64,99%,39579,0.04,25.92,0,0,4096,98,25.96,0,0,0,0,0,1,0
test,0,0:25.94,0,0,0,159884,64,99%,39578,0.04,25.90,0,0,4096,56,25.94,0,0,0,0,0,1,0
test,0,0:25.93,0,0,0,159900,64,99%,39578,0.03,25.90,0,0,4096,94,25.93,0,0,0,0,0,1,0
test,0,0:25.93,0,0,0,159816,64,99%,39577,0.05,25.88,0,0,4096,78,25.93,0,0,0,0,0,1,0
test,0,0:25.96,0,0,0,159888,64,99%,39578,0.03,25.92,0,0,4096,97,25.96,0,0,0,0,0,1,0
test,0,0:25.96,0,0,0,159896,64,99%,39578,0.03,25.93,0,0,4096,57,25.96,0,0,0,0,0,1,0
test,0,0:25.96,0,0,0,159888,64,99%,39578,0.02,25.94,0,0,4096,81,25.96,0,0,0,0,0,1,0
test,0,0:25.97,0,0,0,159856,64,99%,39578,0.04,25.93,0,0,4096,54,25.97,0,0,0,0,0,1,0
test,0,0:25.92,0,0,0,159856,64,99%,39578,0.04,25.88,0,0,4096,81,25.92,0,0,0,0,0,1,0
test,0,0:25.91,0,0,0,159856,64,99%,39578,0.04,25.87,0,0,4096,77,25.91,0,0,0,0,0,1,0
test,0,0:25.93,0,0,0,159880,64,99%,39578,0.04,25.89,0,0,4096,67,25.93,0,0,0,0,0,1,0
test,0,0:25.97,0,0,0,159812,64,100%,39577,0.04,25.92,0,0,4096,56,25.97,0,0,0,0,0,1,0
test,0,0:25.95,0,0,0,159808,64,99%,39576,0.04,25.90,0,0,4096,61,25.95,0,0,0,0,0,1,0
test,0,0:25.91,0,0,0,159948,64,99%,39580,0.03,25.88,0,0,4096,63,25.91,0,0,0,0,0,1,0
test,0,0:25.92,0,0,0,159880,64,100%,39578,0.03,25.88,0,0,4096,59,25.92,0,0,0,0,0,1,0
test,0,0:25.91,0,0,0,159816,64,100%,39577,0.03,25.88,0,0,4096,62,25.91,0,0,0,0,0,1,0
test,0,0:25.92,0,0,0,159856,64,99%,39578,0.03,25.88,0,0,4096,88,25.92,0,0,0,0,0,1,0
test,0,0:25.95,0,0,0,159864,64,99%,39577,0.03,25.91,0,0,4096,73,25.95,0,0,0,0,0,1,0
test,0,0:25.97,0,0,0,159864,64,99%,39579,0.02,25.94,0,0,4096,83,25.97,0,0,0,0,0,1,0
test,0,0:25.92,0,0,0,159792,64,99%,39577,0.03,25.88,0,0,4096,56,25.92,0,0,0,0,0,1,0
test,0,0:25.97,0,0,0,159892,64,100%,39578,0.05,25.92,0,0,4096,52,25.97,0,0,0,0,0,1,0
test,0,0:25.94,0,0,0,159744,64,99%,39577,0.02,25.91,0,0,4096,83,25.94,0,0,0,0,0,1,0
test,0,0:25.97,0,0,0,159880,64,100%,39578,0.04,25.92,0,0,4096,81,25.97,0,0,0,0,0,1,0
test,0,0:25.91,0,0,0,159900,64,99%,39578,0.03,25.88,0,0,4096,52,25.91,0,0,0,0,0,1,0
test,0,0:25.90,0,0,0,159948,64,99%,39580,0.03,25.87,0,0,4096,98,25.90,0,0,0,0,0,1,0
test,0,0:25.96,0,0,0,159940,64,99%,39579,0.04,25.91,0,0,4096,90,25.96,0,0,0,0,0,1,0
train,0,1:07.17,0,0,0,352552,144,99%,87769,0.10,67.07,0,0,4096,249,67.17,0,0,0,0,0,1,0
train,0,1:07.07,0,0,0,352476,144,99%,87767,0.09,66.97,0,0,4096,261,67.07,0,0,0,0,0,1,0
train,0,1:06.94,0,0,0,352548,144,99%,87769,0.11,66.83,0,0,4096,161,66.94,0,0,0,0,0,1,0
train,0,1:06.99,0,0,0,352564,144,100%,87770,0.08,66.90,0,0,4096,187,66.99,0,0,0,0,0,1,0
train,0,1:07.00,0,0,0,352476,144,99%,87768,0.09,66.91,0,0,4096,252,67.00,0,0,0,0,0,1,0
train,0,1:07.15,0,0,0,352600,144,99%,87771,0.07,67.07,0,0,4096,251,67.15,0,0,0,0,0,1,0
train,0,1:07.03,0,0,0,352464,144,99%,87768,0.08,66.94,0,0,4096,163,67.03,0,0,0,0,0,1,0
train,0,1:07.20,0,0,0,352476,144,99%,87769,0.10,67.09,0,0,4096,246,67.20,0,0,0,0,0,1,0
train,0,1:06.94,0,0,0,352564,144,99%,87770,0.08,66.86,0,0,4096,173,66.94,0,0,0,0,0,1,0
train,0,1:07.07,0,0,0,352472,144,99%,87768,0.06,67.00,0,0,4096,207,67.07,0,0,0,0,0,1,0
train,0,1:06.92,0,0,0,352600,144,99%,87770,0.09,66.82,0,0,4096,152,66.92,0,0,0,0,0,1,0
train,0,1:07.47,0,0,0,352600,144,99%,87770,0.09,67.37,0,0,4096,245,67.47,0,0,0,0,0,1,0
train,0,1:07.03,0,0,0,352548,144,99%,87770,0.10,66.93,0,0,4096,249,67.03,0,0,0,0,0,1,0
train,0,1:07.17,0,0,0,352600,144,99%,87771,0.08,67.08,0,0,4096,157,67.17,0,0,0,0,0,1,0
train,0,1:06.99,0,0,0,352520,144,99%,87768,0.08,66.90,0,0,4096,183,66.99,0,0,0,0,0,1,0
train,0,1:06.90,0,0,0,352452,144,99%,87768,0.07,66.82,0,0,4096,187,66.90,0,0,0,0,0,1,0
train,0,1:07.32,0,0,0,352536,144,99%,87769,0.09,67.22,0,0,4096,248,67.32,0,0,0,0,0,1,0
train,0,1:06.99,0,0,0,352540,144,99%,87769,0.06,66.92,0,0,4096,174,66.99,0,0,0,0,0,1,0
train,0,1:07.22,0,0,0,352564,144,99%,87770,0.11,67.11,0,0,4096,246,67.22,0,0,0,0,0,1,0
train,0,1:07.13,0,0,0,352472,144,99%,87767,0.09,67.03,0,0,4096,243,67.13,0,0,0,0,0,1,0
train,0,1:07.09,0,0,0,352468,144,99%,87767,0.10,66.99,0,0,4096,252,67.09,0,0,0,0,0,1,0
train,0,1:07.05,0,0,0,352596,144,100%,87770,0.08,66.97,0,0,4096,147,67.05,0,0,0,0,0,1,0
train,0,1:06.95,0,0,0,352476,144,100%,87769,0.08,66.86,0,0,4096,171,66.95,0,0,0,0,0,1,0
train,0,1:07.14,0,0,0,352596,144,99%,87770,0.06,67.07,0,0,4096,147,67.14,0,0,0,0,0,1,0
train,0,1:06.85,0,0,0,352468,144,99%,87768,0.09,66.75,0,0,4096,215,66.85,0,0,0,0,0,1,0
train,0,1:07.13,0,0,0,352524,144,99%,87768,0.07,67.05,0,0,4096,221,67.13,0,0,0,0,0,1,0
train,0,1:07.03,0,0,0,352524,144,99%,87768,0.11,66.91,0,0,4096,148,67.03,0,0,0,0,0,1,0
train,0,1:07.05,0,0,0,352600,144,99%,87770,0.06,66.98,0,0,4096,242,67.05,0,0,0,0,0,1,0
train,0,1:07.17,0,0,0,352600,144,99%,87770,0.09,67.08,0,0,4096,247,67.17,0,0,0,0,0,1,0
train,0,1:07.11,0,0,0,352512,144,99%,87769,0.09,67.01,0,0,4096,176,67.11,0,0,0,0,0,1,0
