cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,0:02.03,0,0,0,159856,64,99%,39570,0.04,1.99,0,0,4096,4,2.03,0,0,0,0,0,1,0
test,0,0:01.74,0,0,0,159784,64,100%,39569,0.03,1.71,0,0,4096,5,1.74,0,0,0,0,0,1,0
test,0,0:02.02,0,0,0,159784,64,100%,39569,0.05,1.97,0,0,4096,8,2.02,0,0,0,0,0,1,0
test,0,0:01.75,0,0,0,159756,64,99%,39568,0.04,1.71,0,0,4096,4,1.75,0,0,0,0,0,1,0
test,0,0:01.78,0,0,0,159856,64,100%,39570,0.05,1.73,0,0,4096,6,1.78,0,0,0,0,0,1,0
test,0,0:01.82,0,0,0,159868,64,99%,39570,0.02,1.79,0,0,4096,1,1.82,0,0,0,0,0,2,0
test,0,0:01.75,0,0,0,159900,64,100%,39570,0.02,1.72,0,0,4096,4,1.75,0,0,0,0,0,1,0
test,0,0:01.76,0,0,0,159904,64,99%,39570,0.04,1.71,0,0,4096,3,1.76,0,0,0,0,0,1,0
test,0,0:01.78,0,0,0,159856,64,99%,39569,0.04,1.73,0,0,4096,4,1.78,0,0,0,0,0,3,0
test,0,0:01.74,0,0,0,159772,64,99%,39568,0.03,1.71,0,0,4096,2,1.74,0,0,0,0,0,1,0
test,0,0:01.76,0,0,0,159852,64,100%,39569,0.04,1.72,0,0,4096,4,1.76,0,0,0,0,0,1,0
test,0,0:01.73,0,0,0,159792,64,99%,39569,0.05,1.67,0,0,4096,1,1.73,0,0,0,0,0,1,0
test,0,0:01.77,0,0,0,159856,64,99%,39571,0.02,1.75,0,0,4096,3,1.77,0,0,0,0,0,1,0
test,0,0:01.75,0,0,0,159916,64,99%,39571,0.03,1.71,0,0,4096,5,1.75,0,0,0,0,0,1,0
test,0,0:01.74,0,0,0,159912,64,99%,39570,0.04,1.69,0,0,4096,2,1.74,0,0,0,0,0,2,0
test,0,0:01.84,0,0,0,159756,64,99%,39568,0.02,1.81,0,0,4096,6,1.84,0,0,0,0,0,1,0
test,0,0:01.77,0,0,0,159864,64,99%,39569,0.05,1.72,0,0,4096,5,1.77,0,0,0,0,0,1,0
test,0,0:01.76,0,0,0,159900,64,100%,39570,0.03,1.72,0,0,4096,2,1.76,0,0,0,0,0,1,0
test,0,0:01.80,0,0,0,159756,64,99%,39569,0.01,1.78,0,0,4096,1,1.80,0,0,0,0,0,1,0
test,0,0:01.75,0,0,0,159872,64,99%,39571,0.04,1.70,0,0,4096,3,1.75,0,0,0,0,0,1,0
test,0,0:01.77,0,0,0,159832,64,99%,39569,0.06,1.71,0,0,4096,6,1.77,0,0,0,0,0,1,0
test,0,0:01.75,0,0,0,159848,64,100%,39570,0.03,1.72,0,0,4096,8,1.75,0,0,0,0,0,1,0
test,0,0:01.77,0,0,0,159848,64,99%,39570,0.02,1.74,0,0,4096,3,1.77,0,0,0,0,0,1,0
test,0,0:01.75,0,0,0,159852,64,99%,39571,0.05,1.69,0,0,4096,4,1.75,0,0,0,0,0,2,0
test,0,0:01.80,0,0,0,159748,64,99%,39568,0.04,1.75,0,0,4096,5,1.80,0,0,0,0,0,1,0
test,0,0:01.78,0,0,0,159772,64,100%,39567,0.03,1.74,0,0,4096,5,1.78,0,0,0,0,0,1,0
test,0,0:01.76,0,0,0,159868,64,99%,39570,0.05,1.71,0,0,4096,9,1.76,0,0,0,0,0,2,0
test,0,0:01.74,0,0,0,159856,64,100%,39570,0.03,1.71,0,0,4096,1,1.74,0,0,0,0,0,1,0
test,0,0:01.74,0,0,0,159780,64,99%,39567,0.04,1.69,0,0,4096,5,1.74,0,0,0,0,0,1,0
test,0,0:01.76,0,0,0,159744,64,100%,39567,0.01,1.74,0,0,4096,2,1.76,0,0,0,0,0,1,0
ref,0,3:33.64,0,0,0,1718092,464,99%,429155,0.41,213.22,0,0,4096,484,213.64,0,0,0,0,0,1,0
ref,0,3:32.81,0,0,0,1718092,464,99%,429154,0.46,212.34,0,0,4096,500,212.81,0,0,0,0,0,1,0
ref,0,3:39.44,0,0,0,1718092,464,99%,429155,0.44,218.99,0,0,4096,744,219.44,0,0,0,0,0,1,0
ref,0,3:32.40,0,0,0,1718036,464,99%,429155,0.41,211.98,0,0,4096,495,212.40,0,0,0,0,0,1,0
ref,0,3:37.84,0,0,0,1718092,464,99%,429154,0.41,217.42,0,0,4096,815,217.84,0,0,0,0,0,1,0
ref,0,3:32.95,0,0,0,1718044,464,99%,429154,0.45,212.49,0,0,4096,469,212.95,0,0,0,0,0,1,0
ref,0,3:37.58,0,0,0,1718036,464,99%,429155,0.39,217.18,0,0,4096,780,217.58,0,0,0,0,0,1,0
ref,0,3:35.06,0,0,0,1718100,464,99%,429154,0.41,214.63,0,0,4096,570,215.06,0,0,0,0,0,1,0
ref,0,3:31.37,0,0,0,1718044,464,99%,429153,0.43,210.93,0,0,4096,483,211.37,0,0,0,0,0,1,0
ref,0,3:31.39,0,0,0,1718020,464,99%,429155,0.42,210.96,0,0,4096,490,211.39,0,0,0,0,0,1,0
ref,0,3:36.61,0,0,0,1718092,464,99%,429155,0.42,216.18,0,0,4096,905,216.61,0,0,0,0,0,1,0
ref,0,3:31.42,0,0,0,1718016,464,99%,429154,0.40,211.01,0,0,4096,503,211.42,0,0,0,0,0,1,0
ref,0,3:36.48,0,0,0,1718024,464,99%,429152,0.44,216.03,0,0,4096,728,216.48,0,0,0,0,0,1,0
ref,0,3:38.79,0,0,0,1718016,464,99%,429154,0.44,218.34,0,0,4096,938,218.79,0,0,0,0,0,1,0
ref,0,3:32.78,0,0,0,1718044,464,99%,429154,0.44,212.33,0,0,4096,467,212.78,0,0,0,0,0,1,0
ref,0,3:32.91,0,0,0,1718048,464,99%,429154,0.49,212.41,0,0,4096,487,212.91,0,0,0,0,0,1,0
ref,0,3:31.53,0,0,0,1717952,464,99%,429152,0.47,211.05,0,0,4096,513,211.53,0,0,0,0,0,1,0
ref,0,3:44.30,0,0,0,1717976,464,99%,429151,0.48,223.80,0,0,4096,863,224.30,0,0,0,0,0,1,0
ref,0,3:39.35,0,0,0,1718100,464,99%,429154,0.41,218.93,0,0,4096,822,219.35,0,0,0,0,0,1,0
ref,0,3:33.85,0,0,0,1717968,464,99%,429152,0.49,213.35,0,0,4096,546,213.85,0,0,0,0,0,1,0
ref,0,3:39.83,0,0,0,1718104,464,99%,429155,0.42,219.40,0,0,4096,869,219.83,0,0,0,0,0,1,0
ref,0,3:30.97,0,0,0,1718100,464,99%,429155,0.45,210.51,0,0,4096,437,210.97,0,0,0,0,0,1,0
