cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,0:02.18,0,0,0,159864,64,99%,39577,0.04,2.13,0,0,4096,6,2.18,0,0,0,0,0,1,0
test,0,0:02.16,0,0,0,159812,64,100%,39577,0.02,2.13,0,0,4096,6,2.16,0,0,0,0,0,1,0
test,0,0:02.16,0,0,0,159864,64,99%,39579,0.05,2.11,0,0,4096,7,2.16,0,0,0,0,0,1,0
test,0,0:02.17,0,0,0,159888,64,99%,39578,0.03,2.13,0,0,4096,1,2.17,0,0,0,0,0,1,0
test,0,0:02.16,0,0,0,159900,64,99%,39578,0.04,2.11,0,0,4096,5,2.16,0,0,0,0,0,1,0
test,0,0:02.16,0,0,0,159940,64,99%,39579,0.03,2.12,0,0,4096,2,2.16,0,0,0,0,0,1,0
test,0,0:02.17,0,0,0,159856,64,99%,39578,0.02,2.15,0,0,4096,7,2.17,0,0,0,0,0,1,0
test,0,0:02.16,0,0,0,159880,64,100%,39578,0.03,2.13,0,0,4096,3,2.16,0,0,0,0,0,1,0
test,0,0:02.17,0,0,0,159936,64,100%,39579,0.04,2.13,0,0,4096,7,2.17,0,0,0,0,0,1,0
test,0,0:02.16,0,0,0,159876,64,100%,39578,0.06,2.10,0,0,4096,8,2.16,0,0,0,0,0,1,0
test,0,0:02.18,0,0,0,159888,64,99%,39578,0.05,2.13,0,0,4096,2,2.18,0,0,0,0,0,1,0
test,0,0:02.15,0,0,0,159780,64,99%,39576,0.06,2.09,0,0,4096,10,2.15,0,0,0,0,0,1,0
test,0,0:02.18,0,0,0,159780,64,100%,39576,0.03,2.15,0,0,4096,5,2.18,0,0,0,0,0,1,0
test,0,0:02.16,0,0,0,159856,64,100%,39578,0.04,2.12,0,0,4096,3,2.16,0,0,0,0,0,1,0
test,0,0:02.17,0,0,0,159888,64,99%,39579,0.03,2.14,0,0,4096,8,2.17,0,0,0,0,0,1,0
test,0,0:02.16,0,0,0,159816,64,99%,39576,0.02,2.13,0,0,4096,4,2.16,0,0,0,0,0,1,0
test,0,0:02.16,0,0,0,159936,64,99%,39579,0.02,2.13,0,0,4096,8,2.16,0,0,0,0,0,1,0
test,0,0:02.15,0,0,0,159780,64,100%,39576,0.05,2.10,0,0,4096,8,2.15,0,0,0,0,0,1,0
