cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,0:02.08,0,0,0,159884,64,99%,39579,0.03,2.04,0,0,4096,4,2.08,0,0,0,0,0,1,0
test,0,0:01.78,0,0,0,159892,64,100%,39578,0.06,1.72,0,0,4096,2,1.78,0,0,0,0,0,1,0
test,0,0:01.78,0,0,0,159792,64,100%,39577,0.05,1.73,0,0,4096,2,1.78,0,0,0,0,0,1,0
test,0,0:01.78,0,0,0,159792,64,99%,39577,0.05,1.72,0,0,4096,9,1.78,0,0,0,0,0,1,0
test,0,0:01.81,0,0,0,159944,64,99%,39580,0.04,1.77,0,0,4096,4,1.81,0,0,0,0,0,1,0
test,0,0:01.83,0,0,0,159892,64,99%,39578,0.02,1.80,0,0,4096,3,1.83,0,0,0,0,0,1,0
test,0,0:01.77,0,0,0,159792,64,100%,39577,0.04,1.73,0,0,4096,4,1.77,0,0,0,0,0,1,0
test,0,0:01.77,0,0,0,159816,64,100%,39577,0.05,1.72,0,0,4096,3,1.77,0,0,0,0,0,1,0
test,0,0:01.79,0,0,0,159900,64,99%,39578,0.04,1.74,0,0,4096,1,1.79,0,0,0,0,0,3,0
test,0,0:01.75,0,0,0,159816,64,99%,39578,0.05,1.70,0,0,4096,3,1.75,0,0,0,0,0,1,0
test,0,0:01.78,0,0,0,159868,64,100%,39578,0.04,1.73,0,0,4096,2,1.78,0,0,0,0,0,1,0
test,0,0:01.79,0,0,0,159952,64,99%,39580,0.04,1.74,0,0,4096,4,1.79,0,0,0,0,0,3,0
test,0,0:01.79,0,0,0,159892,64,99%,39578,0.04,1.75,0,0,4096,2,1.79,0,0,0,0,0,1,0
test,0,0:01.80,0,0,0,159856,64,100%,39578,0.04,1.76,0,0,4096,2,1.80,0,0,0,0,0,1,0
test,0,0:01.80,0,0,0,159868,64,99%,39579,0.04,1.75,0,0,4096,5,1.80,0,0,0,0,0,3,0
test,0,0:01.77,0,0,0,159948,64,100%,39580,0.03,1.74,0,0,4096,4,1.77,0,0,0,0,0,1,0
test,0,0:01.83,0,0,0,159816,64,99%,39576,0.07,1.76,0,0,4096,3,1.83,0,0,0,0,0,1,0
test,0,0:01.79,0,0,0,159860,64,99%,39579,0.04,1.74,0,0,4096,3,1.79,0,0,0,0,0,3,0
test,0,0:01.78,0,0,0,159908,64,99%,39580,0.03,1.74,0,0,4096,5,1.78,0,0,0,0,0,1,0
test,0,0:01.76,0,0,0,159780,64,100%,39576,0.04,1.71,0,0,4096,1,1.76,0,0,0,0,0,1,0
test,0,0:02.03,0,0,0,159856,64,99%,39578,0.04,1.99,0,0,4096,5,2.03,0,0,0,0,0,1,0
test,0,0:01.77,0,0,0,159792,64,99%,39578,0.05,1.71,0,0,4096,4,1.77,0,0,0,0,0,1,0
test,0,0:01.76,0,0,0,159940,64,100%,39579,0.03,1.73,0,0,4096,3,1.76,0,0,0,0,0,1,0
test,0,0:01.77,0,0,0,159884,64,99%,39579,0.03,1.73,0,0,4096,5,1.77,0,0,0,0,0,3,0
test,0,0:01.78,0,0,0,159816,64,100%,39577,0.04,1.74,0,0,4096,3,1.78,0,0,0,0,0,1,0
