cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,0:01.94,0,0,0,159856,64,99%,39569,0.04,1.90,0,0,4096,10,1.94,0,0,0,0,0,1,0
test,0,0:01.73,0,0,0,159828,64,100%,39570,0.04,1.69,0,0,4096,2,1.73,0,0,0,0,0,1,0
test,0,0:02.00,0,0,0,159856,64,100%,39570,0.06,1.94,0,0,4096,4,2.00,0,0,0,0,0,1,0
test,0,0:01.86,0,0,0,159904,64,99%,39570,0.02,1.83,0,0,4096,9,1.86,0,0,0,0,0,1,0
test,0,0:01.79,0,0,0,159784,64,99%,39568,0.05,1.74,0,0,4096,3,1.79,0,0,0,0,0,1,0
test,0,0:01.75,0,0,0,159780,64,99%,39568,0.04,1.70,0,0,4096,3,1.75,0,0,0,0,0,1,0
test,0,0:01.73,0,0,0,159844,64,99%,39570,0.03,1.69,0,0,4096,3,1.73,0,0,0,0,0,1,0
test,0,0:01.76,0,0,0,159772,64,99%,39568,0.06,1.69,0,0,4096,4,1.76,0,0,0,0,0,1,0
test,0,0:01.77,0,0,0,159744,64,99%,39567,0.04,1.73,0,0,4096,5,1.77,0,0,0,0,0,2,0
test,0,0:01.77,0,0,0,159904,64,100%,39570,0.05,1.72,0,0,4096,8,1.77,0,0,0,0,0,1,0
test,0,0:01.75,0,0,0,159904,64,99%,39570,0.04,1.70,0,0,4096,1,1.75,0,0,0,0,0,1,0
test,0,0:01.75,0,0,0,159864,64,100%,39570,0.04,1.70,0,0,4096,3,1.75,0,0,0,0,0,2,0
test,0,0:01.74,0,0,0,159820,64,100%,39570,0.04,1.69,0,0,4096,6,1.74,0,0,0,0,0,1,0
test,0,0:01.76,0,0,0,159828,64,100%,39570,0.04,1.71,0,0,4096,3,1.76,0,0,0,0,0,1,0
test,0,0:01.78,0,0,0,159772,64,99%,39568,0.05,1.72,0,0,4096,6,1.78,0,0,0,0,0,3,0
test,0,0:01.75,0,0,0,159864,64,100%,39569,0.05,1.70,0,0,4096,3,1.75,0,0,0,0,0,1,0
test,0,0:01.75,0,0,0,159856,64,99%,39569,0.06,1.69,0,0,4096,3,1.75,0,0,0,0,0,1,0
test,0,0:01.79,0,0,0,159784,64,99%,39570,0.04,1.74,0,0,4096,3,1.79,0,0,0,0,0,1,0
test,0,0:01.75,0,0,0,159748,64,99%,39568,0.04,1.70,0,0,4096,3,1.75,0,0,0,0,0,1,0
test,0,0:01.79,0,0,0,159828,64,100%,39571,0.05,1.74,0,0,4096,5,1.79,0,0,0,0,0,1,0
test,0,0:01.73,0,0,0,159748,64,99%,39568,0.05,1.68,0,0,4096,10,1.73,0,0,0,0,0,3,0
test,0,0:01.76,0,0,0,159844,64,100%,39570,0.04,1.72,0,0,4096,3,1.76,0,0,0,0,0,1,0
test,0,0:01.84,0,0,0,159868,64,100%,39570,0.04,1.79,0,0,4096,4,1.84,0,0,0,0,0,1,0
test,0,0:01.76,0,0,0,159732,64,99%,39568,0.04,1.71,0,0,4096,5,1.76,0,0,0,0,0,3,0
test,0,0:01.76,0,0,0,159828,64,99%,39571,0.03,1.72,0,0,4096,3,1.76,0,0,0,0,0,1,0
test,0,0:01.77,0,0,0,159868,64,99%,39570,0.05,1.71,0,0,4096,5,1.77,0,0,0,0,0,1,0
test,0,0:01.78,0,0,0,159900,64,99%,39570,0.02,1.75,0,0,4096,1,1.78,0,0,0,0,0,1,0
test,0,0:01.73,0,0,0,159852,64,99%,39569,0.04,1.69,0,0,4096,2,1.73,0,0,0,0,0,1,0
test,0,0:01.82,0,0,0,159900,64,100%,39570,0.04,1.78,0,0,4096,3,1.82,0,0,0,0,0,1,0
test,0,0:01.76,0,0,0,159760,64,99%,39569,0.03,1.72,0,0,4096,4,1.76,0,0,0,0,0,3,0
ref,0,3:35.48,0,0,0,1718036,464,99%,429154,0.37,215.10,0,0,4096,511,215.48,0,0,0,0,0,1,0
ref,0,3:33.32,0,0,0,1717972,464,99%,429152,0.39,212.93,0,0,4096,571,213.32,0,0,0,0,0,1,0
ref,0,3:33.79,0,0,0,1717972,464,99%,429152,0.39,213.38,0,0,4096,666,213.79,0,0,0,0,0,1,0
ref,0,3:33.43,0,0,0,1718104,464,99%,429155,0.40,213.02,0,0,4096,640,213.43,0,0,0,0,0,1,0
ref,0,3:35.35,0,0,0,1718052,464,99%,429153,0.42,214.92,0,0,4096,613,215.35,0,0,0,0,0,1,0
ref,0,3:34.02,0,0,0,1717932,464,99%,429152,0.39,213.62,0,0,4096,553,214.02,0,0,0,0,0,1,0
ref,0,3:32.25,0,0,0,1717972,464,99%,429153,0.40,211.84,0,0,4096,534,212.25,0,0,0,0,0,1,0
ref,0,3:32.30,0,0,0,1718092,464,99%,429155,0.44,211.85,0,0,4096,541,212.30,0,0,0,0,0,1,0
ref,0,3:36.53,0,0,0,1718100,464,99%,429154,0.43,216.08,0,0,4096,606,216.53,0,0,0,0,0,1,0
ref,0,3:35.58,0,0,0,1718104,464,99%,429155,0.39,215.17,0,0,4096,506,215.58,0,0,0,0,0,1,0
ref,0,3:35.24,0,0,0,1718032,464,99%,429153,0.49,214.74,0,0,4096,518,215.24,0,0,0,0,0,1,0
ref,0,3:33.27,0,0,0,1718052,464,99%,429153,0.47,212.79,0,0,4096,594,213.27,0,0,0,0,0,1,0
ref,0,3:34.66,0,0,0,1718088,464,99%,429154,0.47,214.18,0,0,4096,476,214.66,0,0,0,0,0,1,0
ref,0,3:35.75,0,0,0,1717972,464,99%,429152,0.49,215.24,0,0,4096,521,215.75,0,0,0,0,0,1,0
ref,0,3:36.20,0,0,0,1717944,464,99%,429152,0.48,215.71,0,0,4096,522,216.20,0,0,0,0,0,1,0
ref,0,3:33.04,0,0,0,1717980,464,99%,429153,0.41,212.62,0,0,4096,677,213.04,0,0,0,0,0,1,0
ref,0,3:34.23,0,0,0,1718028,464,99%,429153,0.49,213.73,0,0,4096,494,214.23,0,0,0,0,0,1,0
ref,0,3:33.20,0,0,0,1718056,464,99%,429154,0.43,212.77,0,0,4096,572,213.20,0,0,0,0,0,1,0
ref,0,3:33.06,0,0,0,1717972,464,99%,429153,0.50,212.55,0,0,4096,547,213.06,0,0,0,0,0,1,0
ref,0,3:34.01,0,0,0,1718092,464,99%,429154,0.44,213.56,0,0,4096,502,214.01,0,0,0,0,0,1,0
ref,0,3:34.47,0,0,0,1718056,464,99%,429154,0.40,214.06,0,0,4096,628,214.47,0,0,0,0,0,1,0
ref,0,3:32.81,0,0,0,1718032,464,99%,429155,0.48,212.32,0,0,4096,561,212.81,0,0,0,0,0,1,0
ref,0,3:32.75,0,0,0,1717940,464,99%,429152,0.36,212.38,0,0,4096,585,212.75,0,0,0,0,0,1,0
ref,0,3:32.41,0,0,0,1718100,464,99%,429154,0.48,211.92,0,0,4096,582,212.41,0,0,0,0,0,1,0
ref,0,3:31.60,0,0,0,1718012,464,99%,429154,0.45,211.15,0,0,4096,501,211.60,0,0,0,0,0,1,0
ref,0,3:44.75,0,0,0,1717972,464,99%,429152,0.43,224.31,0,0,4096,529,224.75,0,0,0,0,0,1,0
ref,0,3:32.69,0,0,0,1717944,464,99%,429152,0.47,212.21,0,0,4096,545,212.69,0,0,0,0,0,1,0
ref,0,3:34.83,0,0,0,1717968,464,99%,429151,0.42,214.40,0,0,4096,498,214.83,0,0,0,0,0,1,0
ref,0,3:31.49,0,0,0,1718032,464,99%,429153,0.41,211.07,0,0,4096,537,211.49,0,0,0,0,0,1,0
ref,0,3:33.48,0,0,0,1718016,464,99%,429154,0.41,213.07,0,0,4096,582,213.48,0,0,0,0,0,1,0
train,0,0:09.65,0,0,0,352440,144,99%,87759,0.08,9.56,0,0,4096,26,9.65,0,0,0,0,0,1,0
train,0,0:09.75,0,0,0,352572,144,99%,87762,0.07,9.67,0,0,4096,22,9.75,0,0,0,0,0,1,0
train,0,0:09.74,0,0,0,352516,144,100%,87760,0.09,9.64,0,0,4096,27,9.74,0,0,0,0,0,1,0
train,0,0:09.66,0,0,0,352416,144,99%,87759,0.08,9.57,0,0,4096,25,9.66,0,0,0,0,0,1,0
train,0,0:09.74,0,0,0,352408,144,100%,87759,0.09,9.64,0,0,4096,27,9.74,0,0,0,0,0,1,0
train,0,0:09.72,0,0,0,352440,144,100%,87758,0.08,9.63,0,0,4096,29,9.72,0,0,0,0,0,1,0
train,0,0:09.67,0,0,0,352576,144,99%,87762,0.09,9.58,0,0,4096,38,9.67,0,0,0,0,0,1,0
train,0,0:09.72,0,0,0,352432,144,99%,87758,0.06,9.65,0,0,4096,25,9.72,0,0,0,0,0,1,0
train,0,0:09.65,0,0,0,352404,144,99%,87758,0.10,9.54,0,0,4096,28,9.65,0,0,0,0,0,1,0
