cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,0:03.03,0,0,0,159872,64,99%,39571,0.03,2.99,0,0,4096,9,3.03,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159916,64,99%,39570,0.02,3.00,0,0,4096,12,3.03,0,0,0,0,0,1,0
test,0,0:03.05,0,0,0,159712,64,100%,39568,0.02,3.02,0,0,4096,10,3.05,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159904,64,99%,39570,0.06,2.98,0,0,4096,9,3.04,0,0,0,0,0,1,0
test,0,0:03.12,0,0,0,159824,64,99%,39570,0.04,3.08,0,0,4096,5,3.12,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159780,64,100%,39568,0.02,3.02,0,0,4096,6,3.04,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159784,64,100%,39568,0.02,3.02,0,0,4096,5,3.04,0,0,0,0,0,1,0
test,0,0:03.05,0,0,0,159832,64,99%,39568,0.03,3.02,0,0,4096,9,3.05,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159776,64,99%,39567,0.03,3.01,0,0,4096,6,3.04,0,0,0,0,0,1,0
test,0,0:03.09,0,0,0,159868,64,99%,39569,0.03,3.05,0,0,4096,11,3.09,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159836,64,99%,39569,0.04,2.99,0,0,4096,9,3.04,0,0,0,0,0,1,0
test,0,0:03.07,0,0,0,159832,64,100%,39568,0.04,3.02,0,0,4096,2,3.07,0,0,0,0,0,1,0
test,0,0:03.01,0,0,0,159872,64,100%,39570,0.03,2.98,0,0,4096,7,3.01,0,0,0,0,0,1,0
test,0,0:03.05,0,0,0,159788,64,99%,39569,0.02,3.03,0,0,4096,7,3.05,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159776,64,99%,39567,0.04,2.99,0,0,4096,5,3.04,0,0,0,0,0,1,0
test,0,0:03.05,0,0,0,159832,64,100%,39570,0.04,3.01,0,0,4096,2,3.05,0,0,0,0,0,1,0
test,0,0:03.07,0,0,0,159860,64,100%,39569,0.05,3.02,0,0,4096,4,3.07,0,0,0,0,0,1,0
test,0,0:03.08,0,0,0,159784,64,99%,39568,0.05,3.02,0,0,4096,4,3.08,0,0,0,0,0,1,0
test,0,0:03.02,0,0,0,159912,64,99%,39571,0.03,2.99,0,0,4096,6,3.02,0,0,0,0,0,1,0
test,0,0:03.32,0,0,0,159916,64,100%,39570,0.05,3.26,0,0,4096,2,3.32,0,0,0,0,0,1,0
test,0,0:03.02,0,0,0,159788,64,100%,39569,0.02,3.00,0,0,4096,5,3.02,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159748,64,99%,39567,0.02,3.00,0,0,4096,4,3.03,0,0,0,0,0,3,0
test,0,0:03.06,0,0,0,159828,64,99%,39570,0.03,3.02,0,0,4096,8,3.06,0,0,0,0,0,1,0
test,0,0:03.11,0,0,0,159876,64,99%,39572,0.04,3.07,0,0,4096,10,3.11,0,0,0,0,0,1,0
test,0,0:03.40,0,0,0,159788,64,100%,39569,0.02,3.38,0,0,4096,3,3.40,0,0,0,0,0,1,0
test,0,0:03.06,0,0,0,159788,64,99%,39568,0.02,3.03,0,0,4096,8,3.06,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159916,64,100%,39570,0.04,2.99,0,0,4096,9,3.03,0,0,0,0,0,1,0
test,0,0:03.10,0,0,0,159824,64,100%,39569,0.05,3.04,0,0,4096,7,3.10,0,0,0,0,0,1,0
test,0,0:03.23,0,0,0,159776,64,100%,39567,0.02,3.21,0,0,4096,6,3.23,0,0,0,0,0,1,0
test,0,0:03.01,0,0,0,159824,64,99%,39569,0.04,2.97,0,0,4096,5,3.01,0,0,0,0,0,1,0
ref,0,6:23.28,0,0,0,1717956,464,99%,429154,0.40,382.87,0,0,4096,541,383.28,0,0,0,0,0,1,0
ref,0,6:23.50,0,0,0,1717972,464,99%,429151,0.43,383.06,0,0,4096,533,383.50,0,0,0,0,0,1,0
ref,0,6:22.77,0,0,0,1717960,464,99%,429153,0.39,382.37,0,0,4096,634,382.77,0,0,0,0,0,1,0
ref,0,6:22.45,0,0,0,1718040,464,99%,429154,0.34,382.10,0,0,4096,595,382.45,0,0,0,0,0,1,0
ref,0,6:22.80,0,0,0,1718024,464,99%,429155,0.50,382.29,0,0,4096,516,382.80,0,0,0,0,0,1,0
ref,0,6:23.55,0,0,0,1718092,464,99%,429155,0.42,383.12,0,0,4096,792,383.55,0,0,0,0,0,2,0
ref,0,6:23.53,0,0,0,1718056,464,99%,429153,0.43,383.09,0,0,4096,723,383.53,0,0,0,0,0,1,0
ref,0,6:24.59,0,0,0,1718024,464,99%,429155,0.41,384.17,0,0,4096,511,384.59,0,0,0,0,0,1,0
ref,0,6:22.93,0,0,0,1717956,464,99%,429154,0.39,382.53,0,0,4096,526,382.93,0,0,0,0,0,1,0
ref,0,6:23.43,0,0,0,1718020,464,99%,429155,0.42,382.99,0,0,4096,736,383.43,0,0,0,0,0,1,0
ref,0,6:24.04,0,0,0,1718020,464,99%,429154,0.46,383.57,0,0,4096,713,384.04,0,0,0,0,0,1,0
ref,0,6:22.71,0,0,0,1718108,464,99%,429155,0.34,382.36,0,0,4096,509,382.71,0,0,0,0,0,1,0
ref,0,6:22.80,0,0,0,1718104,464,99%,429154,0.46,382.34,0,0,4096,518,382.80,0,0,0,0,0,1,0
ref,0,6:22.75,0,0,0,1717980,464,99%,429154,0.40,382.34,0,0,4096,663,382.75,0,0,0,0,0,1,0
ref,0,6:24.32,0,0,0,1717976,464,99%,429152,0.47,383.85,0,0,4096,574,384.32,0,0,0,0,0,1,0
ref,0,6:23.80,0,0,0,1717972,464,99%,429151,0.40,383.39,0,0,4096,553,383.80,0,0,0,0,0,1,0
ref,0,6:21.92,0,0,0,1717956,464,99%,429153,0.42,381.50,0,0,4096,508,381.92,0,0,0,0,0,1,0
