cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,0:03.09,0,0,0,159832,64,100%,39571,0.04,3.05,0,0,4096,12,3.09,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159916,64,100%,39570,0.02,3.01,0,0,4096,5,3.04,0,0,0,0,0,1,0
test,0,0:03.11,0,0,0,159748,64,100%,39567,0.02,3.08,0,0,4096,12,3.11,0,0,0,0,0,1,0
test,0,0:03.10,0,0,0,159856,64,100%,39569,0.03,3.07,0,0,4096,3,3.10,0,0,0,0,0,1,0
test,0,0:03.05,0,0,0,159876,64,100%,39571,0.03,3.02,0,0,4096,10,3.05,0,0,0,0,0,1,0
test,0,0:03.05,0,0,0,159748,64,99%,39568,0.04,3.00,0,0,4096,12,3.05,0,0,0,0,0,1,0
test,0,0:03.09,0,0,0,159780,64,99%,39568,0.06,3.02,0,0,4096,15,3.09,0,0,0,0,0,1,0
test,0,0:03.06,0,0,0,159832,64,99%,39570,0.06,2.99,0,0,4096,5,3.06,0,0,0,0,0,1,0
test,0,0:03.06,0,0,0,159748,64,99%,39568,0.06,2.99,0,0,4096,10,3.06,0,0,0,0,0,1,0
test,0,0:03.09,0,0,0,159908,64,99%,39570,0.03,3.06,0,0,4096,6,3.09,0,0,0,0,0,1,0
test,0,0:03.05,0,0,0,159784,64,99%,39568,0.05,2.99,0,0,4096,5,3.05,0,0,0,0,0,1,0
test,0,0:03.05,0,0,0,159912,64,100%,39571,0.04,3.01,0,0,4096,8,3.05,0,0,0,0,0,1,0
test,0,0:03.02,0,0,0,159872,64,100%,39570,0.03,2.98,0,0,4096,2,3.02,0,0,0,0,0,1,0
test,0,0:03.10,0,0,0,159836,64,100%,39569,0.04,3.05,0,0,4096,9,3.10,0,0,0,0,0,1,0
test,0,0:03.06,0,0,0,159908,64,100%,39571,0.04,3.02,0,0,4096,14,3.06,0,0,0,0,0,1,0
test,0,0:03.06,0,0,0,159836,64,99%,39569,0.02,3.03,0,0,4096,5,3.06,0,0,0,0,0,1,0
test,0,0:03.05,0,0,0,159848,64,100%,39569,0.06,2.99,0,0,4096,12,3.05,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159832,64,100%,39570,0.04,3.00,0,0,4096,4,3.04,0,0,0,0,0,1,0
test,0,0:03.02,0,0,0,159860,64,100%,39570,0.03,2.99,0,0,4096,8,3.02,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159820,64,100%,39570,0.04,3.00,0,0,4096,9,3.04,0,0,0,0,0,1,0
test,0,0:03.12,0,0,0,159836,64,100%,39571,0.04,3.08,0,0,4096,4,3.12,0,0,0,0,0,1,0
test,0,0:03.18,0,0,0,159832,64,100%,39568,0.04,3.13,0,0,4096,6,3.18,0,0,0,0,0,1,0
test,0,0:03.06,0,0,0,159916,64,99%,39571,0.04,3.01,0,0,4096,14,3.06,0,0,0,0,0,1,0
test,0,0:03.21,0,0,0,159876,64,99%,39571,0.03,3.17,0,0,4096,5,3.21,0,0,0,0,0,1,0
test,0,0:03.17,0,0,0,159832,64,100%,39568,0.04,3.13,0,0,4096,10,3.17,0,0,0,0,0,1,0
test,0,0:03.10,0,0,0,159860,64,100%,39569,0.02,3.07,0,0,4096,7,3.10,0,0,0,0,0,1,0
test,0,0:03.06,0,0,0,159824,64,100%,39569,0.04,3.02,0,0,4096,10,3.06,0,0,0,0,0,1,0
test,0,0:03.06,0,0,0,159912,64,100%,39571,0.04,3.02,0,0,4096,14,3.06,0,0,0,0,0,1,0
test,0,0:03.09,0,0,0,159764,64,99%,39570,0.03,3.05,0,0,4096,4,3.09,0,0,0,0,0,1,0
test,0,0:03.06,0,0,0,159856,64,99%,39569,0.03,3.02,0,0,4096,10,3.06,0,0,0,0,0,1,0
ref,0,6:26.51,0,0,0,1717976,464,99%,429153,0.40,386.10,0,0,4096,858,386.51,0,0,0,0,0,1,0
ref,0,6:23.66,0,0,0,1718032,464,99%,429153,0.45,383.21,0,0,4096,502,383.66,0,0,0,0,0,1,0
ref,0,6:26.15,0,0,0,1717980,464,99%,429152,0.45,385.69,0,0,4096,572,386.15,0,0,0,0,0,1,0
ref,0,6:24.32,0,0,0,1717944,464,99%,429151,0.39,383.92,0,0,4096,695,384.32,0,0,0,0,0,1,0
ref,0,6:23.15,0,0,0,1718056,464,99%,429154,0.45,382.68,0,0,4096,632,383.15,0,0,0,0,0,1,0
ref,0,6:25.40,0,0,0,1717976,464,99%,429153,0.49,384.90,0,0,4096,741,385.40,0,0,0,0,0,1,0
ref,0,6:25.68,0,0,0,1718060,464,99%,429154,0.43,385.25,0,0,4096,551,385.68,0,0,0,0,0,1,0
ref,0,6:23.84,0,0,0,1717956,464,99%,429153,0.36,383.46,0,0,4096,914,383.84,0,0,0,0,0,1,0
ref,0,6:23.88,0,0,0,1718040,464,99%,429154,0.36,383.51,0,0,4096,745,383.88,0,0,0,0,0,1,0
ref,0,6:24.44,0,0,0,1718036,464,99%,429153,0.44,383.99,0,0,4096,632,384.44,0,0,0,0,0,1,0
ref,0,6:26.34,0,0,0,1718104,464,99%,429154,0.42,385.92,0,0,4096,496,386.34,0,0,0,0,0,1,0
ref,0,6:24.54,0,0,0,1718044,464,99%,429153,0.40,384.12,0,0,4096,804,384.54,0,0,0,0,0,1,0
ref,0,6:25.42,0,0,0,1718056,464,99%,429154,0.41,385.00,0,0,4096,513,385.42,0,0,0,0,0,1,0
ref,0,6:24.77,0,0,0,1717944,464,99%,429151,0.47,384.29,0,0,4096,960,384.77,0,0,0,0,0,1,0
ref,0,6:22.89,0,0,0,1717972,464,99%,429151,0.43,382.45,0,0,4096,506,382.89,0,0,0,0,0,1,0
ref,0,6:30.76,0,0,0,1718040,464,99%,429154,0.43,390.32,0,0,4096,521,390.76,0,0,0,0,0,1,0
ref,0,6:26.22,0,0,0,1718096,464,99%,429155,0.36,385.85,0,0,4096,737,386.22,0,0,0,0,0,1,0
ref,0,6:24.15,0,0,0,1718108,464,99%,429155,0.41,383.73,0,0,4096,896,384.15,0,0,0,0,0,1,0
ref,0,6:33.29,0,0,0,1717976,464,99%,429152,0.47,392.81,0,0,4096,735,393.29,0,0,0,0,0,1,0
ref,0,6:24.65,0,0,0,1717948,464,99%,429152,0.45,384.19,0,0,4096,689,384.65,0,0,0,0,0,1,0
ref,0,6:25.14,0,0,0,1717944,464,99%,429151,0.41,384.72,0,0,4096,495,385.14,0,0,0,0,0,1,0
ref,0,6:23.29,0,0,0,1718092,464,99%,429154,0.43,382.85,0,0,4096,700,383.29,0,0,0,0,0,1,0
ref,0,6:22.19,0,0,0,1718060,464,99%,429154,0.43,381.75,0,0,4096,496,382.19,0,0,0,0,0,1,0
ref,0,6:25.39,0,0,0,1718096,464,99%,429155,0.36,385.03,0,0,4096,500,385.39,0,0,0,0,0,1,0
ref,0,6:23.67,0,0,0,1718040,464,99%,429155,0.41,383.25,0,0,4096,846,383.67,0,0,0,0,0,1,0
ref,0,6:21.18,0,0,0,1718016,464,99%,429153,0.39,380.78,0,0,4096,563,381.18,0,0,0,0,0,1,0
