cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,0:03.04,0,0,0,159916,64,100%,39570,0.04,3.00,0,0,4096,5,3.04,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159832,64,100%,39570,0.03,3.00,0,0,4096,8,3.03,0,0,0,0,0,1,0
test,0,0:03.07,0,0,0,159908,64,99%,39570,0.04,3.03,0,0,4096,4,3.07,0,0,0,0,0,1,0
test,0,0:03.05,0,0,0,159868,64,99%,39569,0.03,3.02,0,0,4096,6,3.05,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159824,64,99%,39569,0.05,2.98,0,0,4096,6,3.04,0,0,0,0,0,1,0
test,0,0:03.01,0,0,0,159832,64,100%,39570,0.04,2.97,0,0,4096,4,3.01,0,0,0,0,0,1,0
test,0,0:03.01,0,0,0,159832,64,100%,39568,0.07,2.94,0,0,4096,7,3.01,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159876,64,99%,39571,0.03,3.00,0,0,4096,7,3.03,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159856,64,99%,39569,0.02,3.02,0,0,4096,8,3.04,0,0,0,0,0,1,0
test,0,0:03.11,0,0,0,159860,64,99%,39569,0.03,3.08,0,0,4096,4,3.11,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159776,64,99%,39568,0.02,3.01,0,0,4096,7,3.04,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159876,64,99%,39571,0.04,3.00,0,0,4096,13,3.04,0,0,0,0,0,1,0
test,0,0:03.05,0,0,0,159784,64,99%,39569,0.02,3.03,0,0,4096,6,3.05,0,0,0,0,0,1,0
test,0,0:03.12,0,0,0,159780,64,99%,39567,0.02,3.10,0,0,4096,8,3.12,0,0,0,0,0,2,0
test,0,0:03.01,0,0,0,159916,64,100%,39570,0.04,2.97,0,0,4096,4,3.01,0,0,0,0,0,1,0
test,0,0:03.15,0,0,0,159832,64,100%,39569,0.02,3.12,0,0,4096,8,3.15,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159848,64,100%,39569,0.04,2.99,0,0,4096,7,3.03,0,0,0,0,0,1,0
test,0,0:03.18,0,0,0,159824,64,100%,39570,0.03,3.14,0,0,4096,11,3.18,0,0,0,0,0,1,0
test,0,0:03.15,0,0,0,159788,64,99%,39569,0.02,3.13,0,0,4096,11,3.15,0,0,0,0,0,1,0
test,0,0:03.06,0,0,0,159908,64,99%,39571,0.05,3.01,0,0,4096,10,3.06,0,0,0,0,0,1,0
test,0,0:03.06,0,0,0,159776,64,99%,39567,0.02,3.03,0,0,4096,4,3.06,0,0,0,0,0,1,0
test,0,0:03.07,0,0,0,159832,64,99%,39568,0.03,3.03,0,0,4096,7,3.07,0,0,0,0,0,1,0
test,0,0:03.05,0,0,0,159848,64,100%,39570,0.03,3.01,0,0,4096,9,3.05,0,0,0,0,0,1,0
test,0,0:03.01,0,0,0,159832,64,100%,39568,0.03,2.98,0,0,4096,6,3.01,0,0,0,0,0,1,0
test,0,0:03.09,0,0,0,159736,64,99%,39568,0.03,3.06,0,0,4096,10,3.09,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159832,64,99%,39570,0.02,3.01,0,0,4096,4,3.04,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159860,64,99%,39569,0.05,2.98,0,0,4096,7,3.03,0,0,0,0,0,1,0
test,0,0:03.11,0,0,0,159868,64,99%,39570,0.02,3.09,0,0,4096,4,3.11,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159832,64,99%,39569,0.03,2.99,0,0,4096,4,3.03,0,0,0,0,0,1,0
test,0,0:03.05,0,0,0,159864,64,100%,39570,0.03,3.02,0,0,4096,6,3.05,0,0,0,0,0,1,0
ref,0,6:29.60,0,0,0,1717960,464,99%,429153,0.43,389.16,0,0,4096,1392,389.60,0,0,0,0,0,1,0
ref,0,6:23.36,0,0,0,1718016,464,99%,429153,0.40,382.95,0,0,4096,491,383.36,0,0,0,0,0,1,0
ref,0,6:23.18,0,0,0,1718036,464,99%,429153,0.31,382.86,0,0,4096,616,383.18,0,0,0,0,0,1,0
ref,0,6:24.13,0,0,0,1718016,464,99%,429153,0.42,383.70,0,0,4096,692,384.13,0,0,0,0,0,1,0
ref,0,6:22.99,0,0,0,1717956,464,99%,429152,0.41,382.58,0,0,4096,560,382.99,0,0,0,0,0,1,0
ref,0,6:30.47,0,0,0,1717960,464,99%,429153,0.40,390.05,0,0,4096,1135,390.47,0,0,0,0,0,1,0
ref,0,6:29.96,0,0,0,1718108,464,99%,429155,0.43,389.51,0,0,4096,1133,389.96,0,0,0,0,0,1,0
ref,0,6:23.87,0,0,0,1718104,464,99%,429154,0.37,383.48,0,0,4096,822,383.87,0,0,0,0,0,1,0
ref,0,6:29.87,0,0,0,1718040,464,99%,429154,0.43,389.43,0,0,4096,1136,389.87,0,0,0,0,0,1,0
ref,0,6:29.71,0,0,0,1718028,464,99%,429152,0.35,389.35,0,0,4096,1236,389.71,0,0,0,0,0,1,0
ref,0,6:29.70,0,0,0,1718020,464,99%,429154,0.46,389.23,0,0,4096,1171,389.70,0,0,0,0,0,1,0
ref,0,6:24.12,0,0,0,1718020,464,99%,429154,0.41,383.71,0,0,4096,641,384.12,0,0,0,0,0,1,0
ref,0,6:29.46,0,0,0,1718052,464,99%,429154,0.46,388.99,0,0,4096,1152,389.46,0,0,0,0,0,1,0
ref,0,6:23.21,0,0,0,1717976,464,99%,429152,0.33,382.87,0,0,4096,781,383.21,0,0,0,0,0,1,0
ref,0,6:29.34,0,0,0,1718092,464,99%,429155,0.40,388.93,0,0,4096,1118,389.34,0,0,0,0,0,1,0
ref,0,6:23.10,0,0,0,1718048,464,99%,429153,0.46,382.64,0,0,4096,513,383.10,0,0,0,0,0,1,0
ref,0,6:30.25,0,0,0,1717976,464,99%,429152,0.43,389.80,0,0,4096,1165,390.25,0,0,0,0,0,1,0
ref,0,6:23.18,0,0,0,1717980,464,99%,429151,0.39,382.78,0,0,4096,656,383.18,0,0,0,0,0,1,0
ref,0,6:30.53,0,0,0,1718056,464,99%,429153,0.33,390.18,0,0,4096,1265,390.53,0,0,0,0,0,1,0
ref,0,6:22.82,0,0,0,1718044,464,99%,429154,0.43,382.39,0,0,4096,614,382.82,0,0,0,0,0,1,0
ref,0,6:29.44,0,0,0,1718016,464,99%,429153,0.43,389.00,0,0,4096,1152,389.44,0,0,0,0,0,1,0
ref,0,6:22.20,0,0,0,1718020,464,99%,429154,0.45,381.74,0,0,4096,516,382.20,0,0,0,0,0,1,0
ref,0,6:27.50,0,0,0,1717912,464,99%,429153,0.33,387.16,0,0,4096,1096,387.50,0,0,0,0,0,1,0
ref,0,6:28.28,0,0,0,1718096,464,99%,429155,0.45,387.82,0,0,4096,1157,388.28,0,0,0,0,0,1,0
ref,0,6:23.82,0,0,0,1718064,464,99%,429155,0.43,383.38,0,0,4096,492,383.82,0,0,0,0,0,1,0
ref,0,6:29.98,0,0,0,1718108,464,99%,429156,0.45,389.52,0,0,4096,1439,389.98,0,0,0,0,0,1,0
ref,0,6:20.98,0,0,0,1717944,464,99%,429151,0.42,380.55,0,0,4096,544,380.98,0,0,0,0,0,1,0
ref,0,6:23.06,0,0,0,1718024,464,99%,429156,0.41,382.64,0,0,4096,533,383.06,0,0,0,0,0,1,0
ref,0,6:28.75,0,0,0,1718052,464,99%,429154,0.38,388.35,0,0,4096,1137,388.75,0,0,0,0,0,1,0
ref,0,6:28.61,0,0,0,1718036,464,99%,429153,0.38,388.22,0,0,4096,1338,388.61,0,0,0,0,0,1,0
train,0,0:17.32,0,0,0,352424,144,100%,87760,0.09,17.23,0,0,4096,42,17.32,0,0,0,0,0,1,0
train,0,0:17.43,0,0,0,352440,144,100%,87759,0.12,17.30,0,0,4096,55,17.43,0,0,0,0,0,1,0
train,0,0:17.17,0,0,0,352420,144,99%,87760,0.08,17.08,0,0,4096,41,17.17,0,0,0,0,0,1,0
train,0,0:17.20,0,0,0,352492,144,100%,87761,0.10,17.10,0,0,4096,37,17.20,0,0,0,0,0,1,0
train,0,0:17.38,0,0,0,352572,144,100%,87762,0.07,17.31,0,0,4096,49,17.38,0,0,0,0,0,1,0
train,0,0:17.35,0,0,0,352568,144,100%,87761,0.10,17.25,0,0,4096,30,17.35,0,0,0,0,0,1,0
train,0,0:17.29,0,0,0,352572,144,99%,87762,0.09,17.20,0,0,4096,34,17.29,0,0,0,0,0,1,0
train,0,0:17.39,0,0,0,352520,144,99%,87761,0.07,17.32,0,0,4096,55,17.39,0,0,0,0,0,1,0
