cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,0:03.07,0,0,0,159824,64,100%,39569,0.02,3.04,0,0,4096,8,3.07,0,0,0,0,0,1,0
test,0,0:03.07,0,0,0,159868,64,99%,39569,0.02,3.05,0,0,4096,12,3.07,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159860,64,100%,39570,0.05,2.98,0,0,4096,5,3.03,0,0,0,0,0,1,0
test,0,0:03.06,0,0,0,159784,64,99%,39567,0.02,3.04,0,0,4096,9,3.06,0,0,0,0,0,1,0
test,0,0:03.09,0,0,0,159872,64,100%,39570,0.02,3.07,0,0,4096,12,3.09,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159832,64,99%,39570,0.04,2.98,0,0,4096,7,3.03,0,0,0,0,0,3,0
test,0,0:03.06,0,0,0,159788,64,99%,39569,0.03,3.02,0,0,4096,6,3.06,0,0,0,0,0,1,0
test,0,0:03.05,0,0,0,159856,64,99%,39570,0.03,3.01,0,0,4096,5,3.05,0,0,0,0,0,1,0
test,0,0:03.31,0,0,0,159860,64,99%,39570,0.06,3.25,0,0,4096,6,3.31,0,0,0,0,0,1,0
test,0,0:03.10,0,0,0,159908,64,99%,39571,0.05,3.04,0,0,4096,8,3.10,0,0,0,0,0,1,0
test,0,0:03.07,0,0,0,159824,64,99%,39570,0.04,3.02,0,0,4096,8,3.07,0,0,0,0,0,1,0
test,0,0:03.15,0,0,0,159784,64,100%,39567,0.03,3.12,0,0,4096,9,3.15,0,0,0,0,0,1,0
test,0,0:03.09,0,0,0,159760,64,100%,39568,0.03,3.05,0,0,4096,5,3.09,0,0,0,0,0,1,0
test,0,0:03.08,0,0,0,159860,64,99%,39569,0.05,3.02,0,0,4096,8,3.08,0,0,0,0,0,1,0
test,0,0:03.07,0,0,0,159908,64,100%,39570,0.05,3.02,0,0,4096,4,3.07,0,0,0,0,0,1,0
test,0,0:03.11,0,0,0,159824,64,100%,39569,0.01,3.10,0,0,4096,8,3.11,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159788,64,100%,39569,0.03,3.00,0,0,4096,6,3.03,0,0,0,0,0,1,0
test,0,0:03.06,0,0,0,159784,64,100%,39567,0.03,3.02,0,0,4096,5,3.06,0,0,0,0,0,1,0
test,0,0:03.11,0,0,0,159836,64,100%,39569,0.02,3.09,0,0,4096,10,3.11,0,0,0,0,0,1,0
test,0,0:03.06,0,0,0,159920,64,100%,39571,0.03,3.03,0,0,4096,8,3.06,0,0,0,0,0,1,0
test,0,0:03.06,0,0,0,159908,64,100%,39570,0.04,3.02,0,0,4096,8,3.06,0,0,0,0,0,1,0
test,0,0:03.15,0,0,0,159788,64,100%,39568,0.02,3.12,0,0,4096,3,3.15,0,0,0,0,0,1,0
test,0,0:03.10,0,0,0,159856,64,99%,39569,0.03,3.07,0,0,4096,10,3.10,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159832,64,99%,39570,0.03,2.99,0,0,4096,8,3.03,0,0,0,0,0,1,0
test,0,0:03.10,0,0,0,159920,64,99%,39571,0.04,3.05,0,0,4096,7,3.10,0,0,0,0,0,1,0
test,0,0:03.08,0,0,0,159876,64,99%,39571,0.03,3.03,0,0,4096,10,3.08,0,0,0,0,0,1,0
test,0,0:03.08,0,0,0,159816,64,99%,39569,0.02,3.05,0,0,4096,8,3.08,0,0,0,0,0,1,0
test,0,0:03.05,0,0,0,159860,64,99%,39569,0.03,3.01,0,0,4096,8,3.05,0,0,0,0,0,1,0
test,0,0:03.22,0,0,0,159908,64,100%,39571,0.03,3.19,0,0,4096,7,3.22,0,0,0,0,0,1,0
test,0,0:03.17,0,0,0,159784,64,99%,39567,0.03,3.14,0,0,4096,5,3.17,0,0,0,0,0,1,0
ref,0,6:23.57,0,0,0,1718044,464,99%,429153,0.34,383.22,0,0,4096,822,383.57,0,0,0,0,0,1,0
ref,0,6:24.05,0,0,0,1718028,464,99%,429154,0.45,383.58,0,0,4096,907,384.05,0,0,0,0,0,1,0
ref,0,6:30.33,0,0,0,1718060,464,99%,429154,0.43,389.88,0,0,4096,1068,390.33,0,0,0,0,0,1,0
ref,0,6:23.94,0,0,0,1718028,464,99%,429152,0.43,383.49,0,0,4096,758,383.94,0,0,0,0,0,1,0
ref,0,6:22.63,0,0,0,1718032,464,99%,429153,0.39,382.23,0,0,4096,671,382.63,0,0,0,0,0,1,0
ref,0,6:22.88,0,0,0,1718100,464,99%,429155,0.41,382.45,0,0,4096,855,382.88,0,0,0,0,0,1,0
ref,0,6:23.24,0,0,0,1717976,464,99%,429152,0.42,382.81,0,0,4096,524,383.24,0,0,0,0,0,1,0
ref,0,6:27.07,0,0,0,1718096,464,99%,429155,0.39,386.66,0,0,4096,735,387.07,0,0,0,0,0,1,0
ref,0,6:23.08,0,0,0,1718096,464,99%,429154,0.34,382.73,0,0,4096,632,383.08,0,0,0,0,0,1,0
ref,0,6:23.97,0,0,0,1718060,464,99%,429154,0.40,383.56,0,0,4096,692,383.97,0,0,0,0,0,1,0
ref,0,6:22.66,0,0,0,1718056,464,99%,429153,0.45,382.20,0,0,4096,601,382.66,0,0,0,0,0,1,0
ref,0,6:21.92,0,0,0,1718016,464,99%,429154,0.45,381.45,0,0,4096,523,381.92,0,0,0,0,0,1,0
ref,0,6:22.43,0,0,0,1718092,464,99%,429154,0.40,382.02,0,0,4096,502,382.43,0,0,0,0,0,1,0
ref,0,6:22.56,0,0,0,1718020,464,99%,429154,0.43,382.11,0,0,4096,661,382.56,0,0,0,0,0,1,0
ref,0,6:24.79,0,0,0,1717944,464,99%,429151,0.41,384.37,0,0,4096,649,384.79,0,0,0,0,0,1,0
