cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,0:03.12,0,0,0,159832,64,100%,39571,0.02,3.09,0,0,4096,9,3.12,0,0,0,0,0,1,0
test,0,0:03.16,0,0,0,159860,64,100%,39570,0.03,3.13,0,0,4096,12,3.16,0,0,0,0,0,1,0
test,0,0:03.06,0,0,0,159764,64,100%,39570,0.04,3.02,0,0,4096,9,3.06,0,0,0,0,0,1,0
test,0,0:03.08,0,0,0,159872,64,100%,39570,0.04,3.04,0,0,4096,5,3.08,0,0,0,0,0,1,0
test,0,0:03.07,0,0,0,159860,64,99%,39569,0.03,3.04,0,0,4096,7,3.07,0,0,0,0,0,1,0
test,0,0:03.15,0,0,0,159904,64,99%,39570,0.04,3.11,0,0,4096,6,3.15,0,0,0,0,0,1,0
test,0,0:03.02,0,0,0,159912,64,100%,39571,0.07,2.95,0,0,4096,4,3.02,0,0,0,0,0,1,0
test,0,0:03.15,0,0,0,159784,64,99%,39568,0.01,3.13,0,0,4096,3,3.15,0,0,0,0,0,1,0
test,0,0:03.05,0,0,0,159832,64,99%,39568,0.04,3.00,0,0,4096,3,3.05,0,0,0,0,0,1,0
test,0,0:03.01,0,0,0,159908,64,99%,39571,0.03,2.97,0,0,4096,6,3.01,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159748,64,99%,39567,0.03,2.99,0,0,4096,6,3.03,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159860,64,99%,39569,0.02,3.00,0,0,4096,3,3.03,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159788,64,100%,39570,0.02,3.00,0,0,4096,8,3.03,0,0,0,0,0,1,0
test,0,0:03.09,0,0,0,159832,64,99%,39568,0.05,3.03,0,0,4096,7,3.09,0,0,0,0,0,1,0
test,0,0:03.10,0,0,0,159832,64,99%,39570,0.03,3.06,0,0,4096,5,3.10,0,0,0,0,0,1,0
test,0,0:03.08,0,0,0,159908,64,99%,39571,0.02,3.06,0,0,4096,9,3.08,0,0,0,0,0,1,0
test,0,0:03.05,0,0,0,159848,64,100%,39570,0.04,3.01,0,0,4096,5,3.05,0,0,0,0,0,1,0
test,0,0:03.07,0,0,0,159908,64,100%,39570,0.04,3.03,0,0,4096,7,3.07,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159748,64,99%,39567,0.05,2.99,0,0,4096,5,3.04,0,0,0,0,0,1,0
test,0,0:03.10,0,0,0,159860,64,99%,39569,0.04,3.05,0,0,4096,8,3.10,0,0,0,0,0,1,0
test,0,0:03.13,0,0,0,159788,64,99%,39569,0.03,3.09,0,0,4096,11,3.13,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159780,64,99%,39568,0.05,2.99,0,0,4096,10,3.04,0,0,0,0,0,1,0
test,0,0:03.08,0,0,0,159784,64,100%,39568,0.03,3.05,0,0,4096,6,3.08,0,0,0,0,0,1,0
test,0,0:03.02,0,0,0,159904,64,100%,39570,0.03,2.99,0,0,4096,7,3.02,0,0,0,0,0,1,0
test,0,0:03.02,0,0,0,159788,64,99%,39569,0.04,2.98,0,0,4096,6,3.02,0,0,0,0,0,1,0
test,0,0:03.12,0,0,0,159816,64,100%,39569,0.04,3.07,0,0,4096,6,3.12,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159776,64,100%,39567,0.04,2.99,0,0,4096,5,3.03,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159828,64,99%,39570,0.05,2.99,0,0,4096,7,3.04,0,0,0,0,0,1,0
test,0,0:03.07,0,0,0,159748,64,99%,39568,0.02,3.05,0,0,4096,6,3.07,0,0,0,0,0,1,0
test,0,0:03.05,0,0,0,159832,64,99%,39570,0.04,3.01,0,0,4096,7,3.05,0,0,0,0,0,1,0
ref,0,6:27.89,0,0,0,1718044,464,99%,429153,0.38,387.50,0,0,4096,531,387.89,0,0,0,0,0,1,0
ref,0,6:24.53,0,0,0,1718036,464,99%,429153,0.37,384.14,0,0,4096,846,384.53,0,0,0,0,0,1,0
ref,0,6:27.12,0,0,0,1718036,464,99%,429153,0.42,386.69,0,0,4096,508,387.12,0,0,0,0,0,1,0
ref,0,6:24.45,0,0,0,1718036,464,99%,429153,0.41,384.03,0,0,4096,859,384.45,0,0,0,0,0,1,0
ref,0,6:41.04,0,0,0,1718060,464,99%,429154,0.45,400.58,0,0,4096,531,401.04,0,0,0,0,0,1,0
ref,0,6:25.53,0,0,0,1718016,464,99%,429153,0.42,385.09,0,0,4096,851,385.53,0,0,0,0,0,1,0
ref,0,6:31.22,0,0,0,1718024,464,99%,429155,0.37,390.84,0,0,4096,492,391.22,0,0,0,0,0,1,0
ref,0,6:30.31,0,0,0,1718096,464,99%,429154,0.44,389.86,0,0,4096,513,390.31,0,0,0,0,0,1,0
ref,0,6:29.09,0,0,0,1717960,464,99%,429153,0.45,388.62,0,0,4096,816,389.09,0,0,0,0,0,1,0
ref,0,6:28.39,0,0,0,1718100,464,99%,429155,0.43,387.95,0,0,4096,494,388.39,0,0,0,0,0,1,0
ref,0,6:24.71,0,0,0,1717944,464,99%,429151,0.42,384.27,0,0,4096,709,384.71,0,0,0,0,0,1,0
ref,0,6:28.91,0,0,0,1718092,464,99%,429154,0.37,388.53,0,0,4096,499,388.91,0,0,0,0,0,1,0
ref,0,6:35.61,0,0,0,1717976,464,99%,429152,0.51,395.10,0,0,4096,508,395.61,0,0,0,0,0,1,0
