cmd,unshared_data_size,wall_clk,major_pg_faults,file_input_num,avg_mem_use,max_proc_size,file_output_num,cpu_pct,minor_pg_faults,kernel_cpu_time,user_cpu_time,swp_num,avg_shared_text_size,pg_size,cxt_switch_num,wall_clk_sec,signal_num,avg_unshared_stack_size,socket_rcv_msg_num,socket_send_msg_num,avg_proc_size,cxt_yield_num,exit
test,0,0:03.09,0,0,0,159828,64,99%,39570,0.05,3.04,0,0,4096,4,3.09,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159856,64,100%,39569,0.04,2.99,0,0,4096,11,3.04,0,0,0,0,0,1,0
test,0,0:03.22,0,0,0,159908,64,100%,39571,0.05,3.16,0,0,4096,5,3.22,0,0,0,0,0,1,0
test,0,0:03.12,0,0,0,159776,64,100%,39567,0.05,3.07,0,0,4096,9,3.12,0,0,0,0,0,1,0
test,0,0:03.18,0,0,0,159780,64,99%,39568,0.04,3.14,0,0,4096,5,3.18,0,0,0,0,0,1,0
test,0,0:03.20,0,0,0,159836,64,100%,39571,0.02,3.18,0,0,4096,4,3.20,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159784,64,100%,39567,0.05,2.98,0,0,4096,7,3.03,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159824,64,99%,39569,0.05,2.99,0,0,4096,8,3.04,0,0,0,0,0,2,0
test,0,0:03.13,0,0,0,159856,64,99%,39570,0.04,3.09,0,0,4096,6,3.13,0,0,0,0,0,1,0
test,0,0:03.05,0,0,0,159912,64,99%,39572,0.03,3.01,0,0,4096,7,3.05,0,0,0,0,0,1,0
test,0,0:03.08,0,0,0,159848,64,99%,39569,0.05,3.03,0,0,4096,7,3.08,0,0,0,0,0,1,0
test,0,0:03.08,0,0,0,159852,64,99%,39570,0.04,3.03,0,0,4096,5,3.08,0,0,0,0,0,1,0
test,0,0:03.15,0,0,0,159784,64,99%,39567,0.05,3.10,0,0,4096,3,3.15,0,0,0,0,0,1,0
test,0,0:03.02,0,0,0,159832,64,99%,39568,0.04,2.98,0,0,4096,6,3.02,0,0,0,0,0,1,0
test,0,0:03.02,0,0,0,159908,64,100%,39570,0.05,2.97,0,0,4096,5,3.02,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159776,64,100%,39567,0.04,3.00,0,0,4096,8,3.04,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159788,64,99%,39569,0.02,3.01,0,0,4096,8,3.04,0,0,0,0,0,1,0
test,0,0:03.02,0,0,0,159784,64,99%,39567,0.01,3.00,0,0,4096,5,3.02,0,0,0,0,0,1,0
test,0,0:03.12,0,0,0,159872,64,99%,39571,0.03,3.08,0,0,4096,4,3.12,0,0,0,0,0,1,0
test,0,0:03.04,0,0,0,159780,64,99%,39568,0.03,3.00,0,0,4096,10,3.04,0,0,0,0,0,1,0
test,0,0:03.11,0,0,0,159776,64,100%,39567,0.02,3.09,0,0,4096,3,3.11,0,0,0,0,0,1,0
test,0,0:03.17,0,0,0,159848,64,99%,39569,0.03,3.13,0,0,4096,8,3.17,0,0,0,0,0,1,0
test,0,0:03.09,0,0,0,159904,64,100%,39570,0.03,3.05,0,0,4096,6,3.09,0,0,0,0,0,1,0
test,0,0:03.09,0,0,0,159864,64,99%,39570,0.05,3.03,0,0,4096,7,3.09,0,0,0,0,0,1,0
test,0,0:03.09,0,0,0,159784,64,100%,39568,0.02,3.06,0,0,4096,8,3.09,0,0,0,0,0,1,0
test,0,0:03.07,0,0,0,159836,64,99%,39571,0.03,3.03,0,0,4096,8,3.07,0,0,0,0,0,1,0
test,0,0:03.07,0,0,0,159832,64,99%,39569,0.03,3.03,0,0,4096,4,3.07,0,0,0,0,0,1,0
test,0,0:03.03,0,0,0,159868,64,100%,39569,0.04,2.99,0,0,4096,6,3.03,0,0,0,0,0,1,0
test,0,0:03.24,0,0,0,159848,64,100%,39570,0.02,3.21,0,0,4096,9,3.24,0,0,0,0,0,1,0
test,0,0:03.10,0,0,0,159852,64,99%,39570,0.03,3.06,0,0,4096,12,3.10,0,0,0,0,0,1,0
ref,0,6:25.75,0,0,0,1718096,464,99%,429155,0.38,385.36,0,0,4096,780,385.75,0,0,0,0,0,1,0
ref,0,6:26.82,0,0,0,1717956,464,99%,429152,0.45,386.36,0,0,4096,682,386.82,0,0,0,0,0,1,0
ref,0,6:24.77,0,0,0,1718052,464,99%,429154,0.38,384.38,0,0,4096,826,384.77,0,0,0,0,0,1,0
ref,0,6:25.72,0,0,0,1718060,464,99%,429154,0.47,385.24,0,0,4096,655,385.72,0,0,0,0,0,1,0
ref,0,6:24.40,0,0,0,1718016,464,99%,429153,0.39,384.00,0,0,4096,801,384.40,0,0,0,0,0,1,0
ref,0,6:23.00,0,0,0,1717976,464,99%,429152,0.43,382.55,0,0,4096,756,383.00,0,0,0,0,0,1,0
ref,0,6:23.08,0,0,0,1718028,464,99%,429152,0.45,382.61,0,0,4096,825,383.08,0,0,0,0,0,1,0
ref,0,6:29.93,0,0,0,1718108,464,99%,429155,0.41,389.51,0,0,4096,623,389.93,0,0,0,0,0,1,0
ref,0,6:24.80,0,0,0,1718048,464,99%,429155,0.45,384.33,0,0,4096,812,384.80,0,0,0,0,0,1,0
ref,0,6:27.20,0,0,0,1717944,464,99%,429151,0.44,386.75,0,0,4096,679,387.20,0,0,0,0,0,1,0
ref,0,6:26.89,0,0,0,1718052,464,99%,429154,0.38,386.50,0,0,4096,511,386.89,0,0,0,0,0,1,0
ref,0,6:27.40,0,0,0,1718028,464,99%,429152,0.39,386.99,0,0,4096,881,387.40,0,0,0,0,0,1,0
ref,0,6:25.84,0,0,0,1718104,464,99%,429154,0.40,385.42,0,0,4096,839,385.84,0,0,0,0,0,1,0
ref,0,6:24.94,0,0,0,1718036,464,99%,429154,0.43,384.50,0,0,4096,912,384.94,0,0,0,0,0,1,0
ref,0,6:23.89,0,0,0,1717980,464,99%,429151,0.48,383.41,0,0,4096,496,383.89,0,0,0,0,0,1,0
ref,0,6:27.81,0,0,0,1718028,464,99%,429152,0.49,387.31,0,0,4096,512,387.81,0,0,0,0,0,1,0
ref,0,6:24.30,0,0,0,1718028,464,99%,429153,0.43,383.86,0,0,4096,896,384.30,0,0,0,0,0,1,0
ref,0,6:35.02,0,0,0,1718020,464,99%,429154,0.47,394.54,0,0,4096,522,395.02,0,0,0,0,0,1,0
ref,0,6:24.35,0,0,0,1718060,464,99%,429154,0.39,383.94,0,0,4096,961,384.35,0,0,0,0,0,1,0
ref,0,6:22.15,0,0,0,1717976,464,99%,429153,0.43,381.72,0,0,4096,516,382.15,0,0,0,0,0,1,0
ref,0,6:26.56,0,0,0,1718100,464,99%,429155,0.37,386.18,0,0,4096,521,386.56,0,0,0,0,0,1,0
ref,0,6:27.12,0,0,0,1717944,464,99%,429151,0.41,386.70,0,0,4096,684,387.12,0,0,0,0,0,1,0
ref,0,6:25.14,0,0,0,1718044,464,99%,429153,0.40,384.73,0,0,4096,869,385.14,0,0,0,0,0,1,0
ref,0,6:24.80,0,0,0,1718064,464,99%,429155,0.41,384.38,0,0,4096,820,384.80,0,0,0,0,0,1,0
ref,0,6:24.46,0,0,0,1718060,464,99%,429155,0.39,384.05,0,0,4096,906,384.46,0,0,0,0,0,1,0
ref,0,6:26.34,0,0,0,1718104,464,99%,429155,0.47,385.86,0,0,4096,594,386.34,0,0,0,0,0,1,0
ref,0,6:23.86,0,0,0,1718092,464,99%,429154,0.42,383.43,0,0,4096,729,383.86,0,0,0,0,0,1,0
ref,0,6:23.87,0,0,0,1717976,464,99%,429152,0.45,383.41,0,0,4096,663,383.87,0,0,0,0,0,1,0
ref,0,6:26.50,0,0,0,1718060,464,99%,429154,0.44,386.05,0,0,4096,672,386.50,0,0,0,0,0,1,0
ref,0,6:23.52,0,0,0,1718020,464,99%,429154,0.41,383.10,0,0,4096,628,383.52,0,0,0,0,0,1,0
train,0,0:17.36,0,0,0,352408,144,99%,87759,0.06,17.30,0,0,4096,53,17.36,0,0,0,0,0,1,0
train,0,0:17.32,0,0,0,352440,144,99%,87759,0.09,17.23,0,0,4096,35,17.32,0,0,0,0,0,1,0
train,0,0:17.59,0,0,0,352492,144,100%,87759,0.07,17.51,0,0,4096,39,17.59,0,0,0,0,0,1,0
train,0,0:17.56,0,0,0,352576,144,99%,87761,0.10,17.46,0,0,4096,31,17.56,0,0,0,0,0,1,0
train,0,0:17.49,0,0,0,352520,144,99%,87761,0.09,17.39,0,0,4096,22,17.49,0,0,0,0,0,1,0
train,0,0:17.23,0,0,0,352488,144,99%,87761,0.08,17.15,0,0,4096,36,17.23,0,0,0,0,0,1,0
train,0,0:17.67,0,0,0,352520,144,99%,87761,0.08,17.58,0,0,4096,38,17.67,0,0,0,0,0,1,0
train,0,0:17.37,0,0,0,352488,144,99%,87761,0.07,17.29,0,0,4096,32,17.37,0,0,0,0,0,1,0
train,0,0:17.30,0,0,0,352532,144,100%,87761,0.08,17.21,0,0,4096,43,17.30,0,0,0,0,0,1,0
